,accountId,assists,champLevel,champion,creepsPerMinDeltas,csDiffPerMinDeltas,currentAccountId,currentPlatformId,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,damageTakenDiffPerMinDeltas,damageTakenPerMinDeltas,deaths,doubleKills,firstBloodAssist,firstBloodKill,firstInhibitorAssist,firstInhibitorKill,firstTowerAssist,firstTowerKill,gameCreation,gameDuration,gameId,gameVersion,goldEarned,goldPerMinDeltas,goldSpent,highestAchievedSeasonTier,inhibitorKills,item0,item1,item2,item3,item4,item5,item6,killingSprees,kills,lane,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicalDamageTaken,map,matchHistoryUri,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,neutralMinionsKilledTeamJungle,pentaKills,perkPrimaryStyle,perkSubStyle,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,queueId,role,season,sightWardsBoughtInGame,spell_1,spell_2,summonerId,summonerName,timeCCingOthers,totalDamageDealt,totalDamageDealtToChampions,totalDamageTaken,totalHeal,totalMinionsKilled,totalPlayerScore,totalScoreRank,totalTimeCrowdControlDealt,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,xpDiffPerMinDeltas,xpPerMinDeltas,champion_subclass,champion_name,champion_defense,champion_attack,champion_class,champion_difficulty,champion_magic,position,rel_assists,rel_deaths,rel_goldEarned,rel_kills,rel_longestTimeSpentLiving,rel_magicDamageDealt,rel_magicalDamageTaken,rel_neutralMinionsKilled,rel_physicalDamageDealt,rel_physicalDamageDealtToChampions,rel_physicalDamageTaken,rel_timeCCingOthers,rel_totalDamageDealt,rel_totalDamageDealtToChampions,rel_totalDamageTaken,rel_totalHeal,rel_totalMinionsKilled,rel_totalTimeCrowdControlDealt,rel_trueDamageDealt,rel_trueDamageDealtToChampions,rel_trueDamageTaken,rel_visionScore,rel_visionWardsBoughtInGame,rel_wardsPlaced,norm_assists,norm_deaths,norm_goldEarned,norm_kills,norm_longestTimeSpentLiving,norm_magicDamageDealt,norm_magicalDamageTaken,norm_neutralMinionsKilled,norm_physicalDamageDealt,norm_physicalDamageDealtToChampions,norm_physicalDamageTaken,norm_timeCCingOthers,norm_totalDamageDealt,norm_totalDamageDealtToChampions,norm_totalDamageTaken,norm_totalHeal,norm_totalMinionsKilled,norm_totalTimeCrowdControlDealt,norm_trueDamageDealt,norm_trueDamageDealtToChampions,norm_trueDamageTaken,norm_visionScore,norm_visionWardsBoughtInGame,norm_wardsPlaced
15220,206358340,10,16,51,"{'20-30': 7.3, '10-20': 9.8, '0-10': 9.6}","{'20-30': -2.220446049250313e-16, '10-20': 0.6000000000000001, '0-10': 0.8499999999999999}",206358340,KR,29425,17226,14669,"{'20-30': -52.199999999999875, '10-20': -242.7, '0-10': -59.349999999999966}","{'20-30': 1014.7, '10-20': 513.7, '0-10': 277}",5,1,False,False,True,False,True,False,1519365972830,2003,3123691148,8.4.218.8787,17749,"{'20-30': 631.2, '10-20': 533.4, '0-10': 353.79999999999995}",17855,DIAMOND,1,3072,3031,3087,3094,3006,3033,3363,3,10,BOTTOM,2072,5,2,1246,54443,4929,11942,11,/v1/stats/player_history/KR/206358340,33,5,20,0,8000,8200.0,195905,34506,8334,0,420,DUO_CARRY,11,0,4,7,38160601,I LOVE KSV,34,255454,40840,20581,6723,286,0,0,291,3,0,5105,1404,305,6,0,49,7,17,11,True,"{'20-30': -11.449999999999989, '10-20': 113.69999999999999, '0-10': 35.599999999999994}","{'20-30': 673.4, '10-20': 463.5, '0-10': 331.3}",Marksman,Caitlyn,6,8,Marksman,2,2,adc,0.2777777777777778,0.21739130434782608,0.2505257809081542,0.2631578947368421,0.25501432664756446,0.1157194659003473,0.19266883934045367,0.09401709401709402,0.45535687306350425,0.4929287734636153,0.13651552876425108,0.2518518518518518,0.23500092913377135,0.2933971278116626,0.16358664981599383,0.19944820220719117,0.34169653524492233,0.13324175824175824,0.027397333791297253,0.24977761964063333,0.10975170924793091,0.24873096446700507,0.3181818181818182,0.12643678160919541,0.23255813953488372,0.2777777777777778,0.5370184254606365,0.3448275862068966,0.5699908508691675,0.12593101470193652,0.257286877785816,0.14102564102564102,0.3799994938946172,0.4427649391143675,0.11812415309989985,0.1574074074074074,0.40472545016750416,0.4115740094678875,0.16928096227751396,0.11413292589763178,0.6135371179039302,0.01851616187325019,0.01678067444834149,0.048782182689969075,0.017303001077891872,0.2789115646258503,0.23333333333333334,0.0847457627118644
15226,5775781,8,15,81,"{'20-30': 6.300000000000001, '10-20': 9, '0-10': 8.100000000000001}","{'20-30': 2.220446049250313e-16, '10-20': -0.6000000000000001, '0-10': -0.8499999999999999}",5775781,KR,6157,307,10529,"{'20-30': 52.199999999999875, '10-20': 242.7, '0-10': 59.349999999999966}","{'20-30': 1008, '10-20': 582.3, '0-10': 265.3}",8,1,False,False,False,False,False,False,1519365972830,2003,3123691148,8.4.218.8787,14423,"{'20-30': 492.3, '10-20': 393.5, '0-10': 291.9}",13775,CHALLENGER,0,2055,3139,3153,3042,3158,3025,3363,1,7,BOTTOM,0,6,2,477,26383,7581,13769,11,/v1/stats/player_history/KR/5775781,4,0,4,0,8300,8200.0,132607,26545,7449,0,420,DUO_CARRY,11,0,7,4,8377903,VIP 민형,17,169393,35448,21633,2989,255,0,0,665,3,0,10402,1322,415,0,0,25,3,5,17,False,"{'20-30': 11.449999999999989, '10-20': -113.69999999999999, '0-10': -35.599999999999994}","{'20-30': 565.8, '10-20': 369.9, '0-10': 309.9}",Mage,Ezreal,7,7,Marksman,2,6,adc,0.2222222222222222,0.34782608695652173,0.20357954465256115,0.18421052631578946,0.09762586983217356,0.056077487810165916,0.22214513891129684,0.011396011396011397,0.30822852334719436,0.379203451329962,0.12201873935264054,0.1259259259259259,0.15583045240535254,0.25466066079010324,0.17194839878865917,0.08867331197341877,0.3046594982078853,0.30448717948717946,0.05582508640491166,0.2351894680661804,0.1493342929111191,0.12690355329949238,0.13636363636363635,0.19540229885057472,0.18604651162790697,0.4444444444444444,0.37784158889686525,0.2413793103448276,0.2182067703568161,0.06102598976693406,0.2999229889617512,0.017094017094017096,0.25678619188790935,0.3406130907317824,0.10074429017497692,0.0787037037037037,0.263948322340871,0.3536932275620726,0.1814951990618723,0.05074272133095663,0.5458515283842795,0.042313565792822604,0.034192473185435494,0.04593308085195094,0.023543427696147954,0.11564625850340136,0.1,0.13559322033898305
15212,207196668,5,14,110,"{'20-30': 7, '10-20': 9.5, '0-10': 8.5}","{'20-30': -1.15, '10-20': 0.19999999999999973, '0-10': -0.25}",207196668,KR,10321,3787,14100,"{'20-30': 25.80000000000001, '10-20': 62.94999999999993, '0-10': 89.05000000000001}","{'20-30': 603.4, '10-20': 347.3, '0-10': 290.7}",3,0,False,False,False,False,False,False,1519375473801,1973,3123798130,8.4.218.8787,11980,"{'20-30': 381.7, '10-20': 408.3, '0-10': 280.1}",11450,MASTER,0,3153,2420,3047,3124,1054,3091,3363,0,0,BOTTOM,0,0,0,914,48755,6159,5595,11,/v1/stats/player_history/KR/207196668,20,0,9,0,8000,8300.0,113033,11243,7857,0,420,DUO_CARRY,11,0,7,4,42461466,sibasaki roka,39,168869,17403,14436,4274,269,0,0,465,3,0,7080,0,984,1,0,36,0,10,11,False,"{'20-30': -165.14999999999998, '10-20': 37.74999999999997, '0-10': -2.5000000000000284}","{'20-30': 488.40000000000003, '10-20': 368, '0-10': 316.6}",Mage,Varus,2,7,Marksman,3,4,adc,0.15625,0.3,0.2002708169645096,0.0,0.17469418960244648,0.14111800307388614,0.1274545537382113,0.0625,0.2515388347137968,0.1981599309092832,0.09719679350784304,0.3277310924369748,0.20517989038053336,0.16024419214938815,0.1087261060147318,0.0913931358922271,0.3221556886227545,0.20385795703638754,0.2513758210545003,0.0,0.12241851206767852,0.1978021978021978,0.0,0.1527777777777778,0.11627906976744186,0.16666666666666666,0.26092366594879157,0.0,0.4181152790484904,0.11277421563457037,0.10916898088726051,0.08547008547008547,0.21868424279821774,0.14426494553013486,0.10875670155731428,0.18055555555555555,0.26309117200586263,0.15998797728565756,0.09793449360842457,0.0725575078516255,0.5764192139737991,0.029587681343853398,0.023272708147748827,0.0,0.055823452657854426,0.19047619047619047,0.0,0.0847457627118644
15219,204917495,10,16,81,"{'20-30': 8.9, '10-20': 9.100000000000001, '0-10': 9}","{'20-30': 1.15, '10-20': -0.19999999999999973, '0-10': 0.25}",204917495,KR,14311,7706,9565,"{'20-30': -25.80000000000001, '10-20': -62.94999999999993, '0-10': -89.05000000000001}","{'20-30': 1014.7, '10-20': 525, '0-10': 166.9}",0,0,False,False,False,True,False,False,1519375473801,1973,3123798130,8.4.218.8787,15402,"{'20-30': 581.9000000000001, '10-20': 345, '0-10': 343.7}",13458,CHALLENGER,1,3153,1055,3033,3158,3078,3042,3363,1,4,BOTTOM,0,4,1,0,28427,9638,9926,11,/v1/stats/player_history/KR/204917495,33,9,13,0,8300,8200.0,205885,35871,11385,0,420,DUO_CARRY,11,0,7,4,30430942,Route,13,240054,48413,21494,4063,287,0,0,410,4,0,5741,2903,183,1,0,34,5,8,20,True,"{'20-30': 165.14999999999998, '10-20': -37.74999999999997, '0-10': 2.5000000000000284}","{'20-30': 714, '10-20': 376.4, '0-10': 316.8}",Mage,Ezreal,7,7,Marksman,2,6,adc,0.3125,0.0,0.25747672144301975,0.3333333333333333,0.0,0.08228000150510432,0.22611508496970248,0.103125,0.4581677296457676,0.6322329344166946,0.1408407145331288,0.1092436974789916,0.2916713748847246,0.44577958251613675,0.16188410381550605,0.08688121458355608,0.3437125748502994,0.17974572555896537,0.20383454642286525,0.47849019284654687,0.0227668574272207,0.18681318681318682,0.21739130434782608,0.2777777777777778,0.23255813953488372,0.0,0.42469490308686286,0.13793103448275862,0.0,0.06575392529676817,0.21024013441926676,0.14102564102564102,0.39942615435824863,0.46027998408889687,0.1780404940987019,0.06018518518518518,0.3795343907035176,0.49286688064235645,0.1798813407795284,0.06897546897546898,0.6157205240174672,0.026088063120386865,0.01887127365483418,0.10086515409471526,0.010381800646735122,0.17687074829931973,0.16666666666666666,0.16101694915254236
15190,4288501,3,14,51,"{'20-30': 7.3, '10-20': 9.5, '0-10': 8.5}","{'20-30': 0.75, '10-20': 8.881784197001252e-16, '0-10': 0.40000000000000013}",4288501,KR,548,548,11565,"{'20-30': 303.00000000000006, '10-20': 201, '0-10': -27.449999999999996}","{'20-30': 550.4000000000001, '10-20': 646.5, '0-10': 148.7}",6,1,False,False,False,False,False,False,1519388962838,1895,3123996909,8.4.218.8787,12313,"{'20-30': 344.70000000000005, '10-20': 444.4, '0-10': 326.2}",11425,DIAMOND,0,3031,3036,3087,3155,1055,3006,3363,2,6,BOTTOM,1227,3,2,605,29224,2898,5845,11,/v1/stats/player_history/KR/4288501,8,0,8,0,8000,8300.0,121417,18287,9233,0,420,DUO_CARRY,11,0,7,4,5248415,지루지루지루지루,36,154301,22859,15689,3356,258,0,0,113,2,0,3659,1673,610,0,0,20,4,7,9,False,"{'20-30': -217.84999999999997, '10-20': -33.94999999999999, '0-10': 10}","{'20-30': 431.2, '10-20': 460, '0-10': 341.7}",Marksman,Caitlyn,6,8,Marksman,2,2,adc,0.08108108108108109,0.2608695652173913,0.19595142989003295,0.17647058823529413,0.2113906359189378,0.09205714195712779,0.1650477212401875,0.026936026936026935,0.29976989586059444,0.30149701586045435,0.13006606843506557,0.19672131147540983,0.20568173789944721,0.20863604833704502,0.1343696471394313,0.06897543931764465,0.32452830188679244,0.042609351432880846,0.13210817055998844,0.208395615346288,0.05891442920610392,0.12658227848101267,0.2,0.1323529411764706,0.06976744186046512,0.3333333333333333,0.27686049294089493,0.20689655172413793,0.2767612076852699,0.06759745006060269,0.11500315045156473,0.03418803418803419,0.2350041948349999,0.2346502765195745,0.13577895170951082,0.16666666666666666,0.23926108406616414,0.2185557714396127,0.11248243913199968,0.05697309226720992,0.5524017467248908,0.0071901247136676,0.012027519648674146,0.05812862652444321,0.034606002155783744,0.08163265306122448,0.13333333333333333,0.06779661016949153
15198,205914660,2,16,498,"{'20-30': 6.300000000000001, '10-20': 9.2, '0-10': 7.1}","{'20-30': -0.75, '10-20': -8.881784197001252e-16, '0-10': -0.40000000000000013}",205914660,KR,28577,12849,11816,"{'20-30': -303.00000000000006, '10-20': -201, '0-10': 27.449999999999996}","{'20-30': 391.5, '10-20': 580.9, '0-10': 289.29999999999995}",3,5,False,False,False,True,False,False,1519388962838,1895,3123996909,8.4.218.8787,18348,"{'20-30': 752.5, '10-20': 501.3, '0-10': 253}",14975,MASTER,1,3031,3140,3094,3508,3087,3047,3363,3,22,BOTTOM,896,15,4,465,25792,2049,3580,11,/v1/stats/player_history/KR/205914660,24,4,12,0,8000,8300.0,166363,33522,10274,1,420,DUO_CARRY,11,0,7,4,35490390,Bully Bully,22,195313,36831,14506,4065,244,0,0,236,3,1,3156,1260,651,6,0,27,3,5,12,True,"{'20-30': 217.84999999999997, '10-20': 33.94999999999999, '0-10': -10}","{'20-30': 742.5999999999999, '10-20': 450.20000000000005, '0-10': 294.5}",Marksman,Xayah,5,10,Marksman,6,1,adc,0.05405405405405406,0.13043478260869565,0.29199357066696374,0.6470588235294118,0.16247379454926625,0.08124616087319463,0.10108996442085051,0.08080808080808081,0.41073835776749607,0.5526758334157681,0.14473072534407708,0.12021857923497267,0.2603503365134039,0.33615968748859115,0.12423775265501884,0.08354742575274894,0.3069182389937107,0.0889894419306184,0.1139473589197386,0.15695067264573992,0.06287425149700598,0.17088607594936708,0.15,0.17647058823529413,0.046511627906976744,0.16666666666666666,0.5656855707106964,0.7586206896551724,0.21271729185727356,0.05965895948409063,0.06214557419896852,0.10256410256410256,0.32249424305127045,0.43013870889097044,0.15622238369238625,0.10185185185185185,0.3063478198283082,0.36853913286172807,0.09874722799521647,0.06900942195059842,0.5218340611353712,0.01501654364978366,0.010374105496369392,0.0437788819012543,0.03693197934986101,0.1292517006802721,0.1,0.09322033898305085
15174,207769672,8,16,18,"{'20-30': 7.2, '10-20': 10, '0-10': 7.5}","{'20-30': -0.6499999999999999, '10-20': 1.0499999999999994, '0-10': 0.25}",207769672,KR,27524,15080,11790,"{'20-30': -91.19999999999999, '10-20': -333.95000000000005, '0-10': -87.95000000000002}","{'20-30': 653.8, '10-20': 436.59999999999997, '0-10': 335.5}",4,2,False,False,True,False,False,True,1519455115249,2050,3124953286,8.4.218.8787,16318,"{'20-30': 418.1, '10-20': 525.7, '0-10': 351.2}",14350,MASTER,0,3087,3140,3006,3031,3036,3094,3363,2,8,BOTTOM,775,3,2,558,89317,7588,7875,11,/v1/stats/player_history/KR/207769672,33,2,23,0,8000,8200.0,161857,23314,7439,0,420,DUO_CARRY,11,0,4,7,46311009,ArrrrrrrrrrT,11,255268,31723,15961,5201,284,0,0,433,3,0,4094,820,646,2,0,29,2,8,15,True,"{'20-30': -6.800000000000011, '10-20': 83.45000000000005, '0-10': 6.899999999999977}","{'20-30': 480.6, '10-20': 513.3, '0-10': 323.6}",Assassin,Tristana,4,9,Marksman,3,5,adc,0.1568627450980392,0.2,0.23700454604871388,0.2962962962962963,0.17675007918910357,0.203817717128383,0.19204038334918427,0.10122699386503067,0.3372596985318325,0.35726982959421355,0.11291571166193591,0.1746031746031746,0.2626635550561613,0.2673436709927524,0.14442644756725453,0.12331657814871017,0.322360953461975,0.27284183994959044,0.07623410237789323,0.0844229383300731,0.17835450027609057,0.14427860696517414,0.1,0.1485148514851485,0.18604651162790697,0.2222222222222222,0.4685331418999761,0.27586206896551724,0.2552607502287283,0.20659736678972251,0.16237660731371498,0.14102564102564102,0.3137230474551659,0.29915440185800624,0.1005479075430569,0.05092592592592592,0.40442119451423786,0.31370696780703544,0.11564049274924822,0.08829471182412359,0.6091703056768559,0.027551539832018326,0.013457410615379053,0.02849101838018137,0.036648323594485735,0.14285714285714285,0.06666666666666667,0.11864406779661017
15179,209221772,6,15,81,"{'20-30': 7.6, '10-20': 7.6, '0-10': 7.199999999999999}","{'20-30': 0.6499999999999999, '10-20': -1.0499999999999994, '0-10': -0.25}",209221772,KR,5269,2813,8442,"{'20-30': 91.19999999999999, '10-20': 333.95000000000005, '0-10': 87.95000000000002}","{'20-30': 501.70000000000005, '10-20': 760.1, '0-10': 276.9}",4,1,False,False,False,False,False,False,1519455115249,2050,3124953286,8.4.218.8787,13696,"{'20-30': 447.20000000000005, '10-20': 351.29999999999995, '0-10': 324.5}",13482,DIAMOND,0,3153,3036,3042,1055,3078,3158,3363,1,3,BOTTOM,0,2,2,533,37869,4498,9054,11,/v1/stats/player_history/KR/209221772,25,1,21,0,8300,8200.0,154691,19723,11438,0,420,DUO_CARRY,11,0,7,4,58280450,게임좋아공부싫어,13,197647,26239,20947,1809,268,0,0,371,3,0,5086,2016,454,1,0,34,3,12,18,False,"{'20-30': 6.800000000000011, '10-20': -83.45000000000005, '0-10': -6.899999999999977}","{'20-30': 530.8, '10-20': 356.4, '0-10': 296.6}",Mage,Ezreal,7,7,Marksman,2,6,adc,0.11764705882352941,0.2,0.19892231049657957,0.1111111111111111,0.16883116883116883,0.08641549906439688,0.22079157217060502,0.07668711656441718,0.32232798103009264,0.30224040701238203,0.17361606532991303,0.20634920634920634,0.20337317511864045,0.22112759143772123,0.1895433116465936,0.04289169195751138,0.30419977298524403,0.23377441713925645,0.09470606856227771,0.20755688252856996,0.12534511319712865,0.1691542288557214,0.15,0.1782178217821782,0.13953488372093023,0.2222222222222222,0.3430485762144054,0.10344827586206896,0.24382433668801465,0.08759402670219557,0.18989055097897364,0.10683760683760683,0.2997740044809792,0.25307636046347504,0.17908132204787808,0.06018518518518518,0.31016573754187604,0.25483860579451895,0.17353040207131162,0.03071046600458365,0.574235807860262,0.023606515652837872,0.016718219440600358,0.07004621104200688,0.025755942588075113,0.17687074829931973,0.1,0.1440677966101695
15151,210172031,13,18,51,"{'30-end': 6.6, '20-30': 10.4, '10-20': 9.1, '0-10': 9.399999999999999}","{'30-end': -0.3000000000000007, '20-30': 3.250000000000001, '10-20': 0.8500000000000001, '0-10': 0.6999999999999997}",210172031,KR,32621,11723,16341,"{'30-end': 188.89999999999986, '20-30': 158.29999999999984, '10-20': -36.099999999999966, '0-10': -53.35000000000001}","{'30-end': 713.8, '20-30': 797.6, '10-20': 336.3, '0-10': 83.80000000000001}",3,1,False,False,True,False,True,False,1519622671713,2222,3127331967,8.4.218.8787,19640,"{'30-end': 487.8, '20-30': 624.8, '10-20': 559.0999999999999, '0-10': 289.70000000000005}",17050,UNRANKED,0,3139,3031,3094,3036,3087,3006,3363,4,13,BOTTOM,2239,5,2,991,72616,8015,6379,11,/v1/stats/player_history/KR/210172031,44,8,24,0,8000,8200.0,243152,52058,9193,0,420,DUO_CARRY,11,0,7,4,66830153,cr5p br,48,332874,64162,16933,4629,338,0,0,744,3,0,17106,4088,1360,2,0,51,2,17,15,True,"{'30-end': -9.5, '20-30': 91.14999999999998, '10-20': 64.79999999999998, '0-10': 19.69999999999999}","{'30-end': 472.8, '20-30': 721.8, '10-20': 499.3, '0-10': 346.6}",Marksman,Caitlyn,6,8,Marksman,2,2,adc,0.26,0.10344827586206896,0.23468400109933443,0.2826086956521739,0.298314268512944,0.18471243608984306,0.11582808272656292,0.11027568922305764,0.30947102081959826,0.4572347040947178,0.10502324837489861,0.3018867924528302,0.270346613215776,0.34939011108690915,0.11090516112129944,0.08689694011638821,0.3359840954274354,0.28681572860447185,0.32612674445207046,0.35226195605342525,0.13505461767626614,0.2,0.125,0.17857142857142858,0.3023255813953488,0.16666666666666666,0.6275185451064849,0.4482758620689655,0.4533394327538884,0.16796661762937057,0.12746493664091854,0.18803418803418803,0.4719685747488452,0.6679840375707339,0.1349934211818307,0.2222222222222222,0.5313677763819096,0.6619255665167405,0.1269258902344158,0.07858416093710212,0.7270742358078602,0.047340290150165436,0.056229229601043984,0.14203815016851395,0.07715436546207523,0.2925170068027211,0.06666666666666667,0.11864406779661017
15159,206056404,9,16,110,"{'30-end': 7.2, '20-30': 4, '10-20': 8.100000000000001, '0-10': 8.3}","{'30-end': 0.3000000000000007, '20-30': -3.250000000000001, '10-20': -0.8500000000000001, '0-10': -0.6999999999999997}",206056404,KR,15087,5433,24062,"{'30-end': -188.89999999999986, '20-30': -158.29999999999984, '10-20': 36.099999999999966, '0-10': 53.35000000000001}","{'30-end': 939.2, '20-30': 845.4000000000001, '10-20': 584.6, '0-10': 165}",7,2,False,False,False,False,False,False,1519622671713,2222,3127331967,8.4.218.8787,16258,"{'30-end': 476.2, '20-30': 526.9000000000001, '10-20': 432, '0-10': 265.7}",15580,DIAMOND,1,3072,2420,3091,3124,3085,3047,3363,2,7,BOTTOM,529,3,2,637,80721,16068,10940,11,/v1/stats/player_history/KR/206056404,21,1,12,0,8000,8300.0,134590,19711,9751,0,420,DUO_CARRY,11,0,7,4,35930500,5노데라 하루,58,216206,36414,22413,6758,258,0,0,437,3,0,895,635,1721,0,0,47,4,11,18,False,"{'30-end': 9.5, '20-30': -91.14999999999998, '10-20': -64.79999999999998, '0-10': -19.69999999999999}","{'30-end': 426.4, '20-30': 499.1, '10-20': 423, '0-10': 322.7}",Mage,Varus,2,7,Marksman,3,4,adc,0.18,0.2413793103448276,0.19427151170432683,0.15217391304347827,0.1917519566526189,0.2053290260219266,0.1986454342418245,0.05263157894736842,0.17129904213047695,0.17312523055843448,0.11139798704488593,0.36477987421383645,0.17559364761720672,0.19829013286865607,0.1467972229499607,0.12686314999061385,0.25646123260437376,0.1684656900539707,0.017063219705635627,0.05471779405428694,0.17090367428003972,0.1843137254901961,0.25,0.21428571428571427,0.20930232558139536,0.3888888888888889,0.4656616415410385,0.2413793103448276,0.2913998170173833,0.1867141310683654,0.23390352617208465,0.08974358974358974,0.2606462187114946,0.25292238204611656,0.14595157204296852,0.26851851851851855,0.3405242357621441,0.36406281868243934,0.1905513822289821,0.11472710296239708,0.5524017467248908,0.02780605752099771,0.0029419595751744632,0.022063166672457522,0.0976343110001702,0.2653061224489796,0.13333333333333333,0.1440677966101695
