,accountId,assists,champLevel,champion,creepsPerMinDeltas,csDiffPerMinDeltas,currentAccountId,currentPlatformId,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,damageTakenDiffPerMinDeltas,damageTakenPerMinDeltas,deaths,doubleKills,firstBloodAssist,firstBloodKill,firstInhibitorAssist,firstInhibitorKill,firstTowerAssist,firstTowerKill,gameCreation,gameDuration,gameId,gameVersion,goldEarned,goldPerMinDeltas,goldSpent,highestAchievedSeasonTier,inhibitorKills,item0,item1,item2,item3,item4,item5,item6,killingSprees,kills,lane,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicalDamageTaken,map,matchHistoryUri,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,neutralMinionsKilledTeamJungle,pentaKills,perkPrimaryStyle,perkSubStyle,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,queueId,role,season,sightWardsBoughtInGame,spell_1,spell_2,summonerId,summonerName,timeCCingOthers,totalDamageDealt,totalDamageDealtToChampions,totalDamageTaken,totalHeal,totalMinionsKilled,totalPlayerScore,totalScoreRank,totalTimeCrowdControlDealt,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,xpDiffPerMinDeltas,xpPerMinDeltas,champion_subclass,champion_name,champion_defense,champion_attack,champion_class,champion_difficulty,champion_magic,position,rel_assists,rel_deaths,rel_goldEarned,rel_kills,rel_longestTimeSpentLiving,rel_magicDamageDealt,rel_magicalDamageTaken,rel_neutralMinionsKilled,rel_physicalDamageDealt,rel_physicalDamageDealtToChampions,rel_physicalDamageTaken,rel_timeCCingOthers,rel_totalDamageDealt,rel_totalDamageDealtToChampions,rel_totalDamageTaken,rel_totalHeal,rel_totalMinionsKilled,rel_totalTimeCrowdControlDealt,rel_trueDamageDealt,rel_trueDamageDealtToChampions,rel_trueDamageTaken,rel_visionScore,rel_visionWardsBoughtInGame,rel_wardsPlaced,norm_assists,norm_deaths,norm_goldEarned,norm_kills,norm_longestTimeSpentLiving,norm_magicDamageDealt,norm_magicalDamageTaken,norm_neutralMinionsKilled,norm_physicalDamageDealt,norm_physicalDamageDealtToChampions,norm_physicalDamageTaken,norm_timeCCingOthers,norm_totalDamageDealt,norm_totalDamageDealtToChampions,norm_totalDamageTaken,norm_totalHeal,norm_totalMinionsKilled,norm_totalTimeCrowdControlDealt,norm_trueDamageDealt,norm_trueDamageDealtToChampions,norm_trueDamageTaken,norm_visionScore,norm_visionWardsBoughtInGame,norm_wardsPlaced
15224,2782440,4,15,28,"{'20-30': 0.3, '10-20': 0.2, '0-10': 0.6}","{'20-30': -0.7, '10-20': -0.30000000000000004, '0-10': -0.09999999999999998}",2782440,KR,22982,0,13636,"{'20-30': -526.4, '10-20': -133.79999999999995, '0-10': -128.1}","{'20-30': 1285.1, '10-20': 532.6, '0-10': 494.20000000000005}",6,1,False,False,False,False,False,False,1519365972830,2003,3123691148,8.4.218.8787,11376,"{'20-30': 351.8, '10-20': 302.9, '0-10': 314.7}",9985,GOLD,0,3152,3916,3020,1058,1402,1052,3340,1,5,JUNGLE,764,3,2,835,111846,10268,8353,11,/v1/stats/player_history/KR/2782440,135,8,94,0,8100,8200.0,14475,531,16540,0,420,NONE,11,0,11,4,3691479,hubing,9,137207,11826,25723,6585,16,0,0,506,1,0,10885,1027,830,0,0,27,1,1,14,True,"{'20-30': -7.400000000000034, '10-20': -76.5, '0-10': -9.900000000000006}","{'20-30': 499.29999999999995, '10-20': 381.1, '0-10': 346.79999999999995}",Mage,Evelynn,10,4,Assassin,2,7,jg,0.1111111111111111,0.2608695652173913,0.16057137211173372,0.13157894736842105,0.17089643880474825,0.237730459068939,0.1347649317543803,0.38461538461538464,0.03364534206678862,0.007585497557212651,0.27093434674354605,0.06666666666666667,0.12622144293554755,0.0849587275587836,0.20445747987059956,0.19535421858312566,0.019115890083632018,0.2316849816849817,0.058417233754803254,0.18270770325564847,0.2986685858222382,0.13705583756345177,0.045454545454545456,0.16091954022988506,0.09302325581395349,0.3333333333333333,0.23201722900215363,0.1724137931034483,0.3819762122598353,0.2587087462181142,0.17353153952066463,0.5769230769230769,0.026835264644451236,0.0068135449681136365,0.2792757408534789,0.041666666666666664,0.21129900806113902,0.10012130060006226,0.22898210823299933,0.11179017061370003,0.024017467248908297,0.032196487655892086,0.03578014522432853,0.03568326326395886,0.04708685539229591,0.1292517006802721,0.03333333333333333,0.11016949152542373
15176,208141093,10,15,76,"{'20-30': 1, '10-20': 2.9, '0-10': 0.8}","{'20-30': 0, '10-20': 2.3, '0-10': 0.7}",208141093,KR,15975,2606,16299,"{'20-30': 5.699999999999989, '10-20': 119.80000000000001, '0-10': -6.900000000000034}","{'20-30': 952.5, '10-20': 1055, '0-10': 586.0999999999999}",6,1,False,False,False,False,False,False,1519455115249,2050,3124953286,8.4.218.8787,11855,"{'20-30': 351.20000000000005, '10-20': 412.1, '0-10': 273.8}",10250,DIAMOND,0,2032,3108,3047,3100,1414,3174,3340,1,3,JUNGLE,926,2,2,707,148811,10622,8030,11,/v1/stats/player_history/KR/208141093,148,24,87,0,8100,8300.0,29298,896,21018,0,420,NONE,11,0,11,4,50010851,JustLikeThat,3,189310,12385,30328,18949,49,0,0,223,5,0,11200,867,1279,0,0,50,3,9,28,False,"{'20-30': 35.10000000000002, '10-20': 85.39999999999998, '0-10': -11.800000000000011}","{'20-30': 405.4, '10-20': 560.5999999999999, '0-10': 335}",Fighter,Nidalee,8,5,Assassin,4,7,jg,0.19607843137254902,0.3,0.17218341055322361,0.1111111111111111,0.22394678492239467,0.33958057596640956,0.19582022581510475,0.4539877300613497,0.061047929021207786,0.013730538188059336,0.31902976578983316,0.047619047619047616,0.19479463782253117,0.10437384122703523,0.27442925266710705,0.44928395295902884,0.05561861520998865,0.1405166981726528,0.20855445692047,0.08926181406362607,0.35311982330204306,0.24875621890547264,0.15,0.27722772277227725,0.23255813953488372,0.3333333333333333,0.2549413735343384,0.10344827586206896,0.3234217749313815,0.34421174859596043,0.1659937924435836,0.6324786324786325,0.055689111142688624,0.011497055162768019,0.3672158834272697,0.013888888888888888,0.2965282139865997,0.10612192320491214,0.2824484203926668,0.32168746286393346,0.09606986899563319,0.014189361160600662,0.03681558351056311,0.030124040165386886,0.07255914222499575,0.2857142857142857,0.1,0.2288135593220339
14273,205940681,8,17,121,"{'30-end': 2.4, '20-30': 1, '10-20': 1.4, '0-10': 0}","{'30-end': -1, '20-30': -0.8, '10-20': 0.39999999999999997, '0-10': -0.5}",205940681,KR,13414,1845,18193,"{'30-end': 30.59999999999991, '20-30': -128.89999999999992, '10-20': -349.5, '0-10': 99.80000000000001}","{'30-end': 1066, '20-30': 844.9000000000001, '10-20': 767.4, '0-10': 650.3}",2,1,False,True,False,False,False,False,1520169395033,2221,3135302440,8.4.218.8787,16208,"{'30-end': 322.2, '20-30': 433.1, '10-20': 504.7, '0-10': 298.6}",13300,CHALLENGER,0,1412,3147,3026,2055,3071,3117,3364,2,15,JUNGLE,0,10,2,1220,7225,1843,12992,11,/v1/stats/player_history/KR/205940681,162,29,77,0,8100,8200.0,177627,23765,18921,0,420,NONE,11,0,11,4,35030847,담원 크러쉬,14,196706,27153,32537,16543,36,0,0,766,1,0,11853,1544,624,0,0,76,11,12,35,True,"{'30-end': -145, '20-30': -110.49999999999997, '10-20': 109.80000000000001, '0-10': -27.400000000000006}","{'30-end': 569.6, '20-30': 371.8, '10-20': 517.8, '0-10': 319}",Fighter,Khazix,6,9,Assassin,4,3,jg,0.1951219512195122,0.09523809523809523,0.21703848522992045,0.6521739130434783,0.2465642683912692,0.02203476155185717,0.3551570487411498,0.41012658227848103,0.2232703888663334,0.31683287116040953,0.24000761083275196,0.15217391304347827,0.15271315723075132,0.24900044017313477,0.2695044272709954,0.42522619782027554,0.033271719038817,0.25974906748050186,0.07200568609821884,0.38227283981183463,0.11746987951807229,0.2620689655172414,0.4583333333333333,0.28,0.18604651162790697,0.1111111111111111,0.46326872457525725,0.5172413793103449,0.5580969807868252,0.016712003034760968,0.28179038995589367,0.6923076923076923,0.3444202854823671,0.30494142404372987,0.32603444551363875,0.06481481481481481,0.30862646566164154,0.26464999946327167,0.30809599554157135,0.28084203378321027,0.06768558951965066,0.04874013743955205,0.03896206351345577,0.053646502901219556,0.035400238270834515,0.46258503401360546,0.36666666666666664,0.288135593220339
14237,209483892,4,16,121,"{'30-end': 1.1, '20-30': 0.2, '10-20': 0.1, '0-10': 0}","{'30-end': 0.29999999999999993, '20-30': -0.39999999999999997, '10-20': -0.6, '0-10': -0.7}",209483892,KR,8530,2447,24858,"{'30-end': -266.70000000000005, '20-30': -303.7, '10-20': 361.6, '0-10': 83.1}","{'30-end': 1327.1, '20-30': 1128.7, '10-20': 1165.5, '0-10': 579}",12,0,False,False,False,False,False,False,1520256489768,2458,3135928790,8.4.218.8787,11215,"{'30-end': 306.3, '20-30': 266.6, '10-20': 269, '0-10': 215.8}",11095,DIAMOND,0,1412,3026,3147,3134,3111,1036,3364,0,3,JUNGLE,0,0,1,473,5323,1172,18775,11,/v1/stats/player_history/KR/209483892,124,6,99,0,8100,8200.0,122987,12121,24078,0,420,NONE,11,0,4,11,60781537,mcmglllc,5,139515,14444,44145,13129,15,0,0,316,1,0,11204,1151,1292,1,0,68,3,12,36,False,"{'30-end': -159.79999999999998, '20-30': -135.1, '10-20': -97.4, '0-10': -106.69999999999999}","{'30-end': 442.70000000000005, '20-30': 319.1, '10-20': 344, '0-10': 304}",Fighter,Khazix,6,9,Assassin,4,3,jg,0.07142857142857142,0.41379310344827586,0.12882660387111597,0.06666666666666667,0.11455558246548801,0.011612230473215298,0.2498935207368365,0.31155778894472363,0.1681875804274604,0.1165424739195231,0.2286522829142293,0.029940119760479042,0.11257383081044443,0.07720802441749207,0.2366986053843638,0.276761246258274,0.014111006585136407,0.024976288333860258,0.22556875377491445,0.1323140590872514,0.21313097987462884,0.24199288256227758,0.1875,0.3,0.09302325581395349,0.6666666666666666,0.22431203637233788,0.10344827586206896,0.21637694419030193,0.012312524865610052,0.4167464003173788,0.5299145299145299,0.23806029272356719,0.15553103306686514,0.4273089687947998,0.023148148148148147,0.21507439541457288,0.1282243953755488,0.442870577854149,0.22288430523724642,0.021834061135371178,0.020106897429371343,0.03682873193324546,0.03999166116535214,0.07329664718897147,0.40816326530612246,0.1,0.2966101694915254
14224,204062750,5,15,121,"{'20-30': 1.2, '10-20': 0.30000000000000004, '0-10': 0.1}","{'20-30': 0.10000000000000009, '10-20': -1.4, '0-10': -0.3}",204062750,KR,6556,0,18274,"{'20-30': -449.4000000000001, '10-20': 136.7, '0-10': 198.90000000000003}","{'20-30': 1173, '10-20': 1088, '0-10': 832.3}",8,0,False,False,False,False,False,False,1520268485636,1961,3136125090,8.4.218.8787,10314,"{'20-30': 322.5, '10-20': 355, '0-10': 245.4}",10150,CHALLENGER,0,3142,2420,2055,3117,1412,3147,3364,0,3,JUNGLE,0,0,1,482,6637,1416,10168,11,/v1/stats/player_history/KR/204062750,149,28,103,0,8100,8200.0,141568,13855,23330,0,420,NONE,11,0,11,4,26022557,KSV Life,11,156500,16336,34443,13704,20,0,0,501,1,0,8294,1064,944,0,0,32,1,8,17,False,"{'20-30': -35.10000000000005, '10-20': 2.399999999999949, '0-10': -4.700000000000003}","{'20-30': 544.3, '10-20': 470.59999999999997, '0-10': 337.2}",Fighter,Khazix,6,9,Assassin,4,3,jg,0.1282051282051282,0.36363636363636365,0.15665011163256937,0.1111111111111111,0.09806714140386572,0.02131999588826356,0.16538442770937362,0.4745222929936306,0.2450256850500547,0.21573604060913706,0.28761634716143747,0.15492957746478872,0.16890743333013147,0.1504208025634887,0.23730063040407867,0.20192732738042612,0.021344717182497332,0.31688804554079697,0.22136222910216719,0.2621981271562346,0.37092337917485263,0.17391304347826086,0.05263157894736842,0.19767441860465115,0.11627906976744186,0.4444444444444444,0.18119167264895908,0.10344827586206896,0.22049405306495884,0.015351911991931977,0.21588761055751324,0.6367521367521367,0.2742293085627191,0.1777809143751684,0.4126195479271813,0.05092592592592592,0.2428581710636516,0.14853419496119455,0.33022559184479094,0.23264578558696206,0.03275109170305677,0.03187834054466786,0.02726325443184022,0.03696883360550363,0.05355420661485222,0.16326530612244897,0.03333333333333333,0.13559322033898305
14162,210160162,22,18,121,"{'30-end': 1.7000000000000002, '20-30': 1.5, '10-20': 1.8, '0-10': 0}","{'30-end': -0.20000000000000007, '20-30': 0.6000000000000001, '10-20': 0.5000000000000001, '0-10': -1}",210160162,KR,33752,0,34149,"{'30-end': -102.90000000000009, '20-30': 47.899999999999864, '10-20': -338.19999999999993, '0-10': 186.59999999999997}","{'30-end': 1609.1, '20-30': 1248.1, '10-20': 917.6, '0-10': 859.0999999999999}",9,1,False,False,False,False,False,False,1520436519869,2632,3137815077,8.5.220.3006,16314,"{'30-end': 324.9, '20-30': 341.7, '10-20': 460.7, '0-10': 304.4}",14900,UNRANKED,0,3026,3134,3117,3071,3147,1412,3340,2,8,JUNGLE,0,5,2,592,8446,2288,14803,11,/v1/stats/player_history/KR/210160162,142,14,103,0,8100,8200.0,194367,21047,36805,0,420,NONE,11,0,4,11,66480342,Ria Parapara,23,218756,26749,53409,22296,61,0,0,730,1,0,15942,3414,1801,0,0,97,5,16,51,True,"{'30-end': 39.80000000000004, '20-30': -28, '10-20': 177.19999999999996, '0-10': -39.099999999999994}","{'30-end': 598.1, '20-30': 437.6, '10-20': 544.9, '0-10': 373.20000000000005}",Fighter,Khazix,6,9,Assassin,4,3,jg,0.25,0.1875,0.16878938056759749,0.16,0.20771929824561403,0.01787740242147151,0.21889833641404807,0.34382566585956414,0.20352927748452065,0.13971906159136474,0.27417516519044394,0.11734693877551021,0.1468401536895975,0.10998630773469077,0.24234957800163354,0.37868134107816165,0.05178268251273345,0.1594234549028172,0.2557758952637659,0.1707,0.09728824546240276,0.2930513595166163,0.14705882352941177,0.30177514792899407,0.5116279069767442,0.5,0.46834170854271356,0.27586206896551724,0.2708142726440988,0.01953627372063545,0.32405311427971345,0.6068376068376068,0.37700568589932004,0.2700653125120296,0.6772451444394257,0.10648148148148148,0.34469548262144056,0.26031323464688644,0.5504301687004377,0.37850776674306086,0.1222707423580786,0.046449478238737595,0.05240303860048189,0.1186199228657795,0.10217280308617462,0.6054421768707483,0.16666666666666666,0.423728813559322
14118,207425425,15,16,121,"{'20-30': 2.5, '10-20': 1.8, '0-10': 0}","{'20-30': 1.8000000000000003, '10-20': 0.9, '0-10': -0.5}",207425425,KR,32477,801,19615,"{'20-30': -802.8, '10-20': -172.5999999999999, '0-10': 140.69999999999993}","{'20-30': 1131.3, '10-20': 1065.6, '0-10': 824.0999999999999}",8,0,False,False,False,False,True,False,1520518061841,1931,3138730787,8.5.220.3006,10852,"{'20-30': 323.9, '10-20': 372.6, '0-10': 262.9}",10475,DIAMOND,0,3142,2055,1036,3147,1412,3047,3364,0,2,JUNGLE,0,0,1,931,5881,462,12609,11,/v1/stats/player_history/KR/207425425,113,4,80,0,8100,8200.0,143606,15267,21153,0,420,NONE,11,0,11,4,44120134,shirushi,11,162921,16242,34223,12175,43,0,0,456,1,0,13433,512,461,0,0,40,6,6,26,False,"{'20-30': -85.59999999999997, '10-20': 20.799999999999983, '0-10': -71.4}","{'20-30': 568.3, '10-20': 457.79999999999995, '0-10': 360.8}",Fighter,Khazix,6,9,Assassin,4,3,jg,0.2777777777777778,0.27586206896551724,0.1548869604932633,0.06060606060606061,0.2070729537366548,0.023993602793881855,0.2557035955466326,0.3383233532934132,0.2409949520715302,0.1977257715669641,0.232795906014417,0.10576923076923077,0.18139236602465683,0.13099020920367113,0.24038576355475638,0.29691501036458967,0.04971098265895954,0.1737142857142857,0.2349658912016792,0.08836727649292371,0.21069469835466179,0.2094240837696335,0.5454545454545454,0.25,0.3488372093023256,0.4444444444444444,0.20693945920076573,0.06896551724137931,0.42589204025617566,0.013603223508294704,0.2728524421833796,0.4829059829059829,0.2781963961403625,0.19589904148435194,0.3698670489581901,0.05092592592592592,0.25336153423366836,0.14752514572173858,0.3276712837720164,0.20668873610050081,0.08296943231441048,0.029015016543649783,0.04415569047298164,0.017789513915430318,0.0261530606456005,0.21768707482993196,0.2,0.211864406779661
5447,203866250,7,14,121,"{'20-30': 0.5, '10-20': 0.4, '0-10': 0.1}","{'20-30': -2.9, '10-20': -1, '0-10': -0.5}",203866250,KR,6179,1219,16685,"{'20-30': -35.69999999999982, '10-20': -176.69999999999993, '0-10': -78.80000000000001}","{'20-30': 1297.9, '10-20': 929.6, '0-10': 595.4}",9,0,False,False,False,False,False,False,1521063989721,2062,3144773915,8.5.220.3006,10299,"{'20-30': 335.8, '10-20': 391.4, '0-10': 169.2}",9675,PLATINUM,0,3142,3147,1412,1036,2055,3117,3364,1,6,JUNGLE,0,5,1,763,5355,1266,9941,11,/v1/stats/player_history/KR/203866250,78,0,65,0,8100,8300.0,89657,12887,20561,0,420,NONE,11,0,11,4,24953043,독서 영화 시청,10,99361,14980,33218,10059,11,0,0,264,1,0,4348,826,2714,0,0,35,2,7,20,False,"{'20-30': -176.5, '10-20': 78.19999999999996, '0-10': -239.7}","{'20-30': 409, '10-20': 551.3, '0-10': 173.6}",Fighter,Khazix,6,9,Assassin,4,3,jg,0.2692307692307692,0.3333333333333333,0.13920201119130646,0.15,0.22001153402537485,0.021387149338615886,0.22088166022308137,0.22413793103448276,0.12284355488205062,0.15853118464755814,0.24350987730351983,0.10101010101010101,0.09970088030094593,0.1251953565727562,0.24266553678919994,0.30795371050698017,0.012910798122065728,0.04086054790280142,0.26581891544904324,0.28982456140350876,0.3648339830622396,0.17073170731707318,0.1,0.19801980198019803,0.16279069767441862,0.5,0.18047379755922469,0.20689655172413793,0.34903934126258007,0.01238654342576401,0.210590184593125,0.3333333333333333,0.17318147576436513,0.1653599887082494,0.3582411971485242,0.046296296296296294,0.14939116153685092,0.13397812295372327,0.3160027400759326,0.17076648841354725,0.013100436681222707,0.016798167472639347,0.014292335455707895,0.02869948924637782,0.15396834401770013,0.1836734693877551,0.06666666666666667,0.16101694915254236
5425,210160269,12,15,121,"{'20-30': 0.4, '10-20': 0.7, '0-10': 0.6}","{'20-30': -2.4, '10-20': -0.7, '0-10': -0.5000000000000001}",210160269,KR,12237,0,20719,"{'20-30': -910.2999999999998, '10-20': 264.20000000000005, '0-10': 96.70000000000002}","{'20-30': 1530.6, '10-20': 1000.1, '0-10': 765.1}",10,1,False,False,False,False,False,False,1521128437102,1961,3145631655,8.5.220.3006,12748,"{'20-30': 385.4, '10-20': 340.4, '0-10': 372.79999999999995}",12125,UNRANKED,0,1412,3026,0,3117,3147,3071,3340,2,9,JUNGLE,0,5,2,332,5522,1648,9415,11,/v1/stats/player_history/KR/210160269,128,4,92,0,8100,8200.0,127638,18196,25557,0,420,NONE,11,0,11,4,66470340,KeydStars Revo,11,140425,20542,35386,11218,17,0,0,571,1,0,7264,698,414,0,0,46,2,3,27,True,"{'20-30': 81.1, '10-20': -143.89999999999998, '0-10': 51.5}","{'20-30': 571.7, '10-20': 384.2, '0-10': 358.6}",Fighter,Khazix,6,9,Assassin,4,3,jg,0.2033898305084746,0.2702702702702703,0.1749344750456273,0.18,0.1136986301369863,0.040772025163176705,0.22958374990855665,0.4383561643835616,0.18142380976070843,0.16176954330064633,0.262788808571458,0.14473684210526316,0.16144515980685215,0.15435016192415488,0.2384228221834426,0.39487486359956353,0.02216427640156454,0.31722222222222224,0.23566816987314668,0.15101687581133708,0.040784159196138314,0.2598870056497175,0.08695652173913043,0.35526315789473684,0.27906976744186046,0.5555555555555556,0.29767887054319214,0.3103448275862069,0.15187557182067704,0.012772827786567482,0.19831509182982895,0.5470085470085471,0.24711373939855216,0.23348260685460587,0.45635396005577267,0.05092592592592592,0.21656295801926298,0.1936837811436607,0.3411742850840019,0.19044223750106104,0.026200873362445413,0.03633240010180708,0.02387753559113665,0.02425211076752024,0.023486696545072898,0.2585034013605442,0.06666666666666667,0.22033898305084745
5416,207466087,10,15,121,"{'20-30': 0.7, '10-20': 0.30000000000000004, '0-10': 0.1}","{'20-30': 0.5, '10-20': -0.6, '0-10': -0.3}",207466087,KR,19113,1135,14644,"{'20-30': -258.1, '10-20': 217.2, '0-10': 82.19999999999996}","{'20-30': 1246.5, '10-20': 1037.5, '0-10': 731.7}",6,0,False,False,True,False,False,False,1521130686528,1838,3145626052,8.5.220.3006,13360,"{'20-30': 551.6, '10-20': 326.20000000000005, '0-10': 354.6}",12130,MASTER,2,1412,3117,3814,3147,3134,3133,3364,3,13,JUNGLE,0,4,1,582,5690,1542,8605,11,/v1/stats/player_history/KR/207466087,107,13,73,0,8100,8200.0,117660,21595,21755,0,420,NONE,11,0,11,4,44101400,우울한급식충,13,130742,24491,31344,10794,11,0,0,358,1,0,7391,1353,984,0,0,24,3,8,16,True,"{'20-30': 285.4, '10-20': 5.699999999999989, '0-10': 14.700000000000017}","{'20-30': 630.3, '10-20': 314.9, '0-10': 378.20000000000005}",Fighter,Khazix,6,9,Assassin,4,3,jg,0.2127659574468085,0.2,0.21016533215875663,0.41935483870967744,0.23178016726403824,0.017760547861399058,0.23528285893965495,0.370242214532872,0.2676572822071375,0.3901535682023487,0.3085071684841953,0.09701492537313433,0.138073714225367,0.2889793510324484,0.2852748172890519,0.35621411127978353,0.014725568942436412,0.1826530612244898,0.03953886481570641,0.3142857142857143,0.3539568345323741,0.18181818181818182,0.23076923076923078,0.24242424242424243,0.23255813953488372,0.3333333333333333,0.3269681742043551,0.4482758620689655,0.26623970722781337,0.013161425227375765,0.17941238244148328,0.45726495726495725,0.22769097205325006,0.27709699357140105,0.38168928339977615,0.06018518518518518,0.2007236704355109,0.23607458376718873,0.2942446794923893,0.18324420677361855,0.013100436681222707,0.022779333163654873,0.02429499801130107,0.04701018032729926,0.055823452657854426,0.10884353741496598,0.1,0.1271186440677966
