,accountId,assists,champLevel,champion,creepsPerMinDeltas,csDiffPerMinDeltas,currentAccountId,currentPlatformId,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,damageTakenDiffPerMinDeltas,damageTakenPerMinDeltas,deaths,doubleKills,firstBloodAssist,firstBloodKill,firstInhibitorAssist,firstInhibitorKill,firstTowerAssist,firstTowerKill,gameCreation,gameDuration,gameId,gameVersion,goldEarned,goldPerMinDeltas,goldSpent,highestAchievedSeasonTier,inhibitorKills,item0,item1,item2,item3,item4,item5,item6,killingSprees,kills,lane,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicalDamageTaken,map,matchHistoryUri,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,neutralMinionsKilledTeamJungle,pentaKills,perkPrimaryStyle,perkSubStyle,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,queueId,role,season,sightWardsBoughtInGame,spell_1,spell_2,summonerId,summonerName,timeCCingOthers,totalDamageDealt,totalDamageDealtToChampions,totalDamageTaken,totalHeal,totalMinionsKilled,totalPlayerScore,totalScoreRank,totalTimeCrowdControlDealt,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,xpDiffPerMinDeltas,xpPerMinDeltas,champion_subclass,champion_name,champion_defense,champion_attack,champion_class,champion_difficulty,champion_magic,position,rel_assists,rel_deaths,rel_goldEarned,rel_kills,rel_longestTimeSpentLiving,rel_magicDamageDealt,rel_magicalDamageTaken,rel_neutralMinionsKilled,rel_physicalDamageDealt,rel_physicalDamageDealtToChampions,rel_physicalDamageTaken,rel_timeCCingOthers,rel_totalDamageDealt,rel_totalDamageDealtToChampions,rel_totalDamageTaken,rel_totalHeal,rel_totalMinionsKilled,rel_totalTimeCrowdControlDealt,rel_trueDamageDealt,rel_trueDamageDealtToChampions,rel_trueDamageTaken,rel_visionScore,rel_visionWardsBoughtInGame,rel_wardsPlaced,norm_assists,norm_deaths,norm_goldEarned,norm_kills,norm_longestTimeSpentLiving,norm_magicDamageDealt,norm_magicalDamageTaken,norm_neutralMinionsKilled,norm_physicalDamageDealt,norm_physicalDamageDealtToChampions,norm_physicalDamageTaken,norm_timeCCingOthers,norm_totalDamageDealt,norm_totalDamageDealtToChampions,norm_totalDamageTaken,norm_totalHeal,norm_totalMinionsKilled,norm_totalTimeCrowdControlDealt,norm_trueDamageDealt,norm_trueDamageDealtToChampions,norm_trueDamageTaken,norm_visionScore,norm_visionWardsBoughtInGame,norm_wardsPlaced
15192,2391217,7,14,72,"{'20-30': 1.8, '10-20': 1.2, '0-10': 0.2}","{'20-30': 0.8, '10-20': -0.8, '0-10': -0.19999999999999998}",2391217,KR,5167,0,37788,"{'20-30': -1105.6, '10-20': -229.7, '0-10': -284}","{'20-30': 683, '10-20': 987.2, '0-10': 513.6}",5,0,False,False,False,False,False,False,1519388962838,1895,3123996909,8.4.218.8787,9980,"{'20-30': 275.6, '10-20': 347.9, '0-10': 291.1}",9575,CHALLENGER,0,3111,3800,2055,2031,3194,1401,3364,0,1,JUNGLE,0,0,1,619,55193,3557,6220,11,/v1/stats/player_history/KR/2391217,136,1,99,0,8100,8200.0,80910,4405,17750,0,420,NONE,11,0,11,4,3153049,ROX Mightybear,45,145646,10310,25070,5928,35,0,0,1334,1,0,9542,2346,1100,0,0,33,5,2,10,False,"{'20-30': -255.50000000000003, '10-20': -111.19999999999999, '0-10': 72.39999999999998}","{'20-30': 322.29999999999995, '10-20': 447.5, '0-10': 423.1}",Tank,Skarner,5,7,Fighter,6,5,jg,0.1891891891891892,0.21739130434782608,0.15882362302465108,0.029411764705882353,0.21628232005590498,0.17386086216944133,0.17563675382617044,0.45791245791245794,0.1997610077178706,0.07262505358261614,0.25004578303069575,0.2459016393442623,0.19414470676212656,0.09410025190756088,0.2147139431312093,0.12183742678039255,0.0440251572327044,0.5030165912518854,0.3445138462649384,0.2922272047832586,0.10623913463395789,0.2088607594936709,0.25,0.14705882352941177,0.16279069767441862,0.2777777777777778,0.16520698731754008,0.034482758620689655,0.28316559926806956,0.1276658247055449,0.12375440479802105,0.5811965811965812,0.15615492275079956,0.05652291070534947,0.3030380393158029,0.20833333333333334,0.22510338149078726,0.08384769797224041,0.22140045745335485,0.1006366182836771,0.06550218340611354,0.08488164927462459,0.03136556230873154,0.08151210868281157,0.06240426618256084,0.17006802721088435,0.16666666666666666,0.07627118644067797
15172,209533359,13,15,164,"{'20-30': 1, '10-20': 0.6000000000000001, '0-10': 0.1}","{'20-30': 0, '10-20': -2.3, '0-10': -0.7}",209533359,KR,22504,3482,25487,"{'20-30': -5.699999999999989, '10-20': -119.80000000000001, '0-10': 6.900000000000034}","{'20-30': 946.8, '10-20': 935.2, '0-10': 593}",4,2,False,True,True,False,False,False,1519455115249,2050,3124953286,8.4.218.8787,13919,"{'20-30': 319, '10-20': 406.7, '0-10': 358.4}",12083,DIAMOND,0,1412,2055,2421,3078,3053,3111,3364,4,11,JUNGLE,0,4,2,604,6319,684,10786,11,/v1/stats/player_history/KR/209533359,116,18,69,0,8100,8000.0,117694,20663,19344,0,420,NONE,11,0,11,4,61160937,누구도 날 모를껄,29,151611,27190,31036,12561,25,0,0,408,1,0,27597,5842,906,0,0,63,9,12,31,True,"{'20-30': -35.10000000000002, '10-20': -85.39999999999998, '0-10': 11.800000000000011}","{'20-30': 370.29999999999995, '10-20': 475.2, '0-10': 346.8}",Tank,Camille,4,8,Fighter,6,3,jg,0.2549019607843137,0.2,0.20216118865375957,0.4074074074074074,0.19132087424770353,0.014419697868650449,0.2630282634672129,0.3558282208588957,0.2452377281118858,0.3166452127007478,0.2936203154171916,0.4603174603174603,0.15600343264968453,0.22914208663408056,0.28083573878186274,0.29782340667678303,0.028376844494892167,0.2570888468809074,0.5138819060387688,0.6014619582003501,0.2501380452788515,0.31343283582089554,0.45,0.3069306930693069,0.3023255813953488,0.2222222222222222,0.3537209858817899,0.3793103448275862,0.27630375114364136,0.014616352550402013,0.23030967772047325,0.49572649572649574,0.22775715506484961,0.26513800315655756,0.33434143084385615,0.13425925925925927,0.23486082757537688,0.26504717841922776,0.2906686481905049,0.21324166030048383,0.043668122270742356,0.025960804275897174,0.09071425519116164,0.20298113338660922,0.051398422874000115,0.3741496598639456,0.3,0.2542372881355932
15154,210196288,11,17,5,"{'30-end': 2.2, '20-30': 2.9000000000000004, '10-20': 1.2000000000000002, '0-10': 0.3}","{'30-end': 0, '20-30': -3, '10-20': -1.2999999999999998, '0-10': 0.09999999999999998}",210196288,KR,27972,3608,22590,"{'30-end': 143.79999999999995, '20-30': -445.70000000000005, '10-20': 160.39999999999992, '0-10': 82.1}","{'30-end': 1225, '20-30': 1298.8, '10-20': 977.0999999999999, '0-10': 605.5}",6,0,False,False,False,False,True,False,1519622671713,2222,3127331967,8.4.218.8787,13605,"{'30-end': 405.2, '20-30': 382.70000000000005, '10-20': 332.4, '0-10': 235.89999999999998}",12383,UNRANKED,0,1412,3053,3006,3078,3052,0,3364,1,4,JUNGLE,0,2,1,614,13691,1002,12640,11,/v1/stats/player_history/KR/210196288,140,20,79,0,8200,8100.0,183396,17305,26025,0,420,NONE,11,0,11,4,66800180,ham su tini xiao,21,217388,20510,40581,20474,76,0,0,753,1,0,20300,2202,1915,2,0,42,5,9,7,True,"{'30-end': -63.60000000000002, '20-30': -237.89999999999998, '10-20': -119.20000000000002, '0-10': -133.8}","{'30-end': 453.4, '20-30': 546.1, '10-20': 428.6, '0-10': 309.4}",Assassin,XinZhao,2,8,Fighter,6,3,jg,0.22,0.20689655172413793,0.16257005269635666,0.08695652173913043,0.1848284166164961,0.03482563019866202,0.22951355473644072,0.3508771929824561,0.2334167406981273,0.15199290319180705,0.2973164406566666,0.1320754716981132,0.17655361954899187,0.11168590720975823,0.2657911972753471,0.3843439083912146,0.07554671968190854,0.2902852737085582,0.38702051399374665,0.1897457992244722,0.19016881827209534,0.16470588235294117,0.3125,0.08333333333333333,0.2558139534883721,0.3333333333333333,0.33869346733668343,0.13793103448275862,0.2808783165599268,0.031668378345870225,0.27357587920935333,0.5982905982905983,0.3556499853034783,0.22204970936573723,0.4655446672296302,0.09722222222222222,0.3424577313651591,0.19334027501959059,0.40149078707520114,0.3475766064001358,0.15502183406113537,0.04791295495036905,0.06672824511289564,0.0765088078940968,0.10864015430873092,0.23129251700680273,0.16666666666666666,0.05084745762711865
15157,694099,8,18,64,"{'30-end': 2.2, '20-30': 5.9, '10-20': 2.5, '0-10': 0.2}","{'30-end': 0, '20-30': 3, '10-20': 1.2999999999999998, '0-10': -0.09999999999999998}",694099,KR,10683,2633,43805,"{'30-end': -143.79999999999995, '20-30': 445.70000000000005, '10-20': -160.39999999999992, '0-10': -82.1}","{'30-end': 1081.2, '20-30': 1744.5, '10-20': 816.7, '0-10': 523.4}",6,1,False,False,False,False,False,False,1519622671713,2222,3127331967,8.4.218.8787,18018,"{'30-end': 535.8, '20-30': 617.6, '10-20': 437.79999999999995, '0-10': 356.7}",17325,PLATINUM,0,3074,3071,3156,3047,1412,3026,3340,3,11,JUNGLE,0,3,2,610,56018,2705,8993,11,/v1/stats/player_history/KR/694099,169,22,118,0,8100,8000.0,200233,23084,28069,0,420,NONE,11,0,11,4,1561704,KaBuM Ranger,28,266552,27595,40521,12069,97,0,0,597,1,0,10300,1804,3458,3,0,59,4,2,31,False,"{'30-end': 63.60000000000002, '20-30': 237.89999999999998, '10-20': 119.20000000000002, '0-10': 133.8}","{'30-end': 517, '20-30': 784, '10-20': 547.8, '0-10': 443.20000000000005}",Assassin,LeeSin,6,8,Fighter,5,3,jg,0.16,0.20689655172413793,0.2153022572203568,0.2391304347826087,0.18362432269717038,0.14249230534428814,0.1632923574165199,0.42355889724310775,0.2548459848644906,0.20275089149261336,0.32066763392092124,0.1761006289308176,0.2164826043664916,0.15026682639947725,0.2653982184962012,0.22656279331706403,0.09642147117296222,0.23014649190439476,0.19637001448943797,0.15545023696682464,0.3433962264150943,0.23137254901960785,0.25,0.36904761904761907,0.18604651162790697,0.3333333333333333,0.5498923187365399,0.3793103448275862,0.2790484903934126,0.12957411570951416,0.18846701360528342,0.7222222222222222,0.38842420195940647,0.29620314885863497,0.505685277194085,0.12962962962962962,0.4228793708123953,0.26939467780199017,0.4007941576008081,0.20488922841864018,0.20087336244541484,0.037986765080173075,0.03385718840703572,0.06268024043639901,0.19617632041754127,0.3469387755102041,0.13333333333333333,0.2542372881355932
15111,489826,5,14,24,"{'20-30': 1.5, '10-20': 1.7, '0-10': 0.8}","{'20-30': -0.19999999999999996, '10-20': -0.1000000000000002, '0-10': 0.5}",489826,KR,17016,0,19343,"{'20-30': 343.70000000000005, '10-20': -119.89999999999998, '0-10': -121.89999999999998}","{'20-30': 1316.4, '10-20': 765.1, '0-10': 505.1}",7,1,False,False,False,False,False,False,1519655875722,1919,3128113592,8.4.218.8787,10467,"{'20-30': 375.4, '10-20': 312.9, '0-10': 265.4}",10158,DIAMOND,0,3047,2055,1413,3155,1011,3078,3340,1,5,JUNGLE,0,4,4,494,50996,2189,8248,11,/v1/stats/player_history/KR/489826,114,7,73,0,8000,8300.0,67271,4265,19018,1,420,NONE,11,0,11,4,1562737,스마트섹시뷰티,8,129589,7250,29064,7551,41,0,0,469,1,1,11321,796,1797,1,0,41,11,15,19,False,"{'20-30': -147.3, '10-20': 145.90000000000003, '0-10': -23.39999999999999}","{'20-30': 370.2, '10-20': 494.6, '0-10': 306.20000000000005}",Assassin,Jax,5,7,Fighter,5,7,jg,0.10869565217391304,0.2413793103448276,0.1647282856738169,0.2,0.11846522781774581,0.2008610129703372,0.18150609568240836,0.37748344370860926,0.12506948717996388,0.08190110417666827,0.29679453166453384,0.13559322033898305,0.13911310017744866,0.08604728446638815,0.25477305001840844,0.31387953610175834,0.047508690614136734,0.23321730482347092,0.08099329646508367,0.2579390797148412,0.3946848231934988,0.2265193370165746,0.4782608695652174,0.21348314606741572,0.11627906976744186,0.3888888888888889,0.18851399856424983,0.1724137931034483,0.22598353156450138,0.11795782792535228,0.17108118830365684,0.48717948717948717,0.12960580230355812,0.05472649583616696,0.3279393570432631,0.037037037037037035,0.19883761254187604,0.05099992485803536,0.267772759465453,0.1281894576012223,0.07860262008733625,0.02984219903283278,0.03721332329670402,0.027657134915395575,0.10194587848187439,0.22448979591836735,0.36666666666666664,0.15254237288135594
15096,206227817,20,17,102,"{'20-30': 3.2, '10-20': 3.5, '0-10': 0.4}","{'20-30': 0.8999999999999999, '10-20': 0.5, '0-10': 0.30000000000000004}",206227817,KR,35519,4256,29403,"{'20-30': -737.0999999999999, '10-20': -264.2, '0-10': -71.5}","{'20-30': 1464, '10-20': 825.3, '0-10': 704.8}",3,0,False,False,False,False,False,False,1519660543877,2001,3128195428,8.4.218.8787,13054,"{'20-30': 396.4, '10-20': 380.8, '0-10': 273.6}",11200,CHALLENGER,1,3143,0,1419,3111,3022,1033,3364,1,2,JUNGLE,0,2,1,431,96110,11223,6537,11,/v1/stats/player_history/KR/206227817,120,5,83,0,8000,8300.0,85772,7501,24965,0,420,NONE,11,0,11,4,36990696,아라가키 유이,8,200576,20939,34974,12415,96,0,0,671,1,0,18693,2214,3471,1,0,49,9,16,13,True,"{'20-30': 186.2, '10-20': -39.599999999999994, '0-10': 92}","{'20-30': 617.9, '10-20': 487.2, '0-10': 355.2}",Tank,Shyvana,4,8,Fighter,6,3,jg,0.3508771929824561,0.125,0.18135845177065532,0.07407407407407407,0.13903225806451613,0.21793996730106827,0.1239617703948117,0.40404040404040403,0.16751885690625648,0.10542960349698512,0.30030192582969456,0.06837606837606838,0.1754179136588719,0.17177335334990443,0.23852197397495703,0.2205346833644196,0.0975609756097561,0.2961165048543689,0.09817494288490324,0.24496570037618942,0.322703607288955,0.2916666666666667,0.4090909090909091,0.1780821917808219,0.46511627906976744,0.16666666666666666,0.31232352237377364,0.06896551724137931,0.19716376944190303,0.22231011926240504,0.1311521318055588,0.5128205128205128,0.16561909340953462,0.09624934238384253,0.4447281082461067,0.037037037037037035,0.3149569461892797,0.1979454039954056,0.33639076269316953,0.2107630931160343,0.19868995633187772,0.04269534232629168,0.061445866300263954,0.0769257496264897,0.196913825381517,0.2789115646258503,0.3,0.1016949152542373
14283,210104776,10,17,5,"{'30-end': 1.8, '20-30': 3.4, '10-20': 2.3, '0-10': 1}","{'30-end': 0.6000000000000001, '20-30': 2.2, '10-20': 0.20000000000000007, '0-10': 5.551115123125783e-17}",210104776,KR,40724,6487,38156,"{'30-end': -452.20000000000005, '20-30': 272.20000000000005, '10-20': -145.70000000000005, '0-10': -101.09999999999997}","{'30-end': 1195.6, '20-30': 1682.8000000000002, '10-20': 827.0999999999999, '0-10': 531.3}",4,1,False,False,False,False,False,True,1520149781802,2250,3134683017,8.4.218.8787,16407,"{'30-end': 717.6, '20-30': 481.2, '10-20': 337.4, '0-10': 312.5}",16250,UNRANKED,0,3800,3065,3053,3111,1419,3071,3340,2,10,JUNGLE,0,5,2,1114,25246,3709,17206,11,/v1/stats/player_history/KR/210104776,129,8,73,0,8200,8000.0,167870,26280,22861,0,420,NONE,11,0,4,11,67021740,love jiao,41,211802,32810,41930,20632,79,0,0,771,1,0,18684,2820,1862,2,0,46,3,8,19,True,"{'30-end': 477.19999999999993, '20-30': -50.69999999999999, '10-20': -72.00000000000003, '0-10': -76.70000000000002}","{'30-end': 641.8, '20-30': 502, '10-20': 478.4, '0-10': 316.9}",Assassin,XinZhao,2,8,Fighter,6,3,jg,0.17543859649122806,0.1111111111111111,0.20658264187053801,0.23809523809523808,0.22085646312450435,0.12812106694815475,0.2196828477311611,0.3706896551724138,0.19652444292514346,0.20436571197499087,0.22698704264508762,0.25,0.1907864868954882,0.1742043728961145,0.22051476234051728,0.3443085292792417,0.08559046587215602,0.2172442941673711,0.3171725402322265,0.15562055074223277,0.16768731988472624,0.16312056737588654,0.15789473684210525,0.1366906474820144,0.23255813953488372,0.2222222222222222,0.47279253409906674,0.3448275862068966,0.5096065873741995,0.058396017801463716,0.38013115213180554,0.5512820512820513,0.32542770771246204,0.33721273401511553,0.4034092024901318,0.18981481481481483,0.3333202470686767,0.32537544145904224,0.41715333975780516,0.35025889143536204,0.1615720524017467,0.04905828455077628,0.06141628234922868,0.09798130711233105,0.105633403301753,0.2585034013605442,0.1,0.15254237288135594
14285,207695426,18,17,2,"{'30-end': 1.2, '20-30': 1.2, '10-20': 2.1, '0-10': 1}","{'30-end': -0.6000000000000001, '20-30': -2.2, '10-20': -0.20000000000000007, '0-10': -5.551115123125783e-17}",207695426,KR,3965,1314,62629,"{'30-end': 452.20000000000005, '20-30': -272.20000000000005, '10-20': 145.70000000000005, '0-10': 101.09999999999997}","{'30-end': 1647.8, '20-30': 1410.6, '10-20': 972.8, '0-10': 632.4}",2,1,False,False,True,False,False,False,1520149781802,2250,3134683017,8.4.218.8787,15383,"{'30-end': 211.8, '20-30': 401, '10-20': 490.9, '0-10': 426.6}",14950,UNRANKED,1,3193,3800,3047,3026,1413,3194,3364,1,14,JUNGLE,0,14,2,1939,28720,1642,12539,11,/v1/stats/player_history/KR/207695426,134,33,80,0,8100,8200.0,104577,18331,29447,0,420,NONE,11,0,11,4,45641407,설거지잘해요2,36,158930,30152,43351,11367,50,0,0,1216,1,0,25633,10178,1364,1,0,95,8,19,43,False,"{'30-end': -477.19999999999993, '20-30': 50.69999999999999, '10-20': 72.00000000000003, '0-10': 76.70000000000002}","{'30-end': 164.6, '20-30': 552.7, '10-20': 550.4000000000001, '0-10': 393.6}",Tank,Olaf,3,9,Fighter,5,3,jg,0.3157894736842105,0.05555555555555555,0.1936893265005477,0.3333333333333333,0.3844171292624901,0.1457512890260241,0.16009550317918336,0.3850574712643678,0.12242769206995133,0.14255052763369702,0.2923794866703073,0.21951219512195122,0.14316057620938394,0.16009174799035797,0.227987967141039,0.189693439914557,0.05417118093174431,0.3426317272471119,0.435136144496503,0.5616687820760443,0.12283861671469741,0.33687943262411346,0.42105263157894735,0.30935251798561153,0.4186046511627907,0.1111111111111111,0.423785594639866,0.4827586206896552,0.8870082342177493,0.06643165773817784,0.2712188747053744,0.5726495726495726,0.2022241385015777,0.235214864049889,0.5327468038726655,0.16666666666666666,0.24683312395309884,0.29684296402846805,0.4336518478096808,0.19297173414820473,0.0982532751091703,0.07737337744973276,0.08425837965413074,0.35363607935790975,0.07738129006637545,0.5918367346938775,0.26666666666666666,0.3559322033898305
14231,204505116,21,18,72,"{'30-end': 0.8, '20-30': 0.6, '10-20': 0.7, '0-10': 0.7}","{'30-end': -0.29999999999999993, '20-30': 0.39999999999999997, '10-20': 0.6, '0-10': 0.7}",204505116,KR,6420,635,85926,"{'30-end': 266.70000000000005, '20-30': 303.7, '10-20': -361.6, '0-10': -83.1}","{'30-end': 1593.8000000000002, '20-30': 1432.4, '10-20': 803.9, '0-10': 495.9}",4,0,False,False,False,False,False,False,1520256489768,2458,3135928790,8.4.218.8787,14522,"{'30-end': 307, '20-30': 352.29999999999995, '10-20': 316.2, '0-10': 342}",12275,DIAMOND,0,3800,3047,3083,3194,1401,0,3364,1,4,JUNGLE,0,2,1,1031,57010,3298,13244,11,/v1/stats/player_history/KR/204505116,162,0,122,0,8100,8200.0,91963,8400,33860,0,420,NONE,11,0,4,11,28552128,제일고이시우,61,157123,14462,48666,8433,28,0,0,1163,1,0,8149,2763,1561,0,0,82,3,12,37,True,"{'30-end': 159.79999999999998, '20-30': 135.1, '10-20': 97.4, '0-10': 106.69999999999999}","{'30-end': 602.5, '20-30': 454.2, '10-20': 441.4, '0-10': 410.7}",Tank,Skarner,5,7,Fighter,6,5,jg,0.375,0.13793103448275862,0.1668140830509448,0.08888888888888889,0.2496972632598692,0.12436844998647457,0.17627642016717243,0.40703517587939697,0.12576153950296,0.08076534781981635,0.3215452404467067,0.3652694610778443,0.1267816221799051,0.07730424045456732,0.2609395023136357,0.17776887727138582,0.02634054562558796,0.09192222573506165,0.16406281457620295,0.317622715254627,0.2575057736720554,0.2918149466192171,0.1875,0.30833333333333335,0.4883720930232558,0.2222222222222222,0.38257956448911223,0.13793103448275862,0.4716376944190302,0.13186869107428686,0.2876712328767123,0.6923076923076923,0.1776702411981461,0.10778489215095018,0.6194104593389761,0.2824074074074074,0.2438772639237856,0.12841761757033823,0.49536160874966617,0.14316271963330787,0.05021834061135371,0.07400101807075592,0.02678662410960525,0.09600083388346478,0.08855732682816134,0.5034013605442177,0.1,0.3050847457627119
14192,207078123,8,15,2,"{'20-30': 3, '10-20': 2.1999999999999997, '0-10': 1}","{'20-30': 0.29999999999999993, '10-20': 1.7999999999999998, '0-10': 0.7000000000000001}",207078123,KR,16862,816,26220,"{'20-30': 167.0999999999999, '10-20': 161.2, '0-10': 180.89999999999998}","{'20-30': 1571, '10-20': 991.6, '0-10': 790.4}",7,0,False,False,False,False,False,False,1520359684374,1838,3136966261,8.4.218.8787,13323,"{'20-30': 433.5, '10-20': 438.2, '0-10': 373.3}",12550,MASTER,0,3158,3800,2055,3143,3071,1401,3364,2,7,JUNGLE,0,4,1,453,26565,988,9312,11,/v1/stats/player_history/KR/207078123,118,30,57,0,8100,8200.0,108108,11749,24705,0,420,NONE,11,0,11,4,42223084,SKT T1 Blossom,17,157307,18523,36238,8789,66,0,0,850,1,0,22634,5785,2220,0,0,55,6,10,24,True,"{'20-30': -69, '10-20': -136.70000000000002, '0-10': 140.8}","{'20-30': 511.6, '10-20': 436.79999999999995, '0-10': 409.1}",Tank,Olaf,3,9,Fighter,5,3,jg,0.21621621621621623,0.25,0.1884974533106961,0.1590909090909091,0.15221774193548387,0.1471647314305974,0.2502216848045143,0.4083044982698962,0.17095930963484465,0.14097164728891448,0.2930570218621369,0.17346938775510204,0.17993489231839166,0.15177561822978974,0.280892954034571,0.2765662859120803,0.07923169267707082,0.45995670995670995,0.36882414287576587,0.46872467995462647,0.29635562675210253,0.2894736842105263,0.25,0.32,0.18604651162790697,0.3888888888888889,0.32519741564967697,0.2413793103448276,0.20722781335773102,0.0614469703278097,0.19591141396933562,0.5042735042735043,0.20909743891210703,0.15075770212875161,0.43962215981618585,0.0787037037037037,0.24417824801088778,0.1720106916281117,0.35106642362038337,0.1492063492063492,0.1331877729257642,0.05408500890811911,0.07440034974804335,0.20100066015774296,0.1259431553866228,0.3197278911564626,0.2,0.19491525423728814
