,accountId,assists,champLevel,champion,creepsPerMinDeltas,csDiffPerMinDeltas,currentAccountId,currentPlatformId,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,damageTakenDiffPerMinDeltas,damageTakenPerMinDeltas,deaths,doubleKills,firstBloodAssist,firstBloodKill,firstInhibitorAssist,firstInhibitorKill,firstTowerAssist,firstTowerKill,gameCreation,gameDuration,gameId,gameVersion,goldEarned,goldPerMinDeltas,goldSpent,highestAchievedSeasonTier,inhibitorKills,item0,item1,item2,item3,item4,item5,item6,killingSprees,kills,lane,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicalDamageTaken,map,matchHistoryUri,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,neutralMinionsKilledTeamJungle,pentaKills,perkPrimaryStyle,perkSubStyle,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,queueId,role,season,sightWardsBoughtInGame,spell_1,spell_2,summonerId,summonerName,timeCCingOthers,totalDamageDealt,totalDamageDealtToChampions,totalDamageTaken,totalHeal,totalMinionsKilled,totalPlayerScore,totalScoreRank,totalTimeCrowdControlDealt,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,xpDiffPerMinDeltas,xpPerMinDeltas,champion_subclass,champion_name,champion_defense,champion_attack,champion_class,champion_difficulty,champion_magic,position,rel_assists,rel_deaths,rel_goldEarned,rel_kills,rel_longestTimeSpentLiving,rel_magicDamageDealt,rel_magicalDamageTaken,rel_neutralMinionsKilled,rel_physicalDamageDealt,rel_physicalDamageDealtToChampions,rel_physicalDamageTaken,rel_timeCCingOthers,rel_totalDamageDealt,rel_totalDamageDealtToChampions,rel_totalDamageTaken,rel_totalHeal,rel_totalMinionsKilled,rel_totalTimeCrowdControlDealt,rel_trueDamageDealt,rel_trueDamageDealtToChampions,rel_trueDamageTaken,rel_visionScore,rel_visionWardsBoughtInGame,rel_wardsPlaced,norm_assists,norm_deaths,norm_goldEarned,norm_kills,norm_longestTimeSpentLiving,norm_magicDamageDealt,norm_magicalDamageTaken,norm_neutralMinionsKilled,norm_physicalDamageDealt,norm_physicalDamageDealtToChampions,norm_physicalDamageTaken,norm_timeCCingOthers,norm_totalDamageDealt,norm_totalDamageDealtToChampions,norm_totalDamageTaken,norm_totalHeal,norm_totalMinionsKilled,norm_totalTimeCrowdControlDealt,norm_trueDamageDealt,norm_trueDamageDealtToChampions,norm_trueDamageTaken,norm_visionScore,norm_visionWardsBoughtInGame,norm_wardsPlaced
24637,209077811,10,16,60,"{'30-end': 0.3, '20-30': 1, '10-20': 0.7, '0-10': 0}","{'30-end': -4.9, '20-30': -1.2, '10-20': -1.3000000000000003, '0-10': -0.2}",209077811,KR,19186,449,28624,"{'30-end': 85.90000000000003, '20-30': 260.30000000000007, '10-20': -21.700000000000045, '0-10': 34.80000000000001}","{'30-end': 1068.5, '20-30': 1349.5, '10-20': 814.5999999999999, '0-10': 594.8}",10,0,False,False,False,False,False,False,1522342749080,2581,3159351116,8.6.222.2149,12463,"{'30-end': 272.7, '20-30': 319.5, '10-20': 337.2, '0-10': 227.89999999999998}",13310,UNRANKED,0,1413,3109,3190,3083,3047,0,3364,0,0,JUNGLE,0,0,0,417,103893,10413,20066,11,/v1/stats/player_history/KR/209077811,151,6,103,0,8100,8200.0,42088,1520,23261,0,420,NONE,11,0,11,4,56991495,R0X Lava,32,163004,13491,46676,9998,20,0,0,423,1,0,17021,1557,3349,1,0,74,14,16,40,False,"{'30-end': -313.6, '20-30': 48.19999999999999, '10-20': -76.69999999999999, '0-10': -77.39999999999998}","{'30-end': 370.1, '20-30': 454.9, '10-20': 487.3, '0-10': 284.3}",Fighter,Elise,9,6,Mage,5,7,jg,0.14705882352941177,0.3125,0.14364914707238358,0.0,0.10791925465838509,0.22269164239185651,0.2655708197675958,0.3431818181818182,0.04962277120209772,0.017536775310066338,0.22327273425351787,0.2,0.10808280398371505,0.08346480075725236,0.2414367441523644,0.1792720100412408,0.017825311942959002,0.10804597701149425,0.08798837918592269,0.1629513343799058,0.24657635105286407,0.2813688212927757,0.5185185185185185,0.30303030303030304,0.23255813953488372,0.5555555555555556,0.2840392438382388,0.0,0.19075937785910338,0.24031282093985068,0.4468740519474458,0.6452991452991453,0.0805856028591061,0.01950393286541003,0.4112645077669331,0.14814814814814814,0.25349730422948075,0.11799435361808559,0.47225673118229633,0.16973092267209913,0.03275109170305677,0.026915245609569864,0.05594982561904418,0.05409818977797853,0.18999262495036023,0.4489795918367347,0.4666666666666667,0.3305084745762712
7955,204024521,3,17,13,"{'20-30': 5.800000000000001, '10-20': 10.8, '0-10': 8.4}",,204024521,KR,5796,894,24171,,"{'20-30': 1211.5, '10-20': 890.3, '0-10': 278.6}",7,3,False,False,False,False,False,False,1523334258909,2033,3170954616,8.7.223.9264,14864,"{'20-30': 376.9, '10-20': 613, '0-10': 323.4}",14675,CHALLENGER,0,3089,3040,1026,3165,3027,3020,3340,3,10,JUNGLE,1320,4,2,779,223216,34617,18351,11,/v1/stats/player_history/KR/204024521,27,11,5,0,8200,8300.0,6705,580,11181,0,420,NONE,11,0,12,4,26101623,Afreeca Summit,28,381791,35257,30247,4282,263,0,0,103,1,0,151869,60,715,1,0,36,5,8,20,False,,"{'20-30': 386.4, '10-20': 779.9, '0-10': 506.20000000000005}",Fighter,Ryze,7,2,Mage,2,10,jg,0.09090909090909091,0.3333333333333333,0.20193457232909467,0.29411764705882354,0.17079587809690858,0.6879933424771533,0.31606958318980366,0.07627118644067797,0.008763434325215556,0.00785609795741453,0.1662404472330429,0.3181818181818182,0.29678888313642815,0.27370897121386206,0.23124440944641095,0.11997422319352218,0.26458752515090544,0.04259718775847808,0.7715117401420399,0.010460251046025104,0.13049826610695384,0.13636363636363635,0.15625,0.14084507042253522,0.06976744186046512,0.3888888888888889,0.3989471165350562,0.3448275862068966,0.35635864592863675,0.5163164663539382,0.40685164873631885,0.11538461538461539,0.011710499934790269,0.007442290172327512,0.17403428840753324,0.12962962962962962,0.6113853774078727,0.35164292538402914,0.2815079706022362,0.07269331975214328,0.5633187772925764,0.00655383049121914,0.49920945108622405,0.0020847086619644904,0.040562773018664545,0.19047619047619047,0.16666666666666666,0.16101694915254236
7113,1366091,13,15,60,"{'20-30': 5.3, '10-20': 0.5, '0-10': 0.8}",,1366091,KR,2934,0,10343,,"{'20-30': 985.5, '10-20': 861.2, '0-10': 502.4}",9,0,False,False,False,False,False,False,1524034570425,1849,3178039715,8.8.225.6906,11285,"{'20-30': 418.5, '10-20': 409.1, '0-10': 238.9}",10600,DIAMOND,0,1402,3152,1082,1026,3165,3117,3364,1,5,JUNGLE,0,2,1,391,95275,18282,4306,11,/v1/stats/player_history/KR/1366091,87,4,68,0,8100,8200.0,26612,1811,20001,0,420,NONE,11,0,11,4,1930299,지면이길때까지,28,128863,21892,26050,5999,67,0,0,303,1,0,6975,1798,1743,0,0,46,3,10,23,False,,"{'20-30': 564.5, '10-20': 468.4, '0-10': 336.9}",Fighter,Elise,9,6,Mage,5,7,jg,0.203125,0.21951219512195122,0.15819280317366866,0.10638297872340426,0.1881616939364774,0.5572582484748876,0.08925092235625752,0.3411764705882353,0.03922424085204979,0.022999745999491998,0.2747163695299838,0.224,0.14614144974477442,0.16806129185794783,0.1941957463304086,0.2546913475418188,0.07919621749408984,0.16749585406301823,0.2157038594755072,0.17410671056453955,0.13318560403453808,0.26285714285714284,0.25,0.3026315789473684,0.3023255813953488,0.5,0.22766212012443168,0.1724137931034483,0.17886550777676122,0.2203786974583877,0.07908800261370796,0.3717948717948718,0.05046065322632449,0.023237909486353663,0.34724376976100235,0.12962962962962962,0.1976500340242881,0.2081754457528688,0.23277873886844153,0.10184194890077243,0.13537117903930132,0.019279714940188344,0.022927562052337296,0.06247176957020256,0.09888239632382141,0.2585034013605442,0.1,0.1864406779661017
7814,3454455,6,13,60,"{'20-30': 0.7, '10-20': 0.7, '0-10': 0.8}","{'20-30': -0.9, '10-20': -0.3, '0-10': 0.7000000000000001}",3454455,KR,14303,89,9790,"{'20-30': -270.79999999999995, '10-20': -372.80000000000007, '0-10': -153.90000000000003}","{'20-30': 851.5, '10-20': 620.1, '0-10': 461.2}",7,0,False,False,False,False,False,False,1524220544694,1866,3179652860,8.8.225.6906,9530,"{'20-30': 247, '10-20': 380.4, '0-10': 246.3}",9025,DIAMOND,0,3020,1414,3165,3191,1082,0,3364,2,4,JUNGLE,0,2,1,575,73272,9610,7980,11,/v1/stats/player_history/KR/3454455,97,0,69,0,8100,8200.0,26344,578,12467,0,420,NONE,11,0,4,11,4501290,cyeol,29,111125,11428,21301,5459,26,0,0,413,1,0,11508,1240,852,1,0,55,8,9,32,False,"{'20-30': -235.69999999999996, '10-20': 3.4000000000000057, '0-10': -61.400000000000006}","{'20-30': 297.9, '10-20': 425.4, '0-10': 336.1}",Fighter,Elise,9,6,Mage,5,7,jg,0.13953488372093023,0.2692307692307692,0.14714737898556318,0.10810810810810811,0.21202064896755163,0.1981695443333766,0.18137600290928926,0.2819767441860465,0.06215817017521506,0.01283987915407855,0.2409454601677554,0.19205298013245034,0.10996911463606036,0.10159667152661712,0.20731909095333106,0.217273631840796,0.03439153439153439,0.16586345381526105,0.05304692541716604,0.07733083879014656,0.12173167595370767,0.28205128205128205,0.36363636363636365,0.32989690721649484,0.13953488372093023,0.3888888888888889,0.1436707346255085,0.13793103448275862,0.2630375114364135,0.1694839981125267,0.16482695853072274,0.41452991452991456,0.04993897537018689,0.0074166271027677625,0.19928909487244947,0.13425925925925927,0.16863451371440535,0.09584894318194016,0.1776405159702307,0.09267464561582209,0.04585152838427948,0.026278951387121406,0.0378280120571036,0.0430839790139328,0.04833494071594713,0.3197278911564626,0.26666666666666666,0.2627118644067797
7771,4513526,11,17,163,"{'20-30': 6.4, '10-20': 5.8, '0-10': 7.9}",,4513526,KR,4848,2268,12226,,"{'20-30': 958.3, '10-20': 666, '0-10': 227.9}",6,0,False,False,,,False,False,1524229106012,1825,3179717785,8.8.225.6906,12412,"{'20-30': 507.3, '10-20': 358.1, '0-10': 272.2}",10625,DIAMOND,0,1056,3047,3285,3165,3136,1026,3340,1,4,JUNGLE,0,2,1,616,136657,24078,5859,11,/v1/stats/player_history/KR/4513526,16,4,12,0,8200,8300.0,7179,212,12640,0,420,NONE,11,0,21,4,5588270,Rainbowwwwww,17,296814,24343,19094,106,201,0,0,664,1,0,152977,52,594,1,0,19,3,3,16,True,,"{'20-30': 711.9, '10-20': 388.20000000000005, '0-10': 456.79999999999995}",Support,Taliyah,5,1,Mage,7,8,jg,0.21153846153846154,0.1935483870967742,0.1759818516943145,0.10256410256410256,0.24590818363273453,0.29997124462483016,0.1311794734013971,0.046511627906976744,0.017244112645202203,0.005093093093093093,0.16854906457936075,0.19767441860465115,0.2818122865500796,0.2070722536960479,0.15057409627152862,0.0020515599597429744,0.2644736842105263,0.30613185799907794,0.843568888031101,0.00760233918128655,0.08312342569269521,0.11046511627906977,0.12,0.2077922077922078,0.2558139534883721,0.3333333333333333,0.2815984685331419,0.13793103448275862,0.2817932296431839,0.31609857421748505,0.11532986394716577,0.06837606837606838,0.012633168978854527,0.0027202853733335045,0.20268651440466606,0.0787037037037037,0.47238143844221103,0.23448586794336443,0.15201616180380592,0.001799507681860623,0.4279475982532751,0.04224993637057776,0.5028515641692334,0.0018067475070358918,0.033698303738582853,0.07482993197278912,0.1,0.1271186440677966
6949,210265395,11,16,60,"{'20-30': 3.8, '10-20': 1.2999999999999998, '0-10': 0.4}","{'20-30': 0.8, '10-20': 0.8999999999999999, '0-10': -0.1}",210265395,KR,13039,4916,11923,"{'20-30': -342.6000000000001, '10-20': -524.4000000000001, '0-10': -119.80000000000004}","{'20-30': 895.7, '10-20': 862, '0-10': 514.7}",4,0,False,False,False,False,False,False,1524408611662,1880,3182194352,8.8.225.6906,14901,"{'20-30': 491.5, '10-20': 439.1, '0-10': 347.20000000000005}",12775,UNRANKED,0,1402,3135,3117,3165,3102,0,3364,4,11,JUNGLE,0,5,1,869,127372,14421,7370,11,/v1/stats/player_history/KR/210265395,112,17,69,0,8100,8200.0,36500,1314,15819,0,420,NONE,11,0,4,11,67170229,EU Cuvee,15,170759,17218,23912,7335,67,0,0,451,1,0,6886,1482,722,2,0,37,6,6,22,True,"{'20-30': 259.9, '10-20': 2.6999999999999886, '0-10': 39.5}","{'20-30': 664.8, '10-20': 478.1, '0-10': 381.2}",Fighter,Elise,9,6,Mage,5,7,jg,0.22916666666666666,0.125,0.21881699903080853,0.2682926829268293,0.2913174656386188,0.3982963926552259,0.15063257506080488,0.36721311475409835,0.07232964881478458,0.020782260743036993,0.1961511277542872,0.14285714285714285,0.19770569281338607,0.15218044581145818,0.17928935075841074,0.24952374472717376,0.09344490934449093,0.31940509915014165,0.17533228089830422,0.4362672946717692,0.19030047443331577,0.22289156626506024,0.25,0.2857142857142857,0.2558139534883721,0.2222222222222222,0.4007178750897344,0.3793103448275862,0.39752973467520586,0.294621626372813,0.15059158479382045,0.47863247863247865,0.06970823024680424,0.016860636700755778,0.2651165530920445,0.06944444444444445,0.26618280203098826,0.15800208250587716,0.20795550859756876,0.12452253628724216,0.13537117903930132,0.028696869432425554,0.022635009647655142,0.051492303950522914,0.040959891076189935,0.19727891156462585,0.2,0.17796610169491525
4244,205825868,10,16,60,"{'20-30': 3.1999999999999997, '10-20': 1.8, '0-10': 1}","{'20-30': 1.9, '10-20': 0.30000000000000004, '0-10': 0.09999999999999987}",205825868,KR,8454,2358,7838,"{'20-30': -277.8999999999999, '10-20': -195.40000000000003, '0-10': -6.7000000000000455}","{'20-30': 846.9000000000001, '10-20': 599.9, '0-10': 669.5999999999999}",5,0,False,False,False,False,False,False,1524479869073,1938,3182721183,8.8.225.6906,11724,"{'20-30': 385, '10-20': 367.5, '0-10': 310.3}",11450,MASTER,0,3020,3089,0,0,3165,1414,3364,0,3,JUNGLE,0,0,1,600,103383,11004,11589,11,/v1/stats/player_history/KR/205825868,117,2,93,0,8100,8200.0,31796,910,10586,0,420,NONE,11,0,11,4,34690137,DaYE,17,142889,12715,23338,8593,61,0,0,194,1,0,7709,801,1161,1,0,38,5,4,24,False,"{'20-30': 241.79999999999995, '10-20': 22.799999999999955, '0-10': 22.700000000000017}","{'20-30': 588.2, '10-20': 459, '0-10': 396.3}",Fighter,Elise,9,6,Mage,5,7,jg,0.2631578947368421,0.29411764705882354,0.1784094713455276,0.13043478260869565,0.12014417300760913,0.5010298486485962,0.2608607572142439,0.4020618556701031,0.04957350508504173,0.017328382366942778,0.1899754141018969,0.2361111111111111,0.15691724476472133,0.1484703409621672,0.2242162806114116,0.34396765671283325,0.07011494252873564,0.10706401766004416,0.12262980402137949,0.08504087482747638,0.2951945080091533,0.1958762886597938,0.2777777777777778,0.2891566265060241,0.23255813953488372,0.2777777777777778,0.24867193108399138,0.10344827586206896,0.2744739249771272,0.23913315013739694,0.24904903036101841,0.5,0.06055161593609057,0.011676696649686269,0.16234952180829126,0.0787037037037037,0.22059352753350084,0.10966433010938523,0.20129108662587514,0.14587895764366351,0.1222707423580786,0.012344107915500127,0.025340297614547414,0.027830860637225948,0.06586486639813922,0.20408163265306123,0.16666666666666666,0.19491525423728814
23552,7607727,8,16,34,"{'20-30': 4.8, '10-20': 7.3, '0-10': 6.7}",,7607727,KR,15385,3879,15863,,"{'20-30': 1271.6, '10-20': 983.4000000000001, '0-10': 203.7}",4,0,False,False,True,False,True,False,1524492672313,1885,3183048139,8.8.225.6906,13334,"{'20-30': 550.0999999999999, '10-20': 425.3, '0-10': 261.3}",12325,MASTER,1,3165,3040,2421,3027,3108,3158,3364,2,7,JUNGLE,961,3,1,801,131335,20459,15303,11,/v1/stats/player_history/KR/7607727,25,4,12,0,8200,8400.0,9709,821,11767,0,420,NONE,11,0,14,4,10749868,연 패,43,146045,22830,27653,11077,189,0,0,2845,1,0,5000,1549,582,1,0,32,7,5,11,True,,"{'20-30': 545, '10-20': 452.4, '0-10': 448.4}",Support,Anivia,10,1,Mage,4,10,jg,0.24242424242424243,0.13793103448275862,0.2021896039303694,0.2,0.23761495105309996,0.6125585343557023,0.2726689592502183,0.08561643835616438,0.017221714721559516,0.01213850612100065,0.14037410827189656,0.3524590163934426,0.17803374772345493,0.20363383372133473,0.18861091028141924,0.224817844167969,0.25961538461538464,0.6722589792060492,0.11862396204033215,0.1802630047713255,0.08734804142278253,0.20382165605095542,0.28,0.2,0.18604651162790697,0.2222222222222222,0.3257238573821488,0.2413793103448276,0.3664226898444648,0.3037883624318798,0.3357214534083219,0.10683760683760683,0.017557963665526633,0.010534690054277393,0.18554231063804716,0.19907407407407407,0.22575605894053602,0.21824446901467415,0.25139035632597617,0.1880485527544351,0.4017467248908297,0.18102570628658693,0.01643552835292996,0.05382022862304993,0.033017529925682194,0.16326530612244897,0.23333333333333334,0.0847457627118644
16693,208660746,2,16,13,"{'20-30': 6.699999999999999, '10-20': 9.4, '0-10': 6.7}",,208660746,KR,6671,1322,17456,,"{'20-30': 1411.8000000000002, '10-20': 623.5, '0-10': 422.9}",9,0,False,False,False,False,False,False,1524749244214,1807,3185461704,8.8.226.7254,10381,"{'20-30': 392, '10-20': 348.6, '0-10': 246.10000000000002}",8985,CHALLENGER,0,3040,2031,1052,1026,3165,3158,3364,0,2,JUNGLE,868,0,1,575,163438,21545,5744,11,/v1/stats/player_history/KR/208660746,10,0,4,0,8200,8300.0,10390,884,17744,0,420,NONE,11,0,4,12,54811204,DWG Nuguri,28,173828,22430,24582,961,228,0,0,56,1,0,0,0,1093,0,0,41,10,5,21,False,,"{'20-30': 578.1, '10-20': 503.9, '0-10': 406.3}",Fighter,Ryze,7,2,Mage,2,10,jg,0.07692307692307693,0.3103448275862069,0.15316631255901794,0.05263157894736842,0.17148821950492096,0.5814912458595282,0.13105478108101942,0.03546099290780142,0.018055874154554112,0.01505885559511439,0.23351362733099082,0.34146341463414637,0.1965348504857179,0.22185515617890844,0.19588967957350845,0.024321109508263102,0.2544642857142857,0.02567629527739569,0.0,0.0,0.1927349673778875,0.24404761904761904,0.35714285714285715,0.30434782608695654,0.046511627906976744,0.5,0.184398181383106,0.06896551724137931,0.2630375114364135,0.37804516982633396,0.11264614594758582,0.042735042735042736,0.018883570456682246,0.011343076745409518,0.3029202097366509,0.12962962962962962,0.27120302030988275,0.21395064246379766,0.2157345377282913,0.016314404549698666,0.4868995633187773,0.003563247645711377,0.0,0.0,0.06200714812503546,0.22448979591836735,0.3333333333333333,0.1694915254237288
27760,207996034,9,16,13,"{'30-end': 0.6, '20-30': 4.5, '10-20': 7, '0-10': 9}",,207996034,KR,4951,150,29853,,"{'30-end': 1864.4, '20-30': 884.4, '10-20': 700.7, '0-10': 135.3}",6,0,False,False,False,False,False,False,1524815890659,2110,3185863638,8.8.226.7254,12940,"{'30-end': 401.2, '20-30': 415.6, '10-20': 329.1, '0-10': 279.7}",11225,DIAMOND,0,3027,3040,3157,3111,1058,0,3340,1,5,JUNGLE,1021,2,1,624,160582,22413,13837,11,/v1/stats/player_history/KR/207996034,32,0,24,0,8300,8200.0,7192,205,12276,0,420,NONE,11,0,4,7,48971080,onenoobmid,36,319598,23778,26688,5338,209,0,0,84,1,0,151824,1160,574,0,0,32,3,2,20,False,,"{'30-end': 376.6, '20-30': 440.8, '10-20': 402, '0-10': 493.4}",Fighter,Ryze,7,2,Mage,2,10,jg,0.225,0.15384615384615385,0.17701778385772915,0.12195121951219512,0.20006412311638347,0.7276525364206902,0.2543940285336079,0.09968847352024922,0.010942780153886649,0.002181500872600349,0.1487350974120384,0.45,0.2981903205099497,0.1729598405551474,0.18236982369823698,0.1275020302871065,0.25302663438256656,0.065625,0.7831348295480922,0.09684421439305393,0.06101839056022111,0.15920398009950248,0.1875,0.19801980198019803,0.20930232558139536,0.3333333333333333,0.3068676716917923,0.1724137931034483,0.28545288197621227,0.37143901333259316,0.30150988308324195,0.13675213675213677,0.012658474247995532,0.002630464629874379,0.19553818660277686,0.16666666666666666,0.5096511201842546,0.2284208379402514,0.24018623227948774,0.09062049062049062,0.44541484716157204,0.0053448714685670655,0.4990615313310477,0.040304367464646815,0.03256368071708175,0.16326530612244897,0.1,0.16101694915254236
