,accountId,assists,champLevel,champion,creepsPerMinDeltas,csDiffPerMinDeltas,currentAccountId,currentPlatformId,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,damageTakenDiffPerMinDeltas,damageTakenPerMinDeltas,deaths,doubleKills,firstBloodAssist,firstBloodKill,firstInhibitorAssist,firstInhibitorKill,firstTowerAssist,firstTowerKill,gameCreation,gameDuration,gameId,gameVersion,goldEarned,goldPerMinDeltas,goldSpent,highestAchievedSeasonTier,inhibitorKills,item0,item1,item2,item3,item4,item5,item6,killingSprees,kills,lane,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicalDamageTaken,map,matchHistoryUri,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,neutralMinionsKilledTeamJungle,pentaKills,perkPrimaryStyle,perkSubStyle,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,queueId,role,season,sightWardsBoughtInGame,spell_1,spell_2,summonerId,summonerName,timeCCingOthers,totalDamageDealt,totalDamageDealtToChampions,totalDamageTaken,totalHeal,totalMinionsKilled,totalPlayerScore,totalScoreRank,totalTimeCrowdControlDealt,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,xpDiffPerMinDeltas,xpPerMinDeltas,champion_subclass,champion_name,champion_defense,champion_attack,champion_class,champion_difficulty,champion_magic,position,rel_assists,rel_deaths,rel_goldEarned,rel_kills,rel_longestTimeSpentLiving,rel_magicDamageDealt,rel_magicalDamageTaken,rel_neutralMinionsKilled,rel_physicalDamageDealt,rel_physicalDamageDealtToChampions,rel_physicalDamageTaken,rel_timeCCingOthers,rel_totalDamageDealt,rel_totalDamageDealtToChampions,rel_totalDamageTaken,rel_totalHeal,rel_totalMinionsKilled,rel_totalTimeCrowdControlDealt,rel_trueDamageDealt,rel_trueDamageDealtToChampions,rel_trueDamageTaken,rel_visionScore,rel_visionWardsBoughtInGame,rel_wardsPlaced,norm_assists,norm_deaths,norm_goldEarned,norm_kills,norm_longestTimeSpentLiving,norm_magicDamageDealt,norm_magicalDamageTaken,norm_neutralMinionsKilled,norm_physicalDamageDealt,norm_physicalDamageDealtToChampions,norm_physicalDamageTaken,norm_timeCCingOthers,norm_totalDamageDealt,norm_totalDamageDealtToChampions,norm_totalDamageTaken,norm_totalHeal,norm_totalMinionsKilled,norm_totalTimeCrowdControlDealt,norm_trueDamageDealt,norm_trueDamageDealtToChampions,norm_trueDamageTaken,norm_visionScore,norm_visionWardsBoughtInGame,norm_wardsPlaced
14758,206227817,13,15,104,"{'20-30': 2.1, '10-20': 2, '0-10': 0.5}","{'20-30': -1.8000000000000003, '10-20': 1, '0-10': 0.09999999999999998}",206227817,KR,12101,2227,10610,"{'20-30': -28.099999999999966, '10-20': -121.40000000000003, '0-10': -218.39999999999998}","{'20-30': 872.8, '10-20': 890.0999999999999, '0-10': 450.1}",4,0,False,True,,,False,True,1521629718922,1898,3151390813,8.6.222.2149,12353,"{'20-30': 314.1, '10-20': 445.1, '0-10': 351.4}",11775,CHALLENGER,0,3071,0,3142,3006,1412,3134,3364,2,7,JUNGLE,0,2,1,551,5683,1313,10176,11,/v1/stats/player_history/KR/206227817,120,6,91,0,8100,8000.0,141485,16548,11329,0,420,NONE,11,0,11,4,36990696,아라가키 유이,25,152452,19065,22955,7819,48,0,0,701,1,0,5283,1203,1449,2,0,68,8,14,37,True,"{'20-30': -113.09999999999997, '10-20': 221.29999999999998, '0-10': -69.00000000000003}","{'20-30': 389.1, '10-20': 582, '0-10': 382.6}",Marksman,Graves,3,8,Marksman,5,3,jg,0.37142857142857144,0.15384615384615385,0.19260033053727899,0.23333333333333334,0.20160995243322358,0.02836026468914994,0.26004957706166465,0.3785488958990536,0.2361156772398739,0.2666967509025271,0.2042365242473409,0.30120481927710846,0.18215120801287527,0.20117337948063185,0.22871063198063107,0.27031044734840626,0.05423728813559322,0.34195121951219515,0.14147608590862834,0.24666803362722986,0.25147518222839294,0.30357142857142855,0.22857142857142856,0.3217391304347826,0.3023255813953488,0.2222222222222222,0.27877482651352,0.2413793103448276,0.25205855443732844,0.013145233667342085,0.21607430398357097,0.5128205128205128,0.27406774415204965,0.21233623753737185,0.17694075135994972,0.11574074074074074,0.23623652114740368,0.17782882660454932,0.19684426848099942,0.13273915626856803,0.09388646288209607,0.04460422499363706,0.0173657792577058,0.041798408672388036,0.08220343790775515,0.40816326530612246,0.26666666666666666,0.3050847457627119
20467,208670326,4,18,145,"{'30-end': 2.6, '20-30': 5.6, '10-20': 0.3, '0-10': 0.1}","{'30-end': -2.4, '20-30': 3.4, '10-20': -0.7000000000000001, '0-10': -1.2000000000000002}",208670326,KR,13700,555,22276,"{'30-end': 31.200000000000045, '20-30': -86.59999999999991, '10-20': -403.69999999999993, '0-10': -17.19999999999999}","{'30-end': 1448.4, '20-30': 1142.3000000000002, '10-20': 649, '0-10': 761.2}",12,2,False,True,False,False,False,False,1521882496353,2126,3154383032,8.6.222.2149,15662,"{'30-end': 388, '20-30': 601.2, '10-20': 394.5, '0-10': 321.4}",15005,CHALLENGER,0,1412,3115,3140,3006,3124,3812,3364,2,11,JUNGLE,0,4,2,336,43779,5804,13733,11,/v1/stats/player_history/KR/208670326,155,8,110,0,8000,8100.0,168864,11271,14340,0,420,NONE,11,0,11,4,54751506,아이러니,5,224943,18369,32767,11515,73,0,0,551,1,0,12300,1294,4693,1,0,26,5,3,7,False,"{'30-end': -15, '20-30': 67.80000000000001, '10-20': -37.80000000000001, '0-10': 6.900000000000006}","{'30-end': 598.6, '20-30': 747.6, '10-20': 472.4, '0-10': 328.3}",Marksman,Kaisa,6,8,Marksman,5,3,jg,0.06557377049180328,0.2857142857142857,0.19294593029701995,0.20754716981132076,0.14539160536564258,0.14642589570010436,0.2088573905373139,0.46407185628742514,0.2597072633568591,0.14629872405602212,0.21091647178220005,0.04716981132075472,0.19943823960463986,0.13685943763131622,0.2330876808604476,0.30598145244864877,0.08220720720720721,0.25783809078146935,0.06883622016397571,0.16888540850952755,0.6869145199063232,0.13333333333333333,0.2631578947368421,0.09859154929577464,0.09302325581395349,0.6666666666666666,0.43713807130892557,0.3793103448275862,0.1537053979871912,0.1012643295306298,0.2990828685444914,0.6623931623931624,0.32736258752216646,0.14462422850397136,0.23607156183107167,0.023148148148148147,0.35481607255025127,0.17035756840602423,0.31076640852674475,0.1954842543077837,0.14847161572052403,0.035059811656910154,0.040431399748207704,0.044960216809700845,0.2662392919952346,0.12244897959183673,0.16666666666666666,0.05084745762711865
14688,207425425,15,16,203,"{'20-30': 1.7000000000000002, '10-20': 0.30000000000000004, '0-10': 0.3}","{'20-30': 0.5, '10-20': -1.1, '0-10': 0.3}",207425425,KR,20759,4661,13380,"{'20-30': -717.7, '10-20': -271.79999999999995, '0-10': -154.5999999999999}","{'20-30': 929.4000000000001, '10-20': 974.5, '0-10': 610.7}",11,0,False,False,False,False,False,False,1523272902931,2006,3170320901,8.7.223.9264,13256,"{'20-30': 387.4, '10-20': 378.6, '0-10': 261.7}",12415,DIAMOND,1,0,3035,3031,3094,1412,3006,3364,1,5,JUNGLE,815,2,1,276,38474,7062,8208,11,/v1/stats/player_history/KR/207425425,137,26,86,0,8000,8200.0,149922,22010,18472,0,420,NONE,11,0,11,4,44120134,shirushi,9,197176,31280,28738,14047,32,0,0,512,17,0,8780,2208,2057,3,0,46,7,9,15,True,"{'20-30': 71.70000000000002, '10-20': -79.5, '0-10': -47.099999999999994}","{'20-30': 478.9, '10-20': 500.3, '0-10': 294.6}",Marksman,Kindred,4,8,Marksman,2,2,jg,0.25,0.3793103448275862,0.1882312847892764,0.15151515151515152,0.07423345884884347,0.150600853329158,0.18075711863287014,0.4405144694533762,0.2346090709498317,0.2861674879409203,0.22358323851945097,0.07563025210084033,0.1855615189663756,0.24517757346313324,0.21115821803566573,0.2881022212195172,0.03869407496977025,0.21630756231516687,0.05223423305510771,0.2192216044479746,0.2550526968381897,0.24210526315789474,0.2692307692307692,0.16666666666666666,0.3488372093023256,0.6111111111111112,0.32199090691553,0.1724137931034483,0.1262580054894785,0.08899344010510636,0.17014772117336818,0.5854700854700855,0.2904908638245605,0.2824220805050492,0.3172168653404293,0.041666666666666664,0.30939528371021774,0.30895155490193976,0.2639877393212507,0.238468720821662,0.05895196506550218,0.03257826418936116,0.028860787787745014,0.07671727876029324,0.11669597776138878,0.2585034013605442,0.23333333333333334,0.11864406779661017
7988,210418287,21,18,104,"{'20-30': 3.5999999999999996, '10-20': 2.5, '0-10': 1.4}","{'20-30': 2.3, '10-20': 1.1, '0-10': 0.8}",210418287,KR,24793,9758,18185,"{'20-30': -634.8999999999999, '10-20': -439.9, '0-10': -22.100000000000023}","{'20-30': 1020.7, '10-20': 480.3, '0-10': 592}",3,1,False,False,True,False,False,False,1523282316905,1922,3170480770,8.7.223.9264,17384,"{'20-30': 689.5999999999999, '10-20': 464.6, '0-10': 419.6}",16350,UNRANKED,1,3142,3033,3006,3147,1412,3812,3340,3,13,JUNGLE,0,7,2,754,6595,1908,9529,11,/v1/stats/player_history/KR/210418287,155,33,99,0,8100,8000.0,240124,32494,12075,0,420,NONE,11,0,4,11,68520184,M4G,26,255221,35567,24984,14522,77,0,0,914,1,0,8502,1164,3379,4,0,31,1,8,23,True,"{'20-30': 135.7, '10-20': 178.70000000000005, '0-10': 114.29999999999995}","{'20-30': 733, '10-20': 517.5, '0-10': 492.9}",Marksman,Graves,3,8,Marksman,5,3,jg,0.3230769230769231,0.10344827586206896,0.23242195333912694,0.2765957446808511,0.2047244094488189,0.023136048383984732,0.17946399984933237,0.4293628808864266,0.3749260293821443,0.45309275475486643,0.1870527000650618,0.23636363636363636,0.2300575366939522,0.28322185061315497,0.20033196218517715,0.48769184269738386,0.09243697478991597,0.3661858974358974,0.04623969369330171,0.23852459016393443,0.4787475205440635,0.16489361702127658,0.05,0.25842696629213485,0.4883720930232558,0.16666666666666666,0.5195501316104331,0.4482758620689655,0.34492223238792313,0.015254762631729906,0.20097547315115166,0.6623931623931624,0.4660743935981562,0.41694789113725894,0.19159089570118418,0.12037037037037036,0.40434431270938026,0.3549706409609584,0.2204019552067248,0.24653255241490535,0.1572052401746725,0.05815729193178926,0.027946972411322105,0.04044334804211112,0.1916945594826119,0.1564625850340136,0.03333333333333333,0.1864406779661017
7951,1893908,11,18,104,"{'20-30': 5.5, '10-20': 2.6, '0-10': 1.6}",,1893908,KR,29555,10602,16890,,"{'20-30': 1070.3, '10-20': 769.4, '0-10': 406.9}",2,2,False,False,True,False,False,False,1523334258909,2033,3170954616,8.7.223.9264,16073,"{'20-30': 536.6, '10-20': 482.4, '0-10': 268.1}",14825,CHALLENGER,0,3142,3814,1038,3026,1412,3047,3364,1,8,JUNGLE,0,7,2,1145,7010,882,12657,11,/v1/stats/player_history/KR/1893908,138,0,109,0,8100,8200.0,231645,21750,12599,0,420,NONE,11,0,11,4,2521310,내실력에잠이오냐,14,246522,23378,27297,10308,119,0,0,567,1,0,7866,746,2040,2,0,84,10,16,49,True,,"{'20-30': 732.5, '10-20': 537.3, '0-10': 438.7}",Marksman,Graves,3,8,Marksman,5,3,jg,0.3333333333333333,0.09523809523809523,0.2183594174546245,0.23529411764705882,0.2510414382810787,0.021606127386768172,0.2179986221150534,0.3898305084745763,0.30275999168748063,0.29460367340304494,0.18732344107764132,0.1590909090909091,0.19163623303995783,0.18148930223892185,0.20869106505301946,0.2888123056232664,0.11971830985915492,0.23449131513647642,0.039960171911037054,0.1300557880055788,0.37233071728417594,0.3181818181818182,0.3125,0.34507042253521125,0.2558139534883721,0.1111111111111111,0.45680784876764774,0.27586206896551724,0.5237877401646843,0.016214690833726557,0.273972602739726,0.5897435897435898,0.44956951844072823,0.2790858814622817,0.20188134561379392,0.06481481481481481,0.39011463567839194,0.22412701138937494,0.2472570214445773,0.17499363381716324,0.24890829694323144,0.036077882412827694,0.025856373204829416,0.025919877697091833,0.11573154819311283,0.5170068027210885,0.3333333333333333,0.4067796610169492
7116,209023341,16,17,104,"{'20-30': 4.4, '10-20': 2.6, '0-10': 2.2}",,209023341,KR,27253,7275,17832,,"{'20-30': 1211.4, '10-20': 726.4, '0-10': 531}",8,1,False,False,True,False,False,True,1524034570425,1849,3178039715,8.8.225.6906,15741,"{'20-30': 479, '10-20': 487.2, '0-10': 440.29999999999995}",13775,DIAMOND,0,3140,3142,3814,3111,1412,3026,3364,4,11,JUNGLE,0,5,2,433,6130,1555,13972,11,/v1/stats/player_history/KR/209023341,118,17,74,0,8100,8000.0,191861,25079,10980,0,420,NONE,11,0,11,4,56521696,Lo로웰well,31,208152,28822,26913,6853,97,0,0,670,1,0,10159,2187,1960,3,0,28,4,6,8,True,,"{'20-30': 639.5999999999999, '10-20': 443.70000000000005, '0-10': 504}",Marksman,Graves,3,8,Marksman,5,3,jg,0.25,0.1951219512195122,0.22065688212288154,0.23404255319148937,0.20837343599615016,0.03585403372501769,0.2895991377523525,0.4627450980392157,0.28278979686288613,0.318503937007874,0.15081174628464686,0.248,0.23606182571625903,0.2212617647510402,0.20062917930864824,0.2909484588604908,0.11465721040189125,0.37037037037037035,0.31416996536368136,0.21177495884574415,0.14976694429586612,0.16,0.3333333333333333,0.10526315789473684,0.37209302325581395,0.4444444444444444,0.44091888011486,0.3793103448275862,0.19807868252516012,0.014179180429492694,0.3046603346479662,0.5042735042735043,0.3721276086326006,0.32180206074448564,0.17008699750594058,0.14351851851851852,0.32734963881909546,0.2825659907468038,0.24279859280846172,0.11633986928104575,0.20087336244541484,0.04263171290404683,0.0333937065074831,0.07598763072860568,0.11119305610710842,0.1360544217687075,0.13333333333333333,0.059322033898305086
6973,4021996,6,16,104,"{'30-end': 5.4, '20-30': 4.800000000000001, '10-20': 1.9, '0-10': 0.8}","{'30-end': 4.6000000000000005, '20-30': 2.5, '10-20': -2.220446049250313e-16, '0-10': 0.5}",4021996,KR,29761,3145,14055,"{'30-end': -127.39999999999998, '20-30': -853.9, '10-20': -467.2, '0-10': -433.20000000000005}","{'30-end': 958.6, '20-30': 780.7, '10-20': 819.8, '0-10': 342.3}",8,0,False,True,False,False,True,False,1524396762345,2125,3182008260,8.8.225.6906,13722,"{'30-end': 294.6, '20-30': 363.5, '10-20': 475.9, '0-10': 324.5}",13150,CHALLENGER,0,3142,2055,3006,1412,3147,3036,3364,1,4,JUNGLE,0,2,1,491,7390,1206,11153,11,/v1/stats/player_history/KR/4021996,147,5,100,0,8100,8000.0,210747,18316,12404,0,420,NONE,11,0,11,4,5122177,캐리안해준다했다,32,231360,22122,24239,7092,106,0,0,948,1,0,13222,2600,682,1,0,47,5,7,31,False,"{'30-end': -134.2, '20-30': -307.19999999999993, '10-20': 231.39999999999998, '0-10': -17.599999999999994}","{'30-end': 330, '20-30': 418.1, '10-20': 625.5, '0-10': 291.1}",Marksman,Graves,3,8,Marksman,5,3,jg,0.16216216216216217,0.32,0.19007909573215498,0.14814814814814814,0.12793121417404898,0.018839881403074035,0.16788343142715217,0.4188034188034188,0.4623023533334503,0.4184410125194188,0.19423131126491497,0.3047619047619048,0.21053244616571787,0.24167276620383016,0.1770795283528879,0.1774108818011257,0.11764705882352941,0.3057078361818768,0.05271740647265449,0.3678030838873957,0.10360018228771077,0.23383084577114427,0.25,0.31313131313131315,0.13953488372093023,0.4444444444444444,0.34429289303661165,0.13793103448275862,0.22461116193961575,0.017093661235554815,0.23887423864087187,0.6282051282051282,0.40889032501698375,0.2350223910281909,0.1980518842913533,0.14814814814814814,0.3653128925879397,0.2106443960196228,0.21175213923301095,0.12039724980901452,0.2205240174672489,0.06032069228811402,0.04346211117648799,0.09033737535179459,0.038690645033187726,0.2653061224489796,0.16666666666666666,0.2542372881355932
13282,207425425,11,18,104,"{'30-end': 3, '20-30': 3, '10-20': 2.4, '0-10': 0.30000000000000004}","{'30-end': -3, '20-30': 2.2, '10-20': 2.2, '0-10': 0.2}",207425425,KR,46163,6196,20729,"{'30-end': -97.79999999999995, '20-30': -105.89999999999992, '10-20': -285.1, '0-10': -25.299999999999983}","{'30-end': 1248, '20-30': 967.9000000000001, '10-20': 832, '0-10': 633.1}",5,1,False,False,False,False,True,False,1524480780334,2238,3182703681,8.8.225.6906,18492,"{'30-end': 460, '20-30': 501.5, '10-20': 455.1, '0-10': 468.40000000000003}",22155,DIAMOND,0,3142,3071,3033,3046,1412,3047,3364,4,11,JUNGLE,673,5,2,706,10595,2022,13304,11,/v1/stats/player_history/KR/207425425,188,27,109,0,8100,8000.0,273529,30075,17138,0,420,NONE,11,0,11,4,44120134,shirushi,22,298817,34530,31694,13829,80,0,0,1057,1,0,14692,2432,1251,0,0,45,4,11,9,True,"{'30-end': 93.40000000000009, '20-30': 40.50000000000006, '10-20': 128.79999999999998, '0-10': 178.3}","{'30-end': 726.2, '20-30': 649.6, '10-20': 535.7, '0-10': 472.8}",Marksman,Graves,3,8,Marksman,5,3,jg,0.22,0.1282051282051282,0.20670228700453824,0.20754716981132076,0.22434064188115665,0.01840406609135504,0.20609102456857825,0.4392523364485981,0.3703770404121785,0.34413511379629946,0.19334604406638162,0.19642857142857142,0.19773085650042913,0.2057941819785564,0.1951108402435346,0.3421834017914584,0.08154943934760449,0.3662508662508662,0.07456959558226409,0.43506261180679784,0.13534566699123662,0.22388059701492538,0.25,0.11392405063291139,0.2558139534883721,0.2777777777777778,0.5725771715721465,0.3793103448275862,0.322964318389753,0.024507082650974732,0.2890714335721453,0.8034188034188035,0.5310992024947102,0.38590840850474123,0.2910194222422969,0.10185185185185185,0.4756579119556114,0.3438388956278111,0.2983083514263489,0.23476784653255242,0.16375545851528384,0.06725629931280223,0.0482941565122494,0.08450019109829401,0.0709706699948942,0.25170068027210885,0.13333333333333333,0.06779661016949153
20941,207354982,3,14,203,"{'20-30': 1.4, '10-20': 0.5, '0-10': 0.8999999999999999}","{'20-30': -1.3000000000000003, '10-20': -0.49999999999999994, '0-10': 0.5}",207354982,KR,21819,0,12894,"{'20-30': 517, '10-20': 412.30000000000007, '0-10': -230.80000000000004}","{'20-30': 1202.5, '10-20': 1004.9000000000001, '0-10': 422.4}",7,0,False,False,False,False,False,False,1524592989930,1864,3183792362,8.8.226.7254,11314,"{'20-30': 362.3, '10-20': 375.5, '0-10': 330.7}",11260,DIAMOND,0,1419,1042,3111,3071,3046,3086,3364,1,5,JUNGLE,353,2,1,419,33129,3241,12954,11,/v1/stats/player_history/KR/207354982,160,9,98,0,8000,8200.0,136014,11838,14738,0,420,NONE,11,0,11,4,43111655,KZ Cuzz,6,179088,16204,28285,14716,28,0,0,555,15,0,9944,1124,592,0,0,34,3,7,7,False,"{'20-30': 11.099999999999966, '10-20': -40.69999999999999, '0-10': 45.79999999999998}","{'20-30': 460.1, '10-20': 409.5, '0-10': 388}",Marksman,Kindred,4,8,Marksman,2,2,jg,0.10344827586206896,0.3333333333333333,0.17318495614505044,0.17857142857142858,0.17799490229396772,0.12296688368087776,0.33515303614395486,0.4610951008645533,0.21841112625914702,0.20984152869855,0.23480865436701398,0.10344827586206896,0.19276568949835585,0.1502067149928623,0.26965574442527146,0.5281935321775959,0.031180400890868598,0.22962350020686803,0.26960930509991055,0.13414488602458527,0.17055603572457506,0.17801047120418848,0.15,0.08139534883720931,0.06976744186046512,0.3888888888888889,0.22905001196458483,0.1724137931034483,0.19167429094236046,0.07663002747939046,0.28090359618211946,0.6837606837606838,0.2634181189620168,0.1518997087241605,0.24388759058148898,0.027777777777777776,0.27980723932160806,0.1471172321994053,0.2587281867895831,0.24982599100246158,0.05021834061135371,0.03531432934588954,0.032686978788307106,0.03905354226746812,0.03358484143643275,0.17687074829931973,0.1,0.05084745762711865
11594,377501,7,14,104,"{'20-30': 1, '10-20': 1.2, '0-10': 0.2}","{'20-30': 0.4, '10-20': 0.9, '0-10': -0.39999999999999997}",377501,KR,12459,1067,14485,"{'20-30': -348.9, '10-20': -169.79999999999995, '0-10': 49.800000000000026}","{'20-30': 935.2, '10-20': 704.2, '0-10': 506.9}",9,0,False,False,False,False,False,False,1524714367542,1875,3184778884,8.8.226.7254,11058,"{'20-30': 304.1, '10-20': 453.29999999999995, '0-10': 252.5}",10025,MASTER,0,1412,3814,3006,3147,0,0,3364,1,4,JUNGLE,0,2,1,491,4497,699,6906,11,/v1/stats/player_history/KR/377501,120,15,79,0,8100,8000.0,131583,16330,16402,0,420,NONE,11,0,11,4,1180166,좋은날,18,146593,19004,23527,4461,31,0,0,826,1,0,10513,1975,218,0,0,29,2,7,7,False,"{'20-30': -352.9, '10-20': 84.30000000000004, '0-10': 54.60000000000001}","{'20-30': 290, '10-20': 508.6, '0-10': 323.4}",Marksman,Graves,3,8,Marksman,5,3,jg,0.13725490196078433,0.32142857142857145,0.1729190448638759,0.125,0.14582714582714582,0.02031881150540841,0.1803886741197367,0.40955631399317405,0.23926530968495088,0.23925337709145253,0.22620016273393004,0.14634146341463414,0.15310661470959008,0.1668173558869743,0.20756797769661037,0.1503386917399656,0.04454022988505747,0.37751371115173676,0.056465343609850414,0.38416650457109514,0.08562450903377848,0.22137404580152673,0.2,0.14,0.16279069767441862,0.5,0.21679827709978464,0.13793103448275862,0.22461116193961575,0.010401920781635996,0.1397633660824718,0.5128205128205128,0.2547929153032642,0.2095389629553591,0.2765656605329825,0.08333333333333333,0.22665246806951425,0.17717401805554064,0.2034854694702133,0.07573211102622868,0.056768558951965066,0.05255790277424281,0.03455734191487054,0.06862166012299781,0.012367390934362059,0.14285714285714285,0.06666666666666667,0.05084745762711865
