,accountId,assists,champLevel,champion,creepsPerMinDeltas,csDiffPerMinDeltas,currentAccountId,currentPlatformId,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,damageTakenDiffPerMinDeltas,damageTakenPerMinDeltas,deaths,doubleKills,firstBloodAssist,firstBloodKill,firstInhibitorAssist,firstInhibitorKill,firstTowerAssist,firstTowerKill,gameCreation,gameDuration,gameId,gameVersion,goldEarned,goldPerMinDeltas,goldSpent,highestAchievedSeasonTier,inhibitorKills,item0,item1,item2,item3,item4,item5,item6,killingSprees,kills,lane,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicalDamageTaken,map,matchHistoryUri,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,neutralMinionsKilledTeamJungle,pentaKills,perkPrimaryStyle,perkSubStyle,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,queueId,role,season,sightWardsBoughtInGame,spell_1,spell_2,summonerId,summonerName,timeCCingOthers,totalDamageDealt,totalDamageDealtToChampions,totalDamageTaken,totalHeal,totalMinionsKilled,totalPlayerScore,totalScoreRank,totalTimeCrowdControlDealt,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,xpDiffPerMinDeltas,xpPerMinDeltas,champion_subclass,champion_name,champion_defense,champion_attack,champion_class,champion_difficulty,champion_magic,position,rel_assists,rel_deaths,rel_goldEarned,rel_kills,rel_longestTimeSpentLiving,rel_magicDamageDealt,rel_magicalDamageTaken,rel_neutralMinionsKilled,rel_physicalDamageDealt,rel_physicalDamageDealtToChampions,rel_physicalDamageTaken,rel_timeCCingOthers,rel_totalDamageDealt,rel_totalDamageDealtToChampions,rel_totalDamageTaken,rel_totalHeal,rel_totalMinionsKilled,rel_totalTimeCrowdControlDealt,rel_trueDamageDealt,rel_trueDamageDealtToChampions,rel_trueDamageTaken,rel_visionScore,rel_visionWardsBoughtInGame,rel_wardsPlaced,norm_assists,norm_deaths,norm_goldEarned,norm_kills,norm_longestTimeSpentLiving,norm_magicDamageDealt,norm_magicalDamageTaken,norm_neutralMinionsKilled,norm_physicalDamageDealt,norm_physicalDamageDealtToChampions,norm_physicalDamageTaken,norm_timeCCingOthers,norm_totalDamageDealt,norm_totalDamageDealtToChampions,norm_totalDamageTaken,norm_totalHeal,norm_totalMinionsKilled,norm_totalTimeCrowdControlDealt,norm_trueDamageDealt,norm_trueDamageDealtToChampions,norm_trueDamageTaken,norm_visionScore,norm_visionWardsBoughtInGame,norm_wardsPlaced
15066,694099,11,15,20,"{'20-30': 0.5, '10-20': 1.3, '0-10': 1}","{'20-30': -1.1, '10-20': -1.7, '0-10': 0.6}",694099,KR,18051,1659,38198,"{'20-30': 3.900000000000091, '10-20': 202.80000000000007, '0-10': 1.1999999999999318}","{'20-30': 1465.2, '10-20': 924.4000000000001, '0-10': 750.5999999999999}",5,0,False,True,False,False,False,False,1519666211922,2079,3128256077,8.4.218.8787,10489,"{'20-30': 285.1, '10-20': 336.5, '0-10': 274.9}",10150,PLATINUM,0,1413,3024,3109,3111,3083,2055,3340,1,2,JUNGLE,0,2,1,1308,45946,5738,13568,11,/v1/stats/player_history/KR/694099,106,6,62,0,8400,8300.0,31480,1945,30296,0,420,NONE,11,0,11,4,1561704,KaBuM Ranger,20,125274,9351,48119,14966,28,0,0,599,5,0,47847,1668,4254,0,0,38,10,5,23,False,"{'20-30': 184.00000000000003, '10-20': -49.19999999999999, '0-10': -87.89999999999998}","{'20-30': 543.1, '10-20': 425.4, '0-10': 302.6}",Fighter,Nunu,4,4,Support,6,7,jg,0.21568627450980393,0.2777777777777778,0.14727191036477494,0.07142857142857142,0.23195602057102324,0.14460523582619425,0.21989206359496297,0.3745583038869258,0.05564452551906019,0.0247351620820775,0.32071476964769646,0.15151515151515152,0.11293118602355551,0.06653669088295776,0.2924616029805933,0.387459224356651,0.02834008097165992,0.3241341991341991,0.21187739124273772,0.2510158013544018,0.5087908144958737,0.168141592920354,0.3225806451612903,0.24731182795698925,0.2558139534883721,0.2777777777777778,0.18956688202919358,0.06896551724137931,0.5983531564501372,0.1062767739010557,0.2952323166320506,0.452991452991453,0.05993650324004773,0.024957335146856916,0.5494196893226763,0.09259259259259259,0.19177920854271358,0.07355324881651405,0.48901067004144944,0.2540701128936423,0.05021834061135371,0.03811402392466277,0.15727814502052798,0.057954900802612834,0.2413343166732853,0.20408163265306123,0.3333333333333333,0.1864406779661017
5473,207901668,24,16,20,"{'30-end': 0.8, '20-30': 1.2, '10-20': 2.2, '0-10': 0.6}","{'30-end': -0.19999999999999996, '20-30': -0.10000000000000003, '10-20': 1.8, '0-10': 0.5}",207901668,KR,13981,2506,46723,"{'30-end': -401.79999999999995, '20-30': -614.8, '10-20': 177.5999999999999, '0-10': -264.20000000000005}","{'30-end': 1893.2, '20-30': 1259.9, '10-20': 1423.1999999999998, '0-10': 622}",4,0,False,False,False,False,False,False,1521054152644,2220,3144729565,8.5.220.3006,13194,"{'30-end': 287.4, '20-30': 378.6, '10-20': 455.20000000000005, '0-10': 267.4}",17575,MASTER,0,3070,3070,3070,3070,3070,3070,3364,1,3,JUNGLE,0,2,1,724,61329,10044,21787,11,/v1/stats/player_history/KR/207901668,145,13,93,0,8000,8100.0,48615,3985,23308,0,420,NONE,11,0,11,4,48140675,세븐틴 하이딘,31,163642,16978,48842,23427,44,0,0,1110,1,0,53696,2948,3746,3,0,86,13,13,42,False,"{'30-end': -249.2, '20-30': 49.79999999999998, '10-20': 139.49999999999997, '0-10': 44.69999999999999}","{'30-end': 407.8, '20-30': 483, '10-20': 524.1, '0-10': 336.79999999999995}",Fighter,Nunu,4,4,Support,6,7,jg,0.4067796610169492,0.13333333333333333,0.17970824990806195,0.1,0.2505190311418685,0.13706152113280412,0.22200144692731738,0.36989795918367346,0.08749165396389473,0.06615425478933563,0.25028724832214766,0.16230366492146597,0.1328444138486417,0.12085448061331264,0.24125820585140803,0.2662189343060717,0.048943270300333706,0.38865546218487396,0.23476945408756636,0.3170915349037324,0.3351225621757023,0.3628691983122363,0.5416666666666666,0.42857142857142855,0.5581395348837209,0.2222222222222222,0.31902368987796126,0.10344827586206896,0.3311985361390668,0.1418588836150665,0.48703647522811605,0.6196581196581197,0.09329079452705426,0.051133666097801955,0.41218750613695726,0.14351851851851852,0.2545409338358459,0.15542578657535128,0.49740505520788586,0.3977081741787624,0.0851528384279476,0.07062865869177908,0.17650442608778544,0.10242868559118863,0.2125148919271572,0.5306122448979592,0.43333333333333335,0.3474576271186441
27177,200448911,14,15,20,"{'20-30': 1.4, '10-20': 0.4, '0-10': 1.1}","{'20-30': -2.2, '10-20': -2.2, '0-10': 0.2}",200448911,KR,14637,1951,30984,"{'20-30': -18.299999999999955, '10-20': 50.39999999999998, '0-10': 6.600000000000023}","{'20-30': 1680.3, '10-20': 1334.7, '0-10': 822.2}",11,1,False,False,True,False,False,False,1523354114266,2022,3171075845,8.7.223.9264,13854,"{'20-30': 417.5, '10-20': 377.79999999999995, '0-10': 354.7}",12320,SILVER,0,3143,1057,3010,1402,3165,3020,3364,4,10,JUNGLE,0,3,2,426,75255,28747,15824,11,/v1/stats/player_history/KR/200448911,110,8,83,0,8200,8000.0,32402,2279,27449,0,420,NONE,11,0,4,11,12014562,NSB,33,146745,32969,46241,14378,30,0,0,932,1,0,39086,1942,2967,1,0,30,5,4,8,True,"{'20-30': -251.49999999999994, '10-20': -239.1, '0-10': 64.60000000000002}","{'20-30': 467.5, '10-20': 381.79999999999995, '0-10': 408.70000000000005}",Fighter,Nunu,4,4,Support,6,7,jg,0.25925925925925924,0.2682926829268293,0.18061639549436795,0.19230769230769232,0.1242344706911636,0.2187371927346291,0.20459511526576418,0.3559870550161812,0.05836095100864553,0.030581983601937708,0.3106214919427847,0.3548387096774194,0.1276590747163784,0.2105797666115238,0.26663399163903706,0.20421554981109566,0.03821656050955414,0.41718889883616833,0.15618281933045097,0.12133708216182443,0.3848748216370476,0.19607843137254902,0.2,0.13114754098360656,0.32558139534883723,0.6111111111111112,0.35061019382627423,0.3448275862068966,0.1948764867337603,0.17407083576206733,0.34787986278033184,0.4700854700854701,0.061731230789894245,0.029243067763335174,0.49350955401504293,0.1527777777777778,0.22690110709798994,0.3270822375130157,0.46720616749294663,0.24408793820558528,0.05458515283842795,0.05930262153219649,0.1284798122405241,0.06747507035891734,0.16832132523968912,0.14965986394557823,0.16666666666666666,0.059322033898305086
25223,210167927,5,14,20,"{'20-30': 2.8, '10-20': 1.6, '0-10': 0.2}","{'20-30': 2.1, '10-20': -0.19999999999999996, '0-10': 0}",210167927,KR,14077,0,21213,"{'20-30': -192.5, '10-20': 102.59999999999997, '0-10': -45.30000000000001}","{'20-30': 888.8, '10-20': 1025.1, '0-10': 722.7}",5,0,False,False,False,False,False,False,1523973663582,1835,3177484091,8.7.223.9264,9399,"{'20-30': 330.5, '10-20': 273.1, '0-10': 279.1}",8700,UNRANKED,0,2065,3060,3117,1028,1413,0,3364,0,2,JUNGLE,0,0,1,584,49445,4102,9693,11,/v1/stats/player_history/KR/210167927,114,1,90,0,8400,8000.0,37745,606,17901,0,420,NONE,11,0,4,11,66810142,버터난프라운커리,13,138849,5307,29283,11583,46,0,0,788,5,0,51658,598,1688,0,0,31,6,5,13,False,"{'20-30': -9.5, '10-20': -72.29999999999998, '0-10': -16.899999999999977}","{'20-30': 440.6, '10-20': 428.4, '0-10': 367.4}",Fighter,Nunu,4,4,Support,6,7,jg,0.125,0.3333333333333333,0.1595511721468706,0.1111111111111111,0.12548345509239364,0.2231514243419865,0.27279635258358664,0.35294117647058826,0.06775422869318437,0.011980072750276767,0.27473640591187437,0.1511627906976744,0.15729551718708049,0.06108425414364641,0.2781519230221226,0.33006582509332344,0.05609756097560976,0.35639981908638624,0.4964299099549294,0.08364806266610715,0.36815703380588877,0.17032967032967034,0.2608695652173913,0.15853658536585366,0.11627906976744186,0.2777777777777778,0.13740129217516153,0.06896551724137931,0.26715462031107046,0.1143702408378901,0.20480268838533522,0.48717948717948717,0.07213169640684644,0.0077759100766042625,0.30600341705779543,0.06018518518518518,0.21398496388190955,0.03014266238715287,0.2703154570469877,0.19663865546218487,0.08951965065502183,0.05013998472893866,0.1698053047311312,0.020777596330912754,0.09576218301469337,0.1564625850340136,0.2,0.1016949152542373
6979,4574520,12,17,20,"{'30-end': 0.8, '20-30': 2.3, '10-20': 1.9, '0-10': 0.3}","{'30-end': -4.6000000000000005, '20-30': -2.5, '10-20': 2.220446049250313e-16, '0-10': -0.5}",4574520,KR,27267,3162,42806,"{'30-end': 127.39999999999998, '20-30': 853.9, '10-20': 467.2, '0-10': 433.20000000000005}","{'30-end': 1086, '20-30': 1634.6, '10-20': 1287, '0-10': 775.5}",5,0,False,False,True,False,False,False,1524396762345,2125,3182008260,8.8.225.6906,13967,"{'30-end': 353.8, '20-30': 540.6, '10-20': 341.6, '0-10': 275}",12400,MASTER,0,1401,3105,3194,3050,3109,3047,3364,1,4,JUNGLE,0,2,1,743,67391,4736,15970,11,/v1/stats/player_history/KR/4574520,141,15,94,0,8400,8000.0,38143,580,23744,0,420,NONE,11,0,11,4,5921575,키173cm체중42kg,10,181535,5546,42443,21862,49,0,0,1018,5,0,76000,230,2729,0,0,39,4,9,8,True,"{'30-end': 134.2, '20-30': 307.19999999999993, '10-20': -231.39999999999998, '0-10': 17.599999999999994}","{'30-end': 464.2, '20-30': 725.3, '10-20': 394.1, '0-10': 308.7}",Fighter,Nunu,4,4,Support,6,7,jg,0.32432432432432434,0.2,0.1934728705794351,0.14814814814814814,0.1935904116727462,0.17180493202091507,0.2403925759788057,0.4017094017094017,0.08367188459716056,0.013250479758749887,0.3718016974100404,0.09523809523809523,0.16519280608010717,0.06058752198564515,0.3100699872883213,0.5468918073796123,0.05438401775804662,0.32828119961302804,0.3030194291273439,0.032536426651577306,0.41455263557648486,0.19402985074626866,0.2,0.08080808080808081,0.27906976744186046,0.2777777777777778,0.35601818616893993,0.13793103448275862,0.33989021043000917,0.155880774604232,0.3512870178058855,0.6025641025641025,0.07290642695439406,0.007442290172327512,0.4207497888886707,0.046296296296296294,0.28381000052345057,0.032708223751301564,0.42310952176386585,0.37113997113997116,0.09606986899563319,0.06477475184525325,0.24982003096453542,0.007991383204197214,0.15481931128382595,0.2108843537414966,0.13333333333333333,0.059322033898305086
28472,987011,30,18,117,"{'30-end': 5.300000000000001, '20-30': 6.6, '10-20': 6.4, '0-10': 7.8}","{'30-end': -1.0499999999999998, '20-30': 0.7000000000000006, '10-20': -1.2499999999999998, '0-10': 1.3499999999999999}",987011,KR,8159,2502,21298,"{'30-end': 174.35000000000008, '20-30': 308.7500000000001, '10-20': 227.2999999999999, '0-10': -89.19999999999999}","{'30-end': 607.4000000000001, '20-30': 907.1, '10-20': 717.2, '0-10': 523.1}",6,1,False,True,False,False,True,False,1524668121554,2495,3184622067,8.8.226.7254,18788,"{'30-end': 413.1, '20-30': 565.2, '10-20': 367.1, '0-10': 407.79999999999995}",18375,DIAMOND,0,3040,3157,3135,3047,3100,3089,3340,3,8,JUNGLE,0,2,2,546,175207,19546,11444,11,/v1/stats/player_history/KR/987011,10,0,6,0,8200,8300.0,23763,2371,17435,0,420,NONE,11,0,12,4,1431615,N1ghtingale,32,352900,21942,29225,3457,267,0,0,823,1,0,153930,25,346,2,0,48,5,16,21,True,"{'30-end': 223.99999999999994, '20-30': 211.95000000000005, '10-20': -189.95000000000007, '0-10': 155.04999999999998}","{'30-end': 645.4, '20-30': 826.5, '10-20': 421.5, '0-10': 482.4}",Mage,Lulu,5,4,Support,5,7,jg,0.3448275862068966,0.1111111111111111,0.18667037596375488,0.11940298507462686,0.21831267493002798,0.5860647923600542,0.15937830761517463,0.032362459546925564,0.02352394962392171,0.01757194417887661,0.15370171200874516,0.2962962962962963,0.23634218115236402,0.11777588122574516,0.15113512954439676,0.08515197792994729,0.23586572438162545,0.24457652303120356,0.8363397300762828,0.0030773018217626785,0.0425636609669086,0.1811320754716981,0.1724137931034483,0.1640625,0.6976744186046512,0.3333333333333333,0.5867432400095717,0.27586206896551724,0.24977127172918573,0.40526780840295706,0.24566521201372196,0.042735042735042736,0.044914906166115466,0.030423568963083673,0.29685198641032184,0.14814814814814814,0.5641259683835846,0.20871217407172837,0.26964204855507434,0.05868771751124692,0.5720524017467249,0.052367014507508275,0.5059841758733018,0.0008686286091518711,0.01962897827196914,0.272108843537415,0.16666666666666666,0.1694915254237288
10641,210163753,5,14,20,"{'20-30': 2.6, '10-20': 1.4, '0-10': 0}","{'20-30': 0.7000000000000002, '10-20': 0.09999999999999981, '0-10': -0.2}",210163753,KR,9082,59,36853,"{'20-30': 1108.2999999999997, '10-20': 523.5000000000001, '0-10': 249.8}","{'20-30': 2018.8999999999999, '10-20': 1167.8000000000002, '0-10': 833}",4,0,False,False,False,False,False,False,1524757068147,1842,3185552431,8.8.226.7254,9595,"{'20-30': 303.1, '10-20': 349, '0-10': 248.8}",9200,UNRANKED,0,2031,3109,3050,1028,3111,1401,3364,1,3,JUNGLE,0,2,1,467,54568,6074,20873,11,/v1/stats/player_history/KR/210163753,105,8,77,0,8400,8000.0,31794,654,20982,0,420,NONE,11,0,11,4,66770131,수I   즈     곤,21,135590,7718,44676,17872,40,0,0,963,1,0,49227,989,2820,0,0,31,8,11,12,False,"{'20-30': -92.99999999999997, '10-20': -177.20000000000002, '0-10': -107.6}","{'20-30': 555.7, '10-20': 460.9, '0-10': 267.7}",Fighter,Nunu,4,4,Support,6,7,jg,0.18518518518518517,0.2222222222222222,0.15966917943853692,0.14285714285714285,0.15660630449362845,0.11757582809210768,0.3152259272683339,0.3191489361702128,0.09670737456846075,0.01690228206652366,0.3528462120575128,0.375,0.14076362632183265,0.07571194537909927,0.3353323976011229,0.3433291710690616,0.05012531328320802,0.578031212484994,0.28894680307806087,0.16488829609869957,0.3739061256961018,0.20261437908496732,0.5333333333333333,0.15,0.11627906976744186,0.2222222222222222,0.14678152668102418,0.10344827586206896,0.21363220494053065,0.12622014970253792,0.4657067513010198,0.44871794871794873,0.06054772281776118,0.008391823746038264,0.3665089059523576,0.09722222222222222,0.20865394681742044,0.056023701922560835,0.4490357487025276,0.30340378575672694,0.07641921397379912,0.061275133621786715,0.16181435084593665,0.03436294777804802,0.159981846031656,0.1564625850340136,0.26666666666666666,0.09322033898305085
27684,3331588,16,16,223,"{'20-30': 8.6, '10-20': 5.699999999999999, '0-10': 3.7}",,3331588,KR,4507,1755,60829,,"{'20-30': 1484.9, '10-20': 1119.5, '0-10': 781.3}",9,0,False,False,False,False,False,False,1525069638135,1990,3188987365,8.8.226.7254,13127,"{'20-30': 455.70000000000005, '10-20': 351.5, '0-10': 217.3}",12750,PLATINUM,0,3143,2055,3190,3060,3065,3047,3340,1,4,JUNGLE,0,2,1,329,76191,10640,14526,11,/v1/stats/player_history/KR/3331588,9,5,4,0,8400,8300.0,18395,2307,23534,0,420,NONE,11,0,4,12,4104992,Seven7777,36,98136,12947,39753,7446,191,0,0,382,1,0,3550,0,1692,3,0,43,6,3,18,True,,"{'20-30': 524.6, '10-20': 435.6, '0-10': 311.1}",Tank,TahmKench,5,3,Support,9,6,jg,0.2807017543859649,0.2571428571428571,0.1666772477367091,0.07142857142857142,0.14981785063752276,0.38822450383429724,0.24717953953749552,0.026785714285714284,0.026315601238886148,0.021748762667923638,0.2565209334772135,0.37894736842105264,0.10617286087694092,0.09019031431119037,0.25439803408356426,0.17594102218756646,0.23756218905472637,0.15415657788539144,0.12227886470101956,0.0,0.2942608695652174,0.19815668202764977,0.2727272727272727,0.24,0.37209302325581395,0.5,0.3158171811438143,0.13793103448275862,0.1505032021957914,0.17623587864657062,0.31758885440246437,0.038461538461538464,0.03446577657004596,0.029602350737171674,0.41662575361834997,0.16666666666666666,0.14738732726130654,0.11215474950889359,0.3918773003285769,0.1264069264069264,0.40611353711790393,0.02430643929753118,0.011669225130580272,0.0,0.09598910761899358,0.23809523809523808,0.2,0.1440677966101695
9748,200448911,16,16,20,"{'20-30': 3.2, '10-20': 0.9, '0-10': 0.3}","{'20-30': 1.4000000000000004, '10-20': -0.19999999999999996, '0-10': -0.6000000000000001}",200448911,KR,14495,2591,26528,"{'20-30': 204.39999999999998, '10-20': 303.50000000000006, '0-10': 267.4}","{'20-30': 966.0999999999999, '10-20': 1233.6, '0-10': 783}",8,0,False,False,False,False,True,False,1525354368697,2024,3192646739,8.9.227.7511,14061,"{'20-30': 449.8, '10-20': 413.4, '0-10': 303.7}",14150,SILVER,0,3060,3165,3136,3001,1402,3111,3364,1,5,JUNGLE,0,2,1,324,65685,13609,15247,11,/v1/stats/player_history/KR/200448911,110,15,72,0,8200,8000.0,30568,1401,20982,0,420,NONE,11,0,4,11,12014562,NSB,14,133356,16387,36632,15941,50,0,0,640,1,0,37102,1376,402,2,0,36,3,11,6,True,"{'20-30': 69.39999999999998, '10-20': -46.099999999999994, '0-10': -31.500000000000014}","{'20-30': 517.5999999999999, '10-20': 446.6, '0-10': 310.7}",Fighter,Nunu,4,4,Support,6,7,jg,0.3137254901960784,0.26666666666666666,0.1964540196160617,0.15625,0.10689541405476741,0.2783569376287218,0.2540616199823372,0.3363914373088685,0.05501859271338423,0.027492690201927038,0.35659415363698166,0.2028985507246377,0.15656063443239784,0.16039739636861938,0.29881719552981484,0.45886586067933216,0.05959475566150179,0.20253164556962025,0.6161894638942403,0.2459338695263628,0.1076017130620985,0.19148936170212766,0.16666666666666666,0.08571428571428572,0.37209302325581395,0.4444444444444444,0.36051687006460875,0.1724137931034483,0.14821591948764867,0.1519346601160241,0.3344145994259177,0.4700854700854701,0.058161241281848144,0.017976980226604905,0.3665089059523576,0.06481481481481481,0.2049996074120603,0.1490816578464313,0.3556409571688978,0.2706221882692471,0.0982532751091703,0.04072283023670145,0.12195819459008149,0.04780931864771898,0.022805922732172235,0.19047619047619047,0.1,0.0423728813559322
9738,205940681,23,17,20,"{'30-end': 1, '20-30': 1.2, '10-20': 0.6000000000000001, '0-10': 1.3}","{'30-end': -0.8, '20-30': -0.3, '10-20': -1.4, '0-10': -0.09999999999999998}",205940681,KR,17670,1152,28232,"{'30-end': -307.9999999999999, '20-30': 501.4, '10-20': 284.7, '0-10': 200.29999999999998}","{'30-end': 990.6, '20-30': 1727.1, '10-20': 1033, '0-10': 688.4}",6,0,False,False,False,False,False,False,1525358977707,2157,3192770452,8.9.227.7511,14745,"{'30-end': 337.6, '20-30': 476.5, '10-20': 344.6, '0-10': 352.70000000000005}",13525,CHALLENGER,1,1402,3190,2420,3151,3165,3047,3364,3,9,JUNGLE,0,4,1,652,76772,18473,9440,11,/v1/stats/player_history/KR/205940681,101,15,64,0,8200,8000.0,36985,1161,31360,0,420,NONE,11,0,11,4,35030847,담원 크러쉬,20,154796,20403,42406,20220,38,0,0,578,1,0,41038,768,1606,0,0,31,10,6,12,True,"{'30-end': 194.8, '20-30': 56.89999999999998, '10-20': -126.4, '0-10': -83.00000000000003}","{'30-end': 448, '20-30': 574, '10-20': 427.29999999999995, '0-10': 324.29999999999995}",Fighter,Nunu,4,4,Support,6,7,jg,0.3382352941176471,0.16666666666666666,0.18399051659595708,0.17307692307692307,0.1849120816789563,0.24815833621556274,0.15071445677336953,0.33114754098360655,0.056176873992773026,0.013283448891329718,0.2991738375531854,0.21739130434782608,0.14868533029551492,0.12859087643225392,0.24718603363352862,0.4311392567005693,0.045346062052505964,0.22316602316602316,0.5594132962554015,0.18541767262192177,0.3921855921855922,0.19375,0.5882352941176471,0.18181818181818182,0.5348837209302325,0.3333333333333333,0.39325197415649676,0.3103448275862069,0.2982616651418115,0.17757977812936593,0.19889850878625936,0.43162393162393164,0.07065231144168012,0.0148974118794349,0.5703148013589678,0.09259259259259259,0.2400707966917923,0.19219167641723112,0.4226799335879901,0.3432645785586962,0.07205240174672489,0.036777806057521,0.13489624250950796,0.02668427087314548,0.09111022862653884,0.1564625850340136,0.3333333333333333,0.09322033898305085
