,accountId,assists,champLevel,champion,creepsPerMinDeltas,csDiffPerMinDeltas,currentAccountId,currentPlatformId,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,damageTakenDiffPerMinDeltas,damageTakenPerMinDeltas,deaths,doubleKills,firstBloodAssist,firstBloodKill,firstInhibitorAssist,firstInhibitorKill,firstTowerAssist,firstTowerKill,gameCreation,gameDuration,gameId,gameVersion,goldEarned,goldPerMinDeltas,goldSpent,highestAchievedSeasonTier,inhibitorKills,item0,item1,item2,item3,item4,item5,item6,killingSprees,kills,lane,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicalDamageTaken,map,matchHistoryUri,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,neutralMinionsKilledTeamJungle,pentaKills,perkPrimaryStyle,perkSubStyle,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,queueId,role,season,sightWardsBoughtInGame,spell_1,spell_2,summonerId,summonerName,timeCCingOthers,totalDamageDealt,totalDamageDealtToChampions,totalDamageTaken,totalHeal,totalMinionsKilled,totalPlayerScore,totalScoreRank,totalTimeCrowdControlDealt,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,xpDiffPerMinDeltas,xpPerMinDeltas,champion_subclass,champion_name,champion_defense,champion_attack,champion_class,champion_difficulty,champion_magic,position,rel_assists,rel_deaths,rel_goldEarned,rel_kills,rel_longestTimeSpentLiving,rel_magicDamageDealt,rel_magicalDamageTaken,rel_neutralMinionsKilled,rel_physicalDamageDealt,rel_physicalDamageDealtToChampions,rel_physicalDamageTaken,rel_timeCCingOthers,rel_totalDamageDealt,rel_totalDamageDealtToChampions,rel_totalDamageTaken,rel_totalHeal,rel_totalMinionsKilled,rel_totalTimeCrowdControlDealt,rel_trueDamageDealt,rel_trueDamageDealtToChampions,rel_trueDamageTaken,rel_visionScore,rel_visionWardsBoughtInGame,rel_wardsPlaced,norm_assists,norm_deaths,norm_goldEarned,norm_kills,norm_longestTimeSpentLiving,norm_magicDamageDealt,norm_magicalDamageTaken,norm_neutralMinionsKilled,norm_physicalDamageDealt,norm_physicalDamageDealtToChampions,norm_physicalDamageTaken,norm_timeCCingOthers,norm_totalDamageDealt,norm_totalDamageDealtToChampions,norm_totalDamageTaken,norm_totalHeal,norm_totalMinionsKilled,norm_totalTimeCrowdControlDealt,norm_trueDamageDealt,norm_trueDamageDealtToChampions,norm_trueDamageTaken,norm_visionScore,norm_visionWardsBoughtInGame,norm_wardsPlaced
15228,206227817,8,16,113,"{'20-30': 1, '10-20': 0.5, '0-10': 0.7}","{'20-30': 0.7, '10-20': 0.30000000000000004, '0-10': 0.09999999999999998}",206227817,KR,7008,0,31125,"{'20-30': 526.4, '10-20': 133.79999999999995, '0-10': 128.1}","{'20-30': 1811.5, '10-20': 666.4, '0-10': 622.3}",2,1,False,False,False,False,False,False,1519365972830,2003,3123691148,8.4.218.8787,11807,"{'20-30': 417.6, '10-20': 335.7, '0-10': 251.6}",11325,CHALLENGER,0,1011,3111,3109,1401,3083,3082,3364,2,7,JUNGLE,0,4,2,1274,52294,4529,19815,11,/v1/stats/player_history/KR/206227817,127,0,101,0,8000,8100.0,76329,7820,16900,0,420,NONE,11,0,11,4,36990696,아라가키 유이,51,137288,13890,37618,10379,32,0,0,666,1,0,8664,1541,902,0,0,52,7,7,27,False,"{'20-30': 7.400000000000034, '10-20': 76.5, '0-10': 9.900000000000006}","{'20-30': 506.70000000000005, '10-20': 457.6, '0-10': 356.7}",Fighter,Sejuani,4,5,Tank,7,6,jg,0.2222222222222222,0.08695652173913043,0.16665490423024262,0.18421052631578946,0.2607449856733524,0.11115173208296314,0.31968958729953856,0.36182336182336183,0.17741729289229075,0.11171109396874375,0.2768313458262351,0.37777777777777777,0.12629595762414056,0.09978663333261492,0.2990040616480276,0.30790910169692653,0.038231780167264036,0.30494505494505497,0.04649764935706159,0.2741505070272194,0.32457718603814323,0.2639593908629442,0.3181818181818182,0.3103448275862069,0.18604651162790697,0.1111111111111111,0.2526441732471883,0.2413793103448276,0.5827996340347666,0.12096020577159723,0.44101654570488436,0.5427350427350427,0.14723773521734307,0.10034260197862266,0.28634551560260013,0.2361111111111111,0.21143150649078726,0.12227744560258488,0.3670889015314238,0.17619896443425856,0.05895196506550218,0.04237719521506745,0.028479483529957036,0.05354226746812133,0.05117149826969989,0.29931972789115646,0.23333333333333334,0.22033898305084745
15210,206227817,4,14,154,"{'20-30': 1.3, '10-20': 1.1, '0-10': 0}","{'20-30': 0.4000000000000001, '10-20': -0.5, '0-10': -0.2}",206227817,KR,9070,48,38043,"{'20-30': 373.20000000000005, '10-20': 2.5, '0-10': 30.599999999999966}","{'20-30': 1761.6, '10-20': 959.3, '0-10': 618.7}",2,0,False,True,False,False,False,False,1519375473801,1973,3123798130,8.4.218.8787,10014,"{'20-30': 309.9, '10-20': 313, '0-10': 274}",9250,CHALLENGER,0,1401,3076,0,3047,3211,3083,3364,1,3,JUNGLE,7,3,1,1692,86652,7851,8558,11,/v1/stats/player_history/KR/206227817,114,2,86,0,8400,8300.0,25608,1308,27726,0,420,NONE,11,0,11,4,36990696,아라가키 유이,47,119370,10734,41151,24835,25,0,0,798,1,0,7109,1574,4865,0,0,48,10,12,17,False,"{'20-30': -239.60000000000002, '10-20': 39, '0-10': -9.600000000000009}","{'20-30': 394.2, '10-20': 409.20000000000005, '0-10': 282.29999999999995}",Fighter,Zac,8,3,Tank,7,7,jg,0.125,0.2,0.16740500509871445,0.25,0.32339449541284404,0.25080826996940586,0.19495193402888514,0.35625,0.05698695495431341,0.02305373918254402,0.3429907466970162,0.3949579831932773,0.14503741666454037,0.09883704870031215,0.3099326675403317,0.5310595530845718,0.029940119760479042,0.34984655852696184,0.2524054677791585,0.2594362947090819,0.6052500622045285,0.26373626373626374,0.43478260869565216,0.2361111111111111,0.09302325581395349,0.1111111111111111,0.16683417085427135,0.10344827586206896,0.7740164684354987,0.20043300857690066,0.1783155585633941,0.48717948717948717,0.048506307824973185,0.016783647492076528,0.4989493529192278,0.2175925925925926,0.18212154522613067,0.08839915411616947,0.4081087670819352,0.4216110686698922,0.043668122270742356,0.05077627895138712,0.02336803421219582,0.0546888572322018,0.27599704998014407,0.272108843537415,0.3333333333333333,0.13559322033898305
15217,6369319,9,15,59,"{'20-30': 0.9, '10-20': 1.6, '0-10': 0.2}","{'20-30': -0.4000000000000001, '10-20': 0.5, '0-10': 0.2}",6369319,KR,4296,1451,32028,"{'20-30': -373.20000000000005, '10-20': -2.5, '0-10': -30.599999999999966}","{'20-30': 1388.4, '10-20': 956.8, '0-10': 588.1}",2,0,False,False,True,False,False,False,1519375473801,1973,3123798130,8.4.218.8787,10522,"{'20-30': 363, '10-20': 265.20000000000005, '0-10': 227.3}",9350,MASTER,0,1413,3190,3117,3083,2055,1033,3364,1,2,JUNGLE,0,2,1,1204,42902,944,11002,11,/v1/stats/player_history/KR/6369319,127,0,108,0,8100,8400.0,82595,5119,22048,0,420,NONE,11,0,11,4,9008291,칼날부리의 반격,18,132647,7655,33531,9271,32,0,0,432,5,0,7148,1590,481,0,0,35,4,9,10,True,"{'20-30': 239.60000000000002, '10-20': -39, '0-10': 9.600000000000009}","{'20-30': 633.8, '10-20': 370.20000000000005, '0-10': 291.9}",Fighter,JarvanIV,5,6,Tank,8,3,jg,0.28125,0.2,0.17589729015864525,0.16666666666666666,0.2301223241590214,0.1241768960696516,0.25062645223016994,0.396875,0.18380340301669462,0.09022331106685232,0.2727497649562076,0.15126050420168066,0.16116929051102696,0.07048608233658371,0.25254191332640424,0.19824655190847856,0.03832335329341317,0.18939061814993424,0.25379016509852653,0.2620735124443712,0.05984075640706643,0.19230769230769232,0.17391304347826086,0.1388888888888889,0.20930232558139536,0.1111111111111111,0.19114620722660924,0.06896551724137931,0.5507776761207686,0.09923575836641038,0.2353504002240321,0.5427350427350427,0.15943487494330646,0.06568462653818023,0.38744329451503307,0.08333333333333333,0.20383983720686766,0.05534742424079779,0.3196368238340164,0.1573890162125456,0.05895196506550218,0.02748791040977348,0.023496231333348674,0.055244779542058996,0.027287683667101607,0.1836734693877551,0.13333333333333333,0.07627118644067797
15197,206227817,23,16,154,"{'20-30': 1, '10-20': 2, '0-10': 0.4}","{'20-30': -0.8, '10-20': 0.8, '0-10': 0.19999999999999998}",206227817,KR,8179,2004,34790,"{'20-30': 1105.6, '10-20': 229.7, '0-10': 284}","{'20-30': 1788.6, '10-20': 1216.9, '0-10': 797.6}",2,0,False,False,True,False,False,False,1519388962838,1895,3123996909,8.4.218.8787,11823,"{'20-30': 346, '10-20': 368.6, '0-10': 274.8}",9470,CHALLENGER,0,3211,3047,1057,3083,1401,1031,3364,0,2,JUNGLE,0,0,1,462,103436,12716,11551,11,/v1/stats/player_history/KR/206227817,112,6,94,0,8400,8300.0,25567,2753,24105,0,420,NONE,11,0,11,4,36990696,아라가키 유이,63,135774,17478,42594,34229,43,0,0,714,1,0,6769,2008,6937,0,0,41,6,16,11,True,"{'20-30': 255.50000000000003, '10-20': 111.19999999999999, '0-10': -72.39999999999998}","{'20-30': 577.8, '10-20': 558.7, '0-10': 350.70000000000005}",Fighter,Zac,8,3,Tank,7,7,jg,0.6216216216216216,0.08695652173913043,0.1881534764549549,0.058823529411764705,0.16142557651991615,0.32582885763336533,0.32617044106850396,0.3771043771043771,0.06312309583886785,0.04538859761928315,0.3395692168988688,0.3442622950819672,0.18098542641693538,0.15952320105144024,0.36479958890030834,0.7035042647209948,0.05408805031446541,0.2692307692307692,0.24439469978698053,0.2501245640259093,0.6699826154143326,0.25949367088607594,0.3,0.16176470588235295,0.5348837209302325,0.1111111111111111,0.25340990667623836,0.06896551724137931,0.21134492223238793,0.23925574337765196,0.24816223658724418,0.47863247863247865,0.04842649889922079,0.035325215248995935,0.4278392019009839,0.2916666666666667,0.2089549309045226,0.1607930697639469,0.4248627059410884,0.5810881928528987,0.08296943231441048,0.045431407482820055,0.02225041828419658,0.06976824988707828,0.3935439950076587,0.22448979591836735,0.2,0.0847457627118644
15115,206227817,16,14,59,"{'20-30': 1.7, '10-20': 1.8, '0-10': 0.3}","{'20-30': 0.19999999999999996, '10-20': 0.1000000000000002, '0-10': -0.5}",206227817,KR,7193,3034,19658,"{'20-30': -343.70000000000005, '10-20': 119.89999999999998, '0-10': 121.89999999999998}","{'20-30': 972.6999999999999, '10-20': 885, '0-10': 627}",7,0,False,False,False,False,False,False,1519655875722,1919,3128113592,8.4.218.8787,10622,"{'20-30': 437.20000000000005, '10-20': 225.5, '0-10': 266.2}",9525,CHALLENGER,0,1038,2421,0,1412,3047,3071,3364,0,1,JUNGLE,0,0,1,462,11654,509,10037,11,/v1/stats/player_history/KR/206227817,93,7,70,0,8100,8000.0,92991,6729,16238,0,420,NONE,11,0,11,4,36990696,아라가키 유이,11,109973,7954,27052,6141,41,0,0,380,1,0,5328,716,776,1,0,65,10,11,34,True,"{'20-30': 147.3, '10-20': -145.90000000000003, '0-10': 23.39999999999999}","{'20-30': 517.5, '10-20': 348.7, '0-10': 329.6}",Fighter,JarvanIV,5,6,Tank,8,3,jg,0.34782608695652173,0.2413793103448276,0.16716765552950064,0.04,0.11079136690647481,0.045902310870584155,0.22087496148937108,0.3079470198675497,0.1728878221276928,0.12921747479596735,0.25340990667623836,0.1864406779661017,0.11805542882354646,0.09440277250284847,0.2371359946703133,0.2552687367502182,0.047508690614136734,0.18896071606166087,0.038117859161378484,0.23201555411535968,0.17043707445640238,0.35911602209944754,0.43478260869565216,0.38202247191011235,0.37209302325581395,0.3888888888888889,0.1959320411581718,0.034482758620689655,0.21134492223238793,0.0269566343760698,0.21283050570581782,0.3974358974358974,0.17967130401945003,0.08634339753377901,0.2733449853694939,0.05092592592592592,0.1667500916038526,0.05855705958757796,0.24441245109080564,0.10425261013496308,0.07860262008733625,0.024179180453041488,0.017513699012882168,0.024877523366109586,0.04402337323424292,0.3877551020408163,0.3333333333333333,0.2796610169491525
15094,2474930,10,15,154,"{'20-30': 2.3, '10-20': 3, '0-10': 0.1}","{'20-30': -0.8999999999999999, '10-20': -0.5, '0-10': -0.30000000000000004}",2474930,KR,4391,632,38708,"{'20-30': 737.0999999999999, '10-20': 264.2, '0-10': 71.5}","{'20-30': 2201.1, '10-20': 1089.5, '0-10': 776.3}",4,0,False,False,False,False,True,False,1519660543877,2001,3128195428,8.4.218.8787,11226,"{'20-30': 359.5, '10-20': 379.4, '0-10': 249.10000000000002}",10650,CHALLENGER,0,3190,3082,1028,3083,1401,3111,3364,0,2,JUNGLE,0,0,1,783,109926,7858,19528,11,/v1/stats/player_history/KR/2474930,109,10,88,0,8400,8300.0,24989,1272,23879,0,420,NONE,11,0,11,4,3149868,단군의청춘부재,51,143839,11122,48544,30818,61,0,0,730,1,0,8923,1991,5136,0,0,32,10,6,17,False,"{'20-30': -186.2, '10-20': 39.599999999999994, '0-10': -92}","{'20-30': 431.7, '10-20': 526.8, '0-10': 263.2}",Fighter,Zac,8,3,Tank,7,7,jg,0.17543859649122806,0.16666666666666666,0.15596215562872504,0.07407407407407407,0.2525806451612903,0.2492692627774137,0.37031137406606746,0.367003367003367,0.04880530610491119,0.017878476956161186,0.28723852140545875,0.4358974358974359,0.1257973899308914,0.09123946874051468,0.3310691000354639,0.5474376054711786,0.061991869918699184,0.32215357458075905,0.046863265145348075,0.2202921000221288,0.4775009297136482,0.19047619047619047,0.45454545454545453,0.2328767123287671,0.23255813953488372,0.2222222222222222,0.22483847810480975,0.06896551724137931,0.358188472095151,0.2542676326088767,0.43431891904506315,0.4658119658119658,0.04730138770202851,0.016321712240001028,0.42340095441959114,0.2361111111111111,0.22214752146147404,0.09256416587051966,0.4939451288184003,0.523181393769629,0.1222707423580786,0.046449478238737595,0.029330843898638808,0.069177582432855,0.2913711919214841,0.16326530612244897,0.3333333333333333,0.13559322033898305
15063,206227817,17,17,113,"{'20-30': 1.6, '10-20': 3, '0-10': 0.4}","{'20-30': 1.1, '10-20': 1.7, '0-10': -0.6}",206227817,KR,17291,1987,39789,"{'20-30': -3.900000000000091, '10-20': -202.80000000000007, '0-10': -1.1999999999999318}","{'20-30': 1461.3, '10-20': 721.5999999999999, '0-10': 749.4000000000001}",3,0,False,False,True,False,False,False,1519666211922,2079,3128256077,8.4.218.8787,12610,"{'20-30': 313.6, '10-20': 352.4, '0-10': 282.1}",10525,CHALLENGER,0,3194,1401,0,3083,3047,1029,3364,0,2,JUNGLE,0,0,1,991,61760,7288,19849,11,/v1/stats/player_history/KR/206227817,114,11,80,0,8400,8000.0,86699,8353,19080,0,420,NONE,11,0,11,4,36990696,아라가키 유이,61,163652,17694,40023,6965,64,0,0,625,1,0,15192,2052,1094,0,0,52,11,12,15,True,"{'20-30': -184.00000000000003, '10-20': 49.19999999999999, '0-10': 87.89999999999998}","{'20-30': 359.1, '10-20': 474.6, '0-10': 390.5}",Fighter,Sejuani,4,5,Tank,7,6,jg,0.3333333333333333,0.16666666666666666,0.17705203448372694,0.07142857142857142,0.17574037949991134,0.19437642808135105,0.3216861416786866,0.4028268551236749,0.1532504675342122,0.10622766522961098,0.20198170731707318,0.4621212121212121,0.14752793440879117,0.1259009954532194,0.24325507047304157,0.18031895614353027,0.06477732793522267,0.33820346320346323,0.06727362902083038,0.30880361173814896,0.13084559263246023,0.23008849557522124,0.3548387096774194,0.16129032258064516,0.3953488372093023,0.16666666666666666,0.2910744197176358,0.06896551724137931,0.4533394327538884,0.1428558210971401,0.44180999276562977,0.48717948717948717,0.16742355375520462,0.10718181001629605,0.3291569293611673,0.2824074074074074,0.2545572916666667,0.16311173610142018,0.3950121329633457,0.11824123588829472,0.12882096069868995,0.03976838890302876,0.049937709347542394,0.07129703623918557,0.06206387927611051,0.29931972789115646,0.36666666666666664,0.11864406779661017
14276,4207131,8,16,59,"{'30-end': 3.4, '20-30': 1.8, '10-20': 1, '0-10': 0.5}","{'30-end': 1, '20-30': 0.8, '10-20': -0.39999999999999997, '0-10': 0.5}",4207131,KR,6262,0,28518,"{'30-end': -30.59999999999991, '20-30': 128.89999999999992, '10-20': 349.5, '0-10': -99.80000000000001}","{'30-end': 1035.4, '20-30': 973.8, '10-20': 1116.9, '0-10': 550.5}",9,0,False,False,False,False,False,False,1520169395033,2221,3135302440,8.4.218.8787,11550,"{'30-end': 380.6, '20-30': 320.2, '10-20': 300.4, '0-10': 263.5}",10525,PLATINUM,0,1412,3143,3071,3111,1033,0,3340,0,1,JUNGLE,0,0,1,663,21856,602,6362,11,/v1/stats/player_history/KR/4207131,149,10,112,0,8100,8000.0,143216,9423,26071,0,420,NONE,11,0,11,4,5325193,길 쭉,15,171506,10498,34624,11319,52,0,0,626,1,0,6434,472,2191,0,0,69,4,13,36,False,"{'30-end': 145, '20-30': 110.49999999999997, '10-20': -109.80000000000001, '0-10': 27.400000000000006}","{'30-end': 714.6, '20-30': 482.29999999999995, '10-20': 408, '0-10': 346.4}",Fighter,JarvanIV,5,6,Tank,8,3,jg,0.1951219512195122,0.42857142857142855,0.1546640242106109,0.043478260869565216,0.13399353274050121,0.06665629736711286,0.17391542057352177,0.37721518987341773,0.18001706954393648,0.12562659982935154,0.33070336779349274,0.16304347826086957,0.13314907905207382,0.09626953268285526,0.28679107753729427,0.2909469463294263,0.04805914972273567,0.2122753475754493,0.039085850363278496,0.11686060906164893,0.41246234939759036,0.23793103448275862,0.16666666666666666,0.288,0.18604651162790697,0.5,0.2403445800430725,0.034482758620689655,0.30329368709972554,0.050554676585153724,0.12706821311054584,0.6367521367521367,0.2774372380661324,0.12091155223076232,0.46644802733646235,0.06944444444444445,0.26740473199329984,0.08586579645115236,0.33232709075921,0.19215686274509805,0.10262008733624454,0.039832018325273603,0.021149237884550275,0.016399708140787325,0.12429795200544619,0.41496598639455784,0.13333333333333333,0.2966101694915254
14264,205940681,9,14,113,"{'20-30': 1.1, '10-20': 0.6, '0-10': 0.1}","{'20-30': -0.19999999999999996, '10-20': -5.551115123125783e-17, '0-10': 0.1}",205940681,KR,2817,1706,34650,"{'20-30': -806.3000000000001, '10-20': -211.10000000000002, '0-10': -322.49999999999994}","{'20-30': 1239.8, '10-20': 1083.4, '0-10': 532.3}",3,0,False,False,False,False,False,False,1520172253509,1922,3135349211,8.4.218.8787,10975,"{'20-30': 311.4, '10-20': 410.4, '0-10': 273.5}",10575,CHALLENGER,0,1401,3194,3083,1031,3111,0,3364,1,4,JUNGLE,0,4,1,1169,49024,4145,13068,11,/v1/stats/player_history/KR/205940681,123,12,86,0,8400,8000.0,70404,7879,19228,0,420,NONE,11,0,11,4,35030847,담원 크러쉬,34,127801,14014,33504,5964,18,0,0,674,1,0,8372,1989,1207,0,0,30,5,7,9,False,"{'20-30': -88.59999999999998, '10-20': 91.6, '0-10': -78.30000000000001}","{'20-30': 322.6, '10-20': 511.7, '0-10': 319.4}",Fighter,Sejuani,4,5,Tank,7,6,jg,0.24324324324324326,0.15,0.16600114952960038,0.13333333333333333,0.2683038788156989,0.10599669192765483,0.2273288684004523,0.40728476821192056,0.17985530645194253,0.19337816611034753,0.2710841674890737,0.2251655629139073,0.12358502060701237,0.15134726497111076,0.24842804603155771,0.1377049180327869,0.021897810218978103,0.28319327731092436,0.04647032049645311,0.37892931987045153,0.18727695888285492,0.2,0.21739130434782608,0.13846153846153847,0.20930232558139536,0.16666666666666666,0.2128260349365877,0.13793103448275862,0.5347666971637695,0.11339643415586459,0.28356397750344214,0.5256410256410257,0.13570437216653983,0.10109966253063529,0.3320633923135838,0.1574074074074074,0.19591283239112228,0.12360853183335659,0.3193233405705395,0.10124777183600712,0.028384279475982533,0.042886230593026216,0.027519648674145927,0.06910809214412286,0.06847449934759177,0.14965986394557823,0.16666666666666666,0.06779661016949153
14269,200753713,12,15,154,"{'20-30': 1.2999999999999998, '10-20': 0.6000000000000001, '0-10': 0}","{'20-30': 0.19999999999999996, '10-20': 5.551115123125783e-17, '0-10': -0.1}",200753713,KR,3962,43,44999,"{'20-30': 806.3000000000001, '10-20': 211.10000000000002, '0-10': 322.49999999999994}","{'20-30': 2046.1, '10-20': 1294.5, '0-10': 854.8}",4,0,False,False,False,False,False,False,1520172253509,1922,3135349211,8.4.218.8787,11344,"{'20-30': 302.3, '10-20': 344.29999999999995, '0-10': 267.5}",10025,UNRANKED,0,3143,2055,0,3111,1401,3083,3364,1,5,JUNGLE,0,2,1,630,92325,9789,13976,11,/v1/stats/player_history/KR/200753713,99,8,76,0,8400,8300.0,20478,1616,31906,0,420,NONE,11,0,4,11,13641185,제임스맨,36,121131,12783,49889,29919,22,0,0,858,1,0,8327,1377,4007,0,0,34,11,6,15,True,"{'20-30': 88.59999999999998, '10-20': -91.6, '0-10': 78.30000000000001}","{'20-30': 411.2, '10-20': 420.1, '0-10': 397.70000000000005}",Fighter,Zac,8,3,Tank,7,7,jg,0.32432432432432434,0.2,0.17158241824726986,0.16666666666666666,0.14459490475097544,0.19961946357336677,0.24312429329390275,0.32781456953642385,0.052313461813574214,0.03966228156292951,0.4498237699139997,0.23841059602649006,0.11713505474251389,0.1380528106269237,0.3699208091114011,0.6908104363888248,0.0267639902676399,0.36050420168067226,0.046220539748443035,0.26233568298723564,0.621722265321955,0.22666666666666666,0.4782608695652174,0.23076923076923078,0.27906976744186046,0.2222222222222222,0.2304857621440536,0.1724137931034483,0.2881976212259835,0.21355511144419465,0.30475368136099507,0.4230769230769231,0.0385204593101005,0.020735760204278034,0.5810372930618016,0.16666666666666666,0.18500215923366833,0.11039428062303423,0.5095612395360448,0.5079195314489432,0.03711790393013101,0.054594044286077885,0.027371728918969558,0.047844063792085056,0.22732172235774664,0.17687074829931973,0.36666666666666664,0.11864406779661017
