,accountId,assists,champLevel,champion,creepsPerMinDeltas,csDiffPerMinDeltas,currentAccountId,currentPlatformId,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,damageTakenDiffPerMinDeltas,damageTakenPerMinDeltas,deaths,doubleKills,firstBloodAssist,firstBloodKill,firstInhibitorAssist,firstInhibitorKill,firstTowerAssist,firstTowerKill,gameCreation,gameDuration,gameId,gameVersion,goldEarned,goldPerMinDeltas,goldSpent,highestAchievedSeasonTier,inhibitorKills,item0,item1,item2,item3,item4,item5,item6,killingSprees,kills,lane,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicalDamageTaken,map,matchHistoryUri,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,neutralMinionsKilledTeamJungle,pentaKills,perkPrimaryStyle,perkSubStyle,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,queueId,role,season,sightWardsBoughtInGame,spell_1,spell_2,summonerId,summonerName,timeCCingOthers,totalDamageDealt,totalDamageDealtToChampions,totalDamageTaken,totalHeal,totalMinionsKilled,totalPlayerScore,totalScoreRank,totalTimeCrowdControlDealt,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,xpDiffPerMinDeltas,xpPerMinDeltas,champion_subclass,champion_name,champion_defense,champion_attack,champion_class,champion_difficulty,champion_magic,position,rel_assists,rel_deaths,rel_goldEarned,rel_kills,rel_longestTimeSpentLiving,rel_magicDamageDealt,rel_magicalDamageTaken,rel_neutralMinionsKilled,rel_physicalDamageDealt,rel_physicalDamageDealtToChampions,rel_physicalDamageTaken,rel_timeCCingOthers,rel_totalDamageDealt,rel_totalDamageDealtToChampions,rel_totalDamageTaken,rel_totalHeal,rel_totalMinionsKilled,rel_totalTimeCrowdControlDealt,rel_trueDamageDealt,rel_trueDamageDealtToChampions,rel_trueDamageTaken,rel_visionScore,rel_visionWardsBoughtInGame,rel_wardsPlaced,norm_assists,norm_deaths,norm_goldEarned,norm_kills,norm_longestTimeSpentLiving,norm_magicDamageDealt,norm_magicalDamageTaken,norm_neutralMinionsKilled,norm_physicalDamageDealt,norm_physicalDamageDealtToChampions,norm_physicalDamageTaken,norm_timeCCingOthers,norm_totalDamageDealt,norm_totalDamageDealtToChampions,norm_totalDamageTaken,norm_totalHeal,norm_totalMinionsKilled,norm_totalTimeCrowdControlDealt,norm_trueDamageDealt,norm_trueDamageDealtToChampions,norm_trueDamageTaken,norm_visionScore,norm_visionWardsBoughtInGame,norm_wardsPlaced
15224,2782440,4,15,28,"{'20-30': 0.3, '10-20': 0.2, '0-10': 0.6}","{'20-30': -0.7, '10-20': -0.30000000000000004, '0-10': -0.09999999999999998}",2782440,KR,22982,0,13636,"{'20-30': -526.4, '10-20': -133.79999999999995, '0-10': -128.1}","{'20-30': 1285.1, '10-20': 532.6, '0-10': 494.20000000000005}",6,1,False,False,False,False,False,False,1519365972830,2003,3123691148,8.4.218.8787,11376,"{'20-30': 351.8, '10-20': 302.9, '0-10': 314.7}",9985,GOLD,0,3152,3916,3020,1058,1402,1052,3340,1,5,JUNGLE,764,3,2,835,111846,10268,8353,11,/v1/stats/player_history/KR/2782440,135,8,94,0,8100,8200.0,14475,531,16540,0,420,NONE,11,0,11,4,3691479,hubing,9,137207,11826,25723,6585,16,0,0,506,1,0,10885,1027,830,0,0,27,1,1,14,True,"{'20-30': -7.400000000000034, '10-20': -76.5, '0-10': -9.900000000000006}","{'20-30': 499.29999999999995, '10-20': 381.1, '0-10': 346.79999999999995}",Mage,Evelynn,10,4,Assassin,2,7,jg,0.1111111111111111,0.2608695652173913,0.16057137211173372,0.13157894736842105,0.17089643880474825,0.237730459068939,0.1347649317543803,0.38461538461538464,0.03364534206678862,0.007585497557212651,0.27093434674354605,0.06666666666666667,0.12622144293554755,0.0849587275587836,0.20445747987059956,0.19535421858312566,0.019115890083632018,0.2316849816849817,0.058417233754803254,0.18270770325564847,0.2986685858222382,0.13705583756345177,0.045454545454545456,0.16091954022988506,0.09302325581395349,0.3333333333333333,0.23201722900215363,0.1724137931034483,0.3819762122598353,0.2587087462181142,0.17353153952066463,0.5769230769230769,0.026835264644451236,0.0068135449681136365,0.2792757408534789,0.041666666666666664,0.21129900806113902,0.10012130060006226,0.22898210823299933,0.11179017061370003,0.024017467248908297,0.032196487655892086,0.03578014522432853,0.03568326326395886,0.04708685539229591,0.1292517006802721,0.03333333333333333,0.11016949152542373
15228,206227817,8,16,113,"{'20-30': 1, '10-20': 0.5, '0-10': 0.7}","{'20-30': 0.7, '10-20': 0.30000000000000004, '0-10': 0.09999999999999998}",206227817,KR,7008,0,31125,"{'20-30': 526.4, '10-20': 133.79999999999995, '0-10': 128.1}","{'20-30': 1811.5, '10-20': 666.4, '0-10': 622.3}",2,1,False,False,False,False,False,False,1519365972830,2003,3123691148,8.4.218.8787,11807,"{'20-30': 417.6, '10-20': 335.7, '0-10': 251.6}",11325,CHALLENGER,0,1011,3111,3109,1401,3083,3082,3364,2,7,JUNGLE,0,4,2,1274,52294,4529,19815,11,/v1/stats/player_history/KR/206227817,127,0,101,0,8000,8100.0,76329,7820,16900,0,420,NONE,11,0,11,4,36990696,아라가키 유이,51,137288,13890,37618,10379,32,0,0,666,1,0,8664,1541,902,0,0,52,7,7,27,False,"{'20-30': 7.400000000000034, '10-20': 76.5, '0-10': 9.900000000000006}","{'20-30': 506.70000000000005, '10-20': 457.6, '0-10': 356.7}",Fighter,Sejuani,4,5,Tank,7,6,jg,0.2222222222222222,0.08695652173913043,0.16665490423024262,0.18421052631578946,0.2607449856733524,0.11115173208296314,0.31968958729953856,0.36182336182336183,0.17741729289229075,0.11171109396874375,0.2768313458262351,0.37777777777777777,0.12629595762414056,0.09978663333261492,0.2990040616480276,0.30790910169692653,0.038231780167264036,0.30494505494505497,0.04649764935706159,0.2741505070272194,0.32457718603814323,0.2639593908629442,0.3181818181818182,0.3103448275862069,0.18604651162790697,0.1111111111111111,0.2526441732471883,0.2413793103448276,0.5827996340347666,0.12096020577159723,0.44101654570488436,0.5427350427350427,0.14723773521734307,0.10034260197862266,0.28634551560260013,0.2361111111111111,0.21143150649078726,0.12227744560258488,0.3670889015314238,0.17619896443425856,0.05895196506550218,0.04237719521506745,0.028479483529957036,0.05354226746812133,0.05117149826969989,0.29931972789115646,0.23333333333333334,0.22033898305084745
15210,206227817,4,14,154,"{'20-30': 1.3, '10-20': 1.1, '0-10': 0}","{'20-30': 0.4000000000000001, '10-20': -0.5, '0-10': -0.2}",206227817,KR,9070,48,38043,"{'20-30': 373.20000000000005, '10-20': 2.5, '0-10': 30.599999999999966}","{'20-30': 1761.6, '10-20': 959.3, '0-10': 618.7}",2,0,False,True,False,False,False,False,1519375473801,1973,3123798130,8.4.218.8787,10014,"{'20-30': 309.9, '10-20': 313, '0-10': 274}",9250,CHALLENGER,0,1401,3076,0,3047,3211,3083,3364,1,3,JUNGLE,7,3,1,1692,86652,7851,8558,11,/v1/stats/player_history/KR/206227817,114,2,86,0,8400,8300.0,25608,1308,27726,0,420,NONE,11,0,11,4,36990696,아라가키 유이,47,119370,10734,41151,24835,25,0,0,798,1,0,7109,1574,4865,0,0,48,10,12,17,False,"{'20-30': -239.60000000000002, '10-20': 39, '0-10': -9.600000000000009}","{'20-30': 394.2, '10-20': 409.20000000000005, '0-10': 282.29999999999995}",Fighter,Zac,8,3,Tank,7,7,jg,0.125,0.2,0.16740500509871445,0.25,0.32339449541284404,0.25080826996940586,0.19495193402888514,0.35625,0.05698695495431341,0.02305373918254402,0.3429907466970162,0.3949579831932773,0.14503741666454037,0.09883704870031215,0.3099326675403317,0.5310595530845718,0.029940119760479042,0.34984655852696184,0.2524054677791585,0.2594362947090819,0.6052500622045285,0.26373626373626374,0.43478260869565216,0.2361111111111111,0.09302325581395349,0.1111111111111111,0.16683417085427135,0.10344827586206896,0.7740164684354987,0.20043300857690066,0.1783155585633941,0.48717948717948717,0.048506307824973185,0.016783647492076528,0.4989493529192278,0.2175925925925926,0.18212154522613067,0.08839915411616947,0.4081087670819352,0.4216110686698922,0.043668122270742356,0.05077627895138712,0.02336803421219582,0.0546888572322018,0.27599704998014407,0.272108843537415,0.3333333333333333,0.13559322033898305
15217,6369319,9,15,59,"{'20-30': 0.9, '10-20': 1.6, '0-10': 0.2}","{'20-30': -0.4000000000000001, '10-20': 0.5, '0-10': 0.2}",6369319,KR,4296,1451,32028,"{'20-30': -373.20000000000005, '10-20': -2.5, '0-10': -30.599999999999966}","{'20-30': 1388.4, '10-20': 956.8, '0-10': 588.1}",2,0,False,False,True,False,False,False,1519375473801,1973,3123798130,8.4.218.8787,10522,"{'20-30': 363, '10-20': 265.20000000000005, '0-10': 227.3}",9350,MASTER,0,1413,3190,3117,3083,2055,1033,3364,1,2,JUNGLE,0,2,1,1204,42902,944,11002,11,/v1/stats/player_history/KR/6369319,127,0,108,0,8100,8400.0,82595,5119,22048,0,420,NONE,11,0,11,4,9008291,칼날부리의 반격,18,132647,7655,33531,9271,32,0,0,432,5,0,7148,1590,481,0,0,35,4,9,10,True,"{'20-30': 239.60000000000002, '10-20': -39, '0-10': 9.600000000000009}","{'20-30': 633.8, '10-20': 370.20000000000005, '0-10': 291.9}",Fighter,JarvanIV,5,6,Tank,8,3,jg,0.28125,0.2,0.17589729015864525,0.16666666666666666,0.2301223241590214,0.1241768960696516,0.25062645223016994,0.396875,0.18380340301669462,0.09022331106685232,0.2727497649562076,0.15126050420168066,0.16116929051102696,0.07048608233658371,0.25254191332640424,0.19824655190847856,0.03832335329341317,0.18939061814993424,0.25379016509852653,0.2620735124443712,0.05984075640706643,0.19230769230769232,0.17391304347826086,0.1388888888888889,0.20930232558139536,0.1111111111111111,0.19114620722660924,0.06896551724137931,0.5507776761207686,0.09923575836641038,0.2353504002240321,0.5427350427350427,0.15943487494330646,0.06568462653818023,0.38744329451503307,0.08333333333333333,0.20383983720686766,0.05534742424079779,0.3196368238340164,0.1573890162125456,0.05895196506550218,0.02748791040977348,0.023496231333348674,0.055244779542058996,0.027287683667101607,0.1836734693877551,0.13333333333333333,0.07627118644067797
15192,2391217,7,14,72,"{'20-30': 1.8, '10-20': 1.2, '0-10': 0.2}","{'20-30': 0.8, '10-20': -0.8, '0-10': -0.19999999999999998}",2391217,KR,5167,0,37788,"{'20-30': -1105.6, '10-20': -229.7, '0-10': -284}","{'20-30': 683, '10-20': 987.2, '0-10': 513.6}",5,0,False,False,False,False,False,False,1519388962838,1895,3123996909,8.4.218.8787,9980,"{'20-30': 275.6, '10-20': 347.9, '0-10': 291.1}",9575,CHALLENGER,0,3111,3800,2055,2031,3194,1401,3364,0,1,JUNGLE,0,0,1,619,55193,3557,6220,11,/v1/stats/player_history/KR/2391217,136,1,99,0,8100,8200.0,80910,4405,17750,0,420,NONE,11,0,11,4,3153049,ROX Mightybear,45,145646,10310,25070,5928,35,0,0,1334,1,0,9542,2346,1100,0,0,33,5,2,10,False,"{'20-30': -255.50000000000003, '10-20': -111.19999999999999, '0-10': 72.39999999999998}","{'20-30': 322.29999999999995, '10-20': 447.5, '0-10': 423.1}",Tank,Skarner,5,7,Fighter,6,5,jg,0.1891891891891892,0.21739130434782608,0.15882362302465108,0.029411764705882353,0.21628232005590498,0.17386086216944133,0.17563675382617044,0.45791245791245794,0.1997610077178706,0.07262505358261614,0.25004578303069575,0.2459016393442623,0.19414470676212656,0.09410025190756088,0.2147139431312093,0.12183742678039255,0.0440251572327044,0.5030165912518854,0.3445138462649384,0.2922272047832586,0.10623913463395789,0.2088607594936709,0.25,0.14705882352941177,0.16279069767441862,0.2777777777777778,0.16520698731754008,0.034482758620689655,0.28316559926806956,0.1276658247055449,0.12375440479802105,0.5811965811965812,0.15615492275079956,0.05652291070534947,0.3030380393158029,0.20833333333333334,0.22510338149078726,0.08384769797224041,0.22140045745335485,0.1006366182836771,0.06550218340611354,0.08488164927462459,0.03136556230873154,0.08151210868281157,0.06240426618256084,0.17006802721088435,0.16666666666666666,0.07627118644067797
15197,206227817,23,16,154,"{'20-30': 1, '10-20': 2, '0-10': 0.4}","{'20-30': -0.8, '10-20': 0.8, '0-10': 0.19999999999999998}",206227817,KR,8179,2004,34790,"{'20-30': 1105.6, '10-20': 229.7, '0-10': 284}","{'20-30': 1788.6, '10-20': 1216.9, '0-10': 797.6}",2,0,False,False,True,False,False,False,1519388962838,1895,3123996909,8.4.218.8787,11823,"{'20-30': 346, '10-20': 368.6, '0-10': 274.8}",9470,CHALLENGER,0,3211,3047,1057,3083,1401,1031,3364,0,2,JUNGLE,0,0,1,462,103436,12716,11551,11,/v1/stats/player_history/KR/206227817,112,6,94,0,8400,8300.0,25567,2753,24105,0,420,NONE,11,0,11,4,36990696,아라가키 유이,63,135774,17478,42594,34229,43,0,0,714,1,0,6769,2008,6937,0,0,41,6,16,11,True,"{'20-30': 255.50000000000003, '10-20': 111.19999999999999, '0-10': -72.39999999999998}","{'20-30': 577.8, '10-20': 558.7, '0-10': 350.70000000000005}",Fighter,Zac,8,3,Tank,7,7,jg,0.6216216216216216,0.08695652173913043,0.1881534764549549,0.058823529411764705,0.16142557651991615,0.32582885763336533,0.32617044106850396,0.3771043771043771,0.06312309583886785,0.04538859761928315,0.3395692168988688,0.3442622950819672,0.18098542641693538,0.15952320105144024,0.36479958890030834,0.7035042647209948,0.05408805031446541,0.2692307692307692,0.24439469978698053,0.2501245640259093,0.6699826154143326,0.25949367088607594,0.3,0.16176470588235295,0.5348837209302325,0.1111111111111111,0.25340990667623836,0.06896551724137931,0.21134492223238793,0.23925574337765196,0.24816223658724418,0.47863247863247865,0.04842649889922079,0.035325215248995935,0.4278392019009839,0.2916666666666667,0.2089549309045226,0.1607930697639469,0.4248627059410884,0.5810881928528987,0.08296943231441048,0.045431407482820055,0.02225041828419658,0.06976824988707828,0.3935439950076587,0.22448979591836735,0.2,0.0847457627118644
15172,209533359,13,15,164,"{'20-30': 1, '10-20': 0.6000000000000001, '0-10': 0.1}","{'20-30': 0, '10-20': -2.3, '0-10': -0.7}",209533359,KR,22504,3482,25487,"{'20-30': -5.699999999999989, '10-20': -119.80000000000001, '0-10': 6.900000000000034}","{'20-30': 946.8, '10-20': 935.2, '0-10': 593}",4,2,False,True,True,False,False,False,1519455115249,2050,3124953286,8.4.218.8787,13919,"{'20-30': 319, '10-20': 406.7, '0-10': 358.4}",12083,DIAMOND,0,1412,2055,2421,3078,3053,3111,3364,4,11,JUNGLE,0,4,2,604,6319,684,10786,11,/v1/stats/player_history/KR/209533359,116,18,69,0,8100,8000.0,117694,20663,19344,0,420,NONE,11,0,11,4,61160937,누구도 날 모를껄,29,151611,27190,31036,12561,25,0,0,408,1,0,27597,5842,906,0,0,63,9,12,31,True,"{'20-30': -35.10000000000002, '10-20': -85.39999999999998, '0-10': 11.800000000000011}","{'20-30': 370.29999999999995, '10-20': 475.2, '0-10': 346.8}",Tank,Camille,4,8,Fighter,6,3,jg,0.2549019607843137,0.2,0.20216118865375957,0.4074074074074074,0.19132087424770353,0.014419697868650449,0.2630282634672129,0.3558282208588957,0.2452377281118858,0.3166452127007478,0.2936203154171916,0.4603174603174603,0.15600343264968453,0.22914208663408056,0.28083573878186274,0.29782340667678303,0.028376844494892167,0.2570888468809074,0.5138819060387688,0.6014619582003501,0.2501380452788515,0.31343283582089554,0.45,0.3069306930693069,0.3023255813953488,0.2222222222222222,0.3537209858817899,0.3793103448275862,0.27630375114364136,0.014616352550402013,0.23030967772047325,0.49572649572649574,0.22775715506484961,0.26513800315655756,0.33434143084385615,0.13425925925925927,0.23486082757537688,0.26504717841922776,0.2906686481905049,0.21324166030048383,0.043668122270742356,0.025960804275897174,0.09071425519116164,0.20298113338660922,0.051398422874000115,0.3741496598639456,0.3,0.2542372881355932
15176,208141093,10,15,76,"{'20-30': 1, '10-20': 2.9, '0-10': 0.8}","{'20-30': 0, '10-20': 2.3, '0-10': 0.7}",208141093,KR,15975,2606,16299,"{'20-30': 5.699999999999989, '10-20': 119.80000000000001, '0-10': -6.900000000000034}","{'20-30': 952.5, '10-20': 1055, '0-10': 586.0999999999999}",6,1,False,False,False,False,False,False,1519455115249,2050,3124953286,8.4.218.8787,11855,"{'20-30': 351.20000000000005, '10-20': 412.1, '0-10': 273.8}",10250,DIAMOND,0,2032,3108,3047,3100,1414,3174,3340,1,3,JUNGLE,926,2,2,707,148811,10622,8030,11,/v1/stats/player_history/KR/208141093,148,24,87,0,8100,8300.0,29298,896,21018,0,420,NONE,11,0,11,4,50010851,JustLikeThat,3,189310,12385,30328,18949,49,0,0,223,5,0,11200,867,1279,0,0,50,3,9,28,False,"{'20-30': 35.10000000000002, '10-20': 85.39999999999998, '0-10': -11.800000000000011}","{'20-30': 405.4, '10-20': 560.5999999999999, '0-10': 335}",Fighter,Nidalee,8,5,Assassin,4,7,jg,0.19607843137254902,0.3,0.17218341055322361,0.1111111111111111,0.22394678492239467,0.33958057596640956,0.19582022581510475,0.4539877300613497,0.061047929021207786,0.013730538188059336,0.31902976578983316,0.047619047619047616,0.19479463782253117,0.10437384122703523,0.27442925266710705,0.44928395295902884,0.05561861520998865,0.1405166981726528,0.20855445692047,0.08926181406362607,0.35311982330204306,0.24875621890547264,0.15,0.27722772277227725,0.23255813953488372,0.3333333333333333,0.2549413735343384,0.10344827586206896,0.3234217749313815,0.34421174859596043,0.1659937924435836,0.6324786324786325,0.055689111142688624,0.011497055162768019,0.3672158834272697,0.013888888888888888,0.2965282139865997,0.10612192320491214,0.2824484203926668,0.32168746286393346,0.09606986899563319,0.014189361160600662,0.03681558351056311,0.030124040165386886,0.07255914222499575,0.2857142857142857,0.1,0.2288135593220339
15154,210196288,11,17,5,"{'30-end': 2.2, '20-30': 2.9000000000000004, '10-20': 1.2000000000000002, '0-10': 0.3}","{'30-end': 0, '20-30': -3, '10-20': -1.2999999999999998, '0-10': 0.09999999999999998}",210196288,KR,27972,3608,22590,"{'30-end': 143.79999999999995, '20-30': -445.70000000000005, '10-20': 160.39999999999992, '0-10': 82.1}","{'30-end': 1225, '20-30': 1298.8, '10-20': 977.0999999999999, '0-10': 605.5}",6,0,False,False,False,False,True,False,1519622671713,2222,3127331967,8.4.218.8787,13605,"{'30-end': 405.2, '20-30': 382.70000000000005, '10-20': 332.4, '0-10': 235.89999999999998}",12383,UNRANKED,0,1412,3053,3006,3078,3052,0,3364,1,4,JUNGLE,0,2,1,614,13691,1002,12640,11,/v1/stats/player_history/KR/210196288,140,20,79,0,8200,8100.0,183396,17305,26025,0,420,NONE,11,0,11,4,66800180,ham su tini xiao,21,217388,20510,40581,20474,76,0,0,753,1,0,20300,2202,1915,2,0,42,5,9,7,True,"{'30-end': -63.60000000000002, '20-30': -237.89999999999998, '10-20': -119.20000000000002, '0-10': -133.8}","{'30-end': 453.4, '20-30': 546.1, '10-20': 428.6, '0-10': 309.4}",Assassin,XinZhao,2,8,Fighter,6,3,jg,0.22,0.20689655172413793,0.16257005269635666,0.08695652173913043,0.1848284166164961,0.03482563019866202,0.22951355473644072,0.3508771929824561,0.2334167406981273,0.15199290319180705,0.2973164406566666,0.1320754716981132,0.17655361954899187,0.11168590720975823,0.2657911972753471,0.3843439083912146,0.07554671968190854,0.2902852737085582,0.38702051399374665,0.1897457992244722,0.19016881827209534,0.16470588235294117,0.3125,0.08333333333333333,0.2558139534883721,0.3333333333333333,0.33869346733668343,0.13793103448275862,0.2808783165599268,0.031668378345870225,0.27357587920935333,0.5982905982905983,0.3556499853034783,0.22204970936573723,0.4655446672296302,0.09722222222222222,0.3424577313651591,0.19334027501959059,0.40149078707520114,0.3475766064001358,0.15502183406113537,0.04791295495036905,0.06672824511289564,0.0765088078940968,0.10864015430873092,0.23129251700680273,0.16666666666666666,0.05084745762711865
15157,694099,8,18,64,"{'30-end': 2.2, '20-30': 5.9, '10-20': 2.5, '0-10': 0.2}","{'30-end': 0, '20-30': 3, '10-20': 1.2999999999999998, '0-10': -0.09999999999999998}",694099,KR,10683,2633,43805,"{'30-end': -143.79999999999995, '20-30': 445.70000000000005, '10-20': -160.39999999999992, '0-10': -82.1}","{'30-end': 1081.2, '20-30': 1744.5, '10-20': 816.7, '0-10': 523.4}",6,1,False,False,False,False,False,False,1519622671713,2222,3127331967,8.4.218.8787,18018,"{'30-end': 535.8, '20-30': 617.6, '10-20': 437.79999999999995, '0-10': 356.7}",17325,PLATINUM,0,3074,3071,3156,3047,1412,3026,3340,3,11,JUNGLE,0,3,2,610,56018,2705,8993,11,/v1/stats/player_history/KR/694099,169,22,118,0,8100,8000.0,200233,23084,28069,0,420,NONE,11,0,11,4,1561704,KaBuM Ranger,28,266552,27595,40521,12069,97,0,0,597,1,0,10300,1804,3458,3,0,59,4,2,31,False,"{'30-end': 63.60000000000002, '20-30': 237.89999999999998, '10-20': 119.20000000000002, '0-10': 133.8}","{'30-end': 517, '20-30': 784, '10-20': 547.8, '0-10': 443.20000000000005}",Assassin,LeeSin,6,8,Fighter,5,3,jg,0.16,0.20689655172413793,0.2153022572203568,0.2391304347826087,0.18362432269717038,0.14249230534428814,0.1632923574165199,0.42355889724310775,0.2548459848644906,0.20275089149261336,0.32066763392092124,0.1761006289308176,0.2164826043664916,0.15026682639947725,0.2653982184962012,0.22656279331706403,0.09642147117296222,0.23014649190439476,0.19637001448943797,0.15545023696682464,0.3433962264150943,0.23137254901960785,0.25,0.36904761904761907,0.18604651162790697,0.3333333333333333,0.5498923187365399,0.3793103448275862,0.2790484903934126,0.12957411570951416,0.18846701360528342,0.7222222222222222,0.38842420195940647,0.29620314885863497,0.505685277194085,0.12962962962962962,0.4228793708123953,0.26939467780199017,0.4007941576008081,0.20488922841864018,0.20087336244541484,0.037986765080173075,0.03385718840703572,0.06268024043639901,0.19617632041754127,0.3469387755102041,0.13333333333333333,0.2542372881355932
