,accountId,assists,champLevel,champion,creepsPerMinDeltas,csDiffPerMinDeltas,currentAccountId,currentPlatformId,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,damageTakenDiffPerMinDeltas,damageTakenPerMinDeltas,deaths,doubleKills,firstBloodAssist,firstBloodKill,firstInhibitorAssist,firstInhibitorKill,firstTowerAssist,firstTowerKill,gameCreation,gameDuration,gameId,gameVersion,goldEarned,goldPerMinDeltas,goldSpent,highestAchievedSeasonTier,inhibitorKills,item0,item1,item2,item3,item4,item5,item6,killingSprees,kills,lane,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicalDamageTaken,map,matchHistoryUri,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,neutralMinionsKilledTeamJungle,pentaKills,perkPrimaryStyle,perkSubStyle,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,queueId,role,season,sightWardsBoughtInGame,spell_1,spell_2,summonerId,summonerName,timeCCingOthers,totalDamageDealt,totalDamageDealtToChampions,totalDamageTaken,totalHeal,totalMinionsKilled,totalPlayerScore,totalScoreRank,totalTimeCrowdControlDealt,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,xpDiffPerMinDeltas,xpPerMinDeltas,champion_subclass,champion_name,champion_defense,champion_attack,champion_class,champion_difficulty,champion_magic,position,rel_assists,rel_deaths,rel_goldEarned,rel_kills,rel_longestTimeSpentLiving,rel_magicDamageDealt,rel_magicalDamageTaken,rel_neutralMinionsKilled,rel_physicalDamageDealt,rel_physicalDamageDealtToChampions,rel_physicalDamageTaken,rel_timeCCingOthers,rel_totalDamageDealt,rel_totalDamageDealtToChampions,rel_totalDamageTaken,rel_totalHeal,rel_totalMinionsKilled,rel_totalTimeCrowdControlDealt,rel_trueDamageDealt,rel_trueDamageDealtToChampions,rel_trueDamageTaken,rel_visionScore,rel_visionWardsBoughtInGame,rel_wardsPlaced,norm_assists,norm_deaths,norm_goldEarned,norm_kills,norm_longestTimeSpentLiving,norm_magicDamageDealt,norm_magicalDamageTaken,norm_neutralMinionsKilled,norm_physicalDamageDealt,norm_physicalDamageDealtToChampions,norm_physicalDamageTaken,norm_timeCCingOthers,norm_totalDamageDealt,norm_totalDamageDealtToChampions,norm_totalDamageTaken,norm_totalHeal,norm_totalMinionsKilled,norm_totalTimeCrowdControlDealt,norm_trueDamageDealt,norm_trueDamageDealtToChampions,norm_trueDamageTaken,norm_visionScore,norm_visionWardsBoughtInGame,norm_wardsPlaced
15199,5093410,6,17,55,"{'20-30': 10.5, '10-20': 7.9, '0-10': 7}","{'20-30': 5.300000000000001, '10-20': -0.4999999999999991, '0-10': -0.9000000000000004}",5093410,KR,6073,6073,10911,"{'20-30': -338.29999999999995, '10-20': 364.4, '0-10': 113.60000000000002}","{'20-30': 794, '10-20': 765, '0-10': 225.3}",3,0,False,False,True,False,False,False,1519388962838,1895,3123996909,8.4.218.8787,14276,"{'20-30': 647.9, '10-20': 374.8, '0-10': 239.3}",13875,DIAMOND,0,3157,1082,3135,3146,3151,3020,3340,2,5,MIDDLE,0,2,1,1104,148587,10218,10314,11,/v1/stats/player_history/KR/5093410,10,2,5,0,8100,8000.0,21658,1445,9556,0,420,SOLO,11,0,4,14,7391078,CaiQi GoSuGoGoSu,2,173144,12198,20692,6332,258,0,0,14,1,0,2898,533,821,1,0,18,1,1,9,True,"{'20-30': 349.00000000000006, '10-20': 114.29999999999998, '0-10': -24.5}","{'20-30': 720.9000000000001, '10-20': 584.9, '0-10': 458.5}",Mage,Katarina,8,4,Assassin,3,9,mid,0.16216216216216217,0.13636363636363635,0.2561544534558243,0.45454545454545453,0.2828593389700231,0.468346051648653,0.17492919048184394,0.43478260869565216,0.08461808947059973,0.03700763202376684,0.12094059280633812,0.015873015873015872,0.2882423350519154,0.134606047230192,0.14622598175355284,0.13661272923408846,0.2844542447629548,0.012400354295837024,0.10547386810307177,0.1882726951607206,0.23277573008222285,0.07964601769911504,0.03571428571428571,0.07964601769911504,0.13953488372093023,0.16666666666666666,0.3708064130174683,0.1724137931034483,0.505032021957914,0.34369361867488274,0.2192947655830669,0.042735042735042736,0.04081739912443769,0.018541567756919404,0.14212211072052788,0.009259259259259259,0.270084144681742,0.10411455929237738,0.17056972680514113,0.10749511925982515,0.5524017467248908,0.0008908119114278443,0.009526032233358206,0.01851916194711789,0.046576275032620414,0.06802721088435375,0.03333333333333333,0.06779661016949153
15153,209168220,9,18,55,"{'30-end': 2.8, '20-30': 7.1, '10-20': 7.5, '0-10': 7.2}","{'30-end': -2.2, '20-30': 0.3999999999999999, '10-20': -0.09999999999999964, '0-10': -0.6000000000000001}",209168220,KR,4766,1468,22834,"{'30-end': -211.19999999999982, '20-30': 463.5, '10-20': 77.69999999999999, '0-10': 102.10000000000001}","{'30-end': 1126.4, '20-30': 1277.9, '10-20': 754.8, '0-10': 333.2}",7,3,False,False,False,True,False,False,1519622671713,2222,3127331967,8.4.218.8787,16166,"{'30-end': 274.2, '20-30': 575.5999999999999, '10-20': 503.3, '0-10': 249.6}",15875,DIAMOND,1,3146,3157,3151,3111,3026,1058,3363,2,11,MIDDLE,0,6,3,470,170084,30386,16121,11,/v1/stats/player_history/KR/209168220,25,0,23,0,8100,8000.0,24331,1696,14495,0,420,SOLO,11,0,14,4,57501110,duibuqiziji,4,198266,34959,32232,9340,237,0,0,63,1,1,3851,2876,1616,0,0,56,1,3,13,True,"{'30-end': -11.399999999999977, '20-30': -65.29999999999995, '10-20': 87.50000000000006, '0-10': -35.900000000000006}","{'30-end': 380.8, '20-30': 549.6, '10-20': 591.1, '0-10': 428.9}",Mage,Katarina,8,4,Assassin,3,9,mid,0.18,0.2413793103448276,0.19317217727962527,0.2391304347826087,0.14148103552077063,0.4326406023452802,0.292720570878652,0.06265664160401002,0.03096721148730689,0.01489627066242732,0.16559469000262758,0.025157232704402517,0.16102351525153377,0.1903670224351993,0.2111082001571915,0.17533320818471934,0.2355864811133201,0.02428681572860447,0.07341950735910928,0.24782421370099095,0.16047666335650446,0.2196078431372549,0.0625,0.15476190476190477,0.20930232558139536,0.3888888888888889,0.461258674324001,0.3793103448275862,0.21500457456541627,0.39341789953830925,0.35481085622272523,0.10683760683760683,0.046020551771660825,0.021762282986668036,0.23911549262583218,0.018518518518518517,0.3111782872696817,0.3484440246036261,0.30455479571340666,0.1585603938545115,0.5065502183406113,0.004008653601425299,0.012658643937426656,0.09992703519683124,0.09167754013728939,0.32653061224489793,0.03333333333333333,0.1016949152542373
15118,206091414,7,18,7,"{'20-30': 6.1, '10-20': 7, '0-10': 7.5}","{'20-30': -1, '10-20': 0.3999999999999999, '0-10': 0.10000000000000009}",206091414,KR,6917,6477,9850,"{'20-30': 432.7, '10-20': 142.3, '0-10': -61.400000000000034}","{'20-30': 1151.3, '10-20': 684.6, '0-10': 294.9}",4,3,False,False,False,False,False,False,1519655875722,1919,3128113592,8.4.218.8787,16633,"{'20-30': 714, '10-20': 392.1, '0-10': 338.29999999999995}",16000,CHALLENGER,0,3135,0,3165,3146,3020,3285,3340,4,16,MIDDLE,698,9,3,786,117225,30197,13883,11,/v1/stats/player_history/KR/206091414,12,1,8,0,8100,8200.0,28618,3044,11191,0,420,SOLO,11,0,12,4,35801706,명구리버드,27,150709,33242,25184,8641,226,0,0,80,1,1,4865,0,110,2,0,29,6,3,20,True,"{'20-30': 91.5, '10-20': 72.29999999999998, '0-10': 23.700000000000017}","{'20-30': 663.9000000000001, '10-20': 507.7, '0-10': 489.3}",Mage,Leblanc,9,1,Assassin,4,10,mid,0.14285714285714285,0.21052631578947367,0.2762819128614853,0.6956521739130435,0.17782805429864254,0.4167036951460107,0.26351954140804434,0.46153846153846156,0.13549611995700941,0.1260977630488815,0.17863584848436478,0.21774193548387097,0.2237153833365001,0.34908166801432366,0.2060580274591304,0.17957190357439734,0.2634032634032634,0.13029315960912052,0.026858420515085434,0.0,0.01597676107480029,0.10820895522388059,0.17142857142857143,0.12903225806451613,0.16279069767441862,0.2222222222222222,0.4836085187843982,0.5517241379310345,0.3595608417200366,0.2711508035639937,0.3025833702830739,0.05128205128205128,0.05436545091069771,0.039059191869939565,0.17423067103945328,0.125,0.23338535123534337,0.3300127741339889,0.22272405345470167,0.14669382904677022,0.48253275109170307,0.0050903537795876815,0.015991769087400853,0.0,0.006240426618256085,0.14285714285714285,0.2,0.16101694915254236
15062,3440481,8,18,38,"{'20-30': 9.5, '10-20': 7.5, '0-10': 7.3999999999999995}","{'20-30': 1.2000000000000002, '10-20': 1.2000000000000002, '0-10': -0.40000000000000036}",3440481,KR,8660,7505,23474,"{'20-30': -84.19999999999999, '10-20': 392.3, '0-10': 21.00000000000003}","{'20-30': 853.4000000000001, '10-20': 992.3, '0-10': 382.3}",4,3,False,False,True,False,False,False,1519666211922,2079,3128256077,8.4.218.8787,16347,"{'20-30': 440.4, '10-20': 420.29999999999995, '0-10': 314.2}",13350,DIAMOND,0,0,0,0,0,0,0,3340,2,11,MIDDLE,0,8,2,764,169146,35552,15080,11,/v1/stats/player_history/KR/3440481,25,0,17,0,8200,8300.0,26704,2297,13208,0,420,SOLO,11,0,12,4,4460427,Hide on bush,27,200970,38704,29727,6295,264,0,0,252,1,0,5120,855,1438,2,0,43,4,6,20,True,"{'20-30': -33.400000000000034, '10-20': -17.700000000000017, '0-10': 39.99999999999997}","{'20-30': 596.9, '10-20': 464.7, '0-10': 468.79999999999995}",Mage,Kassadin,8,3,Assassin,5,8,mid,0.1568627450980392,0.2222222222222222,0.22952177697902335,0.39285714285714285,0.13548501507359462,0.5323509602371795,0.24439654473850542,0.08833922261484099,0.04720239547207698,0.029211654140119288,0.13982046070460705,0.20454545454545456,0.18116912092815707,0.27539686492717325,0.1806771976101768,0.16297312690933569,0.26720647773279355,0.13636363636363635,0.022672523735298284,0.12866817155756208,0.17198899653151536,0.1902654867256637,0.12903225806451613,0.21505376344086022,0.18604651162790697,0.2222222222222222,0.4699210337401292,0.3793103448275862,0.3494967978042086,0.3912482304937963,0.3305173741569625,0.10683760683760683,0.0506397366694762,0.029474035389372922,0.21384104789772393,0.125,0.31560144472361806,0.38864497568620715,0.2754705151574963,0.1068669892199304,0.5655021834061136,0.016034614405701197,0.01682998103340028,0.02970709843299399,0.08157939524592954,0.23809523809523808,0.13333333333333333,0.16101694915254236
14191,255738,3,15,38,"{'20-30': 4, '10-20': 7.2, '0-10': 6.7}","{'20-30': -2.0999999999999996, '10-20': -0.20000000000000018, '0-10': -0.39999999999999947}",255738,KR,1414,1414,16112,"{'20-30': 317.5, '10-20': 4.699999999999989, '0-10': 31.200000000000017}","{'20-30': 1416, '10-20': 664, '0-10': 374.70000000000005}",8,1,False,False,False,False,False,False,1520359684374,1838,3136966261,8.4.218.8787,12908,"{'20-30': 528.4000000000001, '10-20': 411.8, '0-10': 282.5}",12550,MASTER,1,3157,0,3158,3027,3100,1058,3364,2,8,MIDDLE,0,4,2,587,75867,18268,6809,11,/v1/stats/player_history/KR/255738,8,0,8,0,8200,8300.0,18830,1471,15889,0,420,SOLO,11,0,12,4,1111747,KaBuM Mimimi,18,94748,19790,24547,2579,179,0,0,135,1,0,50,50,1848,0,0,23,6,4,10,True,"{'20-30': -41.5, '10-20': 30.900000000000006, '0-10': -40.400000000000006}","{'20-30': 540.7, '10-20': 463.4, '0-10': 426}",Mage,Kassadin,8,3,Assassin,5,8,mid,0.08108108108108109,0.2857142857142857,0.1826259196378042,0.18181818181818182,0.19724462365591397,0.4202878478993086,0.18296385865914283,0.02768166089965398,0.029777294931218085,0.017649952605497763,0.18847937746883192,0.1836734693877551,0.10837706635676081,0.1621572901132397,0.19027207193240833,0.08115422134113723,0.2148859543817527,0.07305194805194805,0.0008147568765480381,0.00405120725976341,0.24669603524229075,0.12105263157894737,0.25,0.13333333333333333,0.06976744186046512,0.4444444444444444,0.3053362048336923,0.27586206896551724,0.2685269899359561,0.1754864407250118,0.13749970829152178,0.03418803418803419,0.03531252980668721,0.018875187661196155,0.26649123151548476,0.08333333333333333,0.14184529417922948,0.18561138722801293,0.21532817053489534,0.043782361429420255,0.3799126637554585,0.008589972003054213,0.00016435528352929963,0.0017372572183037421,0.10483916718670222,0.10204081632653061,0.2,0.07627118644067797
14958,206227817,6,16,38,"{'20-30': 6.6, '10-20': 9.2, '0-10': 6.9}","{'20-30': -2.4000000000000004, '10-20': -0.20000000000000018, '0-10': -0.30000000000000027}",206227817,KR,318,0,20591,"{'20-30': 375.6000000000001, '10-20': 212.00000000000006, '0-10': -42.30000000000001}","{'20-30': 1314.5, '10-20': 892.3000000000001, '0-10': 333.2}",7,0,False,False,False,False,False,False,1520597006171,1956,3139534865,8.5.220.3006,12071,"{'20-30': 358.4, '10-20': 372.29999999999995, '0-10': 312.6}",11775,CHALLENGER,0,3135,3027,3040,3111,3108,1082,3363,1,4,MIDDLE,0,2,1,562,127696,23177,9187,11,/v1/stats/player_history/KR/206227817,6,0,5,0,8200,8400.0,22751,1570,18392,0,420,SOLO,11,0,12,4,36990696,아라가키 유이,31,150992,25292,29816,3909,243,0,0,263,1,0,545,545,2236,0,0,29,3,8,14,False,"{'20-30': -305.5, '10-20': -35.099999999999966, '0-10': -79.9}","{'20-30': 394.8, '10-20': 535.9000000000001, '0-10': 388.1}",Mage,Kassadin,8,3,Assassin,5,8,mid,0.1276595744680851,0.25925925925925924,0.21345711759504862,0.23529411764705882,0.17197062423500611,0.45062231585485063,0.17840913504485958,0.2727272727272727,0.10421848731796923,0.06205533596837945,0.21147035827622684,0.12757201646090535,0.18777110111822992,0.32216235494924017,0.20283131177763114,0.11947551806345132,0.2758229284903519,0.07448314924950439,0.0018019745673607851,0.19016050244242846,0.2621951219512195,0.12663755458515283,0.0967741935483871,0.11023622047244094,0.13953488372093023,0.3888888888888889,0.2652787748265135,0.13793103448275862,0.25709057639524246,0.2953710642943718,0.19299432918718348,0.02564102564102564,0.04294498829144663,0.020145509604403783,0.31564580428506905,0.14351851851851852,0.2338482778475712,0.24467297143531888,0.276503848877846,0.06636108989050166,0.519650655021834,0.0167345380503945,0.0017914725904693658,0.018936103679510787,0.1268508538038237,0.14285714285714285,0.1,0.11016949152542373
14947,206107682,7,17,105,"{'20-30': 8, '10-20': 9, '0-10': 8.6}",,206107682,KR,7089,4002,15286,,"{'20-30': 1449.6, '10-20': 967.6, '0-10': 379.4}",6,1,False,False,False,False,False,False,1520599710208,1943,3139574507,8.5.220.3006,14271,"{'20-30': 438.70000000000005, '10-20': 498.5, '0-10': 320.8}",13800,CHALLENGER,0,3907,3157,3152,3020,3100,0,3340,2,5,MIDDLE,646,3,2,619,143179,15028,15226,11,/v1/stats/player_history/KR/206107682,17,1,16,0,8100,8200.0,30389,2846,12927,0,420,SOLO,11,0,12,4,36250290,KT Ucal,15,181480,17875,30940,7387,269,0,0,506,1,0,7912,0,2787,1,0,53,6,5,35,True,,"{'20-30': 530.1, '10-20': 537.6, '0-10': 482.8}",Fighter,Fizz,6,6,Assassin,4,7,mid,0.1346153846153846,0.20689655172413793,0.19088574409459352,0.11627906976744186,0.17476002258610954,0.7514932345191733,0.2748772385904102,0.051515151515151514,0.04171253503611362,0.026566350533940707,0.1564008565932271,0.1595744680851064,0.18183712811962693,0.12422166008784122,0.21020449758815138,0.1727024057232366,0.29366812227074235,0.17987913259864913,0.10018867685606109,0.0,0.3048900557925829,0.2190082644628099,0.25,0.3125,0.16279069767441862,0.3333333333333333,0.37056712132089015,0.1724137931034483,0.28316559926806956,0.33118448200886375,0.33392452918251614,0.07264957264957266,0.05781280719136818,0.03651854798352431,0.208322695940771,0.06944444444444445,0.28372003245393634,0.16505469261569178,0.28955404103147603,0.12540531364060775,0.5764192139737991,0.032196487655892086,0.026007580065676373,0.0,0.15810971804617915,0.30612244897959184,0.2,0.288135593220339
14922,210160161,7,17,238,"{'20-30': 8.1, '10-20': 8.5, '0-10': 7.5}","{'20-30': -1.4999999999999996, '10-20': 4.440892098500626e-16, '0-10': 1.3000000000000003}",210160161,KR,10850,4333,17863,"{'20-30': 226.09999999999997, '10-20': -60.400000000000034, '0-10': -103.70000000000002}","{'20-30': 1112, '10-20': 533.4, '0-10': 437.6}",3,1,False,False,False,True,True,False,1521105234840,2008,3144995901,8.5.220.3006,16135,"{'20-30': 532.6, '10-20': 468, '0-10': 300}",14175,UNRANKED,1,3026,3142,3033,3134,3111,3071,3364,2,10,MIDDLE,0,5,2,1207,8381,674,12260,11,/v1/stats/player_history/KR/210160161,28,5,17,0,8100,8400.0,184786,19933,12528,0,420,SOLO,11,0,4,14,66460322,Fotune1,6,193905,21346,25626,6940,269,0,0,139,1,0,737,737,837,2,0,26,5,2,20,True,"{'20-30': -92.79999999999995, '10-20': 41.79999999999998, '0-10': 28}","{'20-30': 607.6, '10-20': 491.2, '0-10': 438.7}",Fighter,Zed,7,9,Assassin,2,1,mid,0.18421052631578946,0.14285714285714285,0.23082315241337872,0.37037037037037035,0.22666666666666666,0.06504815938778202,0.25873166613907356,0.1111111111111111,0.23227219134242882,0.27773829926569965,0.17045825623163166,0.05714285714285714,0.20615821996164005,0.2201776191605896,0.2072747567397054,0.29368202784478015,0.2532956685499058,0.08215130023640661,0.045606435643564355,0.28488596830305374,0.30458515283842796,0.16352201257861634,0.22727272727272727,0.23529411764705882,0.16279069767441862,0.16666666666666666,0.45977506580521654,0.3448275862068966,0.5521500457456542,0.019385923520322722,0.2647079414716109,0.11965811965811966,0.3583557025424009,0.2557709827672488,0.2004870289271617,0.027777777777777776,0.3040446372487437,0.2023143725109224,0.22785589058273056,0.11781682369917663,0.5764192139737991,0.008844489692033596,0.0024225968792218762,0.025607171397797158,0.0474839734498213,0.12244897959183673,0.16666666666666666,0.16101694915254236
14925,206227817,7,18,38,"{'20-30': 9.6, '10-20': 8.5, '0-10': 6.199999999999999}","{'20-30': 1.4999999999999996, '10-20': -4.440892098500626e-16, '0-10': -1.3000000000000003}",206227817,KR,4130,1332,19968,"{'20-30': -226.09999999999997, '10-20': 60.400000000000034, '0-10': 103.70000000000002}","{'20-30': 885.9000000000001, '10-20': 593.8, '0-10': 541.3}",5,1,False,False,False,False,False,False,1521105234840,2008,3144995901,8.5.220.3006,14014,"{'20-30': 516.8, '10-20': 346.6, '0-10': 251.8}",12700,CHALLENGER,0,3100,3027,3040,1082,3191,3047,3363,2,5,MIDDLE,0,3,2,924,149528,23665,7324,11,/v1/stats/player_history/KR/206227817,9,0,9,0,8200,8400.0,28531,1622,19730,0,420,SOLO,11,0,12,4,36990696,아라가키 유이,22,183944,25437,28352,6275,273,0,0,223,1,0,5885,150,1297,0,0,38,5,7,17,False,"{'20-30': 92.79999999999995, '10-20': -41.79999999999998, '0-10': -28}","{'20-30': 700.4, '10-20': 449.4, '0-10': 410.7}",Mage,Kassadin,8,3,Assassin,5,8,mid,0.14583333333333334,0.17857142857142858,0.23906516547253498,0.22727272727272727,0.2255859375,0.5178943139271898,0.14502970297029702,0.072,0.12086487585625506,0.07338038364096997,0.2570516578724513,0.12290502793296089,0.33554789397836515,0.2678481172605509,0.21562915921968284,0.17719981927030384,0.47231833910034604,0.04404503258937389,0.25138829560017084,0.03419193070435377,0.30698224852071004,0.13523131672597866,0.10204081632653061,0.11643835616438356,0.16279069767441862,0.2777777777777778,0.35826752811677437,0.1724137931034483,0.42268984446477587,0.34587022695941005,0.14951809759398846,0.038461538461538464,0.054196100263369455,0.020812749412957285,0.3419218004359694,0.10185185185185185,0.2877506019681742,0.2462294835600116,0.2595060897026553,0.10652745946863594,0.5851528384279476,0.014189361160600662,0.019344616871398566,0.005211771654911226,0.07358030294434674,0.20408163265306123,0.16666666666666666,0.13559322033898305
5424,209090976,6,17,238,"{'20-30': 6.8, '10-20': 7.9, '0-10': 8.8}",,209090976,KR,6895,3508,15454,,"{'20-30': 1298.6, '10-20': 439.5, '0-10': 369.3}",6,1,False,False,False,False,False,False,1521128437102,1961,3145631655,8.5.220.3006,14449,"{'20-30': 462.6, '10-20': 459.6, '0-10': 376.3}",13945,MASTER,0,3142,0,3053,3033,3147,3047,3364,2,9,MIDDLE,0,3,2,640,5630,795,9513,11,/v1/stats/player_history/KR/209090976,6,0,6,0,8100,8200.0,150078,19819,13006,0,420,SOLO,11,0,14,4,57210260,0A2E,4,157246,21673,24264,4053,250,0,0,142,1,0,1537,1058,1743,0,0,35,6,13,6,False,,"{'20-30': 534.8, '10-20': 520, '0-10': 511.2}",Fighter,Zed,7,9,Assassin,2,1,mid,0.1016949152542373,0.16216216216216217,0.19827645355618678,0.18,0.2191780821917808,0.04156944977701645,0.23197346923845985,0.02054794520547945,0.21331987747588962,0.1761986468825846,0.1337336637430208,0.05263157894736842,0.18078408829616005,0.16284836234944058,0.16348531502455918,0.1426660565313809,0.3259452411994785,0.07888888888888888,0.04986536028290562,0.2289052358286456,0.17170722096345187,0.1977401129943503,0.2608695652173913,0.07894736842105263,0.13953488372093023,0.3333333333333333,0.3790859057190715,0.3103448275862069,0.292772186642269,0.013022640427087092,0.2006020862990362,0.02564102564102564,0.29079452705425257,0.25430818780234304,0.20987411873293926,0.018518518518518517,0.24407846524288107,0.20582457571626395,0.21204240151400805,0.06880570409982174,0.5349344978165939,0.009035377958768135,0.00505228141569067,0.03676036273930718,0.09888239632382141,0.1836734693877551,0.2,0.0423728813559322
