,accountId,assists,champLevel,champion,creepsPerMinDeltas,csDiffPerMinDeltas,currentAccountId,currentPlatformId,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,damageTakenDiffPerMinDeltas,damageTakenPerMinDeltas,deaths,doubleKills,firstBloodAssist,firstBloodKill,firstInhibitorAssist,firstInhibitorKill,firstTowerAssist,firstTowerKill,gameCreation,gameDuration,gameId,gameVersion,goldEarned,goldPerMinDeltas,goldSpent,highestAchievedSeasonTier,inhibitorKills,item0,item1,item2,item3,item4,item5,item6,killingSprees,kills,lane,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicalDamageTaken,map,matchHistoryUri,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,neutralMinionsKilledTeamJungle,pentaKills,perkPrimaryStyle,perkSubStyle,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,queueId,role,season,sightWardsBoughtInGame,spell_1,spell_2,summonerId,summonerName,timeCCingOthers,totalDamageDealt,totalDamageDealtToChampions,totalDamageTaken,totalHeal,totalMinionsKilled,totalPlayerScore,totalScoreRank,totalTimeCrowdControlDealt,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,xpDiffPerMinDeltas,xpPerMinDeltas,champion_subclass,champion_name,champion_defense,champion_attack,champion_class,champion_difficulty,champion_magic,position,rel_assists,rel_deaths,rel_goldEarned,rel_kills,rel_longestTimeSpentLiving,rel_magicDamageDealt,rel_magicalDamageTaken,rel_neutralMinionsKilled,rel_physicalDamageDealt,rel_physicalDamageDealtToChampions,rel_physicalDamageTaken,rel_timeCCingOthers,rel_totalDamageDealt,rel_totalDamageDealtToChampions,rel_totalDamageTaken,rel_totalHeal,rel_totalMinionsKilled,rel_totalTimeCrowdControlDealt,rel_trueDamageDealt,rel_trueDamageDealtToChampions,rel_trueDamageTaken,rel_visionScore,rel_visionWardsBoughtInGame,rel_wardsPlaced,norm_assists,norm_deaths,norm_goldEarned,norm_kills,norm_longestTimeSpentLiving,norm_magicDamageDealt,norm_magicalDamageTaken,norm_neutralMinionsKilled,norm_physicalDamageDealt,norm_physicalDamageDealtToChampions,norm_physicalDamageTaken,norm_timeCCingOthers,norm_totalDamageDealt,norm_totalDamageDealtToChampions,norm_totalDamageTaken,norm_totalHeal,norm_totalMinionsKilled,norm_totalTimeCrowdControlDealt,norm_trueDamageDealt,norm_trueDamageDealtToChampions,norm_trueDamageTaken,norm_visionScore,norm_visionWardsBoughtInGame,norm_wardsPlaced
14284,1988033,11,18,420,"{'30-end': 7, '20-30': 8.3, '10-20': 8.7, '0-10': 7.9}","{'30-end': 2, '20-30': 1.5999999999999996, '10-20': 0.5, '0-10': 0.4000000000000008}",1988033,KR,13181,2953,42075,"{'30-end': 1497.3999999999999, '20-30': -142.4999999999999, '10-20': 840.5, '0-10': 233.80000000000004}","{'30-end': 2280.6, '20-30': 1694.8000000000002, '10-20': 1702.5, '0-10': 710.9000000000001}",13,1,False,False,False,False,False,False,1520149781802,2250,3134683017,8.4.218.8787,16923,"{'30-end': 542.6, '20-30': 586.8, '10-20': 352.8, '0-10': 323.7}",21993,CHALLENGER,0,3065,3078,1038,3053,3071,3111,3340,2,5,MIDDLE,0,2,2,402,1537,398,32046,11,/v1/stats/player_history/KR/1988033,12,0,8,0,8300,8100.0,316396,55669,21562,0,420,SOLO,11,0,12,4,2528997,overcomethelimit,6,318366,56500,57682,17742,305,0,0,53,1,0,433,433,4073,1,0,80,4,10,52,True,"{'30-end': 176.00000000000006, '20-30': 79, '10-20': -178.1, '0-10': -31.700000000000017}","{'30-end': 543.2, '20-30': 546.9, '10-20': 441.1, '0-10': 438.79999999999995}",Tank,Illaoi,4,8,Fighter,6,3,mid,0.19298245614035087,0.3611111111111111,0.2130796640686972,0.11904761904761904,0.07969865186360031,0.007800129917583533,0.4091570695334644,0.034482758620689655,0.37040297637304875,0.43290847868857557,0.21408926177828527,0.036585365853658534,0.28677694585966607,0.29998619532552484,0.30335636826438633,0.2960799692939272,0.3304442036836403,0.014933784164553396,0.00735044476132274,0.02389492853595276,0.3668047550432277,0.28368794326241137,0.21052631578947367,0.37410071942446044,0.2558139534883721,0.7222222222222222,0.49748743718592964,0.1724137931034483,0.1838975297346752,0.0035552039673948242,0.7264474574689038,0.05128205128205128,0.614542354207585,0.7143187096608625,0.3778990986037195,0.027777777777777776,0.5076358354271356,0.5796773189347016,0.6000417977684636,0.30119684237331296,0.6550218340611353,0.0033723593789768387,0.0014233167553637347,0.015044647510510406,0.2310659783287003,0.4897959183673469,0.13333333333333333,0.4322033898305085
14263,202484037,9,18,41,"{'20-30': 9, '10-20': 11, '0-10': 7.7}",,202484037,KR,11319,10684,19890,,"{'20-30': 1093.1, '10-20': 806.5, '0-10': 577.2}",2,0,False,False,False,False,False,False,1520172253509,1922,3135349211,8.4.218.8787,18267,"{'20-30': 632.0999999999999, '10-20': 631.9, '0-10': 408.9}",16633,UNRANKED,1,3142,3069,3046,3053,3078,3047,3364,1,5,MIDDLE,1006,4,1,1155,13803,7642,11526,11,/v1/stats/player_history/KR/202484037,30,14,11,0,8300,8400.0,286406,14504,15413,0,420,DUO,11,0,4,12,20200561,슬라임 Lv8,19,311741,25044,27996,6893,302,0,0,1045,1,0,11531,2897,1056,4,0,62,5,6,30,False,,"{'20-30': 680.7, '10-20': 636.6, '0-10': 473.6}",Fighter,Gangplank,9,7,Fighter,6,4,mid,0.2,0.07692307692307693,0.28611032797669395,0.3125,0.3497880072683222,0.04680458585248909,0.27070953801348147,0.46875,0.6188066615388604,0.5819290643556412,0.29093757668422143,0.19387755102040816,0.3297112523889552,0.3246017653234482,0.28203294212461594,0.17851038483451598,0.3629807692307692,0.4771689497716895,0.0614167776298269,0.6162518613061051,0.28494333513221803,0.2440944881889764,0.15625,0.2158273381294964,0.20930232558139536,0.1111111111111111,0.5618090452261306,0.1724137931034483,0.5283623055809699,0.031927443306409085,0.24757881963081374,0.1282051282051282,0.556165044858456,0.1861085804473073,0.2571434182360912,0.08796296296296297,0.49679877250837523,0.24201079897377545,0.2553727548212565,0.11701892878363467,0.648471615720524,0.06649274624586408,0.037903615487527076,0.10065668322851881,0.05990809553525841,0.3673469387755102,0.16666666666666666,0.2457627118644068
24925,202753976,17,17,150,"{'20-30': 7.1, '10-20': 8, '0-10': 5.5}",,202753976,KR,9462,7559,19981,,"{'20-30': 1439.3, '10-20': 689.8, '0-10': 542.1}",3,0,False,False,False,True,False,True,1521294159319,1908,3147716964,8.5.220.3006,15008,"{'20-30': 452.5, '10-20': 531.3, '0-10': 355.40000000000003}",14108,DIAMOND,1,1055,3026,3047,3022,3078,3094,3340,2,7,MIDDLE,693,3,1,569,13231,4583,13751,11,/v1/stats/player_history/KR/202753976,12,4,6,0,8000,8400.0,146125,24572,15890,0,420,DUO,11,0,12,4,20901535,기대한내가멍청,39,164517,30076,31511,9114,212,0,0,972,1,0,5161,921,1869,3,0,25,1,7,14,True,,"{'20-30': 641.5, '10-20': 657.2, '0-10': 441.1}",Tank,Gnar,8,6,Fighter,5,5,mid,0.3090909090909091,0.13636363636363635,0.2581710589692424,0.3684210526315789,0.164593578247035,0.042806994839607225,0.26656457178304194,0.2727272727272727,0.8499493956561697,0.9112553309846096,0.28427794475454415,0.26,0.32524682595853877,0.3349034018150437,0.27531825290730694,0.2743775777463347,0.2782152230971129,0.15140186915887852,0.20800419152023214,0.3353969410050983,0.26826467633127604,0.1152073732718894,0.03571428571428571,0.13592233009708737,0.3953488372093023,0.16666666666666666,0.40583871739650634,0.2413793103448276,0.26029277218664226,0.03060436154365707,0.2995029287531213,0.05128205128205128,0.283099778676223,0.315296472611089,0.2665108697786768,0.18055555555555555,0.25597224403266333,0.29602713698380156,0.29618363152945,0.15472370766488414,0.4519650655021834,0.06184779842199033,0.016964752365894308,0.03200027796115493,0.10603052135927837,0.11564625850340136,0.03333333333333333,0.11016949152542373
14852,208866830,12,17,126,"{'20-30': 8, '10-20': 7.4, '0-10': 8.4}","{'20-30': 0.5, '10-20': -1.2999999999999994, '0-10': 1.2000000000000002}",208866830,KR,19681,7524,18994,"{'20-30': -365.6, '10-20': -372, '0-10': -194.5}","{'20-30': 1026, '10-20': 522.1, '0-10': 226.4}",4,1,False,False,True,False,False,False,1521451393148,1825,3149490167,8.5.220.3006,14343,"{'20-30': 560.9, '10-20': 483.9, '0-10': 286.6}",12425,MASTER,0,3142,3147,3156,3111,1055,3134,3364,1,7,MIDDLE,0,6,2,883,17549,2836,10795,11,/v1/stats/player_history/KR/208866830,16,4,12,0,8200,8000.0,156611,21720,7851,0,420,SOLO,11,0,12,4,55370930,멘탈안좋아,5,185289,25899,18743,1643,243,0,0,267,1,0,11128,1343,96,3,0,18,1,4,9,True,"{'20-30': 222.39999999999998, '10-20': 39.69999999999999, '0-10': 47.900000000000006}","{'20-30': 718.9, '10-20': 513, '0-10': 463.8}",Marksman,Jayce,7,8,Fighter,4,3,mid,0.23529411764705882,0.19047619047619047,0.21580103514684643,0.2,0.20973871733966745,0.09488100001081326,0.250347866419295,0.052980132450331126,0.24658645034922755,0.270065278209512,0.12189858087755799,0.037037037037037035,0.2140535107784016,0.2408559551376838,0.16462745166928705,0.03698617801990005,0.2996300863131936,0.1141025641025641,0.24435660957400088,0.17231203489863997,0.015192277259059977,0.09473684210526316,0.03571428571428571,0.10714285714285714,0.27906976744186046,0.2222222222222222,0.3740129217516152,0.2413793103448276,0.4039341262580055,0.04059224100443186,0.23051970782478823,0.06837606837606838,0.30351139807718885,0.27870093541888546,0.10863887197816226,0.023148148148148147,0.2899507302135678,0.25118885322627393,0.1479408793786065,0.027892369068839656,0.519650655021834,0.016989055739373888,0.03657891190228092,0.04666272888363851,0.00544619050320531,0.06802721088435375,0.03333333333333333,0.06779661016949153
24635,3440481,1,18,157,"{'30-end': 7.2, '20-30': 6, '10-20': 9.7, '0-10': 8.4}","{'30-end': -1.9999999999999996, '20-30': -0.5, '10-20': 1.2000000000000002, '0-10': 0.6999999999999997}",3440481,KR,36810,5908,49926,"{'30-end': -559.5, '20-30': -228.39999999999998, '10-20': -94.5, '0-10': -95.99999999999997}","{'30-end': 881.7, '20-30': 1143.1, '10-20': 756, '0-10': 364.9}",8,2,False,False,False,False,False,False,1522342749080,2581,3159351116,8.6.222.2149,19291,"{'30-end': 430.6, '20-30': 643.9000000000001, '10-20': 402.5, '0-10': 330.4}",19175,DIAMOND,0,3139,3006,3031,3046,3053,3072,3340,4,12,MIDDLE,917,4,3,1029,14309,1173,11636,11,/v1/stats/player_history/KR/3440481,37,11,9,0,8000,8400.0,283943,25872,20966,0,420,SOLO,11,0,14,4,4460427,Hide on bush,28,318782,35040,34979,217,320,0,0,338,1,1,20528,7994,2375,1,0,52,2,10,24,False,"{'30-end': -45.99999999999997, '20-30': 75.40000000000003, '10-20': 26.69999999999999, '0-10': 37.50000000000003}","{'30-end': 609.1, '20-30': 604.4000000000001, '10-20': 543.7, '0-10': 515.6}",Assassin,Yasuo,10,8,Fighter,4,4,mid,0.018518518518518517,0.2857142857142857,0.22128289247287158,0.3870967741935484,0.23477070499657768,0.031890117384337315,0.17504061616222397,0.3008130081300813,0.34236770679724265,0.4405544392602936,0.22284815373822836,0.15053763440860216,0.23567777450839777,0.2422817631806396,0.2025537089582489,0.005086255390961935,0.2612244897959184,0.13640032284100082,0.27529973446342837,0.49483132157226867,0.1958762886597938,0.14130434782608695,0.05128205128205128,0.12121212121212122,0.023255813953488372,0.4444444444444444,0.6108159846853314,0.41379310344827586,0.4707227813357731,0.03309786178884355,0.2501458542391076,0.1581196581196581,0.5513706696358183,0.33197746782492654,0.3661946937412855,0.12962962962962962,0.5083163211892797,0.3493135244801786,0.336448815149369,0.00368389780154486,0.6877729257641921,0.021506744718757954,0.06747770520578925,0.2777526840624023,0.13473648380325637,0.29931972789115646,0.06666666666666667,0.19491525423728814
1816,3440481,4,18,157,"{'30-end': 7.6, '20-30': 13.4, '10-20': 10.8, '0-10': 8.9}","{'30-end': 2.1999999999999993, '20-30': 5, '10-20': 0.5, '0-10': 1.2999999999999994}",3440481,KR,34102,7179,42617,"{'30-end': -125.39999999999986, '20-30': 110.39999999999998, '10-20': 117.50000000000003, '0-10': -126}","{'30-end': 1064.4, '20-30': 922.8, '10-20': 505.5, '0-10': 297.7}",3,0,False,True,False,False,False,False,1522758317912,2220,3164125091,8.6.222.2149,18646,"{'30-end': 417.4, '20-30': 748.5, '10-20': 417, '0-10': 328.6}",16685,DIAMOND,1,3139,3006,3046,3072,3031,1055,3363,1,5,MIDDLE,987,3,1,874,25379,1448,7848,11,/v1/stats/player_history/KR/3440481,41,7,7,0,8000,8400.0,315510,17952,14245,0,420,SOLO,11,0,3,4,4460427,Hide on bush,28,350221,22999,22582,792,382,0,0,301,1,0,9332,3597,488,3,0,95,9,18,23,True,"{'30-end': 126.39999999999998, '20-30': 409.6, '10-20': -68.50000000000003, '0-10': 2.899999999999949}","{'30-end': 573.4, '20-30': 1011.7, '10-20': 521, '0-10': 467.79999999999995}",Assassin,Yasuo,10,8,Fighter,4,4,mid,0.11428571428571428,0.13043478260869565,0.2726222677096279,0.2777777777777778,0.1841550779603877,0.1672972972972973,0.21681953807050502,0.5616438356164384,0.5161768459076899,0.3914437103421208,0.17304211562055855,0.1590909090909091,0.431867226671073,0.27773551184050044,0.1819016625853847,0.07490069982977114,0.3778437190900099,0.0576186830015314,0.1944288184678209,0.3834754797441365,0.08678641294682554,0.2560646900269542,0.19148936170212766,0.13142857142857142,0.09302325581395349,0.16666666666666666,0.5799473558267528,0.1724137931034483,0.39981701738334857,0.05870365744210361,0.1617465170007701,0.1752136752136752,0.6128177027876673,0.23035171236831636,0.23420592682783134,0.12962962962962962,0.5597437055067002,0.22005861073241947,0.19251355524852257,0.013445378151260505,0.8231441048034934,0.019152456095698652,0.03067527011790848,0.1249782842847712,0.027684801724626992,0.5918367346938775,0.3,0.1864406779661017
23896,210167972,10,18,157,"{'20-30': 5.2, '10-20': 9.7, '0-10': 8.1}",,210167972,KR,16021,6331,26814,,"{'20-30': 1246.6999999999998, '10-20': 647.9000000000001, '0-10': 372}",5,3,False,False,True,False,False,False,1522935241842,1986,3166266702,8.7.223.9264,17595,"{'20-30': 608.8, '10-20': 540.9, '0-10': 377.6}",16575,UNRANKED,0,3153,3140,3022,3031,3046,3006,3364,4,16,MIDDLE,724,7,3,862,17730,2586,12995,11,/v1/stats/player_history/KR/210167972,17,9,2,0,8000,8400.0,191586,27567,16058,0,420,SOLO,11,0,4,14,66810156,whatiswrong,40,221530,37894,29149,3368,244,0,0,358,1,2,12213,7740,96,2,0,26,1,3,8,True,,"{'20-30': 620.4, '10-20': 508.6, '0-10': 516.5}",Assassin,Yasuo,10,8,Fighter,4,4,mid,0.16666666666666666,0.14705882352941177,0.25022754422890947,0.37209302325581395,0.2868552412645591,0.04946807174962962,0.30522607163828536,0.05592105263157895,0.36805594244383183,0.47511288821481507,0.2022953174013278,0.26666666666666666,0.24308535035761078,0.3388142306626253,0.22800087605400246,0.13476851666599976,0.31565329883570503,0.031044051335414498,0.37723552123552123,0.7458803122289679,0.01629881154499151,0.14444444444444443,0.06666666666666667,0.0975609756097561,0.23255813953488372,0.2777777777777778,0.5296482412060302,0.5517241379310345,0.39432753888380606,0.04101090848530269,0.2818603999906653,0.07264957264957266,0.37159230486231015,0.3537269192768147,0.26981009799493333,0.18518518518518517,0.3492331448911223,0.3799499769206823,0.26875965122084317,0.05717681011798659,0.5218340611353712,0.022779333163654873,0.04014542155486672,0.26892741739341924,0.00544619050320531,0.12244897959183673,0.03333333333333333,0.059322033898305086
27178,1215033,2,18,266,"{'20-30': 6.2, '10-20': 8.3, '0-10': 8.1}",,1215033,KR,33034,8071,39142,,"{'20-30': 2093.5, '10-20': 1460, '0-10': 462.5}",6,0,False,False,True,False,False,True,1523354114266,2022,3171075845,8.7.223.9264,15941,"{'20-30': 450.8, '10-20': 531.4000000000001, '0-10': 306.29999999999995}",14708,UNRANKED,0,3748,1011,3155,3006,3078,3812,3340,2,9,MIDDLE,0,3,1,738,3219,3219,9471,11,/v1/stats/player_history/KR/1215033,35,8,10,0,8400,8000.0,232196,19799,27932,0,420,DUO,11,0,4,12,1589225,Cut the king,18,240759,23018,45762,22092,255,0,0,552,1,0,5344,0,8358,2,0,25,1,5,13,True,,"{'20-30': 590.4000000000001, '10-20': 617.0999999999999, '0-10': 466.4}",Tank,Aatrox,4,8,Fighter,4,3,mid,0.028985507246376812,0.16666666666666666,0.24970238095238095,0.36,0.24039087947882737,0.013996930154492366,0.15777637102685413,0.7142857142857143,0.620020988152108,0.6361533271214215,0.3454664638294188,0.11392405063291139,0.39214629156676745,0.23931215170922399,0.2952710942490467,0.48979048885932824,0.3298835705045278,0.3075208913649025,0.5640105540897098,0.0,0.5928080005674161,0.11848341232227488,0.03225806451612903,0.11504424778761062,0.046511627906976744,0.3333333333333333,0.45049054797798516,0.3103448275862069,0.3376029277218664,0.007445804535487274,0.19962194581223308,0.14957264957264957,0.45064207254047384,0.25405155710674554,0.5029948351367804,0.08333333333333333,0.38068761777638194,0.2202625674935861,0.461644742189042,0.3750445632798574,0.5458515283842795,0.035123441079155,0.01756629270361154,0.0,0.4741589606853123,0.11564625850340136,0.03333333333333333,0.1016949152542373
3828,2969613,6,18,157,"{'20-30': 10.399999999999999, '10-20': 8.4, '0-10': 9}",,2969613,KR,11935,3374,28274,,"{'20-30': 983.5999999999999, '10-20': 504.7, '0-10': 266.9}",6,0,False,False,True,False,False,False,1523570586851,2047,3173209984,8.7.223.9264,17251,"{'20-30': 629.5, '10-20': 434.3, '0-10': 304.3}",15400,DIAMOND,0,1055,3046,3153,3031,3022,3006,3340,3,8,MIDDLE,702,3,1,595,20619,1382,8950,11,/v1/stats/player_history/KR/2969613,32,1,18,0,8000,8400.0,245808,17572,15405,0,420,DUO,11,0,14,4,3823320,상희야좋아한다,22,277087,23474,27052,2895,307,0,0,415,1,0,10659,4520,2696,1,0,29,4,4,16,True,,"{'20-30': 806.7, '10-20': 516.5, '0-10': 477}",Assassin,Yasuo,10,8,Fighter,4,4,mid,0.13333333333333333,0.24,0.2658048412197039,0.32,0.11805555555555555,0.07217819286724449,0.15916487346837155,0.4444444444444444,0.5841583687825281,0.6106053235110154,0.2276858954462821,0.20754716981132076,0.31439749377926696,0.2421273040464574,0.20788282576788006,0.07670499708547507,0.34225195094760313,0.5129789864029666,0.06095594290419983,0.6807228915662651,0.4322590989257656,0.11788617886178862,0.12903225806451613,0.13114754098360656,0.13953488372093023,0.3333333333333333,0.5131849724814549,0.27586206896551724,0.2721866422689844,0.047693396619202265,0.1874635364402231,0.13675213675213677,0.47713863589026856,0.22547572915196387,0.2569863121305552,0.10185185185185185,0.44011234558207707,0.2251575297615853,0.24441245109080564,0.049146931499872676,0.6593886462882096,0.026406210231611098,0.03503725934277609,0.15704805253465828,0.1529471832983491,0.14285714285714285,0.13333333333333333,0.1271186440677966
4779,201582404,10,18,157,"{'30-end': 6.2, '20-30': 8.899999999999999, '10-20': 9.2, '0-10': 9}",,201582404,KR,26882,12967,36084,,"{'30-end': 2915.8, '20-30': 1046.8, '10-20': 626.3, '0-10': 117.69999999999999}",7,2,False,False,False,True,False,False,1523651765687,2210,3173877755,8.7.223.9264,17765,"{'30-end': 929, '20-30': 548.8, '10-20': 401.8, '0-10': 276.5}",16825,CHALLENGER,2,3140,3031,3026,3072,3046,3006,3340,1,10,MIDDLE,882,9,4,687,17022,1478,15994,11,/v1/stats/player_history/KR/201582404,30,6,8,0,8000,8100.0,246142,25158,16648,1,420,DUO,11,0,12,4,17840534,난 끝나지 않았어,31,270005,31374,34937,4624,302,0,0,388,1,1,6841,4737,2294,4,0,61,3,5,37,False,,"{'30-end': 719.4, '20-30': 703.7, '10-20': 549.7, '0-10': 467.70000000000005}",Assassin,Yasuo,10,8,Fighter,4,4,mid,0.12195121951219512,0.175,0.2501267177292183,0.2702702702702703,0.22182757507265094,0.04978124561321417,0.21912590765858336,0.8333333333333334,0.9017412616361925,0.8296672492827227,0.1613162663152489,0.12601626016260162,0.2559148407007008,0.2554615553728026,0.18631774863609457,0.11255263734391355,0.3813131313131313,0.039398862713241264,0.015542287472112034,0.48013379282383944,0.20270389679243617,0.22676579925650558,0.075,0.22839506172839505,0.23255813953488372,0.3888888888888889,0.5377841588896866,0.3448275862068966,0.3142726440988106,0.03937324784189636,0.35184709808405873,0.1282051282051282,0.4777887866512759,0.3228157519920958,0.28139667327821527,0.14351851851851852,0.42852772979480735,0.3099606041413957,0.33596117451729385,0.0784992784992785,0.648471615720524,0.024688215831000254,0.022487089892478773,0.1645877488620965,0.1301412605661769,0.36054421768707484,0.1,0.3050847457627119
