,accountId,assists,champLevel,champion,creepsPerMinDeltas,csDiffPerMinDeltas,currentAccountId,currentPlatformId,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,damageTakenDiffPerMinDeltas,damageTakenPerMinDeltas,deaths,doubleKills,firstBloodAssist,firstBloodKill,firstInhibitorAssist,firstInhibitorKill,firstTowerAssist,firstTowerKill,gameCreation,gameDuration,gameId,gameVersion,goldEarned,goldPerMinDeltas,goldSpent,highestAchievedSeasonTier,inhibitorKills,item0,item1,item2,item3,item4,item5,item6,killingSprees,kills,lane,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicalDamageTaken,map,matchHistoryUri,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,neutralMinionsKilledTeamJungle,pentaKills,perkPrimaryStyle,perkSubStyle,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,queueId,role,season,sightWardsBoughtInGame,spell_1,spell_2,summonerId,summonerName,timeCCingOthers,totalDamageDealt,totalDamageDealtToChampions,totalDamageTaken,totalHeal,totalMinionsKilled,totalPlayerScore,totalScoreRank,totalTimeCrowdControlDealt,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,xpDiffPerMinDeltas,xpPerMinDeltas,champion_subclass,champion_name,champion_defense,champion_attack,champion_class,champion_difficulty,champion_magic,position,rel_assists,rel_deaths,rel_goldEarned,rel_kills,rel_longestTimeSpentLiving,rel_magicDamageDealt,rel_magicalDamageTaken,rel_neutralMinionsKilled,rel_physicalDamageDealt,rel_physicalDamageDealtToChampions,rel_physicalDamageTaken,rel_timeCCingOthers,rel_totalDamageDealt,rel_totalDamageDealtToChampions,rel_totalDamageTaken,rel_totalHeal,rel_totalMinionsKilled,rel_totalTimeCrowdControlDealt,rel_trueDamageDealt,rel_trueDamageDealtToChampions,rel_trueDamageTaken,rel_visionScore,rel_visionWardsBoughtInGame,rel_wardsPlaced,norm_assists,norm_deaths,norm_goldEarned,norm_kills,norm_longestTimeSpentLiving,norm_magicDamageDealt,norm_magicalDamageTaken,norm_neutralMinionsKilled,norm_physicalDamageDealt,norm_physicalDamageDealtToChampions,norm_physicalDamageTaken,norm_timeCCingOthers,norm_totalDamageDealt,norm_totalDamageDealtToChampions,norm_totalDamageTaken,norm_totalHeal,norm_totalMinionsKilled,norm_totalTimeCrowdControlDealt,norm_trueDamageDealt,norm_trueDamageDealtToChampions,norm_trueDamageTaken,norm_visionScore,norm_visionWardsBoughtInGame,norm_wardsPlaced
15222,207307067,6,17,13,"{'20-30': 4.4, '10-20': 10.5, '0-10': 8.399999999999999}","{'20-30': -6.300000000000001, '10-20': 1.2000000000000002, '0-10': -1.3000000000000007}",207307067,KR,6696,3531,20640,"{'20-30': 252.29999999999995, '10-20': 44.900000000000034, '0-10': 248.9}","{'20-30': 991.7, '10-20': 419.70000000000005, '0-10': 401.8}",2,1,False,False,True,False,False,False,1519365972830,2003,3123691148,8.4.218.8787,15492,"{'20-30': 549.9, '10-20': 473.8, '0-10': 290.9}",14160,DIAMOND,0,3040,3089,3135,3111,3001,0,3363,1,9,MIDDLE,980,8,2,1054,225508,36265,8103,11,/v1/stats/player_history/KR/207307067,52,16,24,0,8300,8200.0,10907,600,11825,0,420,SOLO,11,0,7,4,43080171,KR PLAYER REMIND,24,387692,37193,20256,7032,248,0,0,56,1,0,151276,327,327,1,0,44,4,4,18,True,"{'20-30': -80.10000000000002, '10-20': 111.79999999999998, '0-10': -70}","{'20-30': 490.3, '10-20': 602.5, '0-10': 453.7}",Fighter,Ryze,7,2,Mage,2,10,mid,0.16666666666666666,0.08695652173913043,0.2186683980973083,0.23684210526315788,0.2157183790421613,0.47932085513758466,0.13073150269433062,0.14814814814814814,0.025351968630222002,0.008571183680466273,0.19370003931332722,0.17777777777777778,0.356651217901188,0.2671968505068356,0.16100340987671985,0.20861516553933784,0.2962962962962963,0.02564102564102564,0.8118626966919262,0.05817470201031845,0.11766822598056854,0.2233502538071066,0.18181818181818182,0.20689655172413793,0.13953488372093023,0.1111111111111111,0.4290021536252692,0.3103448275862069,0.48215919487648673,0.5216180457249655,0.16769736995636042,0.2222222222222222,0.019889941544828284,0.007698920867925013,0.18668132990318337,0.1111111111111111,0.6210381333752094,0.37242504589027126,0.16550755262455155,0.11937866055513115,0.5305676855895196,0.003563247645711377,0.4972601974235666,0.011361662207706473,0.01855108640154309,0.24489795918367346,0.13333333333333333,0.1440677966101695
15229,8027026,6,17,61,"{'20-30': 10.7, '10-20': 9.3, '0-10': 9.7}","{'20-30': 6.300000000000001, '10-20': -1.2000000000000002, '0-10': 1.3000000000000007}",8027026,KR,8883,270,8331,"{'20-30': -252.29999999999995, '10-20': -44.900000000000034, '0-10': -248.9}","{'20-30': 739.4000000000001, '10-20': 374.79999999999995, '0-10': 152.89999999999998}",4,0,False,True,False,False,False,False,1519365972830,2003,3123691148,8.4.218.8787,13893,"{'20-30': 500.1, '10-20': 334.5, '0-10': 382.4}",12175,UNRANKED,0,1058,3285,3135,3165,1082,3020,3364,1,4,MIDDLE,0,2,1,1076,215661,23003,10702,11,/v1/stats/player_history/KR/8027026,16,0,12,0,8200,8300.0,17142,1121,4269,0,420,SOLO,11,0,1,4,22033662,SKT T1 Plrean,32,384660,24218,15338,428,314,0,0,1349,1,0,151855,94,366,0,0,24,1,5,6,False,"{'20-30': 80.10000000000002, '10-20': -111.79999999999998, '0-10': 70}","{'20-30': 570.4000000000001, '10-20': 490.70000000000005, '0-10': 523.7}",Support,Orianna,7,4,Mage,3,9,mid,0.10714285714285714,0.17391304347826086,0.24578939919326304,0.5,0.24890122600046263,0.4735971785457037,0.16912136536030342,0.8,0.15560719667398923,0.07661290322580645,0.05100358422939068,0.13675213675213677,0.5059997526960082,0.3463870930831283,0.10225060665048932,0.010836540409155358,0.34543454345434543,0.29667912909610733,0.7800997631780378,0.5222222222222223,0.12111184645929848,0.11428571428571428,0.03125,0.05128205128205128,0.13953488372093023,0.2222222222222222,0.35247666905958364,0.13793103448275862,0.4922232387923147,0.4988411469175896,0.22834939674686705,0.06837606837606838,0.032026737936686214,0.014384150488239898,0.038294613224406436,0.14814814814814814,0.6160784390703518,0.23314404714621553,0.10840715670680026,0.0072659366777013835,0.6746724890829694,0.08583609060829728,0.49916343160683585,0.003266043570411035,0.020763601293470244,0.10884353741496598,0.03333333333333333,0.0423728813559322
15194,209390153,2,15,268,"{'20-30': 5.199999999999999, '10-20': 8.399999999999999, '0-10': 7.9}","{'20-30': -5.300000000000001, '10-20': 0.4999999999999991, '0-10': 0.9000000000000004}",209390153,KR,1126,360,12577,"{'20-30': 338.29999999999995, '10-20': -364.4, '0-10': -113.60000000000002}","{'20-30': 1132.3, '10-20': 400.6, '0-10': 111.69999999999999}",7,1,False,False,False,False,False,False,1519388962838,1895,3123996909,8.4.218.8787,10373,"{'20-30': 367.9, '10-20': 324.6, '0-10': 267.5}",9900,GOLD,0,1056,3108,3101,3165,3102,3020,3363,1,3,MIDDLE,0,3,2,711,103810,19657,8218,11,/v1/stats/player_history/KR/209390153,17,0,13,0,8200,8100.0,10777,1687,9625,0,420,SOLO,11,0,21,4,59931220,Powaro,17,119159,22086,18901,1077,215,0,0,255,1,0,4571,741,1056,0,0,37,2,3,26,False,"{'20-30': -349.00000000000006, '10-20': -114.29999999999998, '0-10': 24.5}","{'20-30': 371.9, '10-20': 470.6, '0-10': 483}",Marksman,Azir,9,6,Mage,3,8,mid,0.05405405405405406,0.30434782608695654,0.16507789996339736,0.08823529411764706,0.24842767295597484,0.3270069773668709,0.23205511944428758,0.05723905723905724,0.02660764281517107,0.027813499521878195,0.13558820629129278,0.09289617486338798,0.158837792408087,0.2015808112153627,0.1618790681740322,0.022135443428219093,0.27044025157232704,0.09615384615384616,0.16503592446835397,0.09230194319880418,0.10198956924859957,0.23417721518987342,0.1,0.38235294117647056,0.046511627906976744,0.3888888888888889,0.184015314668581,0.10344827586206896,0.3252516010978957,0.24012083529945133,0.17038108795594034,0.07264957264957266,0.019636888853418254,0.02164679917364916,0.14347715088077612,0.0787037037037037,0.18177639499581238,0.2102579516300439,0.14977533699450823,0.01828367710720652,0.4585152838427948,0.016225502672435735,0.015025360020248572,0.025746151975261457,0.05990809553525841,0.19727891156462585,0.06666666666666667,0.211864406779661
15170,201383981,14,17,112,"{'20-30': 7.699999999999999, '10-20': 9.9, '0-10': 6.9}","{'20-30': -0.8000000000000003, '10-20': 0.5000000000000009, '0-10': -0.9999999999999991}",201383981,KR,10353,1441,12406,"{'20-30': -12.300000000000011, '10-20': -407.59999999999997, '0-10': -177.49999999999997}","{'20-30': 470.7, '10-20': 350.1, '0-10': 163.2}",2,0,False,False,False,True,False,False,1519455115249,2050,3124953286,8.4.218.8787,13063,"{'20-30': 425.70000000000005, '10-20': 388.9, '0-10': 249.60000000000002}",12075,DIAMOND,2,3116,3100,1058,3020,1056,3198,3364,1,2,MIDDLE,0,2,1,755,155904,20294,5262,11,/v1/stats/player_history/KR/201383981,4,0,4,0,8000,8200.0,16378,660,6642,0,420,SOLO,11,0,1,4,17550796,진한 초콜렛,7,178008,21123,12241,3656,255,0,0,152,1,0,5726,168,337,1,0,25,3,5,9,True,"{'20-30': -16.700000000000017, '10-20': 12.5, '0-10': 46.19999999999999}","{'20-30': 528, '10-20': 574.6, '0-10': 447.7}",Mage,Viktor,9,2,Mage,4,10,mid,0.27450980392156865,0.1,0.18972854424772334,0.07407407407407407,0.2391510928096294,0.3557665099721601,0.12831955519789304,0.012269938650306749,0.03412666330498127,0.01011401250459728,0.10081814180112628,0.1111111111111111,0.1831651993529826,0.17801280970841057,0.11076524933718206,0.08668437025796662,0.28944381384790013,0.09577819785759294,0.10662346610059029,0.01729640687738083,0.09304251794588625,0.12437810945273632,0.15,0.0891089108910891,0.32558139534883723,0.1111111111111111,0.31275424742761426,0.06896551724137931,0.3453796889295517,0.36061842507008635,0.1013978670276073,0.017094017094017096,0.030539566734861124,0.008468812954717514,0.08489621177903026,0.032407407407407406,0.27804059359296485,0.1999205642088088,0.0724494653368784,0.062066038536626775,0.5458515283842795,0.009671672181216595,0.018821967069775392,0.005837184253500573,0.01911839791229364,0.11564625850340136,0.1,0.06779661016949153
15177,2646598,6,16,13,"{'20-30': 8.5, '10-20': 9.399999999999999, '0-10': 7.8999999999999995}","{'20-30': 0.8000000000000003, '10-20': -0.5000000000000009, '0-10': 0.9999999999999991}",2646598,KR,8459,3210,24089,"{'20-30': 12.300000000000011, '10-20': 407.59999999999997, '0-10': 177.49999999999997}","{'20-30': 483, '10-20': 757.7, '0-10': 340.7}",6,0,False,False,False,False,False,False,1519455115249,2050,3124953286,8.4.218.8787,14140,"{'20-30': 472, '10-20': 483.79999999999995, '0-10': 275.6}",13900,MASTER,0,3135,3040,3089,3111,3001,0,3363,2,5,MIDDLE,816,2,1,760,183829,18179,7591,11,/v1/stats/player_history/KR/2646598,20,4,9,0,8300,8200.0,9370,732,13180,0,420,SOLO,11,0,7,4,3412304,TRYyy,31,344052,18941,22243,3532,275,0,0,73,1,0,150853,30,1471,1,0,35,8,4,24,False,"{'20-30': 16.700000000000017, '10-20': -12.5, '0-10': -46.19999999999999}","{'20-30': 544.7, '10-20': 562.1, '0-10': 401.5}",Fighter,Ryze,7,2,Mage,2,10,mid,0.13636363636363635,0.2727272727272727,0.23371128227166044,0.3333333333333333,0.21807747489239598,0.6811079782287317,0.1690608226988263,0.31746031746031744,0.03142671237011745,0.029541143710399936,0.17116883116883116,0.18452380952380953,0.45597461771511727,0.30544580800180615,0.17248920149201646,0.1647772334966177,0.29411764705882354,0.018132141082960754,0.8089153189481361,0.03134796238244514,0.2087413083581666,0.1282051282051282,0.27586206896551724,0.16901408450704225,0.13953488372093023,0.3333333333333333,0.3642976788705432,0.1724137931034483,0.34766697163769444,0.42521118420443926,0.15574899068866538,0.08547008547008547,0.016898080108695864,0.009392683458868515,0.21329117652834784,0.14351851851851852,0.5496525596733668,0.1764977403737776,0.18857759871820176,0.059960954078601136,0.5895196506550219,0.004644947823873759,0.4958697517249087,0.0010423543309822452,0.08345152323140637,0.1836734693877551,0.26666666666666666,0.19491525423728814
15155,206227817,13,18,4,"{'30-end': 5, '20-30': 6.7, '10-20': 7.6, '0-10': 7.800000000000001}","{'30-end': 2.2, '20-30': -0.3999999999999999, '10-20': 0.09999999999999964, '0-10': 0.6000000000000001}",206227817,KR,12343,9489,14634,"{'30-end': 211.19999999999982, '20-30': -463.5, '10-20': -77.69999999999999, '0-10': -102.10000000000001}","{'30-end': 1337.6, '20-30': 814.4000000000001, '10-20': 677.0999999999999, '0-10': 231.1}",6,0,False,False,False,False,False,False,1519622671713,2222,3127331967,8.4.218.8787,15886,"{'30-end': 330.6, '20-30': 516.9, '10-20': 474.6, '0-10': 314.5}",14700,CHALLENGER,0,1058,3135,3157,3158,3100,3027,3340,1,4,MIDDLE,0,3,1,821,179068,24831,15720,11,/v1/stats/player_history/KR/206227817,8,0,4,0,8300,8200.0,13551,2477,12393,0,420,SOLO,11,0,14,4,36990696,아라가키 유이,52,343016,27706,29015,3660,256,0,0,301,1,0,150397,397,901,3,0,41,2,8,15,False,"{'30-end': 11.399999999999977, '20-30': 65.29999999999995, '10-20': -87.50000000000006, '0-10': 35.900000000000006}","{'30-end': 392.2, '20-30': 614.9, '10-20': 503.59999999999997, '0-10': 464.8}",Mage,TwistedFate,9,6,Mage,2,6,mid,0.17567567567567569,0.1935483870967742,0.24834292146073036,0.2857142857142857,0.21258415328845157,0.4503439170072304,0.20852401607704246,0.4,0.11563174646517224,0.12731945515291698,0.11625485450554399,0.15294117647058825,0.3978104052142045,0.29316036737630674,0.15049351915725703,0.06936021831412978,0.3244613434727503,0.0898775753956405,0.43287435456110157,0.0428078499029545,0.08338732068486812,0.14909090909090908,0.06451612903225806,0.1,0.3023255813953488,0.3333333333333333,0.44785833931562574,0.13793103448275862,0.3755718206770357,0.4141986103015331,0.3454528482415813,0.03418803418803419,0.025036643976275336,0.031783711649750426,0.19783586339624123,0.24074074074074073,0.547957888400335,0.27058621466985844,0.26720384539469866,0.06213394448688566,0.5480349344978166,0.019152456095698652,0.4943708315391215,0.013793822313331712,0.05111476711862484,0.22448979591836735,0.06666666666666667,0.11864406779661017
15110,210160161,7,16,163,"{'20-30': 7.1, '10-20': 6.6, '0-10': 7.4}","{'20-30': 1, '10-20': -0.3999999999999999, '0-10': -0.10000000000000009}",210160161,KR,10065,401,8395,"{'20-30': -432.7, '10-20': -142.3, '0-10': 61.400000000000034}","{'20-30': 718.5999999999999, '10-20': 542.3, '0-10': 356.3}",7,0,False,True,False,False,False,False,1519655875722,1919,3128113592,8.4.218.8787,12924,"{'20-30': 414.2, '10-20': 415.4, '0-10': 362.20000000000005}",12360,UNRANKED,0,3102,3165,3020,1056,3285,1058,3363,2,7,MIDDLE,0,2,1,455,149293,19198,9965,11,/v1/stats/player_history/KR/210160161,33,5,24,0,8200,8300.0,6176,485,9297,0,420,SOLO,11,0,4,7,66460322,Fotune1,13,259940,19684,20640,2763,222,0,0,481,4,0,104470,0,1376,0,0,32,0,5,11,False,"{'20-30': -91.5, '10-20': -72.29999999999998, '0-10': -23.700000000000017}","{'20-30': 572.4, '10-20': 435.4, '0-10': 465.6}",Support,Taliyah,5,1,Mage,7,8,mid,0.15217391304347827,0.2413793103448276,0.20339623235391321,0.28,0.1091127098321343,0.5880293201306093,0.21929052418467496,0.10927152317880795,0.01148234979149198,0.009313490158425348,0.1450887980274041,0.22033898305084745,0.27904420328983176,0.23362134447398406,0.18092883816336192,0.11485222596333708,0.2572421784472769,0.23918448533068126,0.7474047947802571,0.0,0.30221831759279594,0.17679558011049723,0.0,0.12359550561797752,0.16279069767441862,0.3888888888888889,0.3061019382627423,0.2413793103448276,0.2081427264409881,0.34532665315827943,0.21115026487129823,0.14102564102564102,0.01068077013666792,0.006223294368239385,0.13703580055379902,0.06018518518518518,0.41206357307370184,0.18447352319203067,0.16996598126066714,0.04690603514132926,0.4737991266375546,0.030605752099770935,0.34340392940611864,0.0,0.07806206387927611,0.16326530612244897,0.0,0.0847457627118644
15093,209090976,9,17,4,"{'20-30': 7, '10-20': 10.5, '0-10': 7.1}","{'20-30': -1.1, '10-20': 4.4, '0-10': -0.09999999999999964}",209090976,KR,8069,8069,10209,"{'20-30': -370.70000000000005, '10-20': -120.70000000000002, '0-10': 33.500000000000014}","{'20-30': 751.6, '10-20': 363.79999999999995, '0-10': 434.90000000000003}",5,0,False,False,True,False,False,False,1519660543877,2001,3128195428,8.4.218.8787,15156,"{'20-30': 516.9, '10-20': 492.8, '0-10': 341.3}",14775,MASTER,1,1058,3157,3135,3027,3100,3111,3340,1,4,MIDDLE,0,2,1,500,168173,12149,9299,11,/v1/stats/player_history/KR/209090976,28,5,16,0,8300,8200.0,23300,2419,9013,0,420,SOLO,11,0,14,4,57210260,다음팟1짱김혜성,27,344793,14887,18581,3926,266,0,0,349,1,0,153319,319,268,2,0,32,1,5,16,False,"{'20-30': -230.20000000000002, '10-20': 211.20000000000002, '0-10': -13.5}","{'20-30': 492.29999999999995, '10-20': 642.5, '0-10': 423.1}",Mage,TwistedFate,9,6,Mage,2,6,mid,0.15789473684210525,0.20833333333333334,0.21056141374567583,0.14814814814814814,0.16129032258064516,0.38135072438791545,0.17633784655061252,0.09427609427609428,0.04550656817977634,0.034000028110812826,0.1084166335871435,0.23076923076923078,0.3015458913538181,0.12212569422226598,0.12672204490274708,0.06973976374455991,0.2703252032520325,0.15401588702559577,0.8052257031065361,0.03529541934056207,0.024916325771662327,0.19047619047619047,0.045454545454545456,0.2191780821917808,0.20930232558139536,0.2777777777777778,0.41292175161521893,0.13793103448275862,0.22872827081427263,0.388997603649115,0.1956080371519918,0.11965811965811966,0.044013649272862825,0.031039482632517674,0.13145853380727007,0.125,0.5508646749371859,0.1329798082806445,0.14605997979774524,0.06664969017910194,0.5698689956331878,0.02220666836345126,0.5039757543085738,0.011083701052777874,0.015203948488114825,0.16326530612244897,0.03333333333333333,0.1271186440677966
15067,797737,5,17,268,"{'20-30': 8.3, '10-20': 6.3, '0-10': 7.8}","{'20-30': -1.2000000000000002, '10-20': -1.2000000000000002, '0-10': 0.40000000000000036}",797737,KR,16396,3804,16368,"{'20-30': 84.19999999999999, '10-20': -392.3, '0-10': -21.00000000000003}","{'20-30': 937.6, '10-20': 600, '0-10': 361.29999999999995}",7,0,False,False,False,False,False,False,1519666211922,2079,3128256077,8.4.218.8787,14589,"{'20-30': 500, '10-20': 448.20000000000005, '0-10': 269.6}",14275,DIAMOND,0,3115,3151,3102,3135,1028,3111,3364,2,7,MIDDLE,0,3,1,542,214193,36619,16402,11,/v1/stats/player_history/KR/797737,50,11,26,0,8200,8000.0,11024,1160,8808,0,420,SOLO,11,0,4,1,1107455,whzjckdkj,20,227626,37780,26754,3943,257,0,0,330,1,0,2408,0,1544,2,0,27,5,7,12,False,"{'20-30': 33.400000000000034, '10-20': 17.700000000000017, '0-10': -39.99999999999997}","{'20-30': 630.3, '10-20': 482.4, '0-10': 428.8}",Marksman,Azir,9,6,Mage,3,8,mid,0.11904761904761904,0.2413793103448276,0.23877250409165302,0.3684210526315789,0.14780474502317972,0.6161735007968517,0.2792780521028435,0.5882352941176471,0.04334866894734773,0.040853701486229486,0.11108588724933788,0.12578616352201258,0.342669354316674,0.3919656381632187,0.183358348582355,0.09292734085927741,0.31227217496962334,0.12931034482758622,0.03862626521871641,0.0,0.19576518321288197,0.09574468085106383,0.14705882352941177,0.08571428571428572,0.11627906976744186,0.3888888888888889,0.38578607322325914,0.2413793103448276,0.24794144556267156,0.4954455454705267,0.3613684628130032,0.21367521367521367,0.02011768896709731,0.014884580344655025,0.1274326898529094,0.09259259259259259,0.359204878559464,0.37872623635368247,0.24095252470132011,0.06693829046770224,0.5502183406113537,0.020997709340799184,0.00791535045477107,0.0,0.08759289725988541,0.1292517006802721,0.16666666666666666,0.09322033898305085
14275,4938867,4,18,8,"{'30-end': 11.8, '20-30': 10.7, '10-20': 9.8, '0-10': 8.1}","{'30-end': 7.4, '20-30': 2.1000000000000005, '10-20': 2, '0-10': -0.6000000000000005}",4938867,KR,6660,673,16340,"{'30-end': -447.6, '20-30': 162.90000000000003, '10-20': 179.10000000000002, '0-10': 87.09999999999997}","{'30-end': 483.4, '20-30': 851.1, '10-20': 799.7, '0-10': 399.79999999999995}",2,1,False,False,False,False,False,False,1520169395033,2221,3135302440,8.4.218.8787,16625,"{'30-end': 473.8, '20-30': 570.3, '10-20': 427, '0-10': 298.5}",16600,DIAMOND,0,1058,3111,3089,3157,3165,3135,3364,2,5,MIDDLE,1105,3,2,1605,233157,17975,8266,11,/v1/stats/player_history/KR/4938867,2,0,1,0,8300,8200.0,18754,1862,18242,0,420,SOLO,11,0,4,14,6933784,언제쯤이길까,4,407548,20104,29379,30108,350,0,0,136,1,0,155635,266,2871,0,0,64,6,15,29,False,"{'30-end': 261.00000000000006, '20-30': 223.59999999999997, '10-20': 62.30000000000001, '0-10': -42.99999999999997}","{'30-end': 645.2, '20-30': 722.7, '10-20': 507.4, '0-10': 453.70000000000005}",Tank,Vladimir,7,2,Mage,6,8,mid,0.12903225806451613,0.14285714285714285,0.24303068399432806,0.4166666666666667,0.2968374329572776,0.587750255864722,0.17844267426548366,0.03389830508474576,0.04505963421783549,0.06537691794529686,0.1980458147866681,0.024390243902439025,0.39471311368238976,0.22476382134272457,0.19124338469349894,0.41133395267500955,0.30017152658662094,0.06207211319032405,0.7086719941716185,0.01616235265524365,0.18906815936779717,0.1833810888252149,0.16216216216216217,0.15591397849462366,0.09302325581395349,0.1111111111111111,0.48322565206987317,0.1724137931034483,0.7342177493138152,0.5393107946817665,0.17150124851228676,0.008547008547008548,0.03516459131017058,0.023892317760127287,0.31270006480626855,0.018518518518518517,0.6535182422529313,0.18898204107045097,0.27143006420601656,0.5111280875986758,0.7532751091703057,0.008653601425299058,0.511588691041651,0.009242208401375908,0.1628751347364838,0.38095238095238093,0.2,0.23728813559322035
