,accountId,assists,champLevel,champion,creepsPerMinDeltas,csDiffPerMinDeltas,currentAccountId,currentPlatformId,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,damageTakenDiffPerMinDeltas,damageTakenPerMinDeltas,deaths,doubleKills,firstBloodAssist,firstBloodKill,firstInhibitorAssist,firstInhibitorKill,firstTowerAssist,firstTowerKill,gameCreation,gameDuration,gameId,gameVersion,goldEarned,goldPerMinDeltas,goldSpent,highestAchievedSeasonTier,inhibitorKills,item0,item1,item2,item3,item4,item5,item6,killingSprees,kills,lane,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicalDamageTaken,map,matchHistoryUri,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,neutralMinionsKilledTeamJungle,pentaKills,perkPrimaryStyle,perkSubStyle,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,queueId,role,season,sightWardsBoughtInGame,spell_1,spell_2,summonerId,summonerName,timeCCingOthers,totalDamageDealt,totalDamageDealtToChampions,totalDamageTaken,totalHeal,totalMinionsKilled,totalPlayerScore,totalScoreRank,totalTimeCrowdControlDealt,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,xpDiffPerMinDeltas,xpPerMinDeltas,champion_subclass,champion_name,champion_defense,champion_attack,champion_class,champion_difficulty,champion_magic,position,rel_assists,rel_deaths,rel_goldEarned,rel_kills,rel_longestTimeSpentLiving,rel_magicDamageDealt,rel_magicalDamageTaken,rel_neutralMinionsKilled,rel_physicalDamageDealt,rel_physicalDamageDealtToChampions,rel_physicalDamageTaken,rel_timeCCingOthers,rel_totalDamageDealt,rel_totalDamageDealtToChampions,rel_totalDamageTaken,rel_totalHeal,rel_totalMinionsKilled,rel_totalTimeCrowdControlDealt,rel_trueDamageDealt,rel_trueDamageDealtToChampions,rel_trueDamageTaken,rel_visionScore,rel_visionWardsBoughtInGame,rel_wardsPlaced,norm_assists,norm_deaths,norm_goldEarned,norm_kills,norm_longestTimeSpentLiving,norm_magicDamageDealt,norm_magicalDamageTaken,norm_neutralMinionsKilled,norm_physicalDamageDealt,norm_physicalDamageDealtToChampions,norm_physicalDamageTaken,norm_timeCCingOthers,norm_totalDamageDealt,norm_totalDamageDealtToChampions,norm_totalDamageTaken,norm_totalHeal,norm_totalMinionsKilled,norm_totalTimeCrowdControlDealt,norm_trueDamageDealt,norm_trueDamageDealtToChampions,norm_trueDamageTaken,norm_visionScore,norm_visionWardsBoughtInGame,norm_wardsPlaced
15214,3656201,4,16,42,"{'20-30': 5, '10-20': 8.100000000000001, '0-10': 7.5}","{'20-30': 0.10000000000000009, '10-20': 0.9000000000000008, '0-10': 0.9999999999999996}",3656201,KR,7403,3919,11255,"{'20-30': -187.40000000000003, '10-20': -74, '0-10': -45.099999999999994}","{'20-30': 909.4, '10-20': 758.4, '0-10': 297.5}",3,0,False,False,False,False,False,False,1519375473801,1973,3123798130,8.4.218.8787,11901,"{'20-30': 376.79999999999995, '10-20': 397.5, '0-10': 295.1}",11783,DIAMOND,0,3094,1055,3078,0,3020,3031,3363,1,3,MIDDLE,678,3,1,1422,138755,21202,8817,11,/v1/stats/player_history/KR/3656201,26,10,16,0,8000,8200.0,22245,3196,11820,0,420,SOLO,11,0,12,4,4661845,SKT T1 WoIf,2,162089,24398,22162,4322,222,0,0,176,1,0,1087,0,1525,0,0,29,4,4,14,False,"{'20-30': -109.5, '10-20': 47.29999999999998, '0-10': 23}","{'20-30': 459.4, '10-20': 501.59999999999997, '0-10': 441.6}",Marksman,Corki,6,8,Marksman,3,6,mid,0.125,0.3,0.19895016633511092,0.25,0.2717889908256881,0.4016168293819521,0.20085197503303112,0.08125,0.049503077669427596,0.056330084424625906,0.14622198030580436,0.01680672268907563,0.1969420275591747,0.22465309429757926,0.1669152093030262,0.09241954453116646,0.26586826347305387,0.07715914072775099,0.0385939996449494,0.0,0.18972381189350584,0.15934065934065933,0.17391304347826086,0.19444444444444445,0.09302325581395349,0.16666666666666666,0.2571428571428571,0.10344827586206896,0.6505032021957914,0.32095141606757893,0.18435975823201325,0.1111111111111111,0.0419600293541122,0.041009585156480566,0.18658313858722334,0.009259259259259259,0.25200056270938026,0.23507626909410995,0.18763714892777114,0.0733723792547322,0.4737991266375546,0.0111987783150929,0.0035730838639269737,0.0,0.08651500538945935,0.14285714285714285,0.13333333333333333,0.11016949152542373
5440,5797364,4,17,81,"{'20-30': 8.7, '10-20': 9.9, '0-10': 8.5}",,5797364,KR,13219,9469,16980,,"{'20-30': 553.6, '10-20': 430.20000000000005, '0-10': 220.5}",4,0,False,False,False,False,False,False,1521063989721,2062,3144773915,8.5.220.3006,16228,"{'20-30': 556.8, '10-20': 545.8, '0-10': 294.7}",15100,DIAMOND,1,3153,3140,3025,3072,3042,3158,3363,1,3,MIDDLE,0,2,1,725,37887,6297,4775,11,/v1/stats/player_history/KR/5797364,56,19,31,0,8300,8200.0,205604,17651,10548,0,420,DUO,11,0,7,4,8239255,바른힘,11,245244,24144,15482,1831,278,0,0,729,4,0,1753,196,158,3,0,24,2,7,14,True,,"{'20-30': 624.8, '10-20': 556, '0-10': 321.5}",Mage,Ezreal,7,7,Marksman,2,6,mid,0.15384615384615385,0.14814814814814814,0.21933879382585894,0.075,0.20905420991926182,0.15131557927024092,0.10609696484913123,0.16091954022988506,0.2817083580531262,0.21713617911182187,0.12492301861765123,0.1111111111111111,0.24608289659449062,0.20178349059363326,0.11309976038805447,0.0560555963752143,0.32629107981220656,0.1128308311406903,0.10717124167023293,0.0687719298245614,0.021239413899717705,0.11707317073170732,0.1,0.13861386138613863,0.09302325581395349,0.2222222222222222,0.4642258913615698,0.10344827586206896,0.33165599268069534,0.08763566214228218,0.09003290471634268,0.23931623931623933,0.39887917123297006,0.22648942039957398,0.16160326780699516,0.05092592592592592,0.3880241048994975,0.23234968923430338,0.11007906744534361,0.031083948731007553,0.5960698689956332,0.04638584881649275,0.005762296240537245,0.006810048295750669,0.00896352186985874,0.10884353741496598,0.06666666666666667,0.11016949152542373
5245,201561359,9,17,42,"{'20-30': 5.8, '10-20': 8.6, '0-10': 6.7}","{'20-30': -2.9, '10-20': -1.4000000000000004, '0-10': -1.3999999999999995}",201561359,KR,11669,2284,7166,"{'20-30': -346.6, '10-20': -65.89999999999998, '0-10': 270.3}","{'20-30': 669.5, '10-20': 462, '0-10': 510.20000000000005}",4,0,False,False,False,True,False,False,1521173428328,1868,3145745719,8.5.220.3006,14484,"{'20-30': 559.2, '10-20': 439.5, '0-10': 287.8}",14608,DIAMOND,1,3031,3087,3078,3094,0,3111,3363,1,7,MIDDLE,562,5,1,741,143426,14666,12957,11,/v1/stats/player_history/KR/201561359,46,4,26,0,8000,8200.0,18259,1547,3985,0,420,SOLO,11,0,4,12,17668208,growsecretly,1,167865,16213,17722,4078,211,0,0,33,1,0,6178,0,779,3,0,26,1,4,12,True,"{'20-30': 119.60000000000002, '10-20': -146.20000000000002, '0-10': -67.20000000000002}","{'20-30': 681.8, '10-20': 523, '0-10': 427.4}",Marksman,Corki,6,8,Marksman,3,6,mid,0.1956521739130435,0.16666666666666666,0.2354471121803729,0.28,0.22778973255456503,0.3900901341949662,0.264218275250311,0.6052631578947368,0.09312395446570647,0.07479572595851666,0.09565071287984254,0.008064516129032258,0.23242531485727577,0.22044406977850897,0.18506876638227215,0.20454431459096153,0.26641414141414144,0.042690815006468305,0.03898234499817014,0.0,0.15416584207401543,0.1145374449339207,0.02702702702702703,0.08759124087591241,0.20930232558139536,0.2222222222222222,0.38076094759511847,0.2413793103448276,0.3389752973467521,0.3317558127700521,0.2809736062168911,0.19658119658119658,0.03420104452364777,0.01985038430446666,0.032717346477877496,0.004629629629629629,0.2614488457914573,0.1472138432968,0.13608656782268458,0.06923011628893982,0.4497816593886463,0.0020997709340799184,0.02030773883288026,0.0,0.044193566687468086,0.12244897959183673,0.03333333333333333,0.09322033898305085
24910,204395791,10,15,498,"{'20-30': 8.8, '10-20': 6, '0-10': 6}",,204395791,KR,1526,1198,10688,,"{'20-30': 802.4, '10-20': 386.20000000000005, '0-10': 404.3}",5,1,False,False,False,False,False,False,1521296487765,1919,3147776847,8.5.220.3006,12541,"{'20-30': 576, '10-20': 362.1, '0-10': 218.2}",12450,DIAMOND,0,3031,0,3508,3006,3094,3155,3363,1,7,MIDDLE,733,6,2,627,4838,2024,7978,11,/v1/stats/player_history/KR/204395791,15,0,14,0,8000,8200.0,150395,26646,10330,0,420,DUO,11,0,7,4,27973206,spacecarry,22,160631,29273,18442,4997,217,0,0,209,4,0,5398,602,134,1,0,12,0,3,12,False,,"{'20-30': 629.5999999999999, '10-20': 464.29999999999995, '0-10': 284.79999999999995}",Marksman,Xayah,5,10,Marksman,6,1,mid,0.17857142857142858,0.2,0.18865455201877368,0.21875,0.15330073349633253,0.017622846319163662,0.16922979021275694,0.05747126436781609,0.2638832839120594,0.3588300250478063,0.16096109197999284,0.21568627450980393,0.1811649613829941,0.2508591065292096,0.1583031468351388,0.15277607924666747,0.2540983606557377,0.0698296024056131,0.12794197814699818,0.07468982630272952,0.025893719806763284,0.06818181818181818,0.0,0.13636363636363635,0.23255813953488372,0.2777777777777778,0.2877721943048576,0.2413793103448276,0.2868252516010979,0.011190681063276616,0.1647802851742083,0.0641025641025641,0.29141158630946007,0.3419090757445498,0.15732212643113844,0.10185185185185185,0.2496155909757119,0.287407280182917,0.14444612151540132,0.08483150836092013,0.462882096069869,0.013298549249172818,0.017743796409823185,0.020916576908377053,0.007601974244057412,0.027210884353741496,0.0,0.09322033898305085
24894,207100227,6,18,96,"{'30-end': 4.4, '20-30': 8, '10-20': 8.5, '0-10': 9.100000000000001}","{'30-end': -2.1999999999999993, '20-30': 3.000000000000001, '10-20': 0.7999999999999998, '0-10': 1.8000000000000003}",207100227,KR,4521,2791,8123,"{'30-end': -739.8, '20-30': -186.99999999999997, '10-20': -391.4, '0-10': -102.80000000000003}","{'30-end': 814.8, '20-30': 354.20000000000005, '10-20': 470.4, '0-10': 289}",4,0,False,False,False,False,False,True,1521306248955,2331,3147957733,8.5.220.3006,17592,"{'30-end': 453.2, '20-30': 360, '10-20': 659.7, '0-10': 349.4}",17625,CHALLENGER,0,3089,3040,3135,3158,3151,3116,3363,2,10,MIDDLE,948,6,1,603,260631,50274,9517,11,/v1/stats/player_history/KR/207100227,52,8,33,0,8300,8000.0,25998,2029,5888,0,420,SOLO,11,0,1,4,41913808,DWG ShowMaker,42,442374,53339,15597,1359,301,0,0,1816,1,0,155745,1034,191,2,0,55,5,8,19,False,"{'30-end': -13.399999999999977, '20-30': -74.79999999999998, '10-20': 142.5, '0-10': 8}","{'30-end': 532.6, '20-30': 416.9, '10-20': 598.7, '0-10': 458.7}",Mage,KogMaw,6,8,Marksman,2,5,mid,0.13043478260869565,0.14285714285714285,0.22874083320330785,0.38461538461538464,0.15227272727272728,0.4679864253393665,0.14971133728704242,0.14246575342465753,0.04290927456291066,0.025803415868655654,0.08422859595164867,0.30434782608695654,0.3270780175718649,0.33045455390276995,0.11476061188000794,0.025876349511605324,0.27388535031847133,0.5419277827514175,0.8210198368977897,0.1758204387009012,0.07856849033319621,0.19298245614035087,0.35714285714285715,0.1532258064516129,0.13953488372093023,0.2222222222222222,0.5295046661880832,0.3448275862068966,0.2758462946020128,0.6028603547339495,0.20069543301206505,0.2222222222222222,0.049265465899203276,0.026035184068366416,0.07008896133225978,0.19444444444444445,0.7104860238693468,0.5457453546164003,0.11141427393793031,0.023071046600458365,0.6462882096069869,0.11555103079664036,0.5119502726654154,0.03592647927452139,0.010835649855335566,0.3197278911564626,0.16666666666666666,0.15254237288135594
24865,204395791,7,18,42,"{'30-end': 8.8, '20-30': 7.7, '10-20': 7.8999999999999995, '0-10': 7.4}","{'30-end': 1.8000000000000007, '20-30': -1.5, '10-20': -1.2000000000000002, '0-10': -1.8000000000000003}",204395791,KR,16846,2929,11498,"{'30-end': -269.20000000000005, '20-30': 137.99999999999997, '10-20': 194.80000000000004, '0-10': -97.30000000000001}","{'30-end': 1364.2, '20-30': 673.3, '10-20': 778.9000000000001, '0-10': 113.89999999999999}",4,0,False,False,False,False,False,False,1521355552922,2131,3148333982,8.5.220.3006,15417,"{'30-end': 729.8, '20-30': 412.3, '10-20': 385.1, '0-10': 260.1}",14533,DIAMOND,0,3094,3031,3111,3087,3078,1033,3363,2,8,MIDDLE,806,4,1,641,182736,18873,12306,11,/v1/stats/player_history/KR/204395791,27,0,16,0,8000,8200.0,30923,2530,11628,0,420,SOLO,11,0,12,4,27973206,spacecarry,1,217136,21404,24605,4271,282,0,0,64,1,0,3477,0,670,1,0,49,2,5,16,True,"{'30-end': 303, '20-30': -179, '10-20': -121.39999999999998, '0-10': -50.30000000000001}","{'30-end': 825.6, '20-30': 500.7, '10-20': 449.2, '0-10': 443.8}",Marksman,Corki,6,8,Marksman,3,6,mid,0.12280701754385964,0.14285714285714285,0.2201673711870216,0.25806451612903225,0.18875147232037692,0.4059041082197714,0.18198757763975154,0.48214285714285715,0.12852665879731998,0.105399100149975,0.18101435287524517,0.004405286343612335,0.29961364389005407,0.1936452791951652,0.17657739120450108,0.07685663385578809,0.30257510729613735,0.022260869565217393,0.10248776749395744,0.0,0.08957219251336898,0.21120689655172414,0.09523809523809523,0.1415929203539823,0.16279069767441862,0.2222222222222222,0.4254127781765973,0.27586206896551724,0.29322964318389755,0.4226829877591806,0.2657814286714429,0.11538461538461539,0.05885226978531399,0.032463782993083806,0.1828125920543587,0.004629629629629629,0.3420455140284757,0.20293697736079952,0.21600157902680864,0.07250657838893133,0.6048034934497817,0.004072283023670145,0.011429266416627495,0.0,0.03800987122028706,0.2789115646258503,0.06666666666666667,0.1271186440677966
24772,209283927,4,17,236,"{'20-30': 9.5, '10-20': 8.9, '0-10': 9.100000000000001}","{'20-30': 2.5, '10-20': -1.0999999999999996, '0-10': 3.500000000000001}",209283927,KR,7530,3934,14635,"{'20-30': -290.4, '10-20': -5.7000000000000455, '0-10': -272.20000000000005}","{'20-30': 696.0999999999999, '10-20': 690.9, '0-10': 424.29999999999995}",8,0,False,False,False,False,True,False,1521449590697,2065,3149436645,8.5.220.3006,14839,"{'20-30': 456.5, '10-20': 421.79999999999995, '0-10': 373.5}",14625,MASTER,0,3153,3046,3071,3036,3047,1037,3363,0,4,MIDDLE,489,0,1,286,10562,2058,7711,11,/v1/stats/player_history/KR/209283927,29,4,21,0,8000,8100.0,206422,24125,15025,0,420,SOLO,11,0,4,14,58910718,Ganymede1,5,227403,27614,23585,1287,325,0,0,152,1,0,10419,1431,849,1,0,52,6,8,34,False,"{'20-30': -7.000000000000028, '10-20': -120.69999999999996, '0-10': 43.49999999999997}","{'20-30': 535.6, '10-20': 526, '0-10': 480.9}",Marksman,Lucian,6,8,Marksman,5,3,mid,0.07692307692307693,0.24242424242424243,0.2084626947445317,0.13333333333333333,0.10328638497652583,0.08333136090006076,0.22739604836331465,0.08841463414634146,0.26068156417525934,0.27050816289917473,0.18203295371940878,0.05952380952380952,0.23674840660221588,0.2602589960603947,0.19675153497063536,0.0433187478963312,0.3487124463519313,0.07132801501642422,0.24855077649753096,0.37450929076158074,0.2483908718548859,0.22413793103448276,0.23076923076923078,0.2786885245901639,0.09302325581395349,0.4444444444444444,0.3977506580521656,0.13793103448275862,0.13083257090576395,0.024430751010815963,0.1585493920795314,0.12393162393162394,0.4004714566296885,0.3095607765644849,0.2495237721175939,0.023148148148148147,0.3588400989321608,0.2695986345631568,0.2041588779621266,0.021848739495798318,0.6986899563318777,0.009671672181216595,0.034248353981835455,0.049720301587853094,0.04816474726272196,0.29931972789115646,0.2,0.2796610169491525
24552,201561359,3,16,51,"{'30-end': 6.6, '20-30': 7.8, '10-20': 10.3, '0-10': 8.3}",,201561359,KR,14804,3829,8374,,"{'30-end': 514.8, '20-30': 723.7, '10-20': 446.5, '0-10': 283.5}",4,0,False,False,,,False,False,1522495666498,2271,3161006124,8.6.222.2149,14765,"{'30-end': 435.2, '20-30': 443.8, '10-20': 389.20000000000005, '0-10': 278.3}",14375,DIAMOND,0,3036,3031,3094,3006,1038,3087,3363,1,4,MIDDLE,2216,2,1,765,28699,2613,8590,11,/v1/stats/player_history/KR/201561359,25,1,15,0,8000,8200.0,219836,19545,9753,0,420,DUO,11,0,4,7,17668208,growsecretly,15,252291,22718,19400,5700,312,0,0,208,2,0,3755,560,1056,2,0,51,4,6,16,False,,"{'30-end': 470.8, '20-30': 452, '10-20': 475, '0-10': 325.79999999999995}",Marksman,Caitlyn,6,8,Marksman,2,2,mid,0.12,0.26666666666666666,0.20336905319412688,0.16,0.20152792413066387,0.06693581867457796,0.1477798613381045,0.05707762557077625,0.3336267391885001,0.3614892357771695,0.1362303050620181,0.14150943396226415,0.19600273776570662,0.23809923072085856,0.14000952642138537,0.09207210699748013,0.31106679960119643,0.1011181332036947,0.01882243252997554,0.1173512154233026,0.11948404616429056,0.18478260869565216,0.11764705882352941,0.18823529411764706,0.06976744186046512,0.2222222222222222,0.3942091409428093,0.13793103448275862,0.34995425434583716,0.06638308305807682,0.17906233226762502,0.10683760683760683,0.42658260126487413,0.25079234727265726,0.14599084856935252,0.06944444444444445,0.3995514682788945,0.21704219758042873,0.15556897212321052,0.09676597911892029,0.6703056768558951,0.013234919826927972,0.012343081793050402,0.019457280845001913,0.05990809553525841,0.2925170068027211,0.13333333333333333,0.1271186440677966
20410,4699649,17,17,51,"{'20-30': 8.8, '10-20': 10.3, '0-10': 8}",,4699649,KR,8513,8513,16508,,"{'20-30': 822.3, '10-20': 627.1, '0-10': 446.79999999999995}",4,0,False,True,False,False,False,False,1523251028345,2025,3170102340,8.7.223.9264,17019,"{'20-30': 523.2, '10-20': 450.1, '0-10': 347}",14050,MASTER,0,3031,3087,3094,3036,1053,3006,3363,2,7,MIDDLE,2036,2,1,547,38713,4755,8476,11,/v1/stats/player_history/KR/4699649,23,10,13,0,8000,8200.0,228084,26040,13408,0,420,DUO,11,0,4,7,6112582,Peecaboo,24,274645,33242,22699,3972,309,0,0,273,2,0,7848,2446,814,2,0,49,2,16,10,True,,"{'20-30': 555, '10-20': 521.5, '0-10': 350.8}",Marksman,Caitlyn,6,8,Marksman,2,2,mid,0.4358974358974359,0.10256410256410256,0.23472216475650626,0.15217391304347827,0.2093379257558362,0.12840430789437898,0.18169735685652424,0.08013937282229965,0.36001117517721654,0.2810516772438803,0.13360037465498859,0.25,0.2812300004607894,0.24504809995945598,0.14438648940907067,0.07442522812868894,0.3523375142531357,0.10047846889952153,0.1889172403832266,0.4360071301247772,0.07981957246518925,0.2648648648648649,0.08,0.1388888888888889,0.3953488372093023,0.2222222222222222,0.5020818377602297,0.2413793103448276,0.25022872827081427,0.08954626622625624,0.17640195094630232,0.09829059829059829,0.44263782125525813,0.33413316566794554,0.2177687005361246,0.1111111111111111,0.4361177632956449,0.3300127741339889,0.19387198272358905,0.0674306086070792,0.6637554585152838,0.017370832272842963,0.025797205302758867,0.08498662311941906,0.046179156975095025,0.2789115646258503,0.06666666666666667,0.07627118644067797
27162,4566463,8,15,81,"{'20-30': 7.6000000000000005, '10-20': 11.600000000000001, '0-10': 7.300000000000001}",,4566463,KR,8489,8269,9427,,"{'20-30': 441.6, '10-20': 321.1, '0-10': 242.1}",2,2,False,False,True,False,False,False,1523357703818,1832,3171114231,8.7.223.9264,15513,"{'20-30': 590.1, '10-20': 565.5, '0-10': 275.6}",13625,DIAMOND,0,3139,3158,1036,3153,3042,3025,3363,2,9,MIDDLE,0,5,2,971,27523,8523,2594,11,/v1/stats/player_history/KR/4566463,12,0,12,0,8300,8200.0,142660,20774,7535,0,420,DUO,11,0,4,7,5761306,ulRD1,16,173922,30480,10310,1579,269,0,0,949,2,0,3737,1181,179,3,0,14,1,3,11,True,,"{'20-30': 573.9000000000001, '10-20': 535.5, '0-10': 280.29999999999995}",Mage,Ezreal,7,7,Marksman,2,6,mid,0.2,0.1,0.24554822166294696,0.28125,0.2250289687137891,0.13848468381435414,0.08295225608391162,0.04152249134948097,0.2574569762069762,0.2950391274090696,0.11146284818271919,0.20512820512820512,0.18664443099429515,0.3006510159794831,0.10175379726222082,0.049968354430379745,0.33709273182957394,0.1529165323880116,0.02088012783979796,0.3843150016270745,0.0731807031888798,0.0945945945945946,0.043478260869565216,0.11956521739130435,0.18604651162790697,0.1111111111111111,0.43000717875089733,0.3103448275862069,0.4441903019213175,0.06366290097241883,0.03913560943735269,0.05128205128205128,0.27635495117056336,0.2665623035171237,0.10243318080948921,0.07407407407407407,0.271356783919598,0.3003639018001868,0.05002960675266171,0.026805873864697394,0.5764192139737991,0.06038432171035887,0.012283913890979853,0.04103401549633439,0.010154876042434901,0.04081632653061224,0.03333333333333333,0.0847457627118644
