,accountId,assists,champLevel,champion,creepsPerMinDeltas,csDiffPerMinDeltas,currentAccountId,currentPlatformId,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,damageTakenDiffPerMinDeltas,damageTakenPerMinDeltas,deaths,doubleKills,firstBloodAssist,firstBloodKill,firstInhibitorAssist,firstInhibitorKill,firstTowerAssist,firstTowerKill,gameCreation,gameDuration,gameId,gameVersion,goldEarned,goldPerMinDeltas,goldSpent,highestAchievedSeasonTier,inhibitorKills,item0,item1,item2,item3,item4,item5,item6,killingSprees,kills,lane,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicalDamageTaken,map,matchHistoryUri,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,neutralMinionsKilledTeamJungle,pentaKills,perkPrimaryStyle,perkSubStyle,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,queueId,role,season,sightWardsBoughtInGame,spell_1,spell_2,summonerId,summonerName,timeCCingOthers,totalDamageDealt,totalDamageDealtToChampions,totalDamageTaken,totalHeal,totalMinionsKilled,totalPlayerScore,totalScoreRank,totalTimeCrowdControlDealt,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,xpDiffPerMinDeltas,xpPerMinDeltas,champion_subclass,champion_name,champion_defense,champion_attack,champion_class,champion_difficulty,champion_magic,position,rel_assists,rel_deaths,rel_goldEarned,rel_kills,rel_longestTimeSpentLiving,rel_magicDamageDealt,rel_magicalDamageTaken,rel_neutralMinionsKilled,rel_physicalDamageDealt,rel_physicalDamageDealtToChampions,rel_physicalDamageTaken,rel_timeCCingOthers,rel_totalDamageDealt,rel_totalDamageDealtToChampions,rel_totalDamageTaken,rel_totalHeal,rel_totalMinionsKilled,rel_totalTimeCrowdControlDealt,rel_trueDamageDealt,rel_trueDamageDealtToChampions,rel_trueDamageTaken,rel_visionScore,rel_visionWardsBoughtInGame,rel_wardsPlaced,norm_assists,norm_deaths,norm_goldEarned,norm_kills,norm_longestTimeSpentLiving,norm_magicDamageDealt,norm_magicalDamageTaken,norm_neutralMinionsKilled,norm_physicalDamageDealt,norm_physicalDamageDealtToChampions,norm_physicalDamageTaken,norm_timeCCingOthers,norm_totalDamageDealt,norm_totalDamageDealtToChampions,norm_totalDamageTaken,norm_totalHeal,norm_totalMinionsKilled,norm_totalTimeCrowdControlDealt,norm_trueDamageDealt,norm_trueDamageDealtToChampions,norm_trueDamageTaken,norm_visionScore,norm_visionWardsBoughtInGame,norm_wardsPlaced
15216,4586738,9,16,3,"{'20-30': 4.9, '10-20': 7.199999999999999, '0-10': 6.5}","{'20-30': -0.10000000000000009, '10-20': -0.9000000000000008, '0-10': -0.9999999999999996}",4586738,KR,3409,1727,39804,"{'20-30': 187.40000000000003, '10-20': 74, '0-10': 45.099999999999994}","{'20-30': 1096.8, '10-20': 832.4, '0-10': 342.6}",2,0,False,False,True,False,False,False,1519375473801,1973,3123798130,8.4.218.8787,11149,"{'20-30': 357.4, '10-20': 283.6, '0-10': 242.5}",9925,CHALLENGER,0,3136,3165,3111,3001,1026,0,3340,1,2,MIDDLE,0,2,1,885,126018,15341,8783,11,/v1/stats/player_history/KR/4586738,8,0,8,0,8400,8300.0,9599,381,16120,0,420,SOLO,11,0,12,4,5802440,누구를 위한,40,263844,15813,25348,3959,199,0,0,179,1,0,128226,91,445,0,0,24,3,3,17,True,"{'20-30': 109.5, '10-20': -47.29999999999998, '0-10': -23}","{'20-30': 568.9, '10-20': 454.29999999999995, '0-10': 418.6}",Mage,Galio,5,1,Tank,10,6,mid,0.2903225806451613,0.125,0.1879784184791772,0.14285714285714285,0.17254825502047183,0.7487389116317206,0.22469811706917725,0.25,0.02108192278380652,0.008977802912484095,0.2162510228995345,0.33613445378151263,0.3450384474551446,0.18949071300179748,0.2072642234541857,0.07780441789167518,0.2397590361445783,0.1716203259827421,0.9090754407980093,0.008557457212713936,0.05136195752539243,0.10619469026548672,0.125,0.12142857142857143,0.20930232558139536,0.1111111111111111,0.22115338597750658,0.06896551724137931,0.4048490393412626,0.2914897160462986,0.18356631117126787,0.03418803418803419,0.017343842157410454,0.004888814751132383,0.27102767031283753,0.18518518518518517,0.41844967022613067,0.14292001674592356,0.2246281740180427,0.06720991426873779,0.42358078602620086,0.011389666581827437,0.42149241171655943,0.0031618081373128103,0.025245362228399616,0.10884353741496598,0.1,0.13559322033898305
15098,209230380,17,17,3,"{'20-30': 8.1, '10-20': 6.1, '0-10': 7.199999999999999}","{'20-30': 1.1, '10-20': -4.4, '0-10': 0.09999999999999964}",209230380,KR,6091,2918,38752,"{'20-30': 370.70000000000005, '10-20': 120.70000000000002, '0-10': -33.500000000000014}","{'20-30': 1122.3, '10-20': 484.5, '0-10': 401.4}",4,0,False,False,False,False,False,False,1519660543877,2001,3128195428,8.4.218.8787,13356,"{'20-30': 438.6, '10-20': 331.1, '0-10': 302.3}",11550,UNRANKED,0,3135,3030,3001,3047,1082,1058,3340,1,4,MIDDLE,0,2,1,543,168498,17517,4749,11,/v1/stats/player_history/KR/209230380,10,0,6,0,8400,8200.0,9082,293,13454,0,420,SOLO,11,0,12,4,58390689,KT Kingen,27,178204,18434,21938,3520,244,0,0,205,1,0,623,623,3733,1,0,30,2,5,17,True,"{'20-30': 230.20000000000002, '10-20': -211.20000000000002, '0-10': 13.5}","{'20-30': 722.5, '10-20': 431.29999999999995, '0-10': 436.6}",Mage,Galio,5,1,Tank,10,6,mid,0.2982456140350877,0.15384615384615385,0.2145852412396973,0.17391304347826086,0.14009287925696595,0.4386997669786636,0.08746339576772197,0.2857142857142857,0.04677151891563411,0.012181939131880924,0.1772362007640627,0.26732673267326734,0.1645332604552908,0.18916367367880965,0.1553957853727643,0.060819683461192896,0.2801377726750861,0.2139874739039666,0.0012341032447208905,0.049128617616907184,0.34054004743659916,0.11904761904761904,0.09523809523809523,0.14049586776859505,0.3953488372093023,0.2222222222222222,0.32677674084709263,0.13793103448275862,0.2483989021043001,0.38974935465067867,0.08942615108165504,0.042735042735042736,0.016337471069264416,0.003759639690503381,0.21867206064295674,0.125,0.2783612070770519,0.17105531522054165,0.18503639889003703,0.059757236227824466,0.5218340611353712,0.013044031560193433,0.002047866832775073,0.021646224940064625,0.2117773869631815,0.14965986394557823,0.06666666666666667,0.13559322033898305
14286,208710504,18,17,3,"{'30-end': 5, '20-30': 6.7, '10-20': 8.2, '0-10': 7.5}","{'30-end': -2, '20-30': -1.5999999999999996, '10-20': -0.5, '0-10': -0.4000000000000008}",208710504,KR,4597,2161,67256,"{'30-end': -1497.3999999999999, '20-30': 142.4999999999999, '10-20': -840.5, '0-10': -233.80000000000004}","{'30-end': 783.2, '20-30': 1837.3, '10-20': 862, '0-10': 477.1}",5,0,False,False,True,False,False,False,1520149781802,2250,3134683017,8.4.218.8787,17170,"{'30-end': 382.4, '20-30': 425.5, '10-20': 622.3, '0-10': 335.1}",17425,CHALLENGER,0,3151,3152,3157,3047,3027,3165,3340,2,13,MIDDLE,0,7,1,1046,204286,51820,2689,11,/v1/stats/player_history/KR/208710504,11,3,8,0,8400,8200.0,5506,703,35386,0,420,SOLO,11,0,12,4,54692988,담원 쇼메이커,59,209792,52524,39693,7523,257,0,0,185,1,0,0,0,1617,1,0,19,3,3,17,False,"{'30-end': -176.00000000000006, '20-30': -79, '10-20': 178.1, '0-10': 31.700000000000017}","{'30-end': 367.2, '20-30': 467.9, '10-20': 619.2, '0-10': 470.5}",Mage,Galio,5,1,Tank,10,6,mid,0.2222222222222222,0.15151515151515152,0.24198435628215065,0.48148148148148145,0.2932436220913933,0.5457960405033531,0.04577021276595745,0.24444444444444444,0.020127800198865297,0.01867942075195961,0.2812586934577508,0.16809116809116809,0.25620227317967936,0.4084959441277347,0.20406872725029304,0.13094409245979252,0.28651059085841696,0.03204573012298632,0.0,0.0,0.16267605633802817,0.06810035842293907,0.11538461538461539,0.1118421052631579,0.4186046511627907,0.2777777777777778,0.5093084469968892,0.4482758620689655,0.4784995425434584,0.4725298618628621,0.04135259387178829,0.04700854700854701,0.009376575496323923,0.00902056895025214,0.6493784489699731,0.27314814814814814,0.33003232307370184,0.5369966830189894,0.39118067085418384,0.12771411594941007,0.5502183406113537,0.011771443115296513,0.0,0.0,0.09173427128836444,0.07482993197278912,0.1,0.13559322033898305
14271,1680458,13,17,3,"{'30-end': 4.4, '20-30': 8.6, '10-20': 7.8, '0-10': 8.7}","{'30-end': -7.4, '20-30': -2.1000000000000005, '10-20': -2, '0-10': 0.6000000000000005}",1680458,KR,1749,1230,32790,"{'30-end': 447.6, '20-30': -162.90000000000003, '10-20': -179.10000000000002, '0-10': -87.09999999999997}","{'30-end': 931, '20-30': 688.2, '10-20': 620.6, '0-10': 312.70000000000005}",3,0,False,False,False,False,False,False,1520169395033,2221,3135302440,8.4.218.8787,14071,"{'30-end': 266.6, '20-30': 391.2, '10-20': 385.6, '0-10': 314.4}",14250,DIAMOND,0,3152,3047,3157,3165,0,3151,3340,0,1,MIDDLE,0,0,1,643,189294,16970,5745,11,/v1/stats/player_history/KR/1680458,15,2,12,0,8300,8200.0,4418,302,18030,0,420,SOLO,11,0,14,4,2346586,5PP4,30,333039,17325,24943,4710,273,0,0,179,1,0,139327,52,1168,0,0,46,6,3,23,True,"{'30-end': -261.00000000000006, '20-30': -223.59999999999997, '10-20': -62.30000000000001, '0-10': 42.99999999999997}","{'30-end': 384.2, '20-30': 499.1, '10-20': 445.1, '0-10': 496.7}",Mage,Galio,5,1,Tank,10,6,mid,0.3170731707317073,0.14285714285714285,0.1884222930448057,0.043478260869565216,0.1299514955537591,0.5773077028646715,0.1570487411497772,0.0379746835443038,0.0055532581083476105,0.004026237201365188,0.2287055241961058,0.32608695652173914,0.25855559652970517,0.15887499082972636,0.2066032187792494,0.12106724244293646,0.25231053604436227,0.060698541878602914,0.8463963745048964,0.012874473879673186,0.21987951807228914,0.15862068965517243,0.25,0.184,0.3023255813953488,0.16666666666666666,0.360995453457765,0.034482758620689655,0.29414455626715463,0.4378521664307325,0.11266948262584303,0.0641025641025641,0.007258719125138449,0.0038751235035222563,0.30853675300956385,0.1388888888888889,0.5316376805904522,0.15915068110823663,0.21992592506588954,0.07995925642984467,0.5851528384279476,0.011389666581827437,0.45798257176573454,0.0018067475070358918,0.0662619844556646,0.2585034013605442,0.2,0.1864406779661017
14169,3618881,15,18,3,"{'30-end': 7.3, '20-30': 7.300000000000001, '10-20': 6.8, '0-10': 6.9}","{'30-end': 1.6999999999999997, '20-30': -2.9999999999999996, '10-20': -1.1000000000000005, '0-10': -1.4999999999999996}",3618881,KR,4069,1598,70263,"{'30-end': 461.6, '20-30': 531, '10-20': -225.7, '0-10': 110.4}","{'30-end': 1524.6, '20-30': 1415, '10-20': 513.8, '0-10': 333.5}",6,1,False,False,False,False,False,False,1520436519869,2632,3137815077,8.5.220.3006,18422,"{'30-end': 488, '20-30': 496.70000000000005, '10-20': 379.2, '0-10': 305.2}",17650,DIAMOND,0,3089,3157,3060,3027,3151,3020,3340,3,9,MIDDLE,0,3,2,998,199181,39292,16351,11,/v1/stats/player_history/KR/3618881,4,0,0,0,8400,8300.0,4685,330,21209,0,420,SOLO,11,0,4,12,11631865,그소녀녀녀녀녀녀,40,329140,39873,44682,9343,293,0,0,223,1,0,125275,250,7121,3,0,46,6,6,25,False,"{'30-end': -141.7, '20-30': -106.70000000000002, '10-20': -64.1, '0-10': -53.49999999999997}","{'30-end': 544.5, '20-30': 548.3, '10-20': 463.70000000000005, '0-10': 465.9}",Mage,Galio,5,1,Tank,10,6,mid,0.2054794520547945,0.16216216216216217,0.20949565019616762,0.2571428571428571,0.27119565217391306,0.6509693570737575,0.2020437920126532,0.04938271604938271,0.008207893593463118,0.005120089368832619,0.1507563049102954,0.14925373134328357,0.29097640734221686,0.2456444061113849,0.17559744868484656,0.13384236312064865,0.23648103309120258,0.028303084147734484,0.4924583410315779,0.007973718623417217,0.2168458235634459,0.13068181818181818,0.17142857142857143,0.13227513227513227,0.3488372093023256,0.3333333333333333,0.5692270878200526,0.3103448275862069,0.4565416285452882,0.4607215884383009,0.36017829222188513,0.017094017094017096,0.007778450422111355,0.004234406477358757,0.3709667916969423,0.18518518518518517,0.5252597623534339,0.4011936837811437,0.4491054116499669,0.15861132331720568,0.62882096069869,0.014189361160600662,0.4117921628826602,0.00868628609151871,0.40398252680546887,0.2585034013605442,0.2,0.2033898305084746
14111,4616199,9,18,3,"{'20-30': 5.300000000000001, '10-20': 8.5, '0-10': 7.300000000000001}","{'20-30': 0.20000000000000018, '10-20': -0.2999999999999994, '0-10': -2.7999999999999994}",4616199,KR,4164,1146,37877,"{'20-30': 241.5000000000001, '10-20': 115.1, '0-10': 73.6}","{'20-30': 1590.8000000000002, '10-20': 785, '0-10': 199.5}",7,1,False,False,False,False,False,False,1520518061841,1931,3138730787,8.5.220.3006,15640,"{'20-30': 647.6, '10-20': 456.29999999999995, '0-10': 249.8}",15915,DIAMOND,0,3152,3135,1058,3165,3285,3111,3340,5,13,MIDDLE,0,3,3,626,148533,31203,5808,11,/v1/stats/player_history/KR/4616199,16,4,12,0,8100,8200.0,4005,271,22622,0,420,SOLO,11,0,12,4,5933890,SP님이다,42,153322,31654,29281,2709,213,0,0,185,1,1,783,180,850,0,0,56,3,8,39,True,"{'20-30': 254.90000000000003, '10-20': 67.70000000000002, '0-10': -67.10000000000002}","{'20-30': 673.6, '10-20': 639.4, '0-10': 421.2}",Mage,Galio,5,1,Tank,10,6,mid,0.16666666666666666,0.2413793103448276,0.2232244804749943,0.3939393939393939,0.13923487544483987,0.6059924849147516,0.11778305043499422,0.04790419161676647,0.006721061676019655,0.003509771670573608,0.24896274693226214,0.40384615384615385,0.17070506775450944,0.2552865461231995,0.20567266290643196,0.06606511401048652,0.24624277456647398,0.07047619047619047,0.013695994402658737,0.031066620642043494,0.38848263254113347,0.2931937172774869,0.2727272727272727,0.375,0.20930232558139536,0.3888888888888889,0.4360851878439818,0.4482758620689655,0.28636779505946935,0.34356871235462294,0.1141396933560477,0.06837606837606838,0.0064547901901204335,0.0034773459253461306,0.398715657587243,0.19444444444444445,0.2376596524288107,0.3129662827270092,0.27029223606450786,0.045989304812834225,0.45414847161572053,0.011771443115296513,0.002573803740068832,0.006254125985893471,0.048221478413797016,0.32653061224489793,0.1,0.3220338983050847
14952,203769662,16,18,3,"{'20-30': 9, '10-20': 9.4, '0-10': 7.2}","{'20-30': 2.4000000000000004, '10-20': 0.20000000000000018, '0-10': 0.30000000000000027}",203769662,KR,11466,7358,26428,"{'20-30': -375.6000000000001, '10-20': -212.00000000000006, '0-10': 42.30000000000001}","{'20-30': 938.9, '10-20': 680.3, '0-10': 375.5}",1,1,False,False,True,False,False,False,1520597006171,1956,3139534865,8.5.220.3006,15628,"{'20-30': 604, '10-20': 402.9, '0-10': 342.4}",14550,CHALLENGER,0,3135,1058,3027,3111,3151,3116,3340,1,6,MIDDLE,0,5,2,254,212602,26658,6116,11,/v1/stats/player_history/KR/203769662,37,9,24,0,8100,8200.0,8384,767,14520,0,420,SOLO,11,0,12,4,25170222,JAG Grace,47,223458,27522,21019,9500,269,0,0,326,1,0,2470,96,383,1,0,58,3,4,34,True,"{'20-30': 305.5, '10-20': 35.099999999999966, '0-10': 79.9}","{'20-30': 700.3, '10-20': 571, '0-10': 468}",Mage,Galio,5,1,Tank,10,6,mid,0.3137254901960784,0.037037037037037035,0.21702842700218028,0.16216216216216217,0.07678355501813784,0.5462033316548315,0.13663985701519213,0.10601719197707736,0.015461445969770513,0.01011713185247718,0.1990731854451726,0.373015873015873,0.22522171122056828,0.21007556675062972,0.16910439595803567,0.27694370754744485,0.29334787350054525,0.10587853199090613,0.04070869386073341,0.00783225911723913,0.058083105853806494,0.2577777777777778,0.2,0.3063063063063063,0.37209302325581395,0.05555555555555555,0.4355108877721943,0.20689655172413793,0.1161939615736505,0.4917654351828721,0.1213273902592705,0.1581196581196581,0.014978772772309029,0.009841787176164142,0.23960644920563226,0.2175925925925926,0.35238693467336685,0.2686110544564552,0.17436635744058332,0.16127663186486715,0.5764192139737991,0.0207431916518198,0.008119151006347402,0.003335533859143185,0.021728030861746184,0.3401360544217687,0.1,0.2796610169491525
5257,3863724,13,17,3,"{'20-30': 9.600000000000001, '10-20': 7.800000000000001, '0-10': 6.9}",,3863724,KR,5430,3588,21743,,"{'20-30': 644.9, '10-20': 416.3, '0-10': 349.6}",2,1,False,False,False,False,False,False,1521170589595,2019,3145782190,8.5.220.3006,15133,"{'20-30': 515.9, '10-20': 475.4, '0-10': 240.9}",13910,CHALLENGER,0,3157,3111,3152,3165,3285,1056,3340,1,8,MIDDLE,0,8,2,236,171461,21444,5315,11,/v1/stats/player_history/KR/3863724,13,0,13,0,8100,8200.0,6216,278,12138,0,420,SOLO,11,0,12,4,4843289,Be proud of me,31,178431,21826,17849,2902,263,0,0,209,1,0,754,104,395,0,0,65,2,12,38,True,,"{'20-30': 588.2, '10-20': 587.2, '0-10': 376.7}",Mage,Galio,5,1,Tank,10,6,mid,0.22807017543859648,0.10526315789473684,0.22151148323257755,0.25,0.06054386865059005,0.4645556862086343,0.12794896485315357,0.040372670807453416,0.012726074120783054,0.005725112236912558,0.16820021063133972,0.26495726495726496,0.2030322098332899,0.22639200066384532,0.14751849249969007,0.053925485459444394,0.3083235638921454,0.11017395888244597,0.03540903540903541,0.016349630561232512,0.05420612048854124,0.28888888888888886,0.06060606060606061,0.36893203883495146,0.3023255813953488,0.1111111111111111,0.41182100981095954,0.27586206896551724,0.10795974382433669,0.39660301070493426,0.10263471097523978,0.05555555555555555,0.01075863250325562,0.0035671666688052556,0.1928281062822804,0.14351851851851852,0.2787325298366834,0.2074669643719742,0.1375611002101499,0.049265766912825734,0.5633187772925764,0.013298549249172818,0.002478477675621838,0.0036134950140717837,0.02240880467464685,0.3877551020408163,0.06666666666666667,0.3135593220338983
5216,201009223,9,16,14,"{'20-30': 5.699999999999999, '10-20': 5.2, '0-10': 8.4}","{'20-30': -3.9, '10-20': -2.5999999999999996, '0-10': 2.9000000000000004}",201009223,KR,1576,1173,64096,"{'20-30': -135.60000000000002, '10-20': -43.900000000000034, '0-10': -114.20000000000005}","{'20-30': 1333.3, '10-20': 898.5, '0-10': 477.59999999999997}",5,0,False,False,True,False,False,False,1521221930640,1971,3146711292,8.5.220.3006,12241,"{'20-30': 442.1, '10-20': 366.20000000000005, '0-10': 296.70000000000005}",12350,CHALLENGER,0,3047,3110,3193,3076,3001,1028,3340,1,2,MIDDLE,0,2,1,545,82999,11458,13422,11,/v1/stats/player_history/KR/201009223,1,1,0,0,8200,8400.0,56103,8972,15221,0,420,SOLO,11,0,12,4,13965344,6학년4반장용준,52,139103,20430,33847,15801,210,0,0,2359,1,0,0,0,5202,1,0,20,2,2,15,False,"{'20-30': 4.800000000000011, '10-20': -36.80000000000001, '0-10': 31.50000000000003}","{'20-30': 577.7, '10-20': 406.20000000000005, '0-10': 476}",Fighter,Sion,5,5,Tank,9,3,mid,0.13636363636363635,0.18518518518518517,0.2205426635918132,0.13333333333333333,0.14737696051919957,0.32537909080930205,0.24493594656739298,0.008264462809917356,0.3212531064258638,0.3168190967195169,0.21531432128105019,0.2374429223744292,0.30953048509123277,0.24968834787709906,0.23981833125495974,0.22855613735643823,0.44776119402985076,0.6255635110050385,0.0,0.0,0.3325874304711975,0.08,0.05405405405405406,0.1056338028169014,0.20930232558139536,0.2777777777777778,0.2734146925101699,0.06896551724137931,0.2493138151875572,0.19198332731932533,0.2918251616064969,0.004273504273504274,0.10786662955227193,0.11512453004503868,0.2533728717032266,0.24074074074074073,0.2144004527847571,0.1924815097094153,0.3233057390658199,0.2682454800101859,0.44759825327510916,0.15010180707559176,0.0,0.0,0.2951154478924377,0.08163265306122448,0.06666666666666667,0.11864406779661017
14904,200900269,9,18,14,"{'30-end': 7, '20-30': 8.1, '10-20': 9.3, '0-10': 7.8999999999999995}",,200900269,KR,1845,1178,86777,,"{'30-end': 1590.8, '20-30': 1001.2, '10-20': 1015.4, '0-10': 545.7}",4,1,False,False,False,False,False,False,1521355060922,2252,3148322441,8.5.220.3006,15460,"{'30-end': 295.4, '20-30': 491.70000000000005, '10-20': 481.9, '0-10': 309}",15850,CHALLENGER,0,3075,3060,3065,3194,3001,3111,3340,1,7,MIDDLE,0,7,2,1664,97256,9836,19229,11,/v1/stats/player_history/KR/200900269,8,0,8,0,8200,8400.0,66743,14955,22457,0,420,SOLO,11,0,12,4,13762462,BtC Dove,67,164987,25051,42762,15405,301,0,0,1640,1,0,988,260,1076,0,0,40,4,7,19,False,,"{'30-end': 265, '20-30': 585, '10-20': 579.6, '0-10': 506.1}",Fighter,Sion,5,5,Tank,9,3,mid,0.16666666666666666,0.21052631578947367,0.2026610736055581,0.25925925925925924,0.2483952828780415,0.23213173289670597,0.28861971661863595,0.022408963585434174,0.1042305650123372,0.1727703327171904,0.2180502961452568,0.3701657458563536,0.1495134087846502,0.1708053782796051,0.2453989842472239,0.21617715159764808,0.2802607076350093,0.3532199009261254,0.022362554039066566,0.03994469196497158,0.23189655172413792,0.16194331983805668,0.13333333333333333,0.2261904761904762,0.20930232558139536,0.2222222222222222,0.4274706867671692,0.2413793103448276,0.7612076852698993,0.2249609089479187,0.42734125224615527,0.03418803418803419,0.12857801906460045,0.19189560263303093,0.39547534416056246,0.3101851851851852,0.25674106208123953,0.2420859409384158,0.42681326846938894,0.26152279093455566,0.6462882096069869,0.10435225248154746,0.0032476604025389604,0.009033737535179458,0.061042718556759516,0.21768707482993196,0.13333333333333333,0.15254237288135594
