,accountId,assists,champLevel,champion,creepsPerMinDeltas,csDiffPerMinDeltas,currentAccountId,currentPlatformId,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,damageTakenDiffPerMinDeltas,damageTakenPerMinDeltas,deaths,doubleKills,firstBloodAssist,firstBloodKill,firstInhibitorAssist,firstInhibitorKill,firstTowerAssist,firstTowerKill,gameCreation,gameDuration,gameId,gameVersion,goldEarned,goldPerMinDeltas,goldSpent,highestAchievedSeasonTier,inhibitorKills,item0,item1,item2,item3,item4,item5,item6,killingSprees,kills,lane,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicalDamageTaken,map,matchHistoryUri,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,neutralMinionsKilledTeamJungle,pentaKills,perkPrimaryStyle,perkSubStyle,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,queueId,role,season,sightWardsBoughtInGame,spell_1,spell_2,summonerId,summonerName,timeCCingOthers,totalDamageDealt,totalDamageDealtToChampions,totalDamageTaken,totalHeal,totalMinionsKilled,totalPlayerScore,totalScoreRank,totalTimeCrowdControlDealt,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,xpDiffPerMinDeltas,xpPerMinDeltas,champion_subclass,champion_name,champion_defense,champion_attack,champion_class,champion_difficulty,champion_magic,position,rel_assists,rel_deaths,rel_goldEarned,rel_kills,rel_longestTimeSpentLiving,rel_magicDamageDealt,rel_magicalDamageTaken,rel_neutralMinionsKilled,rel_physicalDamageDealt,rel_physicalDamageDealtToChampions,rel_physicalDamageTaken,rel_timeCCingOthers,rel_totalDamageDealt,rel_totalDamageDealtToChampions,rel_totalDamageTaken,rel_totalHeal,rel_totalMinionsKilled,rel_totalTimeCrowdControlDealt,rel_trueDamageDealt,rel_trueDamageDealtToChampions,rel_trueDamageTaken,rel_visionScore,rel_visionWardsBoughtInGame,rel_wardsPlaced,norm_assists,norm_deaths,norm_goldEarned,norm_kills,norm_longestTimeSpentLiving,norm_magicDamageDealt,norm_magicalDamageTaken,norm_neutralMinionsKilled,norm_physicalDamageDealt,norm_physicalDamageDealtToChampions,norm_physicalDamageTaken,norm_timeCCingOthers,norm_totalDamageDealt,norm_totalDamageDealtToChampions,norm_totalDamageTaken,norm_totalHeal,norm_totalMinionsKilled,norm_totalTimeCrowdControlDealt,norm_trueDamageDealt,norm_trueDamageDealtToChampions,norm_trueDamageTaken,norm_visionScore,norm_visionWardsBoughtInGame,norm_wardsPlaced
14195,202484037,11,13,79,"{'20-30': 2.1, '10-20': 1.5, '0-10': 1.4}","{'20-30': 2.6500000000000004, '10-20': -0.04999999999999982, '0-10': -0.44999999999999973}",202484037,KR,199,199,33189,"{'20-30': 199.3, '10-20': -127.54999999999998, '0-10': 99.05000000000003}","{'20-30': 1056.5, '10-20': 762.9, '0-10': 545}",8,0,False,False,False,False,False,False,1520359684374,1838,3136966261,8.4.218.8787,8610,"{'20-30': 265.3, '10-20': 347.5, '0-10': 176.8}",8400,UNRANKED,0,3401,3190,0,0,3110,3047,3364,1,3,BOTTOM,310,2,1,469,22634,9051,8392,11,/v1/stats/player_history/KR/202484037,0,0,0,0,8400,8300.0,6376,1917,17227,0,420,DUO_SUPPORT,11,0,4,14,20200561,슬라임 Lv8,46,38861,11696,26049,6362,51,0,0,842,4,0,9850,728,429,0,0,64,8,4,48,False,"{'20-30': -36.74999999999994, '10-20': 92.04999999999998, '0-10': -41.25}","{'20-30': 372.79999999999995, '10-20': 339, '0-10': 265.7}",Mage,Gragas,5,4,Fighter,7,6,sup,0.19298245614035087,0.24242424242424243,0.15785999779986065,0.17647058823529413,0.1581254214430209,0.0825191040074666,0.21143864953388763,0.0,0.03147569470155848,0.059654582231212075,0.20342925970974104,0.2358974358974359,0.07854134329323503,0.14904109589041095,0.19956026108540434,0.2216647503571304,0.07264957264957266,0.2013872279359005,0.5495731741337946,0.557427258805513,0.06969943135662063,0.30917874396135264,0.32,0.36923076923076925,0.2558139534883721,0.4444444444444444,0.09964106245513281,0.10344827586206896,0.21454711802378773,0.052354252828896844,0.17444166997269608,0.0,0.011070081969606425,0.024598052173020416,0.2927672276663852,0.21296296296296297,0.05042628507118928,0.09872580697102741,0.23276712837720165,0.10800441388676683,0.10043668122270742,0.053575973530160345,0.03237799085527202,0.025294465098502483,0.02433766381119873,0.38095238095238093,0.26666666666666666,0.3983050847457627
14923,5007058,16,15,48,"{'20-30': 1.9, '10-20': 1, '0-10': 0.9}",,5007058,KR,28370,4208,27382,,"{'20-30': 1555.6999999999998, '10-20': 1030.4, '0-10': 688.2}",5,0,False,True,False,False,False,False,1521105234840,2008,3144995901,8.5.220.3006,11911,"{'20-30': 365.4, '10-20': 354.5, '0-10': 264.9}",10250,PLATINUM,0,3748,2055,1011,3111,1413,3067,3340,1,3,TOP,0,2,1,1068,23311,2802,17958,11,/v1/stats/player_history/KR/5007058,108,4,72,0,8000,8200.0,95398,7011,24959,0,420,DUO_SUPPORT,11,0,4,11,7026929,JJangwane,21,130097,10585,44330,21526,42,0,0,456,1,0,11388,772,1411,2,0,59,16,15,28,True,,"{'20-30': 422.6, '10-20': 426.8, '0-10': 311.5}",Tank,Trundle,5,7,Fighter,6,2,sup,0.3333333333333333,0.17857142857142858,0.2031900375298533,0.13636363636363635,0.2607421875,0.08073828548470333,0.3556039603960396,0.864,0.4041312055986478,0.31718241042345274,0.32517751286561136,0.11731843575418995,0.2373210018424269,0.11145859657990059,0.337148724189071,0.6078730373884559,0.0726643598615917,0.090065178747778,0.48645877829987183,0.17597447002507408,0.3339644970414201,0.2099644128113879,0.32653061224489793,0.1917808219178082,0.37209302325581395,0.2777777777777778,0.2576214405360134,0.10344827586206896,0.4885635864592864,0.05392020799215403,0.39768033418123266,0.46153846153846156,0.18435667192886493,0.08996189034170377,0.4446102786669547,0.09722222222222222,0.1996685903475712,0.08679970372596799,0.4450185187335276,0.36543587131822425,0.08078602620087336,0.029015016543649783,0.03743355937663328,0.026823251450609778,0.08004765416690304,0.3469387755102041,0.5333333333333333,0.2288135593220339
8147,1243363,3,16,164,"{'30-end': 0.6, '20-30': 0.5, '10-20': 0.3, '0-10': 0.6}",,1243363,KR,25529,980,29224,,"{'30-end': 1127, '20-30': 1125.1, '10-20': 1036.2, '0-10': 542.8}",7,1,False,False,False,True,False,False,1522850530777,2201,3165403807,8.7.223.9264,12237,"{'30-end': 273.6, '20-30': 396.6, '10-20': 331.6, '0-10': 276.5}",11958,MASTER,1,2055,3052,3026,3078,1412,3047,3364,2,6,TOP,0,3,2,642,7158,673,10166,11,/v1/stats/player_history/KR/1243363,134,19,86,0,8100,8000.0,128302,14816,26455,0,420,DUO_SUPPORT,11,0,11,4,1730843,수입뿌드,32,166549,18020,37678,16389,17,0,0,654,1,0,31087,2529,1057,2,0,50,11,7,29,False,,"{'30-end': 383, '20-30': 542.6, '10-20': 397.2, '0-10': 353.20000000000005}",Tank,Camille,4,8,Fighter,6,3,sup,0.06818181818181818,0.2916666666666667,0.17060996863018474,0.1875,0.16653696498054474,0.04517855564952852,0.17492300015486004,0.4527027027027027,0.18587973493354504,0.19366560788465811,0.27894642499393707,0.25806451612903225,0.18069664372006228,0.15728238384931614,0.23739407113379327,0.24062545881662017,0.020884520884520884,0.3081998114985862,0.4257326759791838,0.29264059245545015,0.18363446838082,0.1773049645390071,0.3055555555555556,0.24786324786324787,0.06976744186046512,0.3888888888888889,0.2732232591529074,0.20689655172413793,0.2936870997255261,0.016557026674438615,0.2158409372009988,0.5726495726495726,0.24840625468390798,0.1901120192986283,0.47398912040219165,0.14814814814814814,0.25929615525544386,0.16661120474038452,0.36778553100581685,0.27822765469824295,0.026200873362445413,0.04161364214812929,0.10218625398150674,0.08787047010180327,0.05996482668633347,0.2857142857142857,0.36666666666666664,0.23728813559322035
20412,208670326,5,18,126,"{'20-30': 10.8, '10-20': 8.3, '0-10': 5.4}",,208670326,KR,19085,10976,15585,,"{'20-30': 1023.8000000000001, '10-20': 689.5999999999999, '0-10': 340.9}",3,0,False,False,False,False,False,False,1523251028345,2025,3170102340,8.7.223.9264,14709,"{'20-30': 497.7, '10-20': 365, '0-10': 277.1}",12875,CHALLENGER,0,3142,1054,3147,1001,3071,3036,3340,1,5,MIDDLE,0,3,1,1019,37378,5141,9784,11,/v1/stats/player_history/KR/208670326,24,4,6,0,8100,8200.0,201591,13688,15252,0,420,DUO_SUPPORT,11,0,12,4,54751506,아이러니,12,245869,19335,25226,6252,283,0,0,475,1,0,6900,505,190,3,0,47,7,4,33,True,,"{'20-30': 659.9, '10-20': 479.40000000000003, '0-10': 368.9}",Marksman,Jayce,7,8,Fighter,4,3,sup,0.08196721311475409,0.1111111111111111,0.23850756433331713,0.25,0.29357533851915874,0.10975935632588939,0.20324054840049854,0.5,0.6869407282714628,0.5396412379262764,0.23273415326395458,0.06818181818181818,0.30061046657350116,0.23672804740682699,0.21739242840769052,0.26139309306798225,0.35463659147869675,0.10985198889916743,0.03752283998955886,0.07975363234365129,0.08050847457627118,0.16666666666666666,0.2,0.2214765100671141,0.11627906976744186,0.16666666666666666,0.39152907394113423,0.1724137931034483,0.46614821591948763,0.08645830441983328,0.20692632610674197,0.10256410256410256,0.3910676293050589,0.1756380480669293,0.2539816578621787,0.05555555555555555,0.3890464693257956,0.18072715952639093,0.22321169408677682,0.10613700025464731,0.6069868995633187,0.030223975566301856,0.022681029127043346,0.017546297904867794,0.01077891870426051,0.2653061224489796,0.23333333333333334,0.2711864406779661
18407,210435254,4,16,114,"{'20-30': 8.600000000000001, '10-20': 11.6, '0-10': 3}",,210435254,KR,3653,1420,15792,,"{'20-30': 994.1, '10-20': 688.9000000000001, '0-10': 372.6}",6,0,False,False,False,False,False,False,1523681928884,1801,3174152122,8.7.223.9264,11354,"{'20-30': 383.7, '10-20': 490.6, '0-10': 211}",10650,UNRANKED,0,3074,0,3143,1055,3071,3047,3363,0,2,TOP,568,0,1,465,267,267,4296,11,/v1/stats/player_history/kr/210435254,16,9,1,0,8300,8200.0,161161,7230,15939,0,420,DUO_SUPPORT,11,0,12,4,68770638,taoyanzhongguo,4,165514,11583,20556,3732,232,0,0,108,2,0,4085,4085,320,0,0,34,0,1,11,True,,"{'20-30': 540.3, '10-20': 732.3, '0-10': 262.6}",Assassin,Fiora,3,10,Fighter,4,2,sup,0.07692307692307693,0.20689655172413793,0.20569958512237985,0.08695652173913043,0.1901062959934587,0.0020683724929698574,0.12777348164892036,0.5714285714285714,0.44678332418481126,0.2933896035385302,0.25025906735751297,0.047058823529411764,0.3339453465474384,0.19829829487091694,0.19902405019170444,0.17475182618467877,0.3352601156069364,0.2634146341463415,0.7008063132612798,0.7301161751563896,0.05363727790814616,0.15454545454545454,0.0,0.09734513274336283,0.09302325581395349,0.3333333333333333,0.23096434553720985,0.06896551724137931,0.21271729185727356,0.0006175923612845921,0.07885463583113579,0.06837606837606838,0.31236824227653986,0.0927719964584964,0.26747314467508493,0.018518518518518517,0.25760311976549416,0.0975128009704048,0.16899069999651686,0.0633562515915457,0.49563318777292575,0.00687197760244337,0.013427826664343778,0.14193391473541572,0.0181539683440177,0.17687074829931973,0.0,0.0847457627118644
1594,206772826,7,18,39,"{'20-30': 9.8, '10-20': 8.3, '0-10': 7.1}",,206772826,KR,9748,5305,32855,,"{'20-30': 987.5, '10-20': 687.0999999999999, '0-10': 599.8}",8,1,False,False,False,False,False,False,1523806742179,2064,3176138140,8.7.223.9264,16548,"{'20-30': 733.4, '10-20': 389.4, '0-10': 291.9}",15133,CHALLENGER,0,3111,3091,3144,3078,3053,3026,3340,2,8,MIDDLE,0,4,2,437,65200,13265,15700,11,/v1/stats/player_history/KR/206772826,28,13,8,0,8000,8300.0,175481,17144,13361,0,420,DUO_SUPPORT,11,0,4,12,40261890,할배에요할배,30,306195,36682,32333,8332,281,0,0,352,1,0,65514,6273,3271,1,0,34,4,4,20,True,,"{'20-30': 852.5999999999999, '10-20': 492.2, '0-10': 502.4}",Assassin,Irelia,5,7,Fighter,4,5,sup,0.14285714285714285,0.25,0.24349259133915038,0.24242424242424243,0.10977141421753328,0.18723096317695337,0.2126823717471112,0.6829268292682927,0.718174860749029,0.6081157775255391,0.16523416727470597,0.1016949152542373,0.3059141707912137,0.32897474530061704,0.1902769440815414,0.22209190745282012,0.33293838862559244,0.14164989939637826,0.16044100828482358,0.3458484948726431,0.21457622671214904,0.13333333333333333,0.08888888888888889,0.13157894736842105,0.16279069767441862,0.4444444444444444,0.47954055994257,0.27586206896551724,0.19990850869167429,0.15081281631369065,0.344986114676437,0.11965811965811966,0.34024296951493693,0.21998383226617735,0.21684570216610044,0.1388888888888889,0.4877267195351759,0.3669396824715266,0.30572745532863493,0.14144809438927086,0.6026200873362445,0.0223975566301858,0.2153514409027707,0.21795629060838748,0.18556759516650592,0.17687074829931973,0.13333333333333333,0.16101694915254236
23561,204531622,9,16,79,"{'30-end': 0.8, '20-30': 1.8, '10-20': 1.2, '0-10': 0.4}","{'30-end': 2.8499999999999996, '20-30': 0.7000000000000004, '10-20': -0.7000000000000002, '0-10': -0.14999999999999947}",204531622,KR,557,0,51580,"{'30-end': 58.449999999999875, '20-30': 81.70000000000005, '10-20': 285.55, '0-10': 93.64999999999998}","{'30-end': 1400.7, '20-30': 906.9000000000001, '10-20': 887.2, '0-10': 430.2}",11,0,False,False,False,False,False,False,1524233412583,2683,3179812356,8.8.225.6906,11139,"{'30-end': 277.7, '20-30': 249.9, '10-20': 241.7, '0-10': 187}",10800,MASTER,0,2055,3069,3190,2065,3111,3109,3364,0,2,BOTTOM,206,0,1,432,25947,8909,14822,11,/v1/stats/player_history/KR/204531622,0,0,0,0,8400,8300.0,4707,634,25554,0,420,DUO_SUPPORT,11,0,14,4,28870358,심심풀이 남신,43,31318,10207,45901,12480,45,0,0,276,1,0,663,663,5524,0,0,132,24,35,78,False,"{'30-end': 225.9, '20-30': -144.95, '10-20': -43.19999999999996, '0-10': -10.799999999999955}","{'30-end': 508.29999999999995, '20-30': 310.20000000000005, '10-20': 304, '0-10': 289.3}",Mage,Gragas,5,4,Fighter,7,6,sup,0.17307692307692307,0.3333333333333333,0.13662958283758755,0.08695652173913043,0.10521188504627374,0.04667280648422295,0.28632693273577253,0.0,0.014234262022916345,0.02810159124152298,0.2337370115615396,0.22279792746113988,0.03400718626855883,0.08648460867133816,0.2637564070149631,0.29525183940949634,0.041589648798521256,0.015778641664761034,0.019327192164179104,0.07176878112145486,0.4272565550313249,0.353887399463807,0.4528301886792453,0.3561643835616438,0.20930232558139536,0.6111111111111112,0.22067480258435032,0.06896551724137931,0.19762122598353157,0.06001748688483637,0.32449651116660055,0.0,0.007821274723734591,0.008135193050440763,0.45629504526619663,0.19907407407407407,0.03808757328308208,0.08274203763538972,0.46325860047138595,0.21186656480774127,0.08733624454148471,0.0175617205395775,0.0021793510595985127,0.02303603071470762,0.3133828785386055,0.8435374149659864,0.8,0.652542372881356
20932,206491319,2,16,39,"{'30-end': 2.4, '20-30': 8.7, '10-20': 5.9, '0-10': 5.9}",,206491319,KR,14054,1698,37434,,"{'30-end': 1662.6, '20-30': 1202.7, '10-20': 1061.9, '0-10': 351.5}",8,2,False,False,False,False,False,False,1524662338281,2169,3184547139,8.8.226.7254,15101,"{'30-end': 525, '20-30': 401.5, '10-20': 475, '0-10': 307.1}",14433,DIAMOND,0,2033,3742,3053,3026,3047,3078,3340,4,13,TOP,0,4,2,608,28787,8665,15300,11,/v1/stats/player_history/KR/206491319,12,0,4,0,8000,8400.0,144322,11302,21200,0,420,DUO_SUPPORT,11,0,12,4,38680194,지현이의빗자루,35,176870,23224,38416,6913,217,0,0,238,1,0,3760,3256,1915,1,0,26,2,5,16,False,,"{'30-end': 470.2, '20-30': 457.5, '10-20': 442.59999999999997, '0-10': 462.20000000000005}",Assassin,Irelia,5,7,Fighter,4,5,sup,0.029411764705882353,0.23529411764705882,0.21840244131727002,0.38235294117647056,0.17194570135746606,0.32356213962166597,0.30756859985928237,0.13636363636363635,0.2562872252391117,0.24711927407893297,0.2427656967490009,0.1724137931034483,0.20820360092053608,0.25025592396633656,0.2543988027045104,0.21717139984920836,0.25203252032520324,0.09631728045325778,0.019047136597350623,0.20581542351453855,0.13749282021826537,0.09848484848484848,0.04081632653061224,0.11428571428571428,0.046511627906976744,0.4444444444444444,0.4102895429528595,0.4482758620689655,0.27813357731015553,0.0665866340985002,0.3356514433735502,0.05128205128205128,0.2795901325022823,0.1450220060821475,0.3707900473282143,0.16203703703703703,0.2761790724455611,0.22247388816728747,0.3763540735408515,0.11735845853492913,0.462882096069869,0.015143802494273353,0.012359517321403331,0.11313019005593969,0.10864015430873092,0.12244897959183673,0.06666666666666667,0.1271186440677966
28400,210519079,22,18,79,"{'30-end': 0.6, '20-30': 0.2, '10-20': 0.5, '0-10': 0.30000000000000004}","{'30-end': -1.2666666666666668, '20-30': 0.8999999999999999, '10-20': -0.5499999999999998, '0-10': -0.1499999999999999}",210519079,KR,4990,1688,43517,"{'30-end': -448.06666666666666, '20-30': -369.24999999999994, '10-20': 80.10000000000008, '0-10': 75.1}","{'30-end': 853.9333333333334, '20-30': 1092.5, '10-20': 799.4000000000001, '0-10': 518.8}",10,0,False,False,True,False,False,False,1524724654405,2769,3184864167,8.8.226.7254,14197,"{'30-end': 339.06666666666666, '20-30': 330.9, '10-20': 264.6, '0-10': 177}",12725,UNRANKED,0,2065,3092,3190,1031,3158,3050,3364,1,3,BOTTOM,202,3,1,306,40312,20378,13576,11,/v1/stats/player_history/KR/210519079,0,0,0,0,8300,8400.0,6175,1554,22976,0,420,DUO_SUPPORT,11,0,14,4,70270125,MSF Gragas,93,47585,22985,38155,12212,19,0,0,605,1,0,1097,1052,1602,0,0,134,29,9,85,True,"{'30-end': 109.36666666666663, '20-30': 207.8, '10-20': 6.399999999999949, '0-10': -31.799999999999983}","{'30-end': 542.6666666666666, '20-30': 506.70000000000005, '10-20': 278.5, '0-10': 247.39999999999998}",Mage,Gragas,5,4,Fighter,7,6,sup,0.23157894736842105,0.2127659574468085,0.17369972960738012,0.11538461538461539,0.10408163265306122,0.10451781848351677,0.14970667372414098,0.0,0.014794777862699669,0.04440380604051776,0.17864446051332292,0.28792569659442724,0.047425460750036876,0.14440172389963185,0.1614295324445648,0.21588940352862143,0.020496224379719527,0.42545710267229253,0.0054770856112916835,0.05902485552376143,0.09393139841688654,0.36314363143631434,0.5471698113207547,0.47752808988764045,0.5116279069767442,0.5555555555555556,0.36702560421153385,0.10344827586206896,0.13998170173833485,0.09324488115394935,0.29541901005810833,0.0,0.010678823577503226,0.019940205047925784,0.40566760275721214,0.4305555555555556,0.06469685667922948,0.2199083268031388,0.37332373532724167,0.20731686614039554,0.03056768558951965,0.03849580045813184,0.0036059549206328336,0.03655189187311073,0.09088330402223861,0.8571428571428571,0.9666666666666667,0.711864406779661
16681,3022796,14,16,5,"{'20-30': 1.8, '10-20': 0.5, '0-10': 0.2}",,3022796,KR,17597,0,27509,,"{'20-30': 1444, '10-20': 1215.1, '0-10': 906.2}",12,2,False,True,False,False,False,False,1524754952515,1888,3185517344,8.8.226.7254,14309,"{'20-30': 412.4, '10-20': 456.70000000000005, '0-10': 412.3}",13933,MASTER,0,3053,3047,3026,0,3078,1412,3364,3,13,BOTTOM,0,3,2,341,16829,1490,13040,11,/v1/stats/player_history/KR/3022796,140,10,95,0,8000,8200.0,147575,22230,25760,0,420,DUO_SUPPORT,11,0,4,11,3845611,Dingchenyu,32,170539,24941,41998,15740,25,0,0,520,1,0,6135,1220,3198,0,0,21,3,2,10,False,,"{'20-30': 512.6, '10-20': 530.3, '0-10': 395.7}",Assassin,XinZhao,2,8,Fighter,6,3,sup,0.1590909090909091,0.2553191489361702,0.25921162276729104,0.6190476190476191,0.13206816421378775,0.1511849363063047,0.2504705927547924,1.0,0.4756540545418798,0.4709446433489397,0.26190040464425873,0.14096916299559473,0.2903691015769992,0.32639734076662347,0.2619750113839801,0.3117263779137702,0.053304904051172705,0.15129473377945882,0.03701513789420971,0.3688029020556227,0.32335692618806877,0.09545454545454546,0.08571428571428572,0.08620689655172414,0.32558139534883723,0.6666666666666666,0.37238573821488397,0.4482758620689655,0.15599268069533395,0.03892682340096779,0.28291055051224007,0.5982905982905983,0.2859222894650271,0.28524501815662173,0.4603405274837493,0.14814814814814814,0.2658229297529313,0.24090513863692475,0.41794285316211727,0.2672099142687378,0.043668122270742356,0.03308729956731993,0.020166393289045063,0.04238907612661131,0.1814262211380269,0.08843537414965986,0.1,0.07627118644067797
