,accountId,assists,champLevel,champion,creepsPerMinDeltas,csDiffPerMinDeltas,currentAccountId,currentPlatformId,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,damageTakenDiffPerMinDeltas,damageTakenPerMinDeltas,deaths,doubleKills,firstBloodAssist,firstBloodKill,firstInhibitorAssist,firstInhibitorKill,firstTowerAssist,firstTowerKill,gameCreation,gameDuration,gameId,gameVersion,goldEarned,goldPerMinDeltas,goldSpent,highestAchievedSeasonTier,inhibitorKills,item0,item1,item2,item3,item4,item5,item6,killingSprees,kills,lane,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicalDamageTaken,map,matchHistoryUri,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,neutralMinionsKilledTeamJungle,pentaKills,perkPrimaryStyle,perkSubStyle,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,queueId,role,season,sightWardsBoughtInGame,spell_1,spell_2,summonerId,summonerName,timeCCingOthers,totalDamageDealt,totalDamageDealtToChampions,totalDamageTaken,totalHeal,totalMinionsKilled,totalPlayerScore,totalScoreRank,totalTimeCrowdControlDealt,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,xpDiffPerMinDeltas,xpPerMinDeltas,champion_subclass,champion_name,champion_defense,champion_attack,champion_class,champion_difficulty,champion_magic,position,rel_assists,rel_deaths,rel_goldEarned,rel_kills,rel_longestTimeSpentLiving,rel_magicDamageDealt,rel_magicalDamageTaken,rel_neutralMinionsKilled,rel_physicalDamageDealt,rel_physicalDamageDealtToChampions,rel_physicalDamageTaken,rel_timeCCingOthers,rel_totalDamageDealt,rel_totalDamageDealtToChampions,rel_totalDamageTaken,rel_totalHeal,rel_totalMinionsKilled,rel_totalTimeCrowdControlDealt,rel_trueDamageDealt,rel_trueDamageDealtToChampions,rel_trueDamageTaken,rel_visionScore,rel_visionWardsBoughtInGame,rel_wardsPlaced,norm_assists,norm_deaths,norm_goldEarned,norm_kills,norm_longestTimeSpentLiving,norm_magicDamageDealt,norm_magicalDamageTaken,norm_neutralMinionsKilled,norm_physicalDamageDealt,norm_physicalDamageDealtToChampions,norm_physicalDamageTaken,norm_timeCCingOthers,norm_totalDamageDealt,norm_totalDamageDealtToChampions,norm_totalDamageTaken,norm_totalHeal,norm_totalMinionsKilled,norm_totalTimeCrowdControlDealt,norm_trueDamageDealt,norm_trueDamageDealtToChampions,norm_trueDamageTaken,norm_visionScore,norm_visionWardsBoughtInGame,norm_wardsPlaced
14921,210167960,16,14,143,"{'20-30': 1.6, '10-20': 0.30000000000000004, '0-10': 0.1}","{'20-30': 0.8500000000000003, '10-20': -0.4500000000000002, '0-10': 0.5}",210167960,KR,8718,2162,5427,"{'20-30': -251.10000000000002, '10-20': -129.89999999999998, '0-10': -82.09999999999998}","{'20-30': 666.8, '10-20': 346.9, '0-10': 113.9}",3,0,False,False,False,False,True,False,1521105234840,2008,3144995901,8.5.220.3006,11791,"{'20-30': 445.5, '10-20': 300, '0-10': 169.3}",9900,UNRANKED,1,3098,3151,3116,0,1026,3020,3364,2,7,BOTTOM,0,3,1,889,50360,30210,9839,11,/v1/stats/player_history/KR/210167960,0,0,0,0,8200,8100.0,5129,929,4249,0,420,DUO_SUPPORT,11,0,14,4,66830150,watt up,81,58806,32677,14462,1085,24,0,0,468,1,0,3317,1537,374,0,0,96,16,12,51,True,"{'20-30': 168.65, '10-20': -19, '0-10': 9.399999999999977}","{'20-30': 578.1, '10-20': 218.7, '0-10': 309}",Support,Zyra,7,4,Mage,3,8,sup,0.3333333333333333,0.10714285714285714,0.20114295462299556,0.3181818181818182,0.217041015625,0.1744232361121213,0.19483168316831684,0.0,0.02172780303062396,0.04202859211002533,0.05535795713634291,0.45251396648044695,0.10727302577573469,0.34408432314042625,0.10998973266912576,0.03063933130012425,0.04152249134948097,0.09243531503061427,0.14169158479282357,0.3503533166172783,0.0885207100591716,0.3416370106761566,0.32653061224489793,0.3493150684931507,0.37209302325581395,0.16666666666666666,0.2518784398181383,0.2413793103448276,0.40667886550777677,0.11648670904229236,0.20820984341088888,0.0,0.008642722691234839,0.011920495810503895,0.037901847960566365,0.375,0.08305197864321608,0.32394774413087585,0.09823636638066156,0.0184194890077243,0.04148471615720524,0.029778569610587936,0.010903329509333736,0.05340328689065703,0.021217450502070686,0.5986394557823129,0.5333333333333333,0.423728813559322
5252,209992902,12,12,143,"{'20-30': 2.1, '10-20': 0.9, '0-10': 0.7}","{'20-30': -0.34999999999999987, '10-20': 1.5000000000000004, '0-10': -0.1499999999999997}",209992902,KR,922,146,5122,"{'20-30': 290.04999999999995, '10-20': -43.45000000000002, '0-10': -79.19999999999996}","{'20-30': 422.5, '10-20': 544.8, '0-10': 329.2}",8,0,False,False,False,False,False,False,1521170589595,2019,3145782190,8.5.220.3006,10062,"{'20-30': 319.2, '10-20': 272.1, '0-10': 241.2}",9700,UNRANKED,0,3092,1026,2055,3916,3151,3020,3364,0,2,BOTTOM,0,0,1,541,38891,21543,9331,11,/v1/stats/player_history/KR/209992902,0,0,0,0,8200,8100.0,4671,1335,8768,0,420,DUO_SUPPORT,11,0,4,14,65821228,롤오브레전드1234,47,44278,23592,18432,1695,39,0,0,281,1,0,714,714,332,0,0,133,14,17,82,False,"{'20-30': -63.900000000000006, '10-20': 74.15000000000003, '0-10': -0.6499999999999773}","{'20-30': 410.29999999999995, '10-20': 239.89999999999998, '0-10': 217.8}",Support,Zyra,7,4,Mage,3,8,sup,0.32432432432432434,0.26666666666666666,0.16321697378665975,0.11764705882352941,0.14399787064146927,0.2112607963496116,0.1975692900548392,0.0,0.010906187177349874,0.04193497722632323,0.14912071839178204,0.34558823529411764,0.06767004624634354,0.2831968885794541,0.16249955919173395,0.06009998936283374,0.045936395759717315,0.062430570984225726,0.017025132338213553,0.08576576576576576,0.044883060700283896,0.40797546012269936,0.34146341463414637,0.4530386740331492,0.27906976744186046,0.4444444444444444,0.1691313711414214,0.06896551724137931,0.247483989021043,0.08995799446711263,0.19635481085622272,0.0,0.007751198593805659,0.017130098931133153,0.12664715932522927,0.2175925925925926,0.05928732202680067,0.22642420859409385,0.1443300166030025,0.028775146422205244,0.07423580786026202,0.01787986765080173,0.0023469934487983985,0.024808033077377438,0.018834742156918365,0.8503401360544217,0.4666666666666667,0.6864406779661016
5214,203870735,18,16,60,"{'20-30': 4, '10-20': 2.3, '0-10': 0.1}",,203870735,KR,10446,5239,16100,,"{'20-30': 1347.6, '10-20': 791.5, '0-10': 615}",4,1,False,False,False,False,False,False,1521221930640,1971,3146711292,8.5.220.3006,12976,"{'20-30': 374.4, '10-20': 457.8, '0-10': 267.6}",11725,CHALLENGER,0,0,3165,3117,3151,1026,1414,3364,1,5,TOP,0,3,2,833,131440,17589,8264,11,/v1/stats/player_history/KR/203870735,111,9,72,0,8100,8200.0,35816,2294,22565,0,420,DUO_SUPPORT,11,0,11,4,25260179,GabrielCRO,22,173550,21569,31418,10219,68,0,0,265,1,0,6292,1685,588,5,0,59,8,9,31,True,,"{'20-30': 614.2, '10-20': 505.59999999999997, '0-10': 322.7}",Fighter,Elise,9,6,Mage,5,7,sup,0.2727272727272727,0.14814814814814814,0.23378495243586048,0.3333333333333333,0.22525689561925366,0.5152812406893416,0.15080842366509728,0.9173553719008265,0.2050870944467985,0.0810056852289982,0.31920160697108585,0.1004566210045662,0.3861815754339119,0.263608809366674,0.2226079809545403,0.147814389446582,0.14498933901918976,0.07027313709891275,0.3198617253825428,0.39104200510559295,0.037593504251646315,0.236,0.21621621621621623,0.21830985915492956,0.4186046511627907,0.2222222222222222,0.30859057190715483,0.1724137931034483,0.3810612991765782,0.30403123583238495,0.17145457515577234,0.47435897435897434,0.06837678377815455,0.0294355407850333,0.3975962765852988,0.10185185185185185,0.27074827261306533,0.20470818081303604,0.2951038558441408,0.1734827264239029,0.13755458515283842,0.016861796894884193,0.020682468879327065,0.05854556825683611,0.033357916832132524,0.3469387755102041,0.26666666666666666,0.2542372881355932
24864,3863724,9,15,143,"{'30-end': 2.4, '20-30': 1.8, '10-20': 3.0999999999999996, '0-10': 0.5}","{'30-end': -0.7999999999999989, '20-30': -0.2999999999999998, '10-20': 4.440892098500626e-16, '0-10': -0.6000000000000001}",3863724,KR,2202,1133,9068,"{'30-end': 392.89999999999986, '20-30': -13.25, '10-20': -112.79999999999995, '0-10': -54.64999999999998}","{'30-end': 1125.4, '20-30': 638.3, '10-20': 417.9, '0-10': 247.60000000000002}",8,2,False,False,False,False,False,True,1521355552922,2131,3148333982,8.5.220.3006,12675,"{'30-end': 295.2, '20-30': 414.5, '10-20': 469.4, '0-10': 173.1}",11750,CHALLENGER,0,3098,1026,3040,3165,3020,3116,3364,2,6,BOTTOM,0,4,2,602,74575,28326,10645,11,/v1/stats/player_history/KR/3863724,0,0,0,0,8200,8300.0,5107,1087,8501,0,420,DUO_SUPPORT,11,0,14,4,4843289,Be proud of me,60,80869,30600,20995,910,66,0,0,640,1,0,1186,1186,1847,1,0,54,4,2,27,False,"{'30-end': -727.3999999999999, '20-30': 68.05000000000001, '10-20': 19.200000000000045, '0-10': -29.19999999999999}","{'30-end': 378.4, '20-30': 469.8, '10-20': 382.8, '0-10': 267.3}",Support,Zyra,7,4,Mage,3,8,sup,0.15789473684210525,0.2857142857142857,0.18100936821661145,0.1935483870967742,0.1772673733804476,0.16565044036473084,0.15742383910085772,0.0,0.02122645430514223,0.04528411931344776,0.1323360004981475,0.2643171806167401,0.11158654376862788,0.27684290522201715,0.1506702836146515,0.016375447625560095,0.07081545064377683,0.22260869565217392,0.03495843895537346,0.11667486473192326,0.24692513368983957,0.23275862068965517,0.19047619047619047,0.23893805309734514,0.20930232558139536,0.4444444444444444,0.2941852117731515,0.20689655172413793,0.2753888380603843,0.17249794135879573,0.22701920608620568,0.0,0.008599898389611603,0.013947878305724148,0.12140374305296439,0.2777777777777778,0.11914226078308207,0.30165204976544974,0.1740877056508261,0.015448603683897801,0.1331877729257642,0.04072283023670145,0.003898507325314987,0.04120774121816476,0.10478243603562716,0.3129251700680272,0.13333333333333333,0.22033898305084745
24773,209943564,12,12,25,"{'20-30': 0.4, '10-20': 1.3, '0-10': 0.7}","{'20-30': -2.85, '10-20': -1.2999999999999994, '0-10': -0.6000000000000001}",209943564,KR,1682,931,10397,"{'20-30': -101.05000000000001, '10-20': -193.90000000000003, '0-10': -201.64999999999998}","{'20-30': 638.5, '10-20': 397.8, '0-10': 196.9}",7,0,False,True,False,False,False,False,1521449590697,2065,3149436645,8.5.220.3006,10479,"{'20-30': 346.20000000000005, '10-20': 284.3, '0-10': 285.7}",9550,UNRANKED,0,3222,3092,2055,3174,3117,3114,3364,1,3,BOTTOM,0,2,1,781,22011,14337,4372,11,/v1/stats/player_history/KR/209943564,0,0,0,0,8200,8300.0,4380,1388,11661,0,420,DUO_SUPPORT,11,0,14,4,65721509,댕청잇,90,26925,16259,16392,3425,26,0,0,148,5,0,534,534,358,0,0,94,22,11,71,False,"{'20-30': -127.05000000000001, '10-20': -106.25, '0-10': 44.39999999999998}","{'20-30': 339.8, '10-20': 243.8, '0-10': 308.1}",Support,Morgana,1,1,Mage,6,8,sup,0.1875,0.2692307692307692,0.15810914796988398,0.10344827586206896,0.18792107795957652,0.10502934580331154,0.1376400957058305,0.0,0.01187078729337919,0.030580096499151777,0.11428991473096148,0.45918367346938777,0.043805061375893795,0.16410965540908815,0.11486955242079593,0.12396395092113359,0.02957906712172924,0.06592427616926504,0.014789376021270114,0.06282352941176471,0.04021116477591823,0.34306569343065696,0.5789473684210527,0.44375,0.27906976744186046,0.3888888888888889,0.18908829863603732,0.10344827586206896,0.3572735590118939,0.05091320398589946,0.08062822337868428,0.0,0.0071847498768801326,0.01781017027446653,0.18346065473969483,0.4166666666666667,0.030901578203517587,0.14770763335015083,0.12064461447363838,0.058144469909175794,0.04585152838427948,0.00941715449223721,0.0017553144280929198,0.018553907091483964,0.020309752084869803,0.5850340136054422,0.7333333333333333,0.5932203389830508
14851,210167960,20,15,25,"{'20-30': 0.5, '10-20': 0.5, '0-10': 0.8}","{'20-30': -1.4500000000000002, '10-20': -0.39999999999999947, '0-10': 0.5000000000000004}",210167960,KR,3015,909,9008,"{'20-30': -340, '10-20': -32.049999999999955, '0-10': -89.35}","{'20-30': 713.9, '10-20': 430, '0-10': 210.89999999999998}",2,0,False,False,True,False,False,False,1521451393148,1825,3149490167,8.5.220.3006,10873,"{'20-30': 447.5, '10-20': 297.4, '0-10': 223.4}",9325,UNRANKED,0,3092,3050,0,0,3107,3117,3364,0,2,BOTTOM,0,0,1,667,18637,12847,6719,11,/v1/stats/player_history/KR/210167960,0,0,0,0,8200,8300.0,4949,1052,6785,0,420,DUO_SUPPORT,11,0,3,4,66830150,watt up,89,24201,14154,13611,5206,18,0,0,188,4,0,615,255,106,0,0,81,15,7,50,True,"{'20-30': 247.85000000000005, '10-20': -67.09999999999997, '0-10': 60.44999999999999}","{'20-30': 798.2, '10-20': 245.1, '0-10': 334.8}",Support,Morgana,1,1,Mage,6,8,sup,0.35714285714285715,0.07692307692307693,0.20240887598197996,0.16666666666666666,0.18751757098678662,0.05957225097252011,0.1471593149064786,0.0,0.032495502239031374,0.04833448196645991,0.07636895717260397,0.536144578313253,0.05088937065907423,0.16306075896868735,0.09955383265067291,0.12415635210226324,0.02556818181818182,0.21123595505617979,0.059049447911665866,0.3789004457652303,0.04796380090497738,0.38207547169811323,0.4838709677419355,0.42016806722689076,0.46511627906976744,0.1111111111111111,0.20794448432639387,0.06896551724137931,0.3051235132662397,0.04310887204966645,0.13539940724837227,0.0,0.008292342041590184,0.013498774588428523,0.08770448341548673,0.41203703703703703,0.026445705087939697,0.12511137112616336,0.08835583833551998,0.0883795942619472,0.028384279475982533,0.01196233138203105,0.002021569987410385,0.008860011813349085,0.006013502013955863,0.4965986394557823,0.5,0.4152542372881356
20538,209703318,5,13,101,"{'20-30': 0.5, '10-20': 0.5, '0-10': 0.1}","{'20-30': -1.1500000000000001, '10-20': -0.050000000000000044, '0-10': 0.04999999999999982}",209703318,KR,859,702,7127,"{'20-30': 74.05000000000007, '10-20': 1.0999999999999943, '0-10': -76.75000000000001}","{'20-30': 769.9, '10-20': 340.7, '0-10': 285.8}",5,0,False,False,False,False,False,False,1521707634165,1908,3152166117,8.6.222.2149,9355,"{'20-30': 303.9, '10-20': 244.8, '0-10': 292.4}",9310,GOLD,0,3098,2055,3020,3165,3116,1052,3364,2,6,BOTTOM,0,3,1,549,33081,16305,12527,11,/v1/stats/player_history/KR/209703318,0,0,0,0,8200,8400.0,3150,832,6971,0,420,DUO_SUPPORT,11,0,4,3,63071145,내가바로서폿유저,27,36396,17138,19850,1640,16,0,0,174,1,0,164,0,351,0,0,59,13,7,29,False,"{'20-30': -148.84999999999997, '10-20': -81.65, '0-10': 48}","{'20-30': 407.29999999999995, '10-20': 291.9, '0-10': 313.6}",Assassin,Xerath,8,1,Mage,3,10,sup,0.12195121951219512,0.17857142857142858,0.16900009032607713,0.42857142857142855,0.12557182067703568,0.10028982519538948,0.18644698458057987,0.0,0.016624972291712847,0.04928617972868906,0.1589157889937537,0.17419354838709677,0.05354376580560594,0.25701859628074386,0.1616567989510632,0.04159797083069119,0.020460358056265986,0.024476016317344213,0.001022373777359408,0.0,0.029913073120845405,0.27699530516431925,0.4642857142857143,0.29292929292929293,0.11627906976744186,0.2777777777777778,0.135295525245274,0.20689655172413793,0.25114364135407136,0.07651899963915952,0.2709388345662878,0.0,0.004790482104308319,0.010675836936856017,0.09135720036919935,0.125,0.04639407977386935,0.15714331719570188,0.1607936931811585,0.027841439606145487,0.024017467248908297,0.011071519470603208,0.0005390853299761028,0.0,0.019912634027344413,0.3469387755102041,0.43333333333333335,0.23728813559322035
24062,208122534,12,14,25,"{'30-end': 0.4, '20-30': 0.3, '10-20': 0.7, '0-10': 0.1}","{'30-end': -0.7999999999999998, '20-30': 0.9999999999999993, '10-20': -0.25000000000000044, '0-10': 1.4499999999999997}",208122534,KR,2335,1048,18085,"{'30-end': 122, '20-30': 196.79999999999998, '10-20': 240.10000000000002, '0-10': -112.50000000000003}","{'30-end': 703.8, '20-30': 495.8, '10-20': 367.3, '0-10': 232.5}",6,0,False,False,False,False,True,False,1521986383145,2351,3155955158,8.6.222.2149,10813,"{'30-end': 196, '20-30': 321.1, '10-20': 267.2, '0-10': 246.79999999999998}",10475,DIAMOND,0,3157,3092,3222,3174,2055,3117,3364,1,3,BOTTOM,0,2,1,816,18321,10231,13348,11,/v1/stats/player_history/KR/208122534,0,0,0,0,8200,8400.0,2954,564,6494,0,420,DUO_SUPPORT,11,0,4,14,49980166,Mors,63,22003,11523,20105,3976,14,0,0,116,2,0,727,727,262,1,0,95,7,14,48,False,"{'30-end': -356.3, '20-30': 32.650000000000034, '10-20': -141.9, '0-10': 106.95}","{'30-end': 239, '20-30': 400.1, '10-20': 204.2, '0-10': 314}",Support,Morgana,1,1,Mage,6,8,sup,0.18181818181818182,0.2608695652173913,0.1467881190269331,0.16666666666666666,0.1932275633435946,0.03771592319711464,0.30332227423533153,0.0,0.009088503688935655,0.04172214824678207,0.112079529176231,0.38414634146341464,0.026351781856158052,0.1309893257852198,0.19141420873241047,0.1361084485827742,0.015184381778741865,0.008774583963691377,0.030063683731701266,0.17247924080664295,0.08498216023353876,0.30448717948717946,0.23333333333333334,0.3076923076923077,0.27906976744186046,0.3333333333333333,0.20507298396745632,0.10344827586206896,0.37328453796889294,0.04237793876814611,0.29009824741546286,0.0,0.004408956508028583,0.007236985615849512,0.08198974882661378,0.2916666666666667,0.02285025387353434,0.09686872698777332,0.16375436844732902,0.06749851455733809,0.019650655021834062,0.007381012980402138,0.0023897258225160163,0.02525971995413641,0.014863561581664492,0.5918367346938775,0.23333333333333334,0.3983050847457627
24034,527276,18,15,25,"{'20-30': 2.5999999999999996, '10-20': 1.5, '0-10': 1.2}","{'20-30': -1.2500000000000002, '10-20': -1.5000000000000007, '0-10': -0.20000000000000018}",527276,KR,5286,1597,15510,"{'20-30': -59.60000000000002, '10-20': -205.20000000000005, '0-10': -216.64999999999998}","{'20-30': 992.6999999999999, '10-20': 497.40000000000003, '0-10': 265.5}",4,0,False,False,True,False,True,False,1522072939511,1959,3156883817,8.6.222.2149,12149,"{'20-30': 428, '10-20': 349.4, '0-10': 288.70000000000005}",11235,UNRANKED,0,3092,3107,3060,3174,3105,3117,3364,1,4,BOTTOM,0,3,1,932,63761,16279,6080,11,/v1/stats/player_history/KR/527276,4,0,4,0,8200,8300.0,7359,1509,13234,0,420,DUO_SUPPORT,11,0,14,4,1262299,babymimi,62,75158,19957,21468,8802,64,0,0,162,5,0,4038,2168,2153,0,0,91,9,12,41,False,"{'20-30': -50.64999999999998, '10-20': -22.349999999999966, '0-10': 39.60000000000001}","{'20-30': 571.1, '10-20': 402.5, '0-10': 265.2}",Support,Morgana,1,1,Mage,6,8,sup,0.3050847457627119,0.125,0.19865264810242492,0.18181818181818182,0.28458015267175574,0.2647596189780173,0.14910366137773745,0.05555555555555555,0.032586458840720894,0.05659952739957241,0.1528846376007948,0.36046511627906974,0.1471669221987903,0.23093301241625105,0.15460175716549043,0.3029114185422259,0.09907120743034056,0.017583848909150115,0.09169145530098322,0.3001107419712071,0.18694104367456804,0.3905579399141631,0.375,0.35964912280701755,0.4186046511627907,0.2222222222222222,0.26901172529313233,0.13793103448275862,0.4263494967978042,0.14748429418676734,0.12048726984201069,0.017094017094017096,0.012983549628499184,0.019362785982831407,0.214351642740716,0.28703703703703703,0.10980030360134004,0.18740405981300384,0.17957946800729138,0.1494270435446906,0.12882096069868995,0.010307966403665055,0.013273332697826237,0.07532747298565026,0.12214216826459409,0.564625850340136,0.3,0.3389830508474576
24676,3511615,19,16,25,"{'30-end': 2.2, '20-30': 0.7, '10-20': 1.1, '0-10': 1}","{'30-end': 0.3000000000000007, '20-30': -1.1499999999999992, '10-20': -1.1500000000000001, '0-10': 0.6000000000000001}",3511615,KR,6164,4735,13094,"{'30-end': 63.10000000000002, '20-30': 197.05, '10-20': -20.19999999999999, '0-10': -44.70000000000002}","{'30-end': 504.4, '20-30': 658.7, '10-20': 489.5, '0-10': 313.2}",3,0,False,False,True,False,False,False,1522246658841,2314,3158382634,8.6.222.2149,13680,"{'30-end': 268, '20-30': 440.9, '10-20': 361.9, '0-10': 217.6}",11625,DIAMOND,0,2065,3157,3092,3190,2055,3158,3364,2,6,BOTTOM,0,3,1,836,28596,10851,7183,11,/v1/stats/player_history/KR/3511615,0,0,0,0,8200,8400.0,8937,1326,11139,0,420,DUO_SUPPORT,11,0,4,14,4473652,KSV 코어장전,77,40391,13476,19117,4499,40,0,0,148,1,0,2857,1297,794,1,0,114,19,15,58,True,"{'30-end': -89.59999999999997, '20-30': -100.00000000000003, '10-20': -15.599999999999994, '0-10': 27.700000000000017}","{'30-end': 335, '20-30': 468, '10-20': 319.4, '0-10': 298.29999999999995}",Support,Morgana,1,1,Mage,6,8,sup,0.3275862068965517,0.125,0.18357980622131564,0.21428571428571427,0.210791729702471,0.07249422626939682,0.15377205000856312,0.0,0.02824124985779834,0.043220338983050846,0.15974472967159042,0.385,0.04459575539298277,0.14000457123859789,0.15469832329902247,0.23132294719522856,0.04602991944764097,0.03491389478650625,0.014666399724844584,0.1334224873984158,0.11134483242182022,0.3486238532110092,0.41304347826086957,0.3372093023255814,0.4418604651162791,0.16666666666666666,0.34228284278535537,0.20689655172413793,0.38243366880146384,0.06614483581758125,0.14622762595972089,0.0,0.016055219990383996,0.01701461511811428,0.17320948135346909,0.35648148148148145,0.05292903318676717,0.11783333512242773,0.15228320310232327,0.07637721755368815,0.07641921397379912,0.00941715449223721,0.00939126090086418,0.04506445224279907,0.04504453395359392,0.7210884353741497,0.6333333333333333,0.4830508474576271
