,accountId,assists,champLevel,champion,creepsPerMinDeltas,csDiffPerMinDeltas,currentAccountId,currentPlatformId,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,damageTakenDiffPerMinDeltas,damageTakenPerMinDeltas,deaths,doubleKills,firstBloodAssist,firstBloodKill,firstInhibitorAssist,firstInhibitorKill,firstTowerAssist,firstTowerKill,gameCreation,gameDuration,gameId,gameVersion,goldEarned,goldPerMinDeltas,goldSpent,highestAchievedSeasonTier,inhibitorKills,item0,item1,item2,item3,item4,item5,item6,killingSprees,kills,lane,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicalDamageTaken,map,matchHistoryUri,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,neutralMinionsKilledTeamJungle,pentaKills,perkPrimaryStyle,perkSubStyle,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,queueId,role,season,sightWardsBoughtInGame,spell_1,spell_2,summonerId,summonerName,timeCCingOthers,totalDamageDealt,totalDamageDealtToChampions,totalDamageTaken,totalHeal,totalMinionsKilled,totalPlayerScore,totalScoreRank,totalTimeCrowdControlDealt,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,xpDiffPerMinDeltas,xpPerMinDeltas,champion_subclass,champion_name,champion_defense,champion_attack,champion_class,champion_difficulty,champion_magic,position,rel_assists,rel_deaths,rel_goldEarned,rel_kills,rel_longestTimeSpentLiving,rel_magicDamageDealt,rel_magicalDamageTaken,rel_neutralMinionsKilled,rel_physicalDamageDealt,rel_physicalDamageDealtToChampions,rel_physicalDamageTaken,rel_timeCCingOthers,rel_totalDamageDealt,rel_totalDamageDealtToChampions,rel_totalDamageTaken,rel_totalHeal,rel_totalMinionsKilled,rel_totalTimeCrowdControlDealt,rel_trueDamageDealt,rel_trueDamageDealtToChampions,rel_trueDamageTaken,rel_visionScore,rel_visionWardsBoughtInGame,rel_wardsPlaced,norm_assists,norm_deaths,norm_goldEarned,norm_kills,norm_longestTimeSpentLiving,norm_magicDamageDealt,norm_magicalDamageTaken,norm_neutralMinionsKilled,norm_physicalDamageDealt,norm_physicalDamageDealtToChampions,norm_physicalDamageTaken,norm_timeCCingOthers,norm_totalDamageDealt,norm_totalDamageDealtToChampions,norm_totalDamageTaken,norm_totalHeal,norm_totalMinionsKilled,norm_totalTimeCrowdControlDealt,norm_trueDamageDealt,norm_trueDamageDealtToChampions,norm_trueDamageTaken,norm_visionScore,norm_visionWardsBoughtInGame,norm_wardsPlaced
8149,1893908,8,15,81,"{'30-end': 4, '20-30': 2.3, '10-20': 1.9, '0-10': 0.30000000000000004}","{'30-end': 1.799999999999999, '20-30': -1.3000000000000003, '10-20': -1.3499999999999996, '0-10': -0.19999999999999996}",1893908,KR,6891,1168,14747,"{'30-end': -448.9, '20-30': -539.05, '10-20': -321.7499999999999, '0-10': -42.89999999999998}","{'30-end': 652.6, '20-30': 582.4, '10-20': 481.70000000000005, '0-10': 299}",8,0,False,False,True,False,False,False,1522850530777,2201,3165403807,8.7.223.9264,12197,"{'30-end': 344.4, '20-30': 414.6, '10-20': 311.6, '0-10': 208.2}",12297,CHALLENGER,0,3092,3035,3025,3158,3042,3026,3364,0,2,BOTTOM,0,0,1,456,33506,10853,8660,11,/v1/stats/player_history/KR/1893908,8,1,3,0,8300,8200.0,57365,14982,11763,0,420,DUO_SUPPORT,11,0,14,4,2521310,아오지깜지,12,92586,26983,21548,3499,66,0,0,350,1,0,1714,1147,1125,0,0,78,9,8,41,False,"{'30-end': -112.49999999999994, '20-30': 19.69999999999999, '10-20': -154.74999999999994, '0-10': 3.1500000000000057}","{'30-end': 343, '20-30': 550.7, '10-20': 305.3, '0-10': 275.4}",Mage,Ezreal,7,7,Marksman,2,6,sup,0.21052631578947367,0.21052631578947367,0.16196369527401172,0.06666666666666667,0.1555783009211873,0.05844450336300969,0.10998361675916636,0.07407407407407407,0.14213048304295256,0.2635912593687322,0.11504381503794696,0.12371134020618557,0.0734477260287013,0.16852683450855968,0.11507610146862483,0.04536614459081008,0.058666666666666666,0.2771179730799683,0.006042402577715732,0.33965057743559374,0.17965506228042158,0.30708661417322836,0.391304347826087,0.3360655737704918,0.18604651162790697,0.4444444444444444,0.27130892558028236,0.06896551724137931,0.20860018298261665,0.07750205864120428,0.18069589974563022,0.03418803418803419,0.1103231872181139,0.19224205407208755,0.18546375758527917,0.05555555555555555,0.1383087311557789,0.2628251231791492,0.18050830730648212,0.059400729988965284,0.1331877729257642,0.022270297785696107,0.0056340991193843904,0.039852680587887844,0.06382254495943723,0.47619047619047616,0.3,0.3389830508474576
12642,209416180,12,16,81,"{'20-30': 9.399999999999999, '10-20': 9.3, '0-10': 4.800000000000001}",,209416180,KR,9873,9873,9546,,"{'20-30': 998.5, '10-20': 488, '0-10': 439.5}",4,0,False,False,True,False,False,False,1524739896626,1821,3185035183,8.8.226.7254,15435,"{'20-30': 685.1, '10-20': 474.8, '0-10': 282.4}",12633,UNRANKED,0,1042,3144,3003,3042,3078,3047,3363,1,7,MIDDLE,0,3,1,584,23409,4845,6268,11,/v1/stats/player_history/KR/209416180,30,14,8,0,8300,8200.0,174821,17771,12666,0,420,DUO_SUPPORT,11,0,7,4,60330504,DWA HakaM,0,200685,22617,19266,1746,236,0,0,5,4,0,2455,0,331,3,0,24,1,4,13,True,,"{'20-30': 758.6, '10-20': 555.8, '0-10': 247.7}",Mage,Ezreal,7,7,Marksman,2,6,sup,0.21052631578947367,0.12121212121212122,0.2688602832308523,0.3684210526315789,0.23294774631033108,0.06895566441517738,0.1512584763145829,0.46875,0.8658920142448873,0.8498804399808704,0.2183529574016929,0.0,0.2781072878701792,0.2942354976778071,0.18969693389259762,0.0909375,0.3259668508287293,0.0032216494845360823,0.013621408081850514,0.0,0.15672348484848486,0.11483253588516747,0.030303030303030304,0.10569105691056911,0.27906976744186046,0.2222222222222222,0.4262742282842785,0.2413793103448276,0.26715462031107046,0.05414688983262553,0.12487456535436746,0.1282051282051282,0.33895824046623985,0.228029204573159,0.20319710924765813,0.0,0.3151352465452261,0.21595800637633242,0.15401316629706602,0.029640947288006113,0.5043668122270742,0.0003181471112242301,0.008069844421288611,0.0,0.01877801100584331,0.10884353741496598,0.03333333333333333,0.1016949152542373
12380,209334030,13,17,81,"{'20-30': 4.4, '10-20': 8.3, '0-10': 6.4}",,209334030,KR,22796,2269,17587,,"{'20-30': 1347.5, '10-20': 657.4000000000001, '0-10': 281.3}",6,1,False,False,True,False,False,False,1525090452936,2033,3189436801,8.8.226.7254,15431,"{'20-30': 431.8, '10-20': 469.9, '0-10': 284}",12483,DIAMOND,0,3153,0,3155,3078,3042,3047,3340,2,9,MIDDLE,0,3,2,455,39472,10111,12172,11,/v1/stats/player_history/KR/209334030,36,16,12,0,8300,8200.0,172568,31385,13916,0,420,DUO_SUPPORT,11,0,4,7,59640548,Empmuyi,10,220444,43875,26724,4094,215,0,0,346,4,0,8403,2379,636,0,0,33,2,4,24,True,,"{'20-30': 572, '10-20': 508.29999999999995, '0-10': 286.5}",Mage,Ezreal,7,7,Marksman,2,6,sup,0.2765957446808511,0.20689655172413793,0.2090185029664346,0.21428571428571427,0.13131313131313133,0.1345495698177009,0.16414488766620816,0.11392405063291139,0.23716840430005856,0.31576670389262823,0.13308468416774255,0.11235955056179775,0.17885705244966593,0.26022822979561333,0.14298555377207062,0.04862232779097387,0.22210743801652894,0.1184931506849315,0.0397248617217416,0.21205098493626884,0.07777913660266601,0.18857142857142858,0.10526315789473684,0.32,0.3023255813953488,0.3333333333333333,0.426082794927016,0.3103448275862069,0.2081427264409881,0.09130189394990794,0.26265431378497583,0.15384615384615385,0.3345726426681876,0.40271771906637754,0.22774493823766226,0.046296296296296294,0.3474566844639866,0.4441534184226628,0.24060420996412357,0.06950174008997538,0.4585152838427948,0.02201578009671672,0.027621548949934092,0.08265869844689204,0.03608101208373518,0.17006802721088435,0.06666666666666667,0.19491525423728814
6345,205883467,8,17,104,"{'20-30': 3.6, '10-20': 1.9, '0-10': 1.4}",,205883467,KR,36028,6668,14518,,"{'20-30': 1206.1999999999998, '10-20': 542.4, '0-10': 497.79999999999995}",3,0,False,False,False,False,True,False,1525247812943,1865,3191367953,8.9.227.7511,15012,"{'20-30': 676.3, '10-20': 423.8, '0-10': 292.29999999999995}",13800,UNRANKED,0,3134,3006,3142,3026,3156,1412,3364,3,9,TOP,0,4,1,842,9561,1668,9589,11,/v1/stats/player_history/KR/205883467,156,44,84,0,8000,8100.0,232269,20512,13203,0,420,DUO_SUPPORT,11,0,11,4,34790605,커닝시티 몽땅따,21,255386,23506,23544,12224,88,0,0,1115,1,0,13556,1326,752,1,0,35,5,10,8,True,,"{'20-30': 862.4, '10-20': 466.5, '0-10': 356}",Marksman,Graves,3,8,Marksman,5,3,sup,0.14545454545454545,0.12,0.2390255552901839,0.2903225806451613,0.20506575742815392,0.02714542863145701,0.19833291966575659,0.7878787878787878,0.840713634191895,0.7420323409181347,0.17414529914529914,0.15328467153284672,0.26855937443477457,0.24144873348809498,0.18052169112573033,0.15952185204035027,0.15331010452961671,0.5352856457033125,0.04203971382230809,0.29271523178807946,0.12020460358056266,0.1383399209486166,0.18518518518518517,0.064,0.18604651162790697,0.16666666666666666,0.40603015075376886,0.3103448275862069,0.38517840805123515,0.022115357925999946,0.20237567384658467,0.6666666666666666,0.4507841713594964,0.2632004414047964,0.2137428565817639,0.09722222222222222,0.40461421691792293,0.2255010358856554,0.2036828478212913,0.20752058399117224,0.1812227074235808,0.0709468058030033,0.04456000447046371,0.04607206142941524,0.042661825608441596,0.1836734693877551,0.16666666666666666,0.059322033898305086
12799,204672058,3,16,104,"{'30-end': 7.4, '20-30': 1.8, '10-20': 1.9, '0-10': 0.5}",,204672058,KR,4929,85,22224,,"{'30-end': 1515, '20-30': 1167.5, '10-20': 699.7, '0-10': 580.4}",8,0,False,False,False,False,False,False,1525344743630,2112,3192504583,8.9.227.7511,12334,"{'30-end': 496.4, '20-30': 354.1, '10-20': 383.29999999999995, '0-10': 195.4}",10775,MASTER,0,3046,1036,1036,3047,3071,1412,3364,2,7,TOP,295,3,1,673,9711,1053,7329,11,/v1/stats/player_history/KR/204672058,110,14,89,0,8000,8200.0,166197,16909,22107,0,420,DUO_SUPPORT,11,0,11,4,29341663,JAG UmTi,23,181081,20387,32051,8368,79,0,0,833,1,0,5172,2424,2613,0,0,41,8,15,14,False,,"{'30-end': 787, '20-30': 395, '10-20': 487, '0-10': 243.1}",Marksman,Graves,3,8,Marksman,5,3,sup,0.06666666666666667,0.25806451612903225,0.20473408140229732,0.35,0.14895971668880034,0.054691679948636794,0.21966790552691523,0.7236842105263158,0.4373789422712535,0.48737533867527527,0.26986083984375,0.16312056737588654,0.24069037934976206,0.26722329995281285,0.26151912987426257,0.1746316624233065,0.12741935483870967,0.34737281067556297,0.026551125804696242,0.23839496459480725,0.3594717292612464,0.14695340501792115,0.16326530612244897,0.0958904109589041,0.06976744186046512,0.4444444444444444,0.2778655180665231,0.2413793103448276,0.30786825251601097,0.022462319926721624,0.14963478098527455,0.4700854700854701,0.32217111422993144,0.21696842159290672,0.3886019520433613,0.10648148148148148,0.2830673550041876,0.19201992335519608,0.3024532967989876,0.14205924794160088,0.1615720524017467,0.05300330872995673,0.01700091052827075,0.08422222994336541,0.14823849775911954,0.22448979591836735,0.26666666666666666,0.11016949152542373
9734,210168151,14,16,81,"{'30-end': 7.4, '20-30': 5.199999999999999, '10-20': 8, '0-10': 7}",,210168151,KR,12185,5004,14549,,"{'30-end': 1026, '20-30': 1300.5, '10-20': 718.7, '0-10': 479}",12,1,False,False,True,False,True,False,1525358977707,2157,3192770452,8.9.227.7511,16552,"{'30-end': 476.2, '20-30': 493.1, '10-20': 490.4, '0-10': 370.1}",17033,UNRANKED,0,3140,3040,3153,3042,3078,3111,3363,2,7,MIDDLE,0,3,2,386,54023,11455,15497,11,/v1/stats/player_history/KR/210168151,41,1,37,0,8300,8200.0,174419,19688,14906,0,420,DUO_SUPPORT,11,0,12,4,66830152,학식먹을나이,12,233016,32692,32179,1823,240,0,0,356,1,0,4572,1548,1774,1,0,26,2,5,14,False,,"{'30-end': 560.4, '20-30': 522.6, '10-20': 455.2, '0-10': 364.5}",Mage,Ezreal,7,7,Marksman,2,6,sup,0.1794871794871795,0.3076923076923077,0.251775908489375,0.30434782608695654,0.17117516629711751,0.20518205953063698,0.23500242630110396,0.7192982456140351,0.614608036252286,0.5823818257114122,0.2084638621615574,0.04460966542750929,0.4129095364921402,0.3455667836455118,0.22699633182844245,0.03129882393338484,0.3314917127071823,0.06801681314482232,0.2651972157772622,0.3634656022540502,0.4119832791453785,0.09187279151943463,0.05263157894736842,0.09523809523809523,0.32558139534883723,0.6666666666666666,0.4797319932998325,0.2413793103448276,0.17657822506861848,0.1249595210999158,0.34024876899022194,0.1752136752136752,0.33817572368203347,0.2526272567461794,0.24718681879774554,0.05555555555555555,0.3680217493718593,0.3241087626265337,0.30393943967769277,0.030948136830489772,0.5131004366812227,0.02265207431916518,0.015028647125919156,0.05378548347868385,0.10064106200714812,0.12244897959183673,0.06666666666666667,0.11016949152542373
9630,5724714,15,18,81,"{'30-end': 1.2, '20-30': 5.6, '10-20': 6.3, '0-10': 6.3}",,5724714,KR,12358,4449,17506,,"{'30-end': 1233.8, '20-30': 829.8, '10-20': 413.20000000000005, '0-10': 288.8}",5,3,False,False,False,True,False,False,1525446325167,2189,3193860804,8.9.227.7511,17769,"{'30-end': 591, '20-30': 494.79999999999995, '10-20': 549.3, '0-10': 278.3}",14750,DIAMOND,1,3146,3140,3040,3158,3025,3042,3363,3,15,MIDDLE,0,8,3,1054,30768,17124,13500,11,/v1/stats/player_history/KR/5724714,17,1,16,0,8300,8200.0,145229,20095,9103,0,420,DUO_SUPPORT,11,0,7,4,8235613,강석진홀수,14,184438,38788,23314,6203,198,0,0,883,4,1,8441,1569,711,1,0,42,0,2,18,True,,"{'30-end': 588.6, '20-30': 560.3, '10-20': 563.7, '0-10': 357}",Mage,Ezreal,7,7,Marksman,2,6,sup,0.23076923076923078,0.14285714285714285,0.21827629413065375,0.30612244897959184,0.3256101328390485,0.26172390033940407,0.319693094629156,0.22666666666666666,0.18836201865086055,0.22158877886333062,0.09527946409880678,0.09722222222222222,0.20170473186671858,0.28421530841039316,0.16192751670394087,0.2449261628366106,0.18732261116367077,0.44327309236947793,0.3268791387522751,0.2247207103981667,0.11454809086515225,0.16216216216216217,0.0,0.13432835820895522,0.3488372093023256,0.2777777777777778,0.537975592246949,0.5172413793103449,0.48215919487648673,0.0711688455880312,0.29364542251055986,0.07264957264957266,0.2813556616646585,0.25784969140158853,0.13322597749455037,0.06481481481481481,0.2885586788107203,0.38954667926189124,0.20101243483611791,0.10530515236397589,0.42139737991266374,0.05618477984219903,0.02774645896541636,0.05451513151037143,0.04033584841436433,0.23129251700680273,0.0,0.1440677966101695
28917,208122534,10,18,104,"{'20-30': 2, '10-20': 2.6, '0-10': 0.5}",,208122534,KR,30494,9756,14260,,"{'20-30': 1119.1, '10-20': 766, '0-10': 490}",6,1,False,False,False,True,False,False,1525503571721,1956,3194343375,8.9.228.4283,15828,"{'20-30': 607.8, '10-20': 461.5, '0-10': 347.3}",14350,DIAMOND,1,1412,3142,3071,3147,3155,3006,3364,3,12,MIDDLE,0,5,2,531,6516,1169,9157,11,/v1/stats/player_history/KR/208122534,160,38,92,0,8100,8200.0,220398,30175,13773,0,420,DUO_SUPPORT,11,0,4,11,49980166,Mors,19,235900,34268,25614,5861,54,0,0,612,1,0,8985,2923,2684,3,0,51,5,11,25,True,,"{'20-30': 825.7, '10-20': 527.5, '0-10': 364.5}",Marksman,Graves,3,8,Marksman,5,3,sup,0.18867924528301888,0.16666666666666666,0.24804500791399603,0.3870967741935484,0.2,0.14870940502544674,0.32442869796279894,0.8839779005524862,0.4233294278086165,0.497395575775558,0.16629639467774263,0.19791666666666666,0.3907039295639817,0.35407410468888845,0.20120183810533757,0.2034998784764418,0.10074626865671642,0.5354330708661418,0.22844575525666777,0.17090568906039877,0.16511842509996924,0.2015810276679842,0.14705882352941177,0.17123287671232876,0.23255813953488372,0.3333333333333333,0.44508255563531945,0.41379310344827586,0.24290942360475754,0.015072029311349822,0.19229422883946698,0.6837606837606838,0.42767656751543137,0.38719156198272875,0.2249366666012058,0.08796296296296297,0.3727393477805695,0.341026439236987,0.22771656468785195,0.09949919361684068,0.10698689956331878,0.03894120641384576,0.02953464445021514,0.10156005698203677,0.15226640948544845,0.2925170068027211,0.16666666666666666,0.2033898305084746
7509,210168327,10,15,104,"{'20-30': 2.3, '10-20': 2.5, '0-10': 0.4}",,210168327,KR,4846,901,15602,,"{'20-30': 977.5, '10-20': 825.0999999999999, '0-10': 515.7}",8,0,False,False,False,False,False,False,1525522319985,1878,3194925608,8.9.228.4283,11545,"{'20-30': 310.7, '10-20': 433.4, '0-10': 331}",11150,UNRANKED,0,2031,1412,3071,3047,3046,1038,3364,0,4,BOTTOM,341,0,1,395,5732,995,13022,11,/v1/stats/player_history/KR/210168327,118,9,94,0,8000,8200.0,134607,10191,13055,0,420,DUO_SUPPORT,11,0,11,4,66850138,간절함이가득찬자,22,146557,12520,26676,6173,52,0,0,853,1,0,6217,1333,598,1,0,33,6,10,9,False,,"{'20-30': 368.9, '10-20': 544, '0-10': 403.5}",Marksman,Graves,3,8,Marksman,5,3,sup,0.20833333333333334,0.2962962962962963,0.20136744981075472,0.18181818181818182,0.12351469668542839,0.029250121195111372,0.3333760016384629,0.8939393939393939,0.48551116689750695,0.4645152468207302,0.2492220758643071,0.18181818181818182,0.23915257058376221,0.22676640524533154,0.2810810810810811,0.2739051337800062,0.0859504132231405,0.6963265306122449,0.04453470297065165,0.21321177223288548,0.17293233082706766,0.13414634146341464,0.13953488372093023,0.06870229007633588,0.23255813953488372,0.4444444444444444,0.2401052883464944,0.13793103448275862,0.1806953339432754,0.013258574587577836,0.2824904903036102,0.5042735042735043,0.2606793102172944,0.13076617094170634,0.21083639362934742,0.10185185185185185,0.22659357987855946,0.10757108966583295,0.24004690638460913,0.1047958577370342,0.10262008733624454,0.05427589717485365,0.020435935954033115,0.046315277439977764,0.03392522834288308,0.17006802721088435,0.2,0.06779661016949153
19407,210168330,12,13,17,"{'20-30': 0.7, '10-20': 1.1, '0-10': 0.7}","{'20-30': -0.7499999999999998, '10-20': -0.24999999999999956, '0-10': -1.4000000000000004}",210168330,KR,2872,1767,5774,"{'20-30': -44.25000000000006, '10-20': -213.10000000000002, '0-10': 73.04999999999998}","{'20-30': 782.5, '10-20': 400.6, '0-10': 494.1}",6,0,False,False,False,False,False,False,1525717904633,1828,3197928575,8.9.228.4283,11614,"{'20-30': 434.4, '10-20': 365.5, '0-10': 267.3}",10010,UNRANKED,0,3092,0,1052,3116,3151,3020,3364,1,6,BOTTOM,0,2,1,963,23545,13351,7510,11,/v1/stats/player_history/KR/210168330,2,0,2,0,8200,8300.0,3630,1986,8417,0,420,DUO_SUPPORT,11,0,14,4,66830151,wsalwq,28,27939,16101,16772,1613,25,0,0,245,1,0,763,763,844,2,0,78,9,15,44,True,"{'20-30': 316.84999999999997, '10-20': 19.899999999999977, '0-10': -110.94999999999997}","{'20-30': 551.4, '10-20': 317.1, '0-10': 195.2}",Assassin,Teemo,6,5,Marksman,3,7,sup,0.23529411764705882,0.3157894736842105,0.18307638954569816,0.2608695652173913,0.23305905130687318,0.11861460957178842,0.1935467243956497,0.044444444444444446,0.00861774257877044,0.058310578701664756,0.1424895464779672,0.23140495867768596,0.03494471683009806,0.174834135059125,0.16276857980241066,0.07734727150666539,0.03156565656565657,0.09776536312849161,0.0042437928272670645,0.1096579476861167,0.16340755082284608,0.3132530120481928,0.24324324324324326,0.3492063492063492,0.27906976744186046,0.3333333333333333,0.24340751375927255,0.20689655172413793,0.44053064958828914,0.05446146871327986,0.1538587197498308,0.008547008547008548,0.005724830503360734,0.02548342807283179,0.11975412894483611,0.12962962962962962,0.03256026224874372,0.14601157186255462,0.12505660114479444,0.02738307444189797,0.043668122270742356,0.015589208449987273,0.0025080616266571123,0.026510545151315103,0.047881091507346686,0.47619047619047616,0.3,0.3644067796610169
