,accountId,assists,champLevel,champion,creepsPerMinDeltas,csDiffPerMinDeltas,currentAccountId,currentPlatformId,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,damageTakenDiffPerMinDeltas,damageTakenPerMinDeltas,deaths,doubleKills,firstBloodAssist,firstBloodKill,firstInhibitorAssist,firstInhibitorKill,firstTowerAssist,firstTowerKill,gameCreation,gameDuration,gameId,gameVersion,goldEarned,goldPerMinDeltas,goldSpent,highestAchievedSeasonTier,inhibitorKills,item0,item1,item2,item3,item4,item5,item6,killingSprees,kills,lane,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicalDamageTaken,map,matchHistoryUri,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,neutralMinionsKilledTeamJungle,pentaKills,perkPrimaryStyle,perkSubStyle,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,queueId,role,season,sightWardsBoughtInGame,spell_1,spell_2,summonerId,summonerName,timeCCingOthers,totalDamageDealt,totalDamageDealtToChampions,totalDamageTaken,totalHeal,totalMinionsKilled,totalPlayerScore,totalScoreRank,totalTimeCrowdControlDealt,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,xpDiffPerMinDeltas,xpPerMinDeltas,champion_subclass,champion_name,champion_defense,champion_attack,champion_class,champion_difficulty,champion_magic,position,rel_assists,rel_deaths,rel_goldEarned,rel_kills,rel_longestTimeSpentLiving,rel_magicDamageDealt,rel_magicalDamageTaken,rel_neutralMinionsKilled,rel_physicalDamageDealt,rel_physicalDamageDealtToChampions,rel_physicalDamageTaken,rel_timeCCingOthers,rel_totalDamageDealt,rel_totalDamageDealtToChampions,rel_totalDamageTaken,rel_totalHeal,rel_totalMinionsKilled,rel_totalTimeCrowdControlDealt,rel_trueDamageDealt,rel_trueDamageDealtToChampions,rel_trueDamageTaken,rel_visionScore,rel_visionWardsBoughtInGame,rel_wardsPlaced,norm_assists,norm_deaths,norm_goldEarned,norm_kills,norm_longestTimeSpentLiving,norm_magicDamageDealt,norm_magicalDamageTaken,norm_neutralMinionsKilled,norm_physicalDamageDealt,norm_physicalDamageDealtToChampions,norm_physicalDamageTaken,norm_timeCCingOthers,norm_totalDamageDealt,norm_totalDamageDealtToChampions,norm_totalDamageTaken,norm_totalHeal,norm_totalMinionsKilled,norm_totalTimeCrowdControlDealt,norm_trueDamageDealt,norm_trueDamageDealtToChampions,norm_trueDamageTaken,norm_visionScore,norm_visionWardsBoughtInGame,norm_wardsPlaced
15223,202657028,18,15,223,"{'20-30': 1.7000000000000002, '10-20': 3.2, '0-10': 1.5}","{'20-30': -2.220446049250313e-16, '10-20': 0.6000000000000001, '0-10': 0.8499999999999999}",202657028,KR,10044,2741,38493,"{'20-30': -52.199999999999875, '10-20': -242.7, '0-10': -59.349999999999966}","{'20-30': 1121.2, '10-20': 539.8, '0-10': 269.2}",3,0,False,False,False,True,False,True,1519365972830,2003,3123691148,8.4.218.8787,10950,"{'20-30': 379.5, '10-20': 296.4, '0-10': 206.2}",9250,DIAMOND,2,3211,3190,3401,2055,3109,3111,3364,0,1,BOTTOM,0,0,1,865,22746,7662,11079,11,/v1/stats/player_history/KR/202657028,0,0,0,0,8300,8400.0,13748,1732,13513,0,420,DUO_SUPPORT,11,0,4,3,20581773,1874  Eason,26,50260,9395,25757,9337,70,0,0,207,4,0,13765,0,1165,1,0,63,12,6,32,True,"{'20-30': -11.449999999999989, '10-20': 113.69999999999999, '0-10': 35.599999999999994}","{'20-30': 453.5, '10-20': 394, '0-10': 325.4}",Tank,TahmKench,5,3,Support,9,6,sup,0.32142857142857145,0.13043478260869565,0.19372302030995683,0.125,0.20009252833680313,0.04995080901600464,0.17507901390644753,0.0,0.12479802472721992,0.11837069436850738,0.16144563918757468,0.1111111111111111,0.06611435441819105,0.13437553635791522,0.17170875443321512,0.23640368644926069,0.07700770077007701,0.0455245216626347,0.0707126748552612,0.0,0.385506287227002,0.3,0.375,0.27350427350427353,0.4186046511627907,0.16666666666666666,0.21162957645369707,0.034482758620689655,0.3956999085086917,0.052613317789435704,0.2371473244498378,0.0,0.025420116131719767,0.022224218238743536,0.21983071817128494,0.12037037037037036,0.0690725764237856,0.07402556973711047,0.2293768649351554,0.15850946439181735,0.14192139737991266,0.013171290404683126,0.04524700955561618,0.0,0.06609179100243943,0.3741496598639456,0.4,0.2627118644067797
15227,210168321,14,15,201,"{'20-30': 2.7, '10-20': 2.8, '0-10': 1.2999999999999998}","{'20-30': 2.220446049250313e-16, '10-20': -0.6000000000000001, '0-10': -0.8499999999999999}",210168321,KR,1442,82,29937,"{'20-30': 52.199999999999875, '10-20': 242.7, '0-10': 59.349999999999966}","{'20-30': 1232.3, '10-20': 956.5999999999999, '0-10': 399.6}",5,0,False,False,False,False,False,False,1519365972830,2003,3123691148,8.4.218.8787,8745,"{'20-30': 322.1, '10-20': 222.10000000000002, '0-10': 159.1}",8475,UNRANKED,0,3109,3190,3401,0,1028,3111,3364,0,0,BOTTOM,0,0,0,480,12019,5015,16714,11,/v1/stats/player_history/KR/210168321,0,0,0,0,8300,8400.0,9849,1495,14969,0,420,DUO_SUPPORT,11,0,3,4,66810150,PPAPDO,37,41878,6562,32128,6448,75,0,0,796,5,0,20009,51,444,0,0,68,11,6,46,False,"{'20-30': 11.449999999999989, '10-20': -113.69999999999999, '0-10': -35.599999999999994}","{'20-30': 584, '10-20': 260.2, '0-10': 275.6}",Tank,Braum,3,3,Support,9,4,sup,0.25,0.21739130434782608,0.15471304224754087,0.0,0.11103400416377515,0.026394037350011418,0.2641276864728192,0.0,0.08940469490386885,0.10217331875341716,0.1788410991636798,0.1581196581196581,0.05508827963241156,0.09385548372332514,0.21418095517452868,0.16325703868746202,0.08250825082508251,0.17506047943699143,0.10278895104823257,0.2833333333333333,0.1469225678358703,0.3238095238095238,0.34375,0.39316239316239315,0.32558139534883723,0.2777777777777778,0.10610193826274228,0.0,0.21957913998170173,0.02780090857782589,0.36864950642925487,0.0,0.017830481948583585,0.019183144495913157,0.24842402937884173,0.1712962962962963,0.055361442629815745,0.04361454319052782,0.30334730462445864,0.10946439181733299,0.15283842794759825,0.05064902010689743,0.06577169736275512,0.0017720023626698169,0.02518863107732456,0.40816326530612246,0.36666666666666664,0.3813559322033898
15213,1071218,5,13,223,"{'20-30': 0.8999999999999999, '10-20': 0.5, '0-10': 0}","{'20-30': -1.15, '10-20': 0.19999999999999973, '0-10': -0.25}",1071218,KR,4268,1227,20970,"{'20-30': 25.80000000000001, '10-20': 62.94999999999993, '0-10': 89.05000000000001}","{'20-30': 928.1, '10-20': 616.9, '0-10': 246.10000000000002}",3,0,False,False,False,False,False,False,1519375473801,1973,3123798130,8.4.218.8787,8997,"{'20-30': 323.79999999999995, '10-20': 295.4, '0-10': 166.89999999999998}",8650,CHALLENGER,0,3800,3109,1029,3069,2055,3111,3364,0,2,BOTTOM,0,0,1,1250,15623,5950,8128,11,/v1/stats/player_history/KR/1071218,4,0,0,0,8300,8400.0,6144,1000,11687,0,420,DUO_SUPPORT,11,0,14,4,2712005,KZ GorillA,21,22926,7812,21493,3963,16,0,0,190,5,0,1159,862,1677,0,0,82,12,6,51,False,"{'20-30': -165.14999999999998, '10-20': 37.74999999999997, '0-10': -2.5000000000000284}","{'20-30': 391.3, '10-20': 323.4, '0-10': 303.1}",Tank,TahmKench,5,3,Support,9,6,sup,0.16129032258064516,0.1875,0.1516944865958523,0.14285714285714285,0.24371222460518618,0.09282442203829906,0.2079410560785919,0.125,0.013493836189572585,0.023563787171874264,0.15678199160216252,0.17647058823529413,0.029981168593398545,0.09361294188136608,0.17574285761009992,0.07788302806383146,0.01927710843373494,0.18216682646212848,0.008216886090846573,0.08106074854241113,0.1935595567867036,0.36283185840707965,0.5,0.36428571428571427,0.11627906976744186,0.16666666666666666,0.11816223977027997,0.06896551724137931,0.5718206770356816,0.036137248915165475,0.16828078691279083,0.017094017094017096,0.010618480243397758,0.01283153477987502,0.1839712495826869,0.09722222222222222,0.024360081658291458,0.05703275116201681,0.1798697302882885,0.06727782021899668,0.024017467248908297,0.012089590226520744,0.003809755472209165,0.029950314443556513,0.09513814035286776,0.5034013605442177,0.4,0.423728813559322
15218,1011436,9,14,16,"{'20-30': 1.3, '10-20': 0.5, '0-10': 0}","{'20-30': 1.15, '10-20': -0.19999999999999973, '0-10': 0.25}",1011436,KR,1563,1563,4937,"{'20-30': -25.80000000000001, '10-20': -62.94999999999993, '0-10': -89.05000000000001}","{'20-30': 465.20000000000005, '10-20': 313.3, '0-10': 191.8}",3,0,False,False,True,False,False,False,1519375473801,1973,3123798130,8.4.218.8787,9421,"{'20-30': 328, '10-20': 197.89999999999998, '0-10': 162.2}",7700,MASTER,0,2055,3107,3092,3504,0,3158,3364,1,3,BOTTOM,0,2,1,881,24715,7778,7185,11,/v1/stats/player_history/KR/1011436,0,0,0,0,8200,8400.0,4803,708,3968,0,420,DUO_SUPPORT,11,0,3,4,1513290,일 편,49,31579,10547,12193,25158,24,0,0,492,7,0,2060,2060,1040,0,0,51,6,6,34,True,"{'20-30': 165.14999999999998, '10-20': -37.74999999999997, '0-10': 2.5000000000000284}","{'20-30': 496, '10-20': 239.5, '0-10': 307.9}",Mage,Soraka,3,2,Support,5,7,sup,0.2903225806451613,0.1875,0.1588433653684033,0.21428571428571427,0.17176837590173524,0.14684475393180318,0.18381600491199346,0.0,0.010548648310305522,0.01668316131768698,0.05323102102142387,0.4117647058823529,0.04129701312967516,0.1263870581186339,0.09969909565160509,0.49441867777690435,0.02891566265060241,0.47171620325982744,0.014604646546284678,0.19371826217791988,0.12003693444136658,0.22566371681415928,0.25,0.24285714285714285,0.20930232558139536,0.16666666666666666,0.1384541756401053,0.10344827586206896,0.4030192131747484,0.05716777231890897,0.14627429931623534,0.0,0.008008144403545074,0.009084726624151515,0.03238349600361344,0.22685185185185186,0.038514512667504185,0.08639179020363473,0.07189216175736396,0.4270944741532977,0.04148471615720524,0.03130567574446424,0.006771437681407144,0.07157499739411417,0.059000397118057525,0.2925170068027211,0.2,0.2796610169491525
15173,200129667,18,14,201,"{'20-30': 1.5, '10-20': 2.4000000000000004, '0-10': 1.5}","{'20-30': -0.6499999999999999, '10-20': 1.0499999999999994, '0-10': 0.25}",200129667,KR,1051,696,28609,"{'20-30': -91.19999999999999, '10-20': -333.95000000000005, '0-10': -87.95000000000002}","{'20-30': 863.1, '10-20': 465.9, '0-10': 355}",3,0,False,False,True,False,True,False,1519455115249,2050,3124953286,8.4.218.8787,10285,"{'20-30': 254.9, '10-20': 330.29999999999995, '0-10': 181.8}",8400,MASTER,0,2055,3190,3401,3801,3109,3047,3364,0,1,BOTTOM,0,0,1,534,7827,5237,10224,11,/v1/stats/player_history/KR/200129667,0,0,0,0,8400,8300.0,8075,1353,9935,0,420,DUO_SUPPORT,11,0,3,4,11397422,곰인형,37,24634,6590,21645,4464,59,0,0,901,4,0,8731,0,1485,0,0,101,8,13,46,True,"{'20-30': -6.800000000000011, '10-20': 83.45000000000005, '0-10': 6.899999999999977}","{'20-30': 358.70000000000005, '10-20': 321.70000000000005, '0-10': 261.79999999999995}",Tank,Braum,3,3,Support,9,4,sup,0.4090909090909091,0.13636363636363635,0.16999438035106276,0.06666666666666667,0.15322812051649928,0.028999951833477214,0.22770094207255964,0.0,0.027083319358452342,0.054602687759796605,0.12902597402597402,0.22023809523809523,0.03264761935054642,0.10627146796536098,0.16785185300070568,0.20825752274317705,0.06310160427807486,0.2237953303527074,0.046818025824717946,0.0,0.210727969348659,0.36996336996337,0.27586206896551724,0.323943661971831,0.4186046511627907,0.16666666666666666,0.17980378080880594,0.034482758620689655,0.2442817932296432,0.01810447719765731,0.2171944645399174,0.0,0.014377285990419035,0.017361066557170905,0.14956501247029713,0.1712962962962963,0.027153999162479063,0.04391511104908917,0.18163452495675092,0.07578304048892284,0.11790393013100436,0.05733010944260626,0.0286997196098863,0.0,0.08424575934645714,0.6326530612244898,0.26666666666666666,0.3813559322033898
15152,202868179,17,16,223,"{'30-end': 1.6, '20-30': 1.3, '10-20': 2.6, '0-10': 1.3}","{'30-end': -0.3000000000000007, '20-30': 3.250000000000001, '10-20': 0.8500000000000001, '0-10': 0.6999999999999997}",202868179,KR,2184,909,47845,"{'30-end': 188.89999999999986, '20-30': 158.29999999999984, '10-20': -36.099999999999966, '0-10': -53.35000000000001}","{'30-end': 1574.8, '20-30': 1512.3, '10-20': 872.4000000000001, '0-10': 192.5}",4,0,False,False,True,False,False,True,1519622671713,2222,3127331967,8.4.218.8787,11204,"{'30-end': 329.4, '20-30': 280.9, '10-20': 358.4, '0-10': 155.6}",9050,MASTER,1,3190,3111,3067,3401,0,3109,3364,1,3,BOTTOM,0,2,1,999,21252,14082,16846,11,/v1/stats/player_history/KR/202868179,0,0,0,0,8300,8400.0,10090,2117,16975,0,420,DUO_SUPPORT,11,0,14,4,21531315,죄송다제잘못임,40,197867,18556,36008,13426,66,0,0,229,5,0,166523,2357,2186,1,0,86,8,8,56,True,"{'30-end': -9.5, '20-30': 91.14999999999998, '10-20': 64.79999999999998, '0-10': 19.69999999999999}","{'30-end': 422.4, '20-30': 472.29999999999995, '10-20': 364, '0-10': 281.5}",Tank,TahmKench,5,3,Support,9,6,sup,0.22972972972972974,0.12903225806451613,0.17515007503751875,0.21428571428571427,0.25867426204039357,0.05344734360264068,0.22346027829731915,0.0,0.08609876185031273,0.10881521459778977,0.15923716252978368,0.11764705882352941,0.2294748683691694,0.1963431667160452,0.18676445417248014,0.2544345057610673,0.08365019011406843,0.06837862048372649,0.4792883910222831,0.254151390985551,0.202313743637205,0.31272727272727274,0.25806451612903225,0.37333333333333335,0.3953488372093023,0.2222222222222222,0.223785594639866,0.10344827586206896,0.4569990850869167,0.04915757626224776,0.3717299479592075,0.0,0.018299602707274487,0.027164359128995418,0.2878183853420003,0.18518518518518517,0.310525609819933,0.17236493231855898,0.34839601063521,0.2279263220439691,0.1331877729257642,0.014571137694069737,0.5473786975829912,0.0818943052708384,0.12401429625007092,0.5306122448979592,0.26666666666666666,0.4661016949152542
15119,208571325,15,13,40,"{'20-30': 1, '10-20': 0.2, '0-10': 0.4}","{'20-30': -2, '10-20': -3.05, '0-10': -0.3500000000000001}",208571325,KR,1883,822,5127,"{'20-30': -330.05, '10-20': -98.60000000000002, '0-10': -91.45000000000002}","{'20-30': 491.4, '10-20': 367.6, '0-10': 119.4}",6,0,False,False,False,False,False,False,1519655875722,1919,3128113592,8.4.218.8787,8466,"{'20-30': 377.5, '10-20': 177.7, '0-10': 147.5}",7350,PLATINUM,0,3107,3098,0,3117,3504,0,3364,0,0,BOTTOM,0,0,0,371,10364,4612,4168,11,/v1/stats/player_history/KR/208571325,0,0,0,0,8200,8100.0,3626,864,6946,0,420,DUO_SUPPORT,11,0,4,14,54801197,나는 닭 큰닭,28,14770,6257,11376,7761,18,0,0,97,6,0,780,780,262,0,0,86,15,8,62,True,"{'20-30': 204.85, '10-20': -206.45, '0-10': -21.200000000000003}","{'20-30': 520.4, '10-20': 247.5, '0-10': 244.29999999999998}",Mage,Janna,7,3,Support,5,7,sup,0.30612244897959184,0.3157894736842105,0.1406242213843164,0.0,0.0839366515837104,0.03684126335246965,0.07911470493328018,0.0,0.017167829022437492,0.03579121789560895,0.1108752214790812,0.22580645161290322,0.02192487649629489,0.06570615476703036,0.09307957911273299,0.161284289276808,0.02097902097902098,0.15798045602605862,0.004306180473127778,0.09336844625329184,0.03805374001452433,0.3208955223880597,0.42857142857142855,0.4,0.3488372093023256,0.3333333333333333,0.0927494615936827,0.0,0.1697163769441903,0.023972761169863344,0.07586754101421203,0.0,0.0057170442667019645,0.011086446049812017,0.09086624378939927,0.12962962962962962,0.011018634840871021,0.040340500445484505,0.06240639041437843,0.1317545199898141,0.028384279475982533,0.0061720539577500635,0.0025639424230570742,0.027101212605538376,0.014863561581664492,0.5306122448979592,0.5,0.5169491525423728
15090,5548984,11,13,223,"{'20-30': 3.1, '10-20': 3.1, '0-10': 1.2999999999999998}","{'20-30': -0.3000000000000005, '10-20': 0.9499999999999997, '0-10': 0.55}",5548984,KR,829,762,35241,"{'20-30': 235.24999999999994, '10-20': -2.1499999999999773, '0-10': -17.700000000000017}","{'20-30': 1073.8, '10-20': 524.8000000000001, '0-10': 366.4}",4,0,False,False,False,False,False,False,1519660543877,2001,3128195428,8.4.218.8787,10338,"{'20-30': 387.6, '10-20': 279.7, '0-10': 254.60000000000002}",9100,CHALLENGER,0,3190,3401,3107,2055,3111,3067,3364,0,3,BOTTOM,0,0,1,935,18763,5941,13632,11,/v1/stats/player_history/KR/5548984,4,0,0,0,8300,8400.0,11444,1844,11508,0,420,DUO_SUPPORT,11,0,14,4,7978352,taesang,31,196923,9206,25648,9482,77,0,0,238,5,0,166715,1420,507,1,0,81,10,6,37,False,"{'20-30': -100.45000000000002, '10-20': 8.649999999999977, '0-10': 43.14999999999999}","{'20-30': 399.3, '10-20': 384.9, '0-10': 252.9}",Tank,TahmKench,5,3,Support,9,6,sup,0.19298245614035087,0.15384615384615385,0.16609630307996337,0.13043478260869565,0.2412280701754386,0.0488511657575797,0.2510635946737389,0.11428571428571428,0.058935615775216554,0.0766672210211209,0.15160057963377685,0.3069306930693069,0.18181625131106613,0.09446895844022575,0.1816752257836019,0.16383302232358837,0.08840413318025259,0.24843423799582465,0.33024642446812724,0.1119785505874931,0.04625068418171866,0.32142857142857145,0.47619047619047616,0.30578512396694213,0.2558139534883721,0.2222222222222222,0.1823402727925341,0.10344827586206896,0.42772186642268983,0.04340032013027267,0.2967258640405125,0.017094017094017096,0.020935243816268174,0.02366135013408954,0.18045600047131832,0.14351851851851852,0.30898143059045224,0.07199673669182133,0.228111321390008,0.16097105508870216,0.1572052401746725,0.015143802494273353,0.5480098218717437,0.04933810499982627,0.028762693595053044,0.4965986394557823,0.3333333333333333,0.3050847457627119
15061,209302113,17,15,497,"{'20-30': 1.2999999999999998, '10-20': 0.8999999999999999, '0-10': 0.1}","{'20-30': -0.10000000000000009, '10-20': -1.2500000000000004, '0-10': -0.30000000000000027}",209302113,KR,3044,1767,28009,"{'20-30': -186.79999999999995, '10-20': 181.89999999999995, '0-10': -59.349999999999994}","{'20-30': 635, '10-20': 749.9, '0-10': 157.7}",3,0,False,False,True,False,False,False,1519666211922,2079,3128256077,8.4.218.8787,10466,"{'20-30': 283.8, '10-20': 298.8, '0-10': 179.2}",8250,DIAMOND,0,3107,3190,3069,0,3158,3114,3364,0,1,BOTTOM,0,0,1,1008,10254,5226,8422,11,/v1/stats/player_history/KR/209302113,0,0,0,0,8300,8400.0,8629,801,12351,0,420,DUO_SUPPORT,11,0,4,14,59420139,66668888,23,21874,7768,20774,12134,28,0,0,102,5,0,2990,1740,0,2,0,118,12,25,46,True,"{'20-30': -27.25, '10-20': -22.900000000000006, '0-10': 6.400000000000006}","{'20-30': 426.9, '10-20': 296.4, '0-10': 291.4}",Support,Rakan,5,2,Support,4,8,sup,0.40476190476190477,0.10344827586206896,0.17129296235679214,0.05263157894736842,0.27488410144532316,0.029497897116950215,0.14340200919461946,0.0,0.033931029059022455,0.028210185250405015,0.15576995838062807,0.14465408805031446,0.032929232408964386,0.08059261718506837,0.1423744611441221,0.28597016332398484,0.03402187120291616,0.039968652037617555,0.04796201536709389,0.20223152022315202,0.0,0.41843971631205673,0.35294117647058826,0.32857142857142857,0.3953488372093023,0.16666666666666666,0.1884661402249342,0.034482758620689655,0.46111619396157366,0.023718322369334112,0.1751417703204126,0.0,0.015455679767658699,0.010278059358679892,0.1970110563421771,0.10648148148148148,0.0226392378559464,0.0565604302414204,0.17152178708681165,0.20599270011034718,0.05021834061135371,0.006490201068974293,0.009828445955052117,0.06045655119697022,0.0,0.7482993197278912,0.4,0.3813559322033898
15065,4873327,6,13,223,"{'20-30': 1.4, '10-20': 1.6, '0-10': 1.5}","{'20-30': 0.10000000000000009, '10-20': 1.2500000000000004, '0-10': 0.30000000000000027}",4873327,KR,1918,493,31769,"{'20-30': 186.79999999999995, '10-20': -181.89999999999995, '0-10': 59.349999999999994}","{'20-30': 1235.5, '10-20': 685.8, '0-10': 329.6}",6,0,False,False,False,False,False,False,1519666211922,2079,3128256077,8.4.218.8787,7631,"{'20-30': 223.60000000000002, '10-20': 252.4, '0-10': 147.4}",6700,DIAMOND,0,3190,3401,2055,3117,3067,1028,3364,0,0,BOTTOM,0,0,0,865,11406,5583,9069,11,/v1/stats/player_history/KR/4873327,0,0,0,0,8300,8400.0,5291,946,18028,0,420,DUO_SUPPORT,11,0,14,4,6901040,돈코 돈코,12,23707,6530,29576,6391,48,0,0,132,5,0,7009,0,2478,0,0,68,10,3,49,False,"{'20-30': 27.25, '10-20': 22.900000000000006, '0-10': -6.400000000000006}","{'20-30': 349.9, '10-20': 290.1, '0-10': 283.4}",Tank,TahmKench,5,3,Support,9,6,sup,0.14285714285714285,0.20689655172413793,0.12489361702127659,0.0,0.23588764657758385,0.03281187970703473,0.15441852545547421,0.0,0.020805316346191656,0.0333168979361837,0.22736789002396268,0.07547169811320754,0.035688640062143125,0.06774842819496607,0.20269890549718664,0.15062100822511842,0.0583232077764277,0.05172413793103448,0.11243002197590671,0.0,0.3141879041460631,0.24113475177304963,0.29411764705882354,0.35,0.13953488372093023,0.3333333333333333,0.0527877482651352,0.0,0.3956999085086917,0.02638299053487662,0.1902406011528319,0.0,0.008958065275915028,0.01213863190176177,0.3084974764831798,0.05555555555555555,0.025637628245393635,0.0432710370664577,0.2737173309802738,0.1084967320261438,0.09388646288209607,0.008399083736319674,0.023039323645137222,0.0,0.14057979236398707,0.40816326530612246,0.3333333333333333,0.4067796610169492
