,accountId,assists,champLevel,champion,creepsPerMinDeltas,csDiffPerMinDeltas,currentAccountId,currentPlatformId,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,damageTakenDiffPerMinDeltas,damageTakenPerMinDeltas,deaths,doubleKills,firstBloodAssist,firstBloodKill,firstInhibitorAssist,firstInhibitorKill,firstTowerAssist,firstTowerKill,gameCreation,gameDuration,gameId,gameVersion,goldEarned,goldPerMinDeltas,goldSpent,highestAchievedSeasonTier,inhibitorKills,item0,item1,item2,item3,item4,item5,item6,killingSprees,kills,lane,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicalDamageTaken,map,matchHistoryUri,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,neutralMinionsKilledTeamJungle,pentaKills,perkPrimaryStyle,perkSubStyle,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,queueId,role,season,sightWardsBoughtInGame,spell_1,spell_2,summonerId,summonerName,timeCCingOthers,totalDamageDealt,totalDamageDealtToChampions,totalDamageTaken,totalHeal,totalMinionsKilled,totalPlayerScore,totalScoreRank,totalTimeCrowdControlDealt,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,xpDiffPerMinDeltas,xpPerMinDeltas,champion_subclass,champion_name,champion_defense,champion_attack,champion_class,champion_difficulty,champion_magic,position,rel_assists,rel_deaths,rel_goldEarned,rel_kills,rel_longestTimeSpentLiving,rel_magicDamageDealt,rel_magicalDamageTaken,rel_neutralMinionsKilled,rel_physicalDamageDealt,rel_physicalDamageDealtToChampions,rel_physicalDamageTaken,rel_timeCCingOthers,rel_totalDamageDealt,rel_totalDamageDealtToChampions,rel_totalDamageTaken,rel_totalHeal,rel_totalMinionsKilled,rel_totalTimeCrowdControlDealt,rel_trueDamageDealt,rel_trueDamageDealtToChampions,rel_trueDamageTaken,rel_visionScore,rel_visionWardsBoughtInGame,rel_wardsPlaced,norm_assists,norm_deaths,norm_goldEarned,norm_kills,norm_longestTimeSpentLiving,norm_magicDamageDealt,norm_magicalDamageTaken,norm_neutralMinionsKilled,norm_physicalDamageDealt,norm_physicalDamageDealtToChampions,norm_physicalDamageTaken,norm_timeCCingOthers,norm_totalDamageDealt,norm_totalDamageDealtToChampions,norm_totalDamageTaken,norm_totalHeal,norm_totalMinionsKilled,norm_totalTimeCrowdControlDealt,norm_trueDamageDealt,norm_trueDamageDealtToChampions,norm_trueDamageTaken,norm_visionScore,norm_visionWardsBoughtInGame,norm_wardsPlaced
15193,210171878,4,12,12,"{'20-30': 2.4, '10-20': 1.8, '0-10': 1.2999999999999998}","{'20-30': 0.75, '10-20': 8.881784197001252e-16, '0-10': 0.40000000000000013}",210171878,KR,0,0,41269,"{'20-30': 303.00000000000006, '10-20': 201, '0-10': -27.449999999999996}","{'20-30': 1201.6, '10-20': 953, '0-10': 318.8}",8,0,False,False,False,False,False,False,1519388962838,1895,3123996909,8.4.218.8787,7402,"{'20-30': 288.4, '10-20': 220.3, '0-10': 151.3}",6825,UNRANKED,0,3190,3401,2055,3067,3117,1029,3364,0,1,BOTTOM,0,0,1,445,11614,5983,10132,11,/v1/stats/player_history/KR/210171878,0,0,0,0,8400,8300.0,5676,786,16577,0,420,DUO_SUPPORT,11,0,4,14,66820157,Gate1,41,26839,7536,27982,3799,55,0,0,85,5,0,9548,767,1272,0,0,73,11,10,37,False,"{'20-30': -217.84999999999997, '10-20': -33.94999999999999, '0-10': 10}","{'20-30': 391.79999999999995, '10-20': 266.9, '0-10': 272.29999999999995}",Support,Alistar,7,6,Tank,9,5,sup,0.10810810810810811,0.36363636363636365,0.13281418215746787,0.09090909090909091,0.1140148603638227,0.03660731452850825,0.17184240430114822,0.0,0.022176206290291073,0.020130102955488397,0.2097982635988559,0.3253968253968254,0.04468035872140159,0.08316045023173692,0.19774286784399359,0.08196332254584682,0.06063947078280044,0.07528786536758193,0.34750327558596594,0.2709290003532321,0.36064644173518573,0.3230088495575221,0.39285714285714285,0.3274336283185841,0.09302325581395349,0.4444444444444444,0.041828188561856904,0.034482758620689655,0.20356816102470265,0.02686411117587735,0.21504749014025343,0.0,0.009707490554321654,0.010085586336981766,0.28000235659158307,0.18981481481481483,0.03076090085845896,0.05407001084191204,0.2552102079438981,0.06449367625838213,0.1091703056768559,0.005408500890811911,0.031385284942755054,0.0266495257287794,0.07216202416747036,0.4421768707482993,0.36666666666666664,0.3050847457627119
15196,203089260,23,14,98,"{'20-30': 1.9, '10-20': 2.1, '0-10': 1.9}","{'20-30': -0.75, '10-20': -8.881784197001252e-16, '0-10': -0.40000000000000013}",203089260,KR,3993,2022,19950,"{'20-30': -303.00000000000006, '10-20': -201, '0-10': 27.449999999999996}","{'20-30': 754.5, '10-20': 616.5999999999999, '0-10': 233.1}",2,0,False,False,True,False,False,False,1519388962838,1895,3123996909,8.4.218.8787,9724,"{'20-30': 359.2, '10-20': 251, '0-10': 171.5}",7600,PLATINUM,0,1033,3401,3067,0,3083,3158,3364,0,0,BOTTOM,0,0,0,862,6246,2965,5931,11,/v1/stats/player_history/KR/203089260,4,0,0,0,8400,8300.0,16072,5963,12053,0,420,DUO_SUPPORT,11,0,14,4,25520414,너를 찾는 길,38,34190,9941,18445,1890,62,0,0,140,4,0,11871,1012,460,2,0,87,13,15,38,True,"{'20-30': 217.84999999999997, '10-20': 33.94999999999999, '0-10': -10}","{'20-30': 516.1, '10-20': 344.6, '0-10': 299.5}",Tank,Shen,4,3,Tank,9,3,sup,0.6216216216216216,0.09090909090909091,0.17447785832196944,0.0,0.22085575198565205,0.01968738475504241,0.10059191669069385,0.17391304347826086,0.0627935143582731,0.15271730779081083,0.15254258738957652,0.30158730158730157,0.056917972528213436,0.10969984550871772,0.13034690863349516,0.040776699029126215,0.06835722160970231,0.12400354295837024,0.4320497889066822,0.35747085835393855,0.1304224553444854,0.38495575221238937,0.4642857142857143,0.336283185840708,0.5348837209302325,0.1111111111111111,0.1529552524527399,0.0,0.39432753888380606,0.014447497710050796,0.11701010478168537,0.017094017094017096,0.029943919630465207,0.07651444189239474,0.1911588539109601,0.17592592592592593,0.04278554229480737,0.07988664297905686,0.14448095298912098,0.03208556149732621,0.12445414847161572,0.008908119114278442,0.03902123141552632,0.035162086098467736,0.026096329494525443,0.5374149659863946,0.43333333333333335,0.3135593220338983
15178,206227817,11,12,12,"{'20-30': 2.4, '10-20': 2.7, '0-10': 1.2999999999999998}","{'20-30': 0.6499999999999999, '10-20': -1.0499999999999994, '0-10': -0.25}",206227817,KR,3229,481,37709,"{'20-30': 91.19999999999999, '10-20': 333.95000000000005, '0-10': 87.95000000000002}","{'20-30': 1197.6, '10-20': 810.3, '0-10': 589.5}",5,0,False,False,False,False,False,False,1519455115249,2050,3124953286,8.4.218.8787,8860,"{'20-30': 259.5, '10-20': 267.1, '0-10': 202.60000000000002}",8685,CHALLENGER,0,3401,3800,3190,3117,2055,0,3364,0,1,BOTTOM,0,0,1,614,10593,4629,8750,11,/v1/stats/player_history/KR/206227817,0,0,0,0,8400,8300.0,7672,722,20678,0,420,DUO_SUPPORT,11,0,14,4,36990696,아라가키 유이,41,34481,5990,32523,9741,72,0,0,90,5,0,16215,637,3094,1,0,83,11,12,46,False,"{'20-30': 6.800000000000011, '10-20': -83.45000000000005, '0-10': -6.899999999999977}","{'20-30': 322.1, '10-20': 311.7, '0-10': 275}",Support,Alistar,7,6,Tank,9,5,sup,0.25,0.22727272727272727,0.14644143995239828,0.06666666666666667,0.17618364418938307,0.03924830583518898,0.1948731654083428,0.0,0.02573166886910791,0.029137576173372613,0.26854545454545453,0.24404761904761904,0.04569792006276655,0.09659576526745255,0.252208168867727,0.45444366689993004,0.07700534759358289,0.022354694485842028,0.0869492943245678,0.6656217345872518,0.4390520788988222,0.304029304029304,0.3793103448275862,0.323943661971831,0.2558139534883721,0.2777777777777778,0.11160564728403924,0.034482758620689655,0.2808783165599268,0.02450245649096511,0.18279620078877973,0.0,0.013592822647047946,0.009264368111069765,0.3605388739419886,0.18981481481481483,0.04326155517169179,0.03747437122277446,0.30793344866421296,0.16536796536796536,0.1462882096069869,0.005726648002036141,0.053300418448551865,0.022132656961189674,0.17552618142622115,0.5102040816326531,0.36666666666666664,0.3813559322033898
15158,4721132,16,15,12,"{'30-end': 1.6, '20-30': 1.2000000000000002, '10-20': 1.9, '0-10': 1}","{'30-end': 0.3000000000000007, '20-30': -3.250000000000001, '10-20': -0.8500000000000001, '0-10': -0.6999999999999997}",4721132,KR,2656,1776,53703,"{'30-end': -188.89999999999986, '20-30': -158.29999999999984, '10-20': 36.099999999999966, '0-10': 53.35000000000001}","{'30-end': 971.6, '20-30': 1147.9, '10-20': 696.3, '0-10': 218}",5,0,False,False,False,False,False,False,1519622671713,2222,3127331967,8.4.218.8787,10105,"{'30-end': 283.6, '20-30': 356.6, '10-20': 265.2, '0-10': 150.5}",9550,MASTER,0,3800,3097,3067,1031,3117,3190,3364,0,0,BOTTOM,0,0,0,889,12598,6710,11362,11,/v1/stats/player_history/KR/4721132,0,0,0,0,8400,8300.0,9092,1049,17176,0,420,DUO_SUPPORT,11,0,14,4,6140824,FW SwordArT,42,28470,8860,30645,12427,50,0,0,92,5,0,6778,1101,2106,1,0,75,16,8,46,False,"{'30-end': 9.5, '20-30': -91.14999999999998, '10-20': -64.79999999999998, '0-10': -19.69999999999999}","{'30-end': 487.8, '20-30': 512.7, '10-20': 310.7, '0-10': 266}",Support,Alistar,7,6,Tank,9,5,sup,0.21621621621621623,0.16129032258064516,0.15796960980490246,0.0,0.23019161056447437,0.03168311851618988,0.15071564062769444,0.0,0.07758274952854742,0.05391930095091236,0.161122680625129,0.12352941176470589,0.03301788323707466,0.09374867736064672,0.15894791985435608,0.23550257731958762,0.06337135614702155,0.027470886831890116,0.01950851662742705,0.11871899935302997,0.194909763998149,0.2727272727272727,0.5161290322580645,0.30666666666666664,0.37209302325581395,0.2777777777777778,0.1711892797319933,0.0,0.40667886550777677,0.02914018190061158,0.24375160439663018,0.0,0.01635693666091134,0.013460279984088898,0.291765676243593,0.19444444444444445,0.033428863065326636,0.06828257672531318,0.28612894611571016,0.21096681096681097,0.0982532751091703,0.005853906846525834,0.022280002235231855,0.0382544039470484,0.11947580416406649,0.4557823129251701,0.5333333333333333,0.3813559322033898
15112,209302113,13,14,89,"{'20-30': 2.3, '10-20': 3.5999999999999996, '0-10': 1.4}","{'20-30': 2, '10-20': 3.05, '0-10': 0.3500000000000001}",209302113,KR,385,185,27129,"{'20-30': 330.05, '10-20': 98.60000000000002, '0-10': 91.45000000000002}","{'20-30': 1006.1, '10-20': 525.5, '0-10': 349.9}",3,0,False,False,False,False,False,False,1519655875722,1919,3128113592,8.4.218.8787,9336,"{'20-30': 253, '10-20': 403.8, '0-10': 183}",8920,DIAMOND,0,3800,3190,3401,2055,3117,3801,3364,0,1,BOTTOM,0,0,1,1567,6780,3666,8909,11,/v1/stats/player_history/KR/209302113,0,0,0,0,8400,8300.0,8665,1782,12114,0,420,DUO_SUPPORT,11,0,4,14,59420139,66668888,39,32287,6152,22081,2804,79,0,0,64,4,0,16841,704,1057,0,0,96,10,19,44,False,"{'20-30': -204.85, '10-20': 206.45, '0-10': 21.200000000000003}","{'20-30': 359.4, '10-20': 494.3, '0-10': 304.9}",Support,Leona,4,4,Tank,8,3,sup,0.2653061224489796,0.15789473684210525,0.15507532847200306,0.043478260869565216,0.35452488687782807,0.02410109663544425,0.16910578364937456,0.0,0.041025713866359864,0.07381938690969346,0.1933691956518269,0.31451612903225806,0.047927453448603455,0.06460352631081522,0.1806689685643686,0.05827098919368246,0.09207459207459208,0.10423452768729642,0.09297485301018578,0.084271007900407,0.15352214960058097,0.3582089552238806,0.2857142857142857,0.2838709677419355,0.3023255813953488,0.16666666666666666,0.13438621679827709,0.034482758620689655,0.7168344007319305,0.015682682432619978,0.18650673263167722,0.0,0.01552575589758763,0.02286579497773729,0.19235678796567232,0.18055555555555555,0.03967264708961474,0.03921337097587943,0.1866966991373405,0.0476020711314829,0.1615720524017467,0.004072283023670145,0.055358146598338695,0.02446058163371669,0.05996482668633347,0.5986394557823129,0.3333333333333333,0.3644067796610169
15097,209898361,16,15,98,"{'20-30': 2.7, '10-20': 3, '0-10': 1.9}","{'20-30': 0.3000000000000005, '10-20': -0.9499999999999997, '0-10': -0.55}",209898361,KR,3292,0,35297,"{'20-30': -235.24999999999994, '10-20': 2.1499999999999773, '0-10': 17.700000000000017}","{'20-30': 912.7, '10-20': 670.9, '0-10': 434.5}",5,0,False,False,False,False,False,False,1519660543877,2001,3128195428,8.4.218.8787,10399,"{'20-30': 327.1, '10-20': 325.20000000000005, '0-10': 183.8}",8350,UNRANKED,0,2055,3190,3024,3047,3401,3109,3364,1,3,BOTTOM,0,2,1,1111,8635,1802,7906,11,/v1/stats/player_history/KR/209898361,4,0,0,0,8400,8300.0,17837,4547,13251,0,420,DUO_SUPPORT,11,0,14,4,65151558,RushRush,29,194013,7071,23443,6215,83,0,0,250,5,0,167540,720,2285,0,0,58,4,4,32,True,"{'20-30': 100.45000000000002, '10-20': -8.649999999999977, '0-10': -43.14999999999999}","{'20-30': 454.2, '10-20': 353.4, '0-10': 286.8}",Tank,Shen,4,3,Tank,9,3,sup,0.2807017543859649,0.19230769230769232,0.1670763644542986,0.13043478260869565,0.2866357069143447,0.02248200268169806,0.14560657126544746,0.11428571428571428,0.09185901595443356,0.18904872775652753,0.1745619812936372,0.2871287128712871,0.1791294890165896,0.07256028732683427,0.16605631308659466,0.10738475361116871,0.09529276693455797,0.2609603340292276,0.3318806703379422,0.05677785663591199,0.20844736361977742,0.23015873015873015,0.19047619047619047,0.2644628099173554,0.37209302325581395,0.2777777777777778,0.18525963149078728,0.10344827586206896,0.5082342177493138,0.019973445841544767,0.1631000443396887,0.017094017094017096,0.03337959655614753,0.05834498864409172,0.21468549321498007,0.13425925925925927,0.30422130182160806,0.04907843747651813,0.202510188206063,0.10550887021475257,0.1703056768558952,0.015907355561211506,0.5507216840499771,0.025016503943573885,0.1296306802065014,0.3401360544217687,0.13333333333333333,0.2627118644067797
14274,209630553,17,15,12,"{'30-end': 1.8, '20-30': 2.7, '10-20': 2, '0-10': 1.4}","{'30-end': 0.40000000000000036, '20-30': -0.04999999999999938, '10-20': 0.24999999999999956, '0-10': 0.050000000000000266}",209630553,KR,984,333,29199,"{'30-end': -297.29999999999995, '20-30': -43.900000000000006, '10-20': -127.15000000000006, '0-10': -14.049999999999997}","{'30-end': 845.4, '20-30': 552.5, '10-20': 753.8, '0-10': 349.09999999999997}",2,0,False,False,False,False,False,False,1520169395033,2221,3135302440,8.4.218.8787,10216,"{'30-end': 220.4, '20-30': 308.7, '10-20': 275.70000000000005, '0-10': 148.6}",8225,PLATINUM,0,3800,3401,0,2031,3117,3105,3364,0,0,BOTTOM,0,0,0,913,14909,7273,8937,11,/v1/stats/player_history/KR/209630553,0,0,0,0,8400,8300.0,5933,804,14544,0,420,DUO_SUPPORT,11,0,14,4,62360468,Mni,42,29715,9301,24139,9558,70,0,0,107,5,0,8872,1223,657,0,0,100,19,17,57,True,"{'30-end': 70.19999999999999, '20-30': -71.24999999999997, '10-20': 124.94999999999993, '0-10': 1.5}","{'30-end': 338.4, '20-30': 388.7, '10-20': 328, '0-10': 289.4}",Support,Alistar,7,6,Tank,9,5,sup,0.5483870967741935,0.14285714285714285,0.14934144166532665,0.0,0.1688551877196227,0.03758312452419245,0.19292791917621915,0.0,0.014255028783961711,0.02822934587970928,0.15789816523721636,0.25609756097560976,0.028779187170768133,0.1039856895298787,0.1571334648257725,0.13058090606044045,0.060034305317324184,0.048836147877681424,0.04039796917332605,0.07431036577956009,0.043266381297332894,0.28653295128939826,0.5135135135135135,0.3064516129032258,0.3953488372093023,0.1111111111111111,0.17650155539602777,0.0,0.41765782250686184,0.034485709791730275,0.18716015962287927,0.0,0.010207756259647633,0.010316553963019517,0.24007776752224033,0.19444444444444445,0.03546541300251256,0.0730165204976545,0.21059109010902252,0.16226126814362107,0.14192139737991266,0.006808348180198524,0.029163201509438925,0.04249331155970953,0.03727236625631134,0.6258503401360545,0.6333333333333333,0.4745762711864407
14232,208059232,23,17,12,"{'30-end': 1.1, '20-30': 1.1, '10-20': 2, '0-10': 1.1}","{'30-end': -0.2500000000000002, '20-30': -2.3, '10-20': 0.04999999999999982, '0-10': -0.7}",208059232,KR,224,224,59702,"{'30-end': 506.25, '20-30': 596.7, '10-20': 220.74999999999997, '0-10': 185.3}","{'30-end': 1843.8000000000002, '20-30': 1236.1, '10-20': 786.8, '0-10': 393.4}",5,0,False,False,True,False,False,False,1520256489768,2458,3135928790,8.4.218.8787,13366,"{'30-end': 285.2, '20-30': 414.79999999999995, '10-20': 296.9, '0-10': 192.2}",11100,DIAMOND,0,3401,3800,3190,2055,3109,3117,3364,2,7,BOTTOM,0,3,1,778,15710,9693,17039,11,/v1/stats/player_history/KR/208059232,0,0,0,0,8400,8300.0,5809,789,23515,0,420,DUO_SUPPORT,11,0,14,4,49430647,Hun dou luo,47,185261,11368,44589,25390,53,0,0,121,5,0,163741,884,4033,0,0,89,14,10,54,True,"{'30-end': 90.39999999999992, '20-30': 1.8999999999999773, '10-20': -32.25, '0-10': -49.49999999999997}","{'30-end': 501.9, '20-30': 443.6, '10-20': 357.7, '0-10': 242.2}",Support,Alistar,7,6,Tank,9,5,sup,0.359375,0.16129032258064516,0.18336465778607,0.4666666666666667,0.19923175416133163,0.03370499653510061,0.2450984622908845,0.0,0.015486371779559803,0.021674633261908688,0.24358031469147184,0.1910569105691057,0.15939981466838632,0.10839570917759238,0.2562188625902877,0.3484574000878349,0.05047619047619047,0.033979219320415616,0.510048905086752,0.16594706213628685,0.506531022356192,0.28802588996763756,0.4,0.30857142857142855,0.5348837209302325,0.2777777777777778,0.3272553242402489,0.2413793103448276,0.3559011893870082,0.03633848687558405,0.37623392686285034,0.0,0.00996638292322576,0.010124080941321391,0.4162526266177019,0.2175925925925926,0.28990492828726966,0.09520486919930869,0.44802563596465766,0.4310330192683134,0.10480349344978165,0.007699160091626368,0.538233969607421,0.03071470761961016,0.22879673228569808,0.5510204081632653,0.4666666666666667,0.4491525423728814
14194,918327,13,14,89,"{'20-30': 1.5, '10-20': 0.5, '0-10': 1.1}","{'20-30': -2.6500000000000004, '10-20': 0.04999999999999982, '0-10': 0.44999999999999973}",918327,KR,2463,1043,26994,"{'20-30': -199.3, '10-20': 127.54999999999998, '0-10': -99.05000000000003}","{'20-30': 849.5, '10-20': 853.5, '0-10': 367.5}",5,0,False,False,True,False,True,False,1520359684374,1838,3136966261,8.4.218.8787,9238,"{'20-30': 397.9, '10-20': 227.5, '0-10': 216.8}",8500,MASTER,0,3401,3190,3060,0,2031,3117,3364,0,1,BOTTOM,0,0,1,755,8410,4357,6644,11,/v1/stats/player_history/KR/918327,0,0,0,0,8400,8300.0,6997,3208,15204,0,420,DUO_SUPPORT,11,0,14,4,1346490,Dutch Coffee,51,19874,8096,22411,1465,32,0,0,56,4,0,4466,530,563,1,0,74,14,6,46,True,"{'20-30': 36.74999999999994, '10-20': -92.04999999999998, '0-10': 41.25}","{'20-30': 584.8, '10-20': 162.8, '0-10': 293.6}",Support,Leona,4,4,Tank,8,3,sup,0.22807017543859648,0.15151515151515152,0.16937406035715596,0.058823529411764705,0.2545515846257586,0.030661202823309804,0.1673973293020912,0.0,0.034541316785885304,0.09982884705150148,0.179540167448012,0.26153846153846155,0.04016702237744147,0.10316661357120102,0.17168970060981215,0.05104351764746873,0.045584045584045586,0.013393924898349677,0.24917703509457123,0.4058192955589586,0.09147034930950447,0.357487922705314,0.56,0.35384615384615387,0.3023255813953488,0.2777777777777778,0.12969609954534578,0.034482758620689655,0.3453796889295517,0.019453002840462245,0.133649156379081,0.0,0.012278895210880486,0.04116356357383907,0.2530390212289625,0.2361111111111111,0.019367671691792293,0.06008136801313911,0.19052816124650235,0.024870554282318987,0.05895196506550218,0.003563247645711377,0.014680213924837041,0.018414926514019665,0.03193963805525614,0.4489795918367347,0.4666666666666667,0.3813559322033898
14164,210167972,15,17,14,"{'30-end': 1.6, '20-30': 2, '10-20': 2.3, '0-10': 2.1}","{'30-end': 2.55, '20-30': -1.2000000000000002, '10-20': -0.3000000000000007, '0-10': -0.1499999999999999}",210167972,KR,147,147,65006,"{'30-end': 609, '20-30': 324.34999999999997, '10-20': -6.100000000000023, '0-10': -55.70000000000002}","{'30-end': 2773.5, '20-30': 1641.3000000000002, '10-20': 773.6, '0-10': 589.8}",13,1,False,False,False,False,False,False,1520436519869,2632,3137815077,8.5.220.3006,13051,"{'30-end': 290.5, '20-30': 288.4, '10-20': 261, '0-10': 167.6}",11625,UNRANKED,0,3060,3800,3401,3083,3082,3158,3364,1,4,BOTTOM,0,2,2,379,26243,6363,18336,11,/v1/stats/player_history/KR/210167972,0,0,0,0,8200,8300.0,44563,13765,44352,0,420,DUO_SUPPORT,11,0,4,14,66810156,JaminJamin,92,80811,21621,66917,31862,101,0,0,1009,4,0,10004,1492,4228,0,0,94,3,14,52,True,"{'30-end': 271.85, '20-30': -236.45000000000002, '10-20': -46.15000000000006, '0-10': -31.700000000000017}","{'30-end': 517.7, '20-30': 330.9, '10-20': 357.29999999999995, '0-10': 264.29999999999995}",Fighter,Sion,5,5,Tank,9,3,sup,0.2054794520547945,0.35135135135135137,0.1484164439642918,0.11428571428571428,0.10298913043478261,0.08576816482338484,0.2265717674970344,0.0,0.07807222245581578,0.2135697883696394,0.3152597310284041,0.34328358208955223,0.07144101128313753,0.13319985214391325,0.26297959969660883,0.4564364094776953,0.08151735270379339,0.1280619367940094,0.03932590894974979,0.04758715274455395,0.1287493529035598,0.26704545454545453,0.08571428571428572,0.2751322751322751,0.3488372093023256,0.7222222222222222,0.31217994735582677,0.13793103448275862,0.17337602927721865,0.06070215856626049,0.4065015985624606,0.0,0.08540333679172012,0.17662607624497967,0.8254551167494747,0.42592592592592593,0.1190473853643216,0.20526637826465,0.7072646843687956,0.5409048467871997,0.2096069868995633,0.06420208704504964,0.03288420512854227,0.051839755394183666,0.23985930674533387,0.5850340136054422,0.1,0.4322033898305085
