,accountId,assists,champLevel,champion,creepsPerMinDeltas,csDiffPerMinDeltas,currentAccountId,currentPlatformId,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,damageTakenDiffPerMinDeltas,damageTakenPerMinDeltas,deaths,doubleKills,firstBloodAssist,firstBloodKill,firstInhibitorAssist,firstInhibitorKill,firstTowerAssist,firstTowerKill,gameCreation,gameDuration,gameId,gameVersion,goldEarned,goldPerMinDeltas,goldSpent,highestAchievedSeasonTier,inhibitorKills,item0,item1,item2,item3,item4,item5,item6,killingSprees,kills,lane,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicalDamageTaken,map,matchHistoryUri,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,neutralMinionsKilledTeamJungle,pentaKills,perkPrimaryStyle,perkSubStyle,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,queueId,role,season,sightWardsBoughtInGame,spell_1,spell_2,summonerId,summonerName,timeCCingOthers,totalDamageDealt,totalDamageDealtToChampions,totalDamageTaken,totalHeal,totalMinionsKilled,totalPlayerScore,totalScoreRank,totalTimeCrowdControlDealt,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,xpDiffPerMinDeltas,xpPerMinDeltas,champion_subclass,champion_name,champion_defense,champion_attack,champion_class,champion_difficulty,champion_magic,position,rel_assists,rel_deaths,rel_goldEarned,rel_kills,rel_longestTimeSpentLiving,rel_magicDamageDealt,rel_magicalDamageTaken,rel_neutralMinionsKilled,rel_physicalDamageDealt,rel_physicalDamageDealtToChampions,rel_physicalDamageTaken,rel_timeCCingOthers,rel_totalDamageDealt,rel_totalDamageDealtToChampions,rel_totalDamageTaken,rel_totalHeal,rel_totalMinionsKilled,rel_totalTimeCrowdControlDealt,rel_trueDamageDealt,rel_trueDamageDealtToChampions,rel_trueDamageTaken,rel_visionScore,rel_visionWardsBoughtInGame,rel_wardsPlaced,norm_assists,norm_deaths,norm_goldEarned,norm_kills,norm_longestTimeSpentLiving,norm_magicDamageDealt,norm_magicalDamageTaken,norm_neutralMinionsKilled,norm_physicalDamageDealt,norm_physicalDamageDealtToChampions,norm_physicalDamageTaken,norm_timeCCingOthers,norm_totalDamageDealt,norm_totalDamageDealtToChampions,norm_totalDamageTaken,norm_totalHeal,norm_totalMinionsKilled,norm_totalTimeCrowdControlDealt,norm_trueDamageDealt,norm_trueDamageDealtToChampions,norm_trueDamageTaken,norm_visionScore,norm_visionWardsBoughtInGame,norm_wardsPlaced
15223,202657028,18,15,223,"{'20-30': 1.7000000000000002, '10-20': 3.2, '0-10': 1.5}","{'20-30': -2.220446049250313e-16, '10-20': 0.6000000000000001, '0-10': 0.8499999999999999}",202657028,KR,10044,2741,38493,"{'20-30': -52.199999999999875, '10-20': -242.7, '0-10': -59.349999999999966}","{'20-30': 1121.2, '10-20': 539.8, '0-10': 269.2}",3,0,False,False,False,True,False,True,1519365972830,2003,3123691148,8.4.218.8787,10950,"{'20-30': 379.5, '10-20': 296.4, '0-10': 206.2}",9250,DIAMOND,2,3211,3190,3401,2055,3109,3111,3364,0,1,BOTTOM,0,0,1,865,22746,7662,11079,11,/v1/stats/player_history/KR/202657028,0,0,0,0,8300,8400.0,13748,1732,13513,0,420,DUO_SUPPORT,11,0,4,3,20581773,1874  Eason,26,50260,9395,25757,9337,70,0,0,207,4,0,13765,0,1165,1,0,63,12,6,32,True,"{'20-30': -11.449999999999989, '10-20': 113.69999999999999, '0-10': 35.599999999999994}","{'20-30': 453.5, '10-20': 394, '0-10': 325.4}",Tank,TahmKench,5,3,Support,9,6,sup,0.32142857142857145,0.13043478260869565,0.19372302030995683,0.125,0.20009252833680313,0.04995080901600464,0.17507901390644753,0.0,0.12479802472721992,0.11837069436850738,0.16144563918757468,0.1111111111111111,0.06611435441819105,0.13437553635791522,0.17170875443321512,0.23640368644926069,0.07700770077007701,0.0455245216626347,0.0707126748552612,0.0,0.385506287227002,0.3,0.375,0.27350427350427353,0.4186046511627907,0.16666666666666666,0.21162957645369707,0.034482758620689655,0.3956999085086917,0.052613317789435704,0.2371473244498378,0.0,0.025420116131719767,0.022224218238743536,0.21983071817128494,0.12037037037037036,0.0690725764237856,0.07402556973711047,0.2293768649351554,0.15850946439181735,0.14192139737991266,0.013171290404683126,0.04524700955561618,0.0,0.06609179100243943,0.3741496598639456,0.4,0.2627118644067797
15227,210168321,14,15,201,"{'20-30': 2.7, '10-20': 2.8, '0-10': 1.2999999999999998}","{'20-30': 2.220446049250313e-16, '10-20': -0.6000000000000001, '0-10': -0.8499999999999999}",210168321,KR,1442,82,29937,"{'20-30': 52.199999999999875, '10-20': 242.7, '0-10': 59.349999999999966}","{'20-30': 1232.3, '10-20': 956.5999999999999, '0-10': 399.6}",5,0,False,False,False,False,False,False,1519365972830,2003,3123691148,8.4.218.8787,8745,"{'20-30': 322.1, '10-20': 222.10000000000002, '0-10': 159.1}",8475,UNRANKED,0,3109,3190,3401,0,1028,3111,3364,0,0,BOTTOM,0,0,0,480,12019,5015,16714,11,/v1/stats/player_history/KR/210168321,0,0,0,0,8300,8400.0,9849,1495,14969,0,420,DUO_SUPPORT,11,0,3,4,66810150,PPAPDO,37,41878,6562,32128,6448,75,0,0,796,5,0,20009,51,444,0,0,68,11,6,46,False,"{'20-30': 11.449999999999989, '10-20': -113.69999999999999, '0-10': -35.599999999999994}","{'20-30': 584, '10-20': 260.2, '0-10': 275.6}",Tank,Braum,3,3,Support,9,4,sup,0.25,0.21739130434782608,0.15471304224754087,0.0,0.11103400416377515,0.026394037350011418,0.2641276864728192,0.0,0.08940469490386885,0.10217331875341716,0.1788410991636798,0.1581196581196581,0.05508827963241156,0.09385548372332514,0.21418095517452868,0.16325703868746202,0.08250825082508251,0.17506047943699143,0.10278895104823257,0.2833333333333333,0.1469225678358703,0.3238095238095238,0.34375,0.39316239316239315,0.32558139534883723,0.2777777777777778,0.10610193826274228,0.0,0.21957913998170173,0.02780090857782589,0.36864950642925487,0.0,0.017830481948583585,0.019183144495913157,0.24842402937884173,0.1712962962962963,0.055361442629815745,0.04361454319052782,0.30334730462445864,0.10946439181733299,0.15283842794759825,0.05064902010689743,0.06577169736275512,0.0017720023626698169,0.02518863107732456,0.40816326530612246,0.36666666666666664,0.3813559322033898
15213,1071218,5,13,223,"{'20-30': 0.8999999999999999, '10-20': 0.5, '0-10': 0}","{'20-30': -1.15, '10-20': 0.19999999999999973, '0-10': -0.25}",1071218,KR,4268,1227,20970,"{'20-30': 25.80000000000001, '10-20': 62.94999999999993, '0-10': 89.05000000000001}","{'20-30': 928.1, '10-20': 616.9, '0-10': 246.10000000000002}",3,0,False,False,False,False,False,False,1519375473801,1973,3123798130,8.4.218.8787,8997,"{'20-30': 323.79999999999995, '10-20': 295.4, '0-10': 166.89999999999998}",8650,CHALLENGER,0,3800,3109,1029,3069,2055,3111,3364,0,2,BOTTOM,0,0,1,1250,15623,5950,8128,11,/v1/stats/player_history/KR/1071218,4,0,0,0,8300,8400.0,6144,1000,11687,0,420,DUO_SUPPORT,11,0,14,4,2712005,KZ GorillA,21,22926,7812,21493,3963,16,0,0,190,5,0,1159,862,1677,0,0,82,12,6,51,False,"{'20-30': -165.14999999999998, '10-20': 37.74999999999997, '0-10': -2.5000000000000284}","{'20-30': 391.3, '10-20': 323.4, '0-10': 303.1}",Tank,TahmKench,5,3,Support,9,6,sup,0.16129032258064516,0.1875,0.1516944865958523,0.14285714285714285,0.24371222460518618,0.09282442203829906,0.2079410560785919,0.125,0.013493836189572585,0.023563787171874264,0.15678199160216252,0.17647058823529413,0.029981168593398545,0.09361294188136608,0.17574285761009992,0.07788302806383146,0.01927710843373494,0.18216682646212848,0.008216886090846573,0.08106074854241113,0.1935595567867036,0.36283185840707965,0.5,0.36428571428571427,0.11627906976744186,0.16666666666666666,0.11816223977027997,0.06896551724137931,0.5718206770356816,0.036137248915165475,0.16828078691279083,0.017094017094017096,0.010618480243397758,0.01283153477987502,0.1839712495826869,0.09722222222222222,0.024360081658291458,0.05703275116201681,0.1798697302882885,0.06727782021899668,0.024017467248908297,0.012089590226520744,0.003809755472209165,0.029950314443556513,0.09513814035286776,0.5034013605442177,0.4,0.423728813559322
15218,1011436,9,14,16,"{'20-30': 1.3, '10-20': 0.5, '0-10': 0}","{'20-30': 1.15, '10-20': -0.19999999999999973, '0-10': 0.25}",1011436,KR,1563,1563,4937,"{'20-30': -25.80000000000001, '10-20': -62.94999999999993, '0-10': -89.05000000000001}","{'20-30': 465.20000000000005, '10-20': 313.3, '0-10': 191.8}",3,0,False,False,True,False,False,False,1519375473801,1973,3123798130,8.4.218.8787,9421,"{'20-30': 328, '10-20': 197.89999999999998, '0-10': 162.2}",7700,MASTER,0,2055,3107,3092,3504,0,3158,3364,1,3,BOTTOM,0,2,1,881,24715,7778,7185,11,/v1/stats/player_history/KR/1011436,0,0,0,0,8200,8400.0,4803,708,3968,0,420,DUO_SUPPORT,11,0,3,4,1513290,일 편,49,31579,10547,12193,25158,24,0,0,492,7,0,2060,2060,1040,0,0,51,6,6,34,True,"{'20-30': 165.14999999999998, '10-20': -37.74999999999997, '0-10': 2.5000000000000284}","{'20-30': 496, '10-20': 239.5, '0-10': 307.9}",Mage,Soraka,3,2,Support,5,7,sup,0.2903225806451613,0.1875,0.1588433653684033,0.21428571428571427,0.17176837590173524,0.14684475393180318,0.18381600491199346,0.0,0.010548648310305522,0.01668316131768698,0.05323102102142387,0.4117647058823529,0.04129701312967516,0.1263870581186339,0.09969909565160509,0.49441867777690435,0.02891566265060241,0.47171620325982744,0.014604646546284678,0.19371826217791988,0.12003693444136658,0.22566371681415928,0.25,0.24285714285714285,0.20930232558139536,0.16666666666666666,0.1384541756401053,0.10344827586206896,0.4030192131747484,0.05716777231890897,0.14627429931623534,0.0,0.008008144403545074,0.009084726624151515,0.03238349600361344,0.22685185185185186,0.038514512667504185,0.08639179020363473,0.07189216175736396,0.4270944741532977,0.04148471615720524,0.03130567574446424,0.006771437681407144,0.07157499739411417,0.059000397118057525,0.2925170068027211,0.2,0.2796610169491525
15193,210171878,4,12,12,"{'20-30': 2.4, '10-20': 1.8, '0-10': 1.2999999999999998}","{'20-30': 0.75, '10-20': 8.881784197001252e-16, '0-10': 0.40000000000000013}",210171878,KR,0,0,41269,"{'20-30': 303.00000000000006, '10-20': 201, '0-10': -27.449999999999996}","{'20-30': 1201.6, '10-20': 953, '0-10': 318.8}",8,0,False,False,False,False,False,False,1519388962838,1895,3123996909,8.4.218.8787,7402,"{'20-30': 288.4, '10-20': 220.3, '0-10': 151.3}",6825,UNRANKED,0,3190,3401,2055,3067,3117,1029,3364,0,1,BOTTOM,0,0,1,445,11614,5983,10132,11,/v1/stats/player_history/KR/210171878,0,0,0,0,8400,8300.0,5676,786,16577,0,420,DUO_SUPPORT,11,0,4,14,66820157,Gate1,41,26839,7536,27982,3799,55,0,0,85,5,0,9548,767,1272,0,0,73,11,10,37,False,"{'20-30': -217.84999999999997, '10-20': -33.94999999999999, '0-10': 10}","{'20-30': 391.79999999999995, '10-20': 266.9, '0-10': 272.29999999999995}",Support,Alistar,7,6,Tank,9,5,sup,0.10810810810810811,0.36363636363636365,0.13281418215746787,0.09090909090909091,0.1140148603638227,0.03660731452850825,0.17184240430114822,0.0,0.022176206290291073,0.020130102955488397,0.2097982635988559,0.3253968253968254,0.04468035872140159,0.08316045023173692,0.19774286784399359,0.08196332254584682,0.06063947078280044,0.07528786536758193,0.34750327558596594,0.2709290003532321,0.36064644173518573,0.3230088495575221,0.39285714285714285,0.3274336283185841,0.09302325581395349,0.4444444444444444,0.041828188561856904,0.034482758620689655,0.20356816102470265,0.02686411117587735,0.21504749014025343,0.0,0.009707490554321654,0.010085586336981766,0.28000235659158307,0.18981481481481483,0.03076090085845896,0.05407001084191204,0.2552102079438981,0.06449367625838213,0.1091703056768559,0.005408500890811911,0.031385284942755054,0.0266495257287794,0.07216202416747036,0.4421768707482993,0.36666666666666664,0.3050847457627119
15196,203089260,23,14,98,"{'20-30': 1.9, '10-20': 2.1, '0-10': 1.9}","{'20-30': -0.75, '10-20': -8.881784197001252e-16, '0-10': -0.40000000000000013}",203089260,KR,3993,2022,19950,"{'20-30': -303.00000000000006, '10-20': -201, '0-10': 27.449999999999996}","{'20-30': 754.5, '10-20': 616.5999999999999, '0-10': 233.1}",2,0,False,False,True,False,False,False,1519388962838,1895,3123996909,8.4.218.8787,9724,"{'20-30': 359.2, '10-20': 251, '0-10': 171.5}",7600,PLATINUM,0,1033,3401,3067,0,3083,3158,3364,0,0,BOTTOM,0,0,0,862,6246,2965,5931,11,/v1/stats/player_history/KR/203089260,4,0,0,0,8400,8300.0,16072,5963,12053,0,420,DUO_SUPPORT,11,0,14,4,25520414,너를 찾는 길,38,34190,9941,18445,1890,62,0,0,140,4,0,11871,1012,460,2,0,87,13,15,38,True,"{'20-30': 217.84999999999997, '10-20': 33.94999999999999, '0-10': -10}","{'20-30': 516.1, '10-20': 344.6, '0-10': 299.5}",Tank,Shen,4,3,Tank,9,3,sup,0.6216216216216216,0.09090909090909091,0.17447785832196944,0.0,0.22085575198565205,0.01968738475504241,0.10059191669069385,0.17391304347826086,0.0627935143582731,0.15271730779081083,0.15254258738957652,0.30158730158730157,0.056917972528213436,0.10969984550871772,0.13034690863349516,0.040776699029126215,0.06835722160970231,0.12400354295837024,0.4320497889066822,0.35747085835393855,0.1304224553444854,0.38495575221238937,0.4642857142857143,0.336283185840708,0.5348837209302325,0.1111111111111111,0.1529552524527399,0.0,0.39432753888380606,0.014447497710050796,0.11701010478168537,0.017094017094017096,0.029943919630465207,0.07651444189239474,0.1911588539109601,0.17592592592592593,0.04278554229480737,0.07988664297905686,0.14448095298912098,0.03208556149732621,0.12445414847161572,0.008908119114278442,0.03902123141552632,0.035162086098467736,0.026096329494525443,0.5374149659863946,0.43333333333333335,0.3135593220338983
15173,200129667,18,14,201,"{'20-30': 1.5, '10-20': 2.4000000000000004, '0-10': 1.5}","{'20-30': -0.6499999999999999, '10-20': 1.0499999999999994, '0-10': 0.25}",200129667,KR,1051,696,28609,"{'20-30': -91.19999999999999, '10-20': -333.95000000000005, '0-10': -87.95000000000002}","{'20-30': 863.1, '10-20': 465.9, '0-10': 355}",3,0,False,False,True,False,True,False,1519455115249,2050,3124953286,8.4.218.8787,10285,"{'20-30': 254.9, '10-20': 330.29999999999995, '0-10': 181.8}",8400,MASTER,0,2055,3190,3401,3801,3109,3047,3364,0,1,BOTTOM,0,0,1,534,7827,5237,10224,11,/v1/stats/player_history/KR/200129667,0,0,0,0,8400,8300.0,8075,1353,9935,0,420,DUO_SUPPORT,11,0,3,4,11397422,곰인형,37,24634,6590,21645,4464,59,0,0,901,4,0,8731,0,1485,0,0,101,8,13,46,True,"{'20-30': -6.800000000000011, '10-20': 83.45000000000005, '0-10': 6.899999999999977}","{'20-30': 358.70000000000005, '10-20': 321.70000000000005, '0-10': 261.79999999999995}",Tank,Braum,3,3,Support,9,4,sup,0.4090909090909091,0.13636363636363635,0.16999438035106276,0.06666666666666667,0.15322812051649928,0.028999951833477214,0.22770094207255964,0.0,0.027083319358452342,0.054602687759796605,0.12902597402597402,0.22023809523809523,0.03264761935054642,0.10627146796536098,0.16785185300070568,0.20825752274317705,0.06310160427807486,0.2237953303527074,0.046818025824717946,0.0,0.210727969348659,0.36996336996337,0.27586206896551724,0.323943661971831,0.4186046511627907,0.16666666666666666,0.17980378080880594,0.034482758620689655,0.2442817932296432,0.01810447719765731,0.2171944645399174,0.0,0.014377285990419035,0.017361066557170905,0.14956501247029713,0.1712962962962963,0.027153999162479063,0.04391511104908917,0.18163452495675092,0.07578304048892284,0.11790393013100436,0.05733010944260626,0.0286997196098863,0.0,0.08424575934645714,0.6326530612244898,0.26666666666666666,0.3813559322033898
15178,206227817,11,12,12,"{'20-30': 2.4, '10-20': 2.7, '0-10': 1.2999999999999998}","{'20-30': 0.6499999999999999, '10-20': -1.0499999999999994, '0-10': -0.25}",206227817,KR,3229,481,37709,"{'20-30': 91.19999999999999, '10-20': 333.95000000000005, '0-10': 87.95000000000002}","{'20-30': 1197.6, '10-20': 810.3, '0-10': 589.5}",5,0,False,False,False,False,False,False,1519455115249,2050,3124953286,8.4.218.8787,8860,"{'20-30': 259.5, '10-20': 267.1, '0-10': 202.60000000000002}",8685,CHALLENGER,0,3401,3800,3190,3117,2055,0,3364,0,1,BOTTOM,0,0,1,614,10593,4629,8750,11,/v1/stats/player_history/KR/206227817,0,0,0,0,8400,8300.0,7672,722,20678,0,420,DUO_SUPPORT,11,0,14,4,36990696,아라가키 유이,41,34481,5990,32523,9741,72,0,0,90,5,0,16215,637,3094,1,0,83,11,12,46,False,"{'20-30': 6.800000000000011, '10-20': -83.45000000000005, '0-10': -6.899999999999977}","{'20-30': 322.1, '10-20': 311.7, '0-10': 275}",Support,Alistar,7,6,Tank,9,5,sup,0.25,0.22727272727272727,0.14644143995239828,0.06666666666666667,0.17618364418938307,0.03924830583518898,0.1948731654083428,0.0,0.02573166886910791,0.029137576173372613,0.26854545454545453,0.24404761904761904,0.04569792006276655,0.09659576526745255,0.252208168867727,0.45444366689993004,0.07700534759358289,0.022354694485842028,0.0869492943245678,0.6656217345872518,0.4390520788988222,0.304029304029304,0.3793103448275862,0.323943661971831,0.2558139534883721,0.2777777777777778,0.11160564728403924,0.034482758620689655,0.2808783165599268,0.02450245649096511,0.18279620078877973,0.0,0.013592822647047946,0.009264368111069765,0.3605388739419886,0.18981481481481483,0.04326155517169179,0.03747437122277446,0.30793344866421296,0.16536796536796536,0.1462882096069869,0.005726648002036141,0.053300418448551865,0.022132656961189674,0.17552618142622115,0.5102040816326531,0.36666666666666664,0.3813559322033898
15152,202868179,17,16,223,"{'30-end': 1.6, '20-30': 1.3, '10-20': 2.6, '0-10': 1.3}","{'30-end': -0.3000000000000007, '20-30': 3.250000000000001, '10-20': 0.8500000000000001, '0-10': 0.6999999999999997}",202868179,KR,2184,909,47845,"{'30-end': 188.89999999999986, '20-30': 158.29999999999984, '10-20': -36.099999999999966, '0-10': -53.35000000000001}","{'30-end': 1574.8, '20-30': 1512.3, '10-20': 872.4000000000001, '0-10': 192.5}",4,0,False,False,True,False,False,True,1519622671713,2222,3127331967,8.4.218.8787,11204,"{'30-end': 329.4, '20-30': 280.9, '10-20': 358.4, '0-10': 155.6}",9050,MASTER,1,3190,3111,3067,3401,0,3109,3364,1,3,BOTTOM,0,2,1,999,21252,14082,16846,11,/v1/stats/player_history/KR/202868179,0,0,0,0,8300,8400.0,10090,2117,16975,0,420,DUO_SUPPORT,11,0,14,4,21531315,죄송다제잘못임,40,197867,18556,36008,13426,66,0,0,229,5,0,166523,2357,2186,1,0,86,8,8,56,True,"{'30-end': -9.5, '20-30': 91.14999999999998, '10-20': 64.79999999999998, '0-10': 19.69999999999999}","{'30-end': 422.4, '20-30': 472.29999999999995, '10-20': 364, '0-10': 281.5}",Tank,TahmKench,5,3,Support,9,6,sup,0.22972972972972974,0.12903225806451613,0.17515007503751875,0.21428571428571427,0.25867426204039357,0.05344734360264068,0.22346027829731915,0.0,0.08609876185031273,0.10881521459778977,0.15923716252978368,0.11764705882352941,0.2294748683691694,0.1963431667160452,0.18676445417248014,0.2544345057610673,0.08365019011406843,0.06837862048372649,0.4792883910222831,0.254151390985551,0.202313743637205,0.31272727272727274,0.25806451612903225,0.37333333333333335,0.3953488372093023,0.2222222222222222,0.223785594639866,0.10344827586206896,0.4569990850869167,0.04915757626224776,0.3717299479592075,0.0,0.018299602707274487,0.027164359128995418,0.2878183853420003,0.18518518518518517,0.310525609819933,0.17236493231855898,0.34839601063521,0.2279263220439691,0.1331877729257642,0.014571137694069737,0.5473786975829912,0.0818943052708384,0.12401429625007092,0.5306122448979592,0.26666666666666666,0.4661016949152542
15158,4721132,16,15,12,"{'30-end': 1.6, '20-30': 1.2000000000000002, '10-20': 1.9, '0-10': 1}","{'30-end': 0.3000000000000007, '20-30': -3.250000000000001, '10-20': -0.8500000000000001, '0-10': -0.6999999999999997}",4721132,KR,2656,1776,53703,"{'30-end': -188.89999999999986, '20-30': -158.29999999999984, '10-20': 36.099999999999966, '0-10': 53.35000000000001}","{'30-end': 971.6, '20-30': 1147.9, '10-20': 696.3, '0-10': 218}",5,0,False,False,False,False,False,False,1519622671713,2222,3127331967,8.4.218.8787,10105,"{'30-end': 283.6, '20-30': 356.6, '10-20': 265.2, '0-10': 150.5}",9550,MASTER,0,3800,3097,3067,1031,3117,3190,3364,0,0,BOTTOM,0,0,0,889,12598,6710,11362,11,/v1/stats/player_history/KR/4721132,0,0,0,0,8400,8300.0,9092,1049,17176,0,420,DUO_SUPPORT,11,0,14,4,6140824,FW SwordArT,42,28470,8860,30645,12427,50,0,0,92,5,0,6778,1101,2106,1,0,75,16,8,46,False,"{'30-end': 9.5, '20-30': -91.14999999999998, '10-20': -64.79999999999998, '0-10': -19.69999999999999}","{'30-end': 487.8, '20-30': 512.7, '10-20': 310.7, '0-10': 266}",Support,Alistar,7,6,Tank,9,5,sup,0.21621621621621623,0.16129032258064516,0.15796960980490246,0.0,0.23019161056447437,0.03168311851618988,0.15071564062769444,0.0,0.07758274952854742,0.05391930095091236,0.161122680625129,0.12352941176470589,0.03301788323707466,0.09374867736064672,0.15894791985435608,0.23550257731958762,0.06337135614702155,0.027470886831890116,0.01950851662742705,0.11871899935302997,0.194909763998149,0.2727272727272727,0.5161290322580645,0.30666666666666664,0.37209302325581395,0.2777777777777778,0.1711892797319933,0.0,0.40667886550777677,0.02914018190061158,0.24375160439663018,0.0,0.01635693666091134,0.013460279984088898,0.291765676243593,0.19444444444444445,0.033428863065326636,0.06828257672531318,0.28612894611571016,0.21096681096681097,0.0982532751091703,0.005853906846525834,0.022280002235231855,0.0382544039470484,0.11947580416406649,0.4557823129251701,0.5333333333333333,0.3813559322033898
