,accountId,assists,champLevel,champion,creepsPerMinDeltas,csDiffPerMinDeltas,currentAccountId,currentPlatformId,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,damageTakenDiffPerMinDeltas,damageTakenPerMinDeltas,deaths,doubleKills,firstBloodAssist,firstBloodKill,firstInhibitorAssist,firstInhibitorKill,firstTowerAssist,firstTowerKill,gameCreation,gameDuration,gameId,gameVersion,goldEarned,goldPerMinDeltas,goldSpent,highestAchievedSeasonTier,inhibitorKills,item0,item1,item2,item3,item4,item5,item6,killingSprees,kills,lane,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicalDamageTaken,map,matchHistoryUri,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,neutralMinionsKilledTeamJungle,pentaKills,perkPrimaryStyle,perkSubStyle,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,queueId,role,season,sightWardsBoughtInGame,spell_1,spell_2,summonerId,summonerName,timeCCingOthers,totalDamageDealt,totalDamageDealtToChampions,totalDamageTaken,totalHeal,totalMinionsKilled,totalPlayerScore,totalScoreRank,totalTimeCrowdControlDealt,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,xpDiffPerMinDeltas,xpPerMinDeltas,champion_subclass,champion_name,champion_defense,champion_attack,champion_class,champion_difficulty,champion_magic,position,rel_assists,rel_deaths,rel_goldEarned,rel_kills,rel_longestTimeSpentLiving,rel_magicDamageDealt,rel_magicalDamageTaken,rel_neutralMinionsKilled,rel_physicalDamageDealt,rel_physicalDamageDealtToChampions,rel_physicalDamageTaken,rel_timeCCingOthers,rel_totalDamageDealt,rel_totalDamageDealtToChampions,rel_totalDamageTaken,rel_totalHeal,rel_totalMinionsKilled,rel_totalTimeCrowdControlDealt,rel_trueDamageDealt,rel_trueDamageDealtToChampions,rel_trueDamageTaken,rel_visionScore,rel_visionWardsBoughtInGame,rel_wardsPlaced,norm_assists,norm_deaths,norm_goldEarned,norm_kills,norm_longestTimeSpentLiving,norm_magicDamageDealt,norm_magicalDamageTaken,norm_neutralMinionsKilled,norm_physicalDamageDealt,norm_physicalDamageDealtToChampions,norm_physicalDamageTaken,norm_timeCCingOthers,norm_totalDamageDealt,norm_totalDamageDealtToChampions,norm_totalDamageTaken,norm_totalHeal,norm_totalMinionsKilled,norm_totalTimeCrowdControlDealt,norm_trueDamageDealt,norm_trueDamageDealtToChampions,norm_trueDamageTaken,norm_visionScore,norm_visionWardsBoughtInGame,norm_wardsPlaced
5432,205190296,7,18,38,"{'30-end': 5.8, '20-30': 4.7, '10-20': 6.7, '0-10': 8.3}",,205190296,KR,5034,0,40606,,"{'30-end': 1223.8, '20-30': 1254, '10-20': 691.7, '0-10': 227}",7,1,False,False,False,False,False,False,1521125863307,2301,3145556261,8.5.220.3006,16157,"{'30-end': 633.8, '20-30': 472.4, '10-20': 375.9, '0-10': 311.3}",15975,DIAMOND,0,3001,3040,3157,3100,1058,3020,3340,3,11,TOP,0,4,4,839,147693,28785,11989,11,/v1/stats/player_history/KR/205190296,28,4,24,0,8200,8400.0,27837,1637,17922,1,420,DUO,11,0,12,4,31252294,빰빰빰yee,25,181829,31354,31774,4127,244,0,0,248,1,1,6297,930,1863,0,0,34,3,6,16,False,,"{'30-end': 798.2, '20-30': 539.5, '10-20': 418.8, '0-10': 495.5}",Mage,Kassadin,8,3,Assassin,5,8,top,0.11290322580645161,0.2,0.23136625950481865,0.39285714285714285,0.17809382296752282,0.3947575213291423,0.16555733539549272,0.35443037974683544,0.09370487189931026,0.05480598613947571,0.190771195912502,0.10548523206751055,0.20339064574620044,0.2524293730728047,0.17852467398205427,0.06445617542325233,0.26991150442477874,0.16893732970027248,0.02826606097604769,0.08193832599118943,0.1603960396039604,0.10897435897435898,0.07692307692307693,0.09302325581395349,0.16279069767441862,0.3888888888888889,0.46082794927016035,0.3793103448275862,0.38380603842634947,0.3416257251505815,0.2583837016639052,0.11965811965811966,0.05284518820307284,0.02100522243465541,0.30641582058482747,0.11574074074074074,0.28429092074958123,0.3097459128138519,0.2992371907255396,0.07006196417961123,0.5218340611353712,0.01578009671672181,0.020698904407679995,0.0323129842604496,0.10569013445282804,0.17687074829931973,0.1,0.1271186440677966
4927,206966030,7,18,107,"{'20-30': 9.8, '10-20': 7.6, '0-10': 5.8}",,206966030,KR,16777,5057,21634,,"{'20-30': 1383.3, '10-20': 1167, '0-10': 695}",7,3,False,False,False,True,False,False,1522856238653,1896,3165449057,8.7.223.9264,16242,"{'20-30': 777.8, '10-20': 460.40000000000003, '0-10': 234}",15600,SILVER,1,3074,3035,3147,3071,3026,3047,3340,1,11,TOP,0,9,2,839,9152,3057,9096,11,/v1/stats/player_history/KR/206966030,26,9,7,0,8400,8100.0,185531,23088,22211,0,420,SOLO,11,0,12,4,41601441,xiaolongbacc,14,196236,26489,36785,8063,232,0,0,350,1,0,1552,344,5477,2,0,50,2,5,28,True,,"{'20-30': 892.8, '10-20': 556.8, '0-10': 414.9}",Fighter,Rengar,8,7,Assassin,4,2,top,0.1206896551724138,0.1590909090909091,0.26782975776264367,0.4074074074074074,0.2704706640876854,0.04225241570984705,0.1760232220609579,0.6190476190476191,0.5094710075680188,0.5141979020511792,0.22956868662856197,0.1206896551724138,0.26030275536029795,0.22693121557137594,0.233195767799522,0.22180957882864297,0.32538569424964936,0.37513397642015006,0.008965708475829559,0.02307950352230795,0.588102652206593,0.22026431718061673,0.10526315789473684,0.2028985507246377,0.16279069767441862,0.3888888888888889,0.4648959081119885,0.3793103448275862,0.38380603842634947,0.02116930820403216,0.19087069146577676,0.1111111111111111,0.35980588912009687,0.2962544749977545,0.3906443314153296,0.06481481481481481,0.30785764761306533,0.25752224738881674,0.3574173623286001,0.13688141923436042,0.49563318777292575,0.022270297785696107,0.00510158800074946,0.011952329661929745,0.31071651443807796,0.2857142857142857,0.06666666666666667,0.2288135593220339
20441,731011,14,18,38,"{'30-end': 6.6, '20-30': 5.6, '10-20': 6.4, '0-10': 7}",,731011,KR,6251,4097,24705,,"{'30-end': 1505.8, '20-30': 1348.4, '10-20': 1052.4, '0-10': 450}",10,1,False,False,False,True,False,False,1523203245852,2378,3169930784,8.7.223.9264,17456,"{'30-end': 584.2, '20-30': 533.9, '10-20': 401.5, '0-10': 255.10000000000002}",17095,DIAMOND,1,3135,3157,3089,3027,3100,3111,3364,3,12,TOP,0,3,2,447,165480,37952,11923,11,/v1/stats/player_history/KR/731011,28,8,20,0,8200,8300.0,26511,2734,24381,0,420,DUO,11,0,4,12,1213025,짐승 유전자,32,356020,41093,41679,6255,234,0,0,380,1,0,164029,407,5374,0,0,25,2,4,5,True,,"{'30-end': 603, '20-30': 694.0999999999999, '10-20': 436.1, '0-10': 442.7}",Mage,Kassadin,8,3,Assassin,5,8,top,0.15384615384615385,0.2631578947368421,0.24432438485009658,0.5,0.1146741918932786,0.38380717794569924,0.15987502849403973,0.5384615384615384,0.1366715469955046,0.10829009387253931,0.3092348084167269,0.2222222222222222,0.36589740032168383,0.35130929888604867,0.24634580262310196,0.09956386094486183,0.2943396226415094,0.28106508875739644,0.471526556049996,0.050881360170021254,0.3409249508342321,0.08361204013377926,0.05128205128205128,0.036231884057971016,0.32558139534883723,0.5555555555555556,0.5229959320411581,0.41379310344827586,0.20448307410795974,0.3827684791961584,0.25684348089892883,0.11965811965811966,0.05026405075069054,0.03508141608817831,0.4332593625419768,0.14814814814814814,0.569229611599665,0.4142898547613169,0.4142391064565942,0.10618792971734148,0.5,0.024179180453041488,0.5391806560405498,0.014141273756992461,0.30487320587734723,0.11564625850340136,0.06666666666666667,0.03389830508474576
25745,208537761,15,18,245,"{'20-30': 9.7, '10-20': 8.5, '0-10': 6.7}",,208537761,KR,15568,6613,32992,,"{'20-30': 956.4, '10-20': 1327.6, '0-10': 362.8}",6,1,False,False,True,False,False,False,1523368361424,2049,3171304162,8.7.223.9264,18743,"{'20-30': 667.4000000000001, '10-20': 494.29999999999995, '0-10': 330.1}",17525,DIAMOND,0,3152,3157,3100,3111,3089,3135,3340,3,14,TOP,0,7,2,446,233475,32131,12021,11,/v1/stats/player_history/KR/208537761,20,0,20,0,8100,8300.0,22138,3813,19258,0,420,DUO,11,0,4,12,53191044,Unfathomed f0rce,37,406084,36199,32398,10658,284,0,0,517,1,0,150471,255,1119,4,0,40,1,3,17,True,,"{'20-30': 778.4, '10-20': 566.4000000000001, '0-10': 397.2}",Fighter,Ekko,8,5,Assassin,3,7,top,0.23076923076923078,0.16216216216216217,0.291592768910047,0.4666666666666667,0.15052311846101923,0.7041096055659265,0.17474415629724385,0.5,0.07837015009912206,0.09924001873926397,0.18508765185299092,0.1712962962962963,0.5251543453352404,0.370424567399691,0.18176615798922802,0.20325342792303144,0.3510506798516687,0.2073806658644204,0.9451992838971073,0.073044972787167,0.2072606038155214,0.15810276679841898,0.038461538461538464,0.12781954887218044,0.3488372093023256,0.3333333333333333,0.5845896147403685,0.4827586206896552,0.2040256175663312,0.5400463541232964,0.2591304753681361,0.08547008547008547,0.041751747523490104,0.04892664211566346,0.33265254020934387,0.1712962962962963,0.6511234558207705,0.3617548869113432,0.30648213725922746,0.18093540446481624,0.6091703056768559,0.03289641130058539,0.49461407735874485,0.008860011813349085,0.06348215805298689,0.21768707482993196,0.03333333333333333,0.13559322033898305
26233,1196206,7,17,84,"{'20-30': 5.5, '10-20': 8.1, '0-10': 6.9}",,1196206,KR,9823,69,21973,,"{'20-30': 1685.8, '10-20': 784.3, '0-10': 152.89999999999998}",6,0,False,False,False,False,False,False,1523980881859,2074,3177539776,8.7.223.9264,12727,"{'20-30': 323.7, '10-20': 385.6, '0-10': 243.5}",11750,CHALLENGER,0,3111,3146,3157,1026,1082,3165,3340,1,3,TOP,0,2,1,865,39935,11126,9296,11,/v1/stats/player_history/KR/1196206,12,0,7,0,8100,8300.0,135208,3461,24735,0,420,SOLO,11,0,4,12,1687546,쿠소만화 보따리,17,175986,14772,34699,16003,235,0,0,354,1,0,842,184,668,0,0,22,0,1,15,True,,"{'20-30': 424.3, '10-20': 504.5, '0-10': 419.8}",Assassin,Akali,7,5,Assassin,3,8,top,0.1076923076923077,0.17647058823529413,0.18998357963875206,0.0967741935483871,0.2439368302312465,0.15536069279159065,0.23753673182573143,0.14814814814814814,0.4000343204404851,0.07896237822545688,0.25059520794286005,0.16666666666666666,0.20270354321729936,0.14631102483087863,0.24059269325974358,0.32873870172555464,0.28799019607843135,0.23381770145310435,0.0030825440873363083,0.04264194669756663,0.10470219435736677,0.08029197080291971,0.0,0.11194029850746269,0.16279069767441862,0.3333333333333333,0.29667384541756403,0.10344827586206896,0.3956999085086917,0.09237284999213553,0.19553802711722013,0.05128205128205128,0.2618491922752746,0.044409941873147445,0.44021130771194594,0.0787037037037037,0.27473304020100503,0.13174533314726752,0.3331978776022014,0.2716747304982599,0.5021834061135371,0.02252481547467549,0.0027677429746334054,0.006393106563357771,0.03789640891813695,0.09523809523809523,0.0,0.11864406779661017
21079,2100190,5,17,245,"{'20-30': 7.1000000000000005, '10-20': 8.7, '0-10': 8}",,2100190,KR,5830,3970,13461,,"{'20-30': 1295, '10-20': 789.3, '0-10': 348.20000000000005}",4,1,False,False,False,False,True,False,1524322054638,2017,3181024053,8.8.225.6906,14960,"{'20-30': 416, '10-20': 598.4000000000001, '0-10': 292.5}",14775,DIAMOND,0,3152,3157,2055,3020,3089,3100,3364,3,9,TOP,0,3,2,820,180741,23910,10497,11,/v1/stats/player_history/KR/2100190,9,2,4,0,8100,8300.0,19349,2035,14851,0,420,DUO,11,0,12,4,2932051,likeUsobad,6,350376,25972,26903,6370,262,0,0,464,1,0,150284,26,1554,2,0,25,3,3,9,False,,"{'20-30': 441.79999999999995, '10-20': 615.6, '0-10': 472.8}",Fighter,Ekko,8,5,Assassin,3,7,top,0.10869565217391304,0.17391304347826086,0.23256175478414973,0.32142857142857145,0.19854721549636803,0.73920583050792,0.2784867216724591,0.21951219512195122,0.06192333910460945,0.07111654726542023,0.22929179082585804,0.06818181818181818,0.3913119228758929,0.31388757961398545,0.2359808780316653,0.22216796875,0.32186732186732187,0.36278342455043,0.4440885316627759,0.0021006705986911208,0.13468538741549663,0.08865248226950355,0.09375,0.06521739130434782,0.11627906976744186,0.2222222222222222,0.4035415171093563,0.3103448275862069,0.37511436413540716,0.4180683931495823,0.2235653777041376,0.038461538461538464,0.036322794013162636,0.026112173277045667,0.24610671432218534,0.027777777777777776,0.5599972518844221,0.2519724765718089,0.2426824878960629,0.1081402257872846,0.5611353711790393,0.029524051921608552,0.49399938859834525,0.0009033737535179459,0.08816020877063596,0.11564625850340136,0.1,0.06779661016949153
11742,7488288,9,16,38,"{'20-30': 7.800000000000001, '10-20': 8.3, '0-10': 6.1}",,7488288,KR,163,163,16141,,"{'20-30': 1141.5, '10-20': 643.5, '0-10': 256.9}",5,0,False,False,False,False,False,False,1524548626812,1892,3183308210,8.8.226.7254,12766,"{'20-30': 472.5, '10-20': 344.3, '0-10': 312.4}",12125,DIAMOND,0,3040,3191,3027,3100,1082,3158,3340,2,6,TOP,0,3,1,661,144290,23080,11406,11,/v1/stats/player_history/KR/7488288,12,0,12,0,8300,8200.0,22314,2054,12121,0,420,DUO,11,0,4,14,10723566,ktmgs,23,316655,25184,24564,3278,231,0,0,196,1,0,150050,50,1036,0,0,29,3,5,15,False,,"{'20-30': 611.5, '10-20': 471.5, '0-10': 432.2}",Mage,Kassadin,8,3,Assassin,5,8,top,0.1875,0.22727272727272727,0.22662477144023718,0.3,0.1655396944653143,0.41259429133520537,0.27185623033654305,0.27906976744186046,0.12789004917525418,0.11129172084958822,0.2313962811652858,0.22549019607843138,0.3783543845520577,0.3121119359516167,0.25247188932513825,0.27878890967851677,0.32489451476793246,0.028008002286367534,0.479806862149458,0.030543677458766034,0.3508296647477142,0.15591397849462366,0.15789473684210525,0.15,0.20930232558139536,0.2777777777777778,0.29854032065087344,0.20689655172413793,0.30237877401646845,0.33375431389420895,0.24477841823994773,0.05128205128205128,0.04209434193647599,0.026355972437863293,0.19249425580801635,0.10648148148148148,0.5048370105737019,0.24351363826658223,0.21552554888597336,0.05564892623716153,0.49344978165938863,0.012471366759989819,0.49323020587142813,0.0017372572183037421,0.0587734725137573,0.14285714285714285,0.1,0.11864406779661017
10790,5258842,9,17,91,"{'30-end': 8.8, '20-30': 5.2, '10-20': 7.3, '0-10': 5.8}",,5258842,KR,7002,2966,20503,,"{'30-end': 1124.4, '20-30': 667.5, '10-20': 761.3, '0-10': 369.4}",10,0,False,False,False,False,False,True,1524554300018,2339,3183347139,8.8.226.7254,15565,"{'30-end': 502, '20-30': 385, '10-20': 423.1, '0-10': 285.4}",14450,CHALLENGER,1,3142,3026,3033,3155,3147,3117,3364,0,7,TOP,790,0,1,487,346,346,12900,11,/v1/stats/player_history/KR/5258842,11,3,8,0,8100,8200.0,170055,22583,13961,0,420,DUO,11,0,4,14,7791613,사스갓지지,4,171802,24321,29835,3443,249,0,0,245,1,0,1401,1392,2973,1,0,48,6,15,10,True,,"{'30-end': 612.4, '20-30': 436.6, '10-20': 463.79999999999995, '0-10': 411.6}",Fighter,Talon,7,9,Assassin,3,1,top,0.1267605633802817,0.2564102564102564,0.21293332238912147,0.2916666666666667,0.16168658698539176,0.002615683517413951,0.18798636005945615,0.39285714285714285,0.3248839870623365,0.3667023902312289,0.1416224550867832,0.01702127659574468,0.1695404992801027,0.24010069598696876,0.15954204188145707,0.09481975159042715,0.2455621301775148,0.05536723163841808,0.003917522313938662,0.1791044776119403,0.15015909894439114,0.15434083601286175,0.12244897959183673,0.059880239520958084,0.20930232558139536,0.5555555555555556,0.4324958123953099,0.2413793103448276,0.22278133577310155,0.0008003256816646775,0.27964341555622974,0.04700854700854701,0.32968093948731525,0.2897745499339176,0.22862866008130242,0.018518518518518517,0.26788892378559465,0.23424970748306623,0.27672444821140385,0.058450046685340803,0.5327510917030568,0.015589208449987273,0.004605235044490975,0.04836524095757618,0.16866171214613945,0.272108843537415,0.2,0.07627118644067797
17509,2144379,2,15,107,"{'20-30': 8.3, '10-20': 8.4, '0-10': 5.6}","{'20-30': -0.6000000000000001, '10-20': 0.5, '0-10': -3.6}",2144379,KR,2842,318,35096,"{'20-30': 685.7999999999998, '10-20': -322.6, '0-10': 111.00000000000006}","{'20-30': 2350.3999999999996, '10-20': 868.4, '0-10': 660.1}",8,0,False,False,False,False,False,False,1524771026771,1921,3185619481,8.8.226.7254,11298,"{'20-30': 392.6, '10-20': 404.29999999999995, '0-10': 240.3}",10825,UNRANKED,0,3026,0,3123,3065,3071,3047,3364,2,4,TOP,0,2,1,757,40426,5369,8038,11,/v1/stats/player_history/KR/2144379,8,0,8,0,8400,8000.0,82861,11532,32225,0,420,SOLO,11,0,12,4,2750123,후초는진리,16,134439,17349,43927,14317,224,0,0,286,1,0,11151,448,3663,0,0,21,1,4,8,False,"{'20-30': -274.9, '10-20': 58.5, '0-10': -133.4}","{'20-30': 457.1, '10-20': 562.8, '0-10': 385.29999999999995}",Fighter,Rengar,8,7,Assassin,4,2,top,0.038461538461538464,0.23529411764705882,0.20413030516559164,0.2857142857142857,0.23342584027135369,0.1621021228136303,0.15837175395042755,0.23529411764705882,0.2758089265683406,0.3593083034740614,0.34602912120951806,0.10256410256410256,0.18626190469592976,0.20874744314763566,0.28773835179447543,0.39818111024585606,0.2879177377892031,0.4294294294294294,0.06484798436809416,0.09796632407609884,0.41734077703087613,0.105,0.043478260869565216,0.07547169811320754,0.046511627906976744,0.4444444444444444,0.22828427853553482,0.13793103448275862,0.34629460201280876,0.09350857227449783,0.16618048586964132,0.03418803418803419,0.1599526596811147,0.14797325908151873,0.5873018990200507,0.07407407407407407,0.20677116048994976,0.15940831070128922,0.4403394907638542,0.24305237246413716,0.4781659388646288,0.01819801476202596,0.0366545153327044,0.015565824676001528,0.2078062063879276,0.08843537414965986,0.03333333333333333,0.059322033898305086
19167,207705733,9,15,107,"{'20-30': 2.4, '10-20': 0.30000000000000004, '0-10': 0.5}",,207705733,KR,29762,2933,15861,,"{'20-30': 1018.2, '10-20': 1166.4, '0-10': 596.6}",8,1,False,False,False,False,False,False,1525101029601,1878,3189608871,8.8.226.7254,11332,"{'20-30': 354.8, '10-20': 294.7, '0-10': 396.7}",10425,PLATINUM,0,1037,3077,3147,3052,1412,3047,3364,1,8,TOP,0,6,2,644,9870,1505,5673,11,/v1/stats/player_history/KR/207705733,103,8,69,0,8100,8200.0,130109,14026,24600,0,420,SOLO,11,0,11,4,45791811,Kanu CoffeE,11,152876,16461,30882,12621,32,0,0,397,1,0,12896,930,608,0,0,41,5,8,21,False,,"{'20-30': 536.7, '10-20': 322.20000000000005, '0-10': 389.79999999999995}",Fighter,Rengar,8,7,Assassin,4,2,top,0.16071428571428573,0.2962962962962963,0.1957167530224525,0.34782608695652173,0.1778023191606847,0.04035984461255367,0.16976389262949995,0.5202020202020202,0.35985352402499166,0.3532819505314594,0.3349673202614379,0.088,0.19657906445050805,0.21219738572202027,0.2800605791292204,0.43169380216171843,0.055944055944055944,0.2413373860182371,0.07516597014577396,0.22043138184403888,0.1784037558685446,0.19523809523809524,0.1282051282051282,0.1810344827586207,0.20930232558139536,0.4444444444444444,0.2299114620722661,0.27586206896551724,0.2946020128087832,0.02283009964748661,0.11098924179132343,0.44017094017094016,0.2519236870945074,0.17997510682252704,0.4375601421810255,0.05092592592592592,0.23693009317420435,0.14987601575834344,0.28888063253956275,0.2142602495543672,0.05895196506550218,0.02526088063120387,0.04239051472787696,0.0323129842604496,0.03449253985363363,0.22448979591836735,0.16666666666666666,0.1694915254237288
