,accountId,assists,champLevel,champion,creepsPerMinDeltas,csDiffPerMinDeltas,currentAccountId,currentPlatformId,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,damageTakenDiffPerMinDeltas,damageTakenPerMinDeltas,deaths,doubleKills,firstBloodAssist,firstBloodKill,firstInhibitorAssist,firstInhibitorKill,firstTowerAssist,firstTowerKill,gameCreation,gameDuration,gameId,gameVersion,goldEarned,goldPerMinDeltas,goldSpent,highestAchievedSeasonTier,inhibitorKills,item0,item1,item2,item3,item4,item5,item6,killingSprees,kills,lane,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicalDamageTaken,map,matchHistoryUri,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,neutralMinionsKilledTeamJungle,pentaKills,perkPrimaryStyle,perkSubStyle,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,queueId,role,season,sightWardsBoughtInGame,spell_1,spell_2,summonerId,summonerName,timeCCingOthers,totalDamageDealt,totalDamageDealtToChampions,totalDamageTaken,totalHeal,totalMinionsKilled,totalPlayerScore,totalScoreRank,totalTimeCrowdControlDealt,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,xpDiffPerMinDeltas,xpPerMinDeltas,champion_subclass,champion_name,champion_defense,champion_attack,champion_class,champion_difficulty,champion_magic,position,rel_assists,rel_deaths,rel_goldEarned,rel_kills,rel_longestTimeSpentLiving,rel_magicDamageDealt,rel_magicalDamageTaken,rel_neutralMinionsKilled,rel_physicalDamageDealt,rel_physicalDamageDealtToChampions,rel_physicalDamageTaken,rel_timeCCingOthers,rel_totalDamageDealt,rel_totalDamageDealtToChampions,rel_totalDamageTaken,rel_totalHeal,rel_totalMinionsKilled,rel_totalTimeCrowdControlDealt,rel_trueDamageDealt,rel_trueDamageDealtToChampions,rel_trueDamageTaken,rel_visionScore,rel_visionWardsBoughtInGame,rel_wardsPlaced,norm_assists,norm_deaths,norm_goldEarned,norm_kills,norm_longestTimeSpentLiving,norm_magicDamageDealt,norm_magicalDamageTaken,norm_neutralMinionsKilled,norm_physicalDamageDealt,norm_physicalDamageDealtToChampions,norm_physicalDamageTaken,norm_timeCCingOthers,norm_totalDamageDealt,norm_totalDamageDealtToChampions,norm_totalDamageTaken,norm_totalHeal,norm_totalMinionsKilled,norm_totalTimeCrowdControlDealt,norm_trueDamageDealt,norm_trueDamageDealtToChampions,norm_trueDamageTaken,norm_visionScore,norm_visionWardsBoughtInGame,norm_wardsPlaced
15211,4873327,2,17,420,"{'20-30': 8.4, '10-20': 12.2, '0-10': 8}","{'20-30': -2.299999999999999, '10-20': 3.6999999999999997, '0-10': 1.3000000000000003}",4873327,KR,6906,5255,27399,"{'20-30': -139.19999999999993, '10-20': -85, '0-10': -218.7}","{'20-30': 1263.3, '10-20': 853, '0-10': 381.70000000000005}",4,0,False,False,False,False,False,False,1519375473801,1973,3123798130,8.4.218.8787,14090,"{'20-30': 427.7, '10-20': 538.9000000000001, '0-10': 326.5}",13450,DIAMOND,0,3140,3053,3047,3071,3123,3025,3340,1,3,TOP,0,2,1,1391,439,292,5295,11,/v1/stats/player_history/KR/4873327,0,0,0,0,8300,8100.0,232860,27486,17824,0,420,SOLO,11,0,12,4,6901040,돈코 돈코,3,233950,27838,28585,6643,298,0,0,77,1,0,650,60,5465,2,0,34,2,1,18,False,"{'20-30': -190.19999999999996, '10-20': 141.2, '0-10': 156.49999999999997}","{'20-30': 519.5, '10-20': 650, '0-10': 517.5}",Tank,Illaoi,4,8,Fighter,6,3,top,0.06451612903225806,0.25,0.2375653346821784,0.21428571428571427,0.2712029635406512,0.002608328827677993,0.13546356938190748,0.0,0.5114216626145626,0.647674254206136,0.23911031216881531,0.025210084033613446,0.3059449704451535,0.33358897543439187,0.2337323586649005,0.13055184340853707,0.35903614457831323,0.0738255033557047,0.004608262259750019,0.005642279480910287,0.6307710064635272,0.1504424778761062,0.08333333333333333,0.12857142857142856,0.046511627906976744,0.2222222222222222,0.3619047619047619,0.10344827586206896,0.6363220494053065,0.0010154421221121195,0.10216797741009545,0.0,0.4519345878258297,0.3526875649596448,0.30449127079201116,0.013888888888888888,0.36954957077051925,0.27200317743164765,0.26221133416154835,0.11277480689245395,0.6397379912663755,0.004899465512853143,0.002136618685880895,0.0020847086619644904,0.3100357406251773,0.17687074829931973,0.06666666666666667,0.1440677966101695
15215,4735341,6,17,114,"{'20-30': 10.7, '10-20': 8.5, '0-10': 6.7}","{'20-30': 2.299999999999999, '10-20': -3.6999999999999997, '0-10': -1.3000000000000003}",4735341,KR,11280,7862,29951,"{'20-30': 139.19999999999993, '10-20': 85, '0-10': 218.7}","{'20-30': 1402.5, '10-20': 938, '0-10': 600.4}",4,1,False,False,True,False,False,False,1519375473801,1973,3123798130,8.4.218.8787,15653,"{'20-30': 586.4, '10-20': 389.6, '0-10': 282.20000000000005}",13608,DIAMOND,0,3078,3074,3052,3047,3071,1037,3340,1,4,TOP,678,4,2,722,1512,1014,9697,11,/v1/stats/player_history/KR/4735341,20,1,7,0,8300,8400.0,201913,12863,24944,0,420,SOLO,11,0,12,4,6390203,파이팅야소년,6,212381,21440,34679,11161,293,0,0,105,9,0,8956,7561,37,5,0,35,1,3,20,True,"{'20-30': 190.19999999999996, '10-20': -141.2, '0-10': -156.49999999999997}","{'20-30': 709.7, '10-20': 508.8, '0-10': 361}",Assassin,Fiora,3,10,Fighter,4,2,top,0.1935483870967742,0.25,0.2639183948743888,0.2857142857142857,0.14076818093195553,0.008983583570499148,0.2480812525583299,0.625,0.4434539301017528,0.30310099439181865,0.3346256523080638,0.05042016806722689,0.2777384003766281,0.2569203115638107,0.28356146461920884,0.21934203285905196,0.3530120481927711,0.10067114093959731,0.0634947643051095,0.7110212525860448,0.004270544783010157,0.15486725663716813,0.041666666666666664,0.14285714285714285,0.13953488372093023,0.2222222222222222,0.43670734625508495,0.13793103448275862,0.3302836230558097,0.0034973769672745443,0.2048960350983641,0.08547008547008547,0.3916944213560899,0.1650520318735324,0.44431570471907467,0.027777777777777776,0.33426736547319935,0.2033234217503784,0.33296566777740366,0.18947457770987183,0.62882096069869,0.006681089335708832,0.029439318385768146,0.2627080365518919,0.0020990525897770468,0.1836734693877551,0.03333333333333333,0.16101694915254236
15191,203921694,0,18,150,"{'20-30': 10.5, '10-20': 10.8, '0-10': 7.9}","{'20-30': 5.399999999999999, '10-20': 2.4999999999999996, '0-10': -0.5}",203921694,KR,3522,3522,28979,"{'20-30': -326.9, '10-20': -312.99999999999994, '0-10': -8.099999999999994}","{'20-30': 1472.4, '10-20': 1038.3000000000002, '0-10': 457}",4,0,False,False,False,False,False,True,1519388962838,1895,3123996909,8.4.218.8787,13214,"{'20-30': 457.90000000000003, '10-20': 469.5, '0-10': 256.6}",13275,CHALLENGER,0,3022,1038,3071,3156,3123,3111,3340,1,4,TOP,321,2,1,590,19664,8479,19642,11,/v1/stats/player_history/KR/203921694,4,1,0,0,8000,8400.0,194347,28237,13348,0,420,SOLO,11,0,12,4,25301734,ROX Kuzan,41,214530,37237,33617,6731,306,0,0,784,1,0,519,519,626,1,0,22,1,1,14,False,"{'20-30': 188, '10-20': 166.60000000000002, '0-10': -50.50000000000003}","{'20-30': 592.9, '10-20': 660.4000000000001, '0-10': 458.7}",Tank,Gnar,8,6,Fighter,5,5,top,0.0,0.18181818181818182,0.23709897365965693,0.36363636363636365,0.15116576992057393,0.06198090519102689,0.33313546242431435,0.17391304347826086,0.7593162727095136,0.7231726681350202,0.1689320879844078,0.3253968253968254,0.3571398843661196,0.41091370558375634,0.23756421943790768,0.14522114347357065,0.33737596471885334,0.6944198405668733,0.01888921240355219,0.1833274461321088,0.1774879500992345,0.09734513274336283,0.03571428571428571,0.12389380530973451,0.0,0.2222222222222222,0.3199808566642737,0.13793103448275862,0.2698993595608417,0.04548440521460756,0.4369793003663858,0.017094017094017096,0.3769667547160262,0.36232404757933095,0.2165904047446044,0.18981481481481483,0.3377826633165829,0.37289736681086766,0.3206353260806465,0.11426873779814957,0.6572052401746725,0.049885467039959275,0.00170600784303413,0.018032729925992842,0.03551370057298463,0.09523809523809523,0.03333333333333333,0.11016949152542373
15175,5295545,2,18,24,"{'20-30': 10.5, '10-20': 8.6, '0-10': 8.4}","{'20-30': 4.9, '10-20': 1.2999999999999998, '0-10': 1.1}",5295545,KR,7748,3347,24709,"{'20-30': 477.29999999999995, '10-20': 270.4, '0-10': 210.49999999999997}","{'20-30': 1208.3, '10-20': 777.5, '0-10': 610.4}",6,0,False,False,False,False,False,False,1519455115249,2050,3124953286,8.4.218.8787,14093,"{'20-30': 474.6, '10-20': 426.6, '0-10': 275.7}",13033,MASTER,0,3748,2033,3144,3047,3194,3078,3340,1,3,TOP,0,2,1,680,37074,4035,7735,11,/v1/stats/player_history/KR/5295545,43,3,24,0,8400,8300.0,182639,7975,22852,0,420,SOLO,11,0,4,12,7703494,차차차차차차차차,24,224768,12301,31118,2343,307,0,0,138,1,0,5054,290,530,1,0,26,0,7,11,False,"{'20-30': 161.99999999999997, '10-20': -1.1999999999999886, '0-10': 17.69999999999999}","{'20-30': 629.0999999999999, '10-20': 552.1, '0-10': 481.29999999999995}",Assassin,Jax,5,7,Fighter,5,7,top,0.045454545454545456,0.2727272727272727,0.2329344484479852,0.2,0.1951219512195122,0.1373635127474555,0.17226787822097503,0.6825396825396826,0.6125659893880344,0.3218451107792889,0.29677922077922075,0.14285714285714285,0.29788666502328565,0.1983680314782861,0.24131272634215567,0.1093072078376487,0.32834224598930484,0.03427719821162444,0.02710093947063618,0.30303030303030304,0.07520930892578402,0.09523809523809523,0.0,0.07746478873239436,0.046511627906976744,0.3333333333333333,0.36204833692270877,0.10344827586206896,0.3110704483074108,0.08575512809837067,0.15910947235770462,0.18376068376068377,0.35417644001580606,0.10233148986950329,0.40323245812140374,0.1111111111111111,0.3545298105108878,0.10522021962922808,0.29162070847217547,0.039775910364145656,0.6593886462882096,0.00878086026978875,0.016613032059141605,0.010076091866161704,0.030067510069779316,0.12244897959183673,0.0,0.0847457627118644
15116,206353515,7,18,164,"{'20-30': 8.9, '10-20': 8.3, '0-10': 7.8}","{'20-30': 2.9000000000000004, '10-20': -1, '0-10': -1.5}",206353515,KR,16408,8919,28226,"{'20-30': -354.20000000000005, '10-20': -141.5, '0-10': -61.599999999999994}","{'20-30': 1216.1, '10-20': 853.4, '0-10': 296.1}",2,1,False,False,False,True,False,False,1519655875722,1919,3128113592,8.4.218.8787,14500,"{'20-30': 652.5, '10-20': 315.4, '0-10': 259.8}",12133,MASTER,1,3074,2033,1055,3078,3194,3111,3340,2,6,TOP,0,4,2,844,1882,1795,16608,11,/v1/stats/player_history/KR/206353515,5,1,0,0,8200,8400.0,152122,16424,11471,0,420,SOLO,11,0,12,4,38120473,Morgan5358,26,184775,25090,28516,4173,269,0,0,255,1,0,30770,6870,436,5,0,25,0,6,11,True,"{'20-30': 238.3, '10-20': 17.899999999999977, '0-10': 8.800000000000011}","{'20-30': 687.7, '10-20': 541.9, '0-10': 472.8}",Tank,Camille,4,8,Fighter,6,3,top,0.14285714285714285,0.10526315789473684,0.24085178479477767,0.2608695652173913,0.19095022624434388,0.006690009420045145,0.31524400660554636,0.19230769230769232,0.7202439289992377,0.6803645401822701,0.18310533624914202,0.20967741935483872,0.274283619133574,0.263475694918458,0.23332078744538448,0.08672069825436408,0.3135198135198135,0.4153094462540717,0.1698732989206945,0.8223605458463011,0.06332607116920842,0.09328358208955224,0.0,0.07096774193548387,0.16279069767441862,0.1111111111111111,0.3815266810241685,0.20689655172413793,0.38609332113449224,0.0043532165690546906,0.3661758185339899,0.021367521367521368,0.29477329398688407,0.21074512722466734,0.1797293847332142,0.12037037037037036,0.28910993770938026,0.24250458902712624,0.26141021026599637,0.07084288260758849,0.5764192139737991,0.016225502672435735,0.10114424148393099,0.23869914179493415,0.024734781868724118,0.11564625850340136,0.0,0.0847457627118644
15092,209306576,4,16,114,"{'20-30': 6.699999999999999, '10-20': 7.6, '0-10': 6.3}","{'20-30': 1.3999999999999995, '10-20': -1.4999999999999996, '0-10': -1.9000000000000004}",209306576,KR,3566,2718,29287,"{'20-30': 458.5, '10-20': 129.8, '0-10': 77}","{'20-30': 1871.7, '10-20': 1053.2, '0-10': 433.70000000000005}",9,0,False,False,False,True,False,False,1519660543877,2001,3128195428,8.4.218.8787,13426,"{'20-30': 530.9000000000001, '10-20': 392.3, '0-10': 282.1}",12933,MASTER,1,3074,3026,1053,3078,3133,3111,3363,0,4,TOP,543,0,1,545,1162,507,17323,11,/v1/stats/player_history/KR/209306576,9,1,1,0,8300,8400.0,135311,14363,20264,0,420,SOLO,11,0,12,4,59250284,준기아기,7,148847,23433,38904,9652,212,0,0,93,7,0,12373,8562,1315,2,0,42,0,1,14,False,"{'20-30': 72, '10-20': -80.70000000000002, '0-10': -74.4}","{'20-30': 559.3, '10-20': 456.79999999999995, '0-10': 422.4}",Assassin,Fiora,3,10,Fighter,4,2,top,0.07017543859649122,0.34615384615384615,0.21570990183319677,0.17391304347826086,0.14060887512899897,0.0030253719879714124,0.3190415676740888,0.2571428571428571,0.6968400127717868,0.5971644769665724,0.266947701225135,0.06930693069306931,0.13742835300548062,0.2404617752693689,0.2755728705507349,0.16677033658165732,0.24339839265212398,0.09707724425887265,0.024509726239055504,0.6751833451620535,0.11995986133917168,0.16666666666666666,0.0,0.11570247933884298,0.09302325581395349,0.5,0.3301268245991864,0.13793103448275862,0.2493138151875572,0.0026877989655906217,0.3828615434878999,0.038461538461538464,0.26204968786923794,0.18429933404334492,0.3524086329804992,0.032407407407407406,0.2303395231365159,0.22471741254012045,0.38201999326591507,0.16385705797470504,0.4519650655021834,0.0059175362687706795,0.04067135846216048,0.29748792606233276,0.07460146366369774,0.23129251700680273,0.0,0.11016949152542373
15060,1890305,8,18,164,"{'20-30': 7.699999999999999, '10-20': 9.5, '0-10': 4.3}","{'20-30': 1.1, '10-20': -0.1999999999999993, '0-10': -2.8000000000000003}",1890305,KR,4652,3049,30559,"{'20-30': 54.500000000000114, '10-20': -194.99999999999994, '0-10': -128.20000000000002}","{'20-30': 1229.4, '10-20': 678.4000000000001, '0-10': 556.3}",8,1,False,False,False,False,False,False,1519666211922,2079,3128256077,8.4.218.8787,14423,"{'20-30': 474.3, '10-20': 409.2, '0-10': 238.1}",14383,CHALLENGER,0,3074,3052,1037,3111,3078,3053,3340,1,4,TOP,0,2,2,394,1133,1133,13670,11,/v1/stats/player_history/KR/1890305,35,8,20,0,8200,8300.0,186020,13241,19197,0,420,SOLO,11,0,12,4,2481136,JAG S0hwan,22,223725,21238,33154,2987,247,0,0,308,1,0,36572,6864,286,2,0,37,3,5,18,True,"{'20-30': -67.50000000000003, '10-20': 19.80000000000001, '0-10': -136.1}","{'20-30': 528.9, '10-20': 584.0999999999999, '0-10': 371.6}",Tank,Camille,4,8,Fighter,6,3,top,0.19047619047619047,0.27586206896551724,0.23605564648117838,0.21052631578947367,0.1074447777474775,0.0032593248911161102,0.23276008854077984,0.4117647058823529,0.7314694663992765,0.46633091498203844,0.24211123723041997,0.13836477987421383,0.33679676879837056,0.220343203369784,0.2272207030312999,0.07039664396314016,0.3001215066828676,0.1206896551724138,0.5866444234131631,0.797768479776848,0.03626220362622036,0.13120567375886524,0.08823529411764706,0.12857142857142856,0.18604651162790697,0.4444444444444444,0.37784158889686525,0.13793103448275862,0.18023787740164685,0.0026207196454510967,0.2976126578142867,0.14957264957264957,0.3607577565516315,0.16990235202032516,0.3314546061546317,0.10185185185185185,0.3528236887562814,0.20115503934218576,0.31525966863658,0.05070876835582718,0.5283842794759825,0.019597862051412573,0.12021602858467091,0.2384906709287377,0.01622510920746582,0.19727891156462585,0.1,0.1440677966101695
14288,1551766,11,17,48,"{'30-end': 1.6, '20-30': 6.9, '10-20': 9.1, '0-10': 7.9}","{'30-end': -3.1999999999999997, '20-30': -0.7000000000000006, '10-20': 0.5999999999999992, '0-10': 0.49999999999999956}",1551766,KR,10770,10770,75545,"{'30-end': 480.60000000000014, '20-30': 617.7, '10-20': -210.4999999999999, '0-10': 192.29999999999998}","{'30-end': 2348.8, '20-30': 1609.6, '10-20': 1124.2, '0-10': 645.5}",5,0,False,False,True,False,False,False,1520149781802,2250,3134683017,8.4.218.8787,15707,"{'30-end': 226, '20-30': 397.9, '10-20': 604.5, '0-10': 304.1}",14500,DIAMOND,0,3025,3074,3075,3194,1028,3047,3340,1,6,TOP,0,4,1,980,9556,6602,15482,11,/v1/stats/player_history/KR/1551766,29,10,11,0,8400,8000.0,195280,20279,35294,0,420,SOLO,11,0,12,4,2110301,2018미안해,57,206376,26881,51417,20552,257,0,0,914,1,0,1540,0,639,4,0,22,0,3,17,False,"{'30-end': -416.40000000000003, '20-30': -98.29999999999998, '10-20': 146.79999999999998, '0-10': 34.10000000000002}","{'30-end': 162.2, '20-30': 495.9, '10-20': 613.7, '0-10': 472.70000000000005}",Tank,Trundle,5,7,Fighter,6,2,top,0.13580246913580246,0.15151515151515152,0.22136565428792898,0.2222222222222222,0.27474067844126715,0.025531005370167517,0.26352340425531917,0.6444444444444445,0.713867930046207,0.538833532615916,0.2805274494686559,0.1623931623931624,0.25203058424405844,0.2090621330077229,0.2643438830279474,0.35772470932256495,0.28651059085841696,0.1583232288238351,0.009005321326238231,0.0,0.06428571428571428,0.07885304659498207,0.0,0.1118421052631579,0.2558139534883721,0.2777777777777778,0.4392916965781287,0.20689655172413793,0.44830741079597436,0.02210379252597589,0.3398987188163637,0.12393162393162394,0.37878289441668433,0.2602106938010855,0.6475717287563088,0.2638888888888889,0.3244444880653266,0.2617301974086757,0.527302070150588,0.3489007724301842,0.5502183406113537,0.05815729193178926,0.005062142732702428,0.0,0.036251205536960346,0.09523809523809523,0.0,0.13559322033898305
14272,202484037,2,18,114,"{'30-end': 13.4, '20-30': 11.5, '10-20': 10.6, '0-10': 8.6}","{'30-end': 7.4, '20-30': 2.9000000000000004, '10-20': 0.9000000000000004, '0-10': 3.5}",202484037,KR,25183,12270,30419,"{'30-end': -217.79999999999995, '20-30': 398.20000000000005, '10-20': 229.09999999999997, '0-10': -150.10000000000002}","{'30-end': 1351.2, '20-30': 1226, '10-20': 1019.6, '0-10': 482.9}",3,1,False,False,False,False,False,True,1520169395033,2221,3135302440,8.4.218.8787,20535,"{'30-end': 525, '20-30': 610.4000000000001, '10-20': 648, '0-10': 352.3}",23228,UNRANKED,1,3074,3139,3078,3508,3046,3111,3364,1,5,TOP,767,4,2,1201,5829,1503,15484,11,/v1/stats/player_history/KR/202484037,57,31,15,0,8300,8200.0,347982,21522,23226,0,420,SOLO,11,0,4,12,20200561,슬라임 Lv8,15,384383,37239,38867,11549,387,0,0,272,4,0,30572,14213,156,5,0,67,5,8,35,True,"{'30-end': 364.4, '20-30': 118.30000000000001, '10-20': 131.50000000000003, '0-10': 63.30000000000001}","{'30-end': 751, '20-30': 766.8, '10-20': 651, '0-10': 441.20000000000005}",Assassin,Fiora,3,10,Fighter,4,2,top,0.06451612903225806,0.21428571428571427,0.3001885771923926,0.4166666666666667,0.22211947475494728,0.014693945459220457,0.33426159791032534,0.9661016949152542,0.8360851889938588,0.7556616691829641,0.25215503202692435,0.09146341463414634,0.3722776477288025,0.41633406003689416,0.2530057739501761,0.1577818460025138,0.3319039451114923,0.1241442263806481,0.13920724904947293,0.8635921740187144,0.01027329601580507,0.19197707736389685,0.13513513513513514,0.1881720430107527,0.046511627906976744,0.16666666666666666,0.6703517587939698,0.1724137931034483,0.5494053064958829,0.013482943348044523,0.3399453921728781,0.24358974358974358,0.6760263719835633,0.2761602915324702,0.410577168555213,0.06944444444444445,0.6156253271566164,0.3729188359436221,0.3815904050900394,0.1960614548849843,0.834061135371179,0.017307202850598117,0.10049339456115496,0.4938327368750217,0.008850059567708629,0.4013605442176871,0.16666666666666666,0.288135593220339
14267,210167931,2,16,157,"{'20-30': 7.1000000000000005, '10-20': 6.1, '0-10': 5.1}",,210167931,KR,14913,3160,19598,,"{'20-30': 1092.2, '10-20': 874.3, '0-10': 570}",10,0,False,False,False,False,False,False,1520172253509,1922,3135349211,8.4.218.8787,11592,"{'20-30': 438.29999999999995, '10-20': 301.6, '0-10': 206.4}",10135,UNRANKED,0,3006,3140,0,1055,3046,3031,3340,0,2,TOP,543,0,1,294,13878,497,8925,11,/v1/stats/player_history/KR/210167931,12,0,2,0,8000,8100.0,158486,7322,16805,0,420,SOLO,11,0,4,12,66840149,우순모삼다,11,175915,7819,27084,4520,201,0,0,148,1,0,3550,0,1352,1,0,24,1,6,12,True,,"{'20-30': 617.3, '10-20': 371.6, '0-10': 315.2}",Assassin,Yasuo,10,8,Fighter,4,4,top,0.044444444444444446,0.38461538461538464,0.18156188328164646,0.125,0.08903694730466384,0.047058903315282445,0.20962021748831527,0.1875,0.3424236662662368,0.2937730701332049,0.31721313022632464,0.11224489795918367,0.18605558769620634,0.10134408253729603,0.27284541379136656,0.11705599005542032,0.24158653846153846,0.06757990867579909,0.018908122503328895,0.0,0.36481381543443064,0.09448818897637795,0.03125,0.08633093525179857,0.046511627906976744,0.5555555555555556,0.2423546302943288,0.06896551724137931,0.1344922232387923,0.032100924306769925,0.18688011948379268,0.05128205128205128,0.30716119651098733,0.0939524976582449,0.2844798805993598,0.05092592592592592,0.27461689960217756,0.05710789312665715,0.24478398681048194,0.07673372379254732,0.4279475982532751,0.00941715449223721,0.011669225130580272,0.0,0.07670051625347478,0.10884353741496598,0.03333333333333333,0.09322033898305085
