,accountId,assists,champLevel,champion,creepsPerMinDeltas,csDiffPerMinDeltas,currentAccountId,currentPlatformId,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,damageTakenDiffPerMinDeltas,damageTakenPerMinDeltas,deaths,doubleKills,firstBloodAssist,firstBloodKill,firstInhibitorAssist,firstInhibitorKill,firstTowerAssist,firstTowerKill,gameCreation,gameDuration,gameId,gameVersion,goldEarned,goldPerMinDeltas,goldSpent,highestAchievedSeasonTier,inhibitorKills,item0,item1,item2,item3,item4,item5,item6,killingSprees,kills,lane,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicalDamageTaken,map,matchHistoryUri,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,neutralMinionsKilledTeamJungle,pentaKills,perkPrimaryStyle,perkSubStyle,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,queueId,role,season,sightWardsBoughtInGame,spell_1,spell_2,summonerId,summonerName,timeCCingOthers,totalDamageDealt,totalDamageDealtToChampions,totalDamageTaken,totalHeal,totalMinionsKilled,totalPlayerScore,totalScoreRank,totalTimeCrowdControlDealt,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,xpDiffPerMinDeltas,xpPerMinDeltas,champion_subclass,champion_name,champion_defense,champion_attack,champion_class,champion_difficulty,champion_magic,position,rel_assists,rel_deaths,rel_goldEarned,rel_kills,rel_longestTimeSpentLiving,rel_magicDamageDealt,rel_magicalDamageTaken,rel_neutralMinionsKilled,rel_physicalDamageDealt,rel_physicalDamageDealtToChampions,rel_physicalDamageTaken,rel_timeCCingOthers,rel_totalDamageDealt,rel_totalDamageDealtToChampions,rel_totalDamageTaken,rel_totalHeal,rel_totalMinionsKilled,rel_totalTimeCrowdControlDealt,rel_trueDamageDealt,rel_trueDamageDealtToChampions,rel_trueDamageTaken,rel_visionScore,rel_visionWardsBoughtInGame,rel_wardsPlaced,norm_assists,norm_deaths,norm_goldEarned,norm_kills,norm_longestTimeSpentLiving,norm_magicDamageDealt,norm_magicalDamageTaken,norm_neutralMinionsKilled,norm_physicalDamageDealt,norm_physicalDamageDealtToChampions,norm_physicalDamageTaken,norm_timeCCingOthers,norm_totalDamageDealt,norm_totalDamageDealtToChampions,norm_totalDamageTaken,norm_totalHeal,norm_totalMinionsKilled,norm_totalTimeCrowdControlDealt,norm_trueDamageDealt,norm_trueDamageDealtToChampions,norm_trueDamageTaken,norm_visionScore,norm_visionWardsBoughtInGame,norm_wardsPlaced
15195,202620815,4,16,8,"{'20-30': 5.1, '10-20': 8.3, '0-10': 8.4}","{'20-30': -5.399999999999999, '10-20': -2.4999999999999996, '0-10': 0.5}",202620815,KR,1787,526,18363,"{'20-30': 326.9, '10-20': 312.99999999999994, '0-10': 8.099999999999994}","{'20-30': 1799.3, '10-20': 1351.3, '0-10': 465.1}",5,0,False,True,False,False,False,False,1519388962838,1895,3123996909,8.4.218.8787,11116,"{'20-30': 333.6, '10-20': 308.6, '0-10': 310.9}",9100,MASTER,0,3152,2421,3151,3158,1054,3191,3340,0,1,TOP,654,0,1,902,131148,21092,12942,11,/v1/stats/player_history/KR/202620815,5,0,5,0,8200,8100.0,18197,2615,27480,0,420,SOLO,11,0,12,4,20450514,kfo,4,151986,23708,40771,27598,226,0,0,106,1,0,2640,0,348,0,0,26,2,0,15,True,"{'20-30': -188, '10-20': -166.60000000000002, '0-10': 50.50000000000003}","{'20-30': 404.9, '10-20': 493.8, '0-10': 509.20000000000005}",Tank,Vladimir,7,2,Mage,6,8,top,0.10810810810810811,0.22727272727272727,0.19945453240508146,0.09090909090909091,0.23110427875992826,0.41337834387676947,0.21950102610199962,0.21739130434782608,0.07109591717132252,0.06697228909491369,0.34778646822082165,0.031746031746031744,0.25301944933235004,0.261619951445597,0.2881200223310508,0.5954261057173679,0.24917309812568908,0.09388839681133747,0.09608385500072791,0.0,0.09866742273887157,0.11504424778761062,0.07142857142857142,0.13274336283185842,0.09302325581395349,0.2777777777777778,0.21957406078009092,0.034482758620689655,0.4126258005489479,0.3033558164709801,0.28062355604303285,0.021367521367521368,0.03408035785543684,0.03355446344937318,0.49411834017399503,0.018518518518518517,0.2354742462311558,0.227669418293848,0.40369678041077917,0.46851710381122147,0.48253275109170307,0.0067447187579536775,0.00867795897034702,0.0,0.01974244057411925,0.12244897959183673,0.06666666666666667,0.11864406779661017
15114,204673167,7,16,8,"{'20-30': 6, '10-20': 9.3, '0-10': 9.3}","{'20-30': -2.9000000000000004, '10-20': 1, '0-10': 1.5}",204673167,KR,976,402,19033,"{'20-30': 354.20000000000005, '10-20': 141.5, '0-10': 61.599999999999994}","{'20-30': 1570.3000000000002, '10-20': 994.9, '0-10': 357.7}",4,0,False,False,False,False,False,False,1519655875722,1919,3128113592,8.4.218.8787,11268,"{'20-30': 316.5, '10-20': 386.5, '0-10': 291.4}",11350,CHALLENGER,0,3157,2055,3152,3158,3151,1058,3340,0,0,TOP,590,0,0,852,145064,22459,9115,11,/v1/stats/player_history/KR/204673167,9,0,9,0,8300,8400.0,18178,2026,20925,0,420,SOLO,11,0,14,4,29341691,가나시 홍크,4,291123,24486,35061,24741,266,0,0,118,1,0,127879,0,5020,0,0,32,4,3,18,False,"{'20-30': -238.3, '10-20': -17.899999999999977, '0-10': -8.800000000000011}","{'20-30': 449.4, '10-20': 524, '0-10': 464}",Tank,Vladimir,7,2,Mage,6,8,top,0.14285714285714285,0.21052631578947367,0.18716675248741757,0.0,0.19276018099547512,0.5156639354460303,0.17301596340375452,0.34615384615384615,0.08606640815495552,0.08392709196354599,0.3340143981355851,0.03225806451612903,0.43214866758502757,0.25713295598937275,0.28687263741838354,0.5141521197007481,0.31002331002331,0.19218241042345277,0.7059872470809065,0.0,0.729121278140886,0.11940298507462686,0.11428571428571428,0.11612903225806452,0.16279069767441862,0.2222222222222222,0.22684852835606603,0.0,0.3897529734675206,0.33554463781793287,0.1913140883526639,0.038461538461538464,0.034043373231307676,0.025996689464026793,0.3653895249504134,0.018518518518518517,0.46307219692211055,0.23602091093530278,0.33740087543103947,0.42001527883880824,0.5698689956331878,0.00750827182489183,0.42035178604886614,0.0,0.2847903783967777,0.16326530612244897,0.13333333333333333,0.1440677966101695
15099,755064,9,17,8,"{'20-30': 5.300000000000001, '10-20': 9.1, '0-10': 8.2}","{'20-30': -1.3999999999999995, '10-20': 1.4999999999999996, '0-10': 1.9000000000000004}",755064,KR,8136,4370,14926,"{'20-30': -458.5, '10-20': -129.8, '0-10': -77}","{'20-30': 1413.2, '10-20': 923.4000000000001, '0-10': 356.70000000000005}",4,1,False,False,False,False,False,False,1519660543877,2001,3128195428,8.4.218.8787,14722,"{'20-30': 505.1, '10-20': 370.2, '0-10': 299.5}",13235,MASTER,0,3151,3152,3157,0,3165,3158,3340,2,9,TOP,802,6,2,742,187027,34945,10687,11,/v1/stats/player_history/KR/755064,8,0,8,0,8300,8200.0,20504,3005,17433,0,420,SOLO,11,0,4,14,1252821,GimGoon,7,365101,39306,31242,29007,255,0,0,172,1,0,157569,1356,3122,1,0,41,5,5,21,True,"{'20-30': -72, '10-20': 80.70000000000002, '0-10': 74.4}","{'20-30': 487.3, '10-20': 537.5, '0-10': 496.79999999999995}",Tank,Vladimir,7,2,Mage,6,8,top,0.15789473684210525,0.15384615384615385,0.23653218939284396,0.391304347826087,0.1914344685242518,0.48694169259408726,0.1968248706190029,0.22857142857142856,0.10559383658292906,0.12493763512389822,0.22965353708338823,0.06930693069306931,0.3370926462115728,0.4033453052847614,0.22129980520630424,0.5011922040223927,0.2927669345579793,0.17954070981210857,0.31212907571015414,0.10693162999763425,0.2848020434227331,0.1626984126984127,0.23809523809523808,0.17355371900826447,0.20930232558139536,0.2222222222222222,0.39215123235223737,0.3103448275862069,0.3394327538883806,0.4326084140598255,0.2279993465730088,0.03418803418803419,0.03857106984838251,0.038558762013524435,0.2968127098839379,0.032407407407407406,0.5840841577680067,0.3951071846452763,0.2930604093859211,0.492436974789916,0.5458515283842795,0.010944260626113514,0.5179459534085642,0.04711441576039749,0.17711465365632267,0.22448979591836735,0.16666666666666666,0.1694915254237288
14117,206772826,8,17,50,"{'20-30': 6.5, '10-20': 6.7, '0-10': 6.7}","{'20-30': -0.19999999999999973, '10-20': -2.5999999999999996, '0-10': -0.5999999999999999}",206772826,KR,1101,803,27392,"{'20-30': 307.20000000000005, '10-20': 139.09999999999997, '0-10': -40.700000000000045}","{'20-30': 2110.3, '10-20': 1049.1, '0-10': 453.2}",9,1,False,False,False,False,False,False,1520518061841,1931,3138730787,8.5.220.3006,11565,"{'20-30': 422.1, '10-20': 351, '0-10': 265.7}",11010,CHALLENGER,0,3027,3151,3157,1056,3047,1052,3340,2,5,TOP,300,2,2,445,138263,22071,15526,11,/v1/stats/player_history/KR/206772826,7,0,6,0,8300,8200.0,15945,1516,24861,0,420,SOLO,11,0,4,12,40261890,RGA Poss,46,155688,23587,41109,11305,208,0,0,391,1,0,1480,0,722,0,0,20,1,3,16,False,"{'20-30': -254.90000000000003, '10-20': -195.40000000000003, '0-10': 10.600000000000023}","{'20-30': 588.9, '10-20': 504.09999999999997, '0-10': 474.20000000000005}",Fighter,Swain,8,2,Mage,6,9,top,0.13793103448275862,0.2647058823529412,0.18215180104266745,0.16666666666666666,0.1554856743535989,0.41265146540918046,0.24421165219579716,0.14,0.07092308992487356,0.04308899184265128,0.29996742238685314,0.20535714285714285,0.26185766762200785,0.22950580405359383,0.2701713339335826,0.35805910113071293,0.2503008423586041,0.04459906467434698,0.042689434364994665,0.0,0.12662223781129428,0.09615384615384616,0.03125,0.13114754098360656,0.18604651162790697,0.5,0.24106245513280689,0.1724137931034483,0.20356816102470265,0.3198133807052118,0.34092553265968123,0.029914529914529916,0.029696706616549256,0.019452606726290532,0.4426857288741384,0.21296296296296297,0.24152991520100503,0.2263705357622079,0.4076211264498601,0.1919191919191919,0.4432314410480349,0.02487910409773479,0.004864916392467268,0.0,0.040959891076189935,0.08163265306122448,0.03333333333333333,0.1271186440677966
14944,207850002,13,17,30,"{'20-30': 6.8, '10-20': 8.3, '0-10': 8.3}",,207850002,KR,1246,1246,20044,,"{'20-30': 1166.7, '10-20': 1140.4, '0-10': 292.5}",8,0,False,False,False,False,False,False,1520599710208,1943,3139574507,8.5.220.3006,13294,"{'20-30': 435.5, '10-20': 454.5, '0-10': 323.9}",13335,DIAMOND,0,1058,3157,3135,3020,1058,3027,3340,1,6,TOP,494,2,1,345,176122,40091,12808,11,/v1/stats/player_history/KR/207850002,24,0,24,0,8200,8000.0,5829,750,14170,0,420,DUO,11,0,4,3,47300726,그냥 너,27,184591,40841,28908,6759,236,0,0,399,1,0,2640,0,1929,0,0,26,3,6,15,False,,"{'20-30': 579.7, '10-20': 582.7, '0-10': 500.1}",Mage,Karthus,7,2,Mage,2,10,top,0.1780821917808219,0.24242424242424243,0.22464429348744466,0.3157894736842105,0.1323360184119678,0.473330448734315,0.21466521411212602,1.0,0.0772769455123956,0.08433599460249634,0.15537791813327193,0.09246575342465753,0.3792378713979891,0.39209492996419004,0.17746183170960791,0.1561294495391652,0.329608938547486,0.1101601325234677,0.0673160283543271,0.0,0.1603491271820449,0.10526315789473684,0.08108108108108109,0.11627906976744186,0.3023255813953488,0.4444444444444444,0.3238095238095238,0.20689655172413793,0.15782250686184812,0.4073842766073593,0.2774964411565658,0.10256410256410256,0.01000531410651961,0.009623651084906266,0.2327330570884311,0.125,0.28880895362227804,0.41158474403426476,0.265961522832031,0.1147440794499618,0.5043668122270742,0.02538813947569356,0.00867795897034702,0.0,0.1094343904237817,0.12244897959183673,0.1,0.11864406779661017
5506,2881442,9,16,50,"{'20-30': 7.1, '10-20': 8.1, '0-10': 6.1}","{'20-30': -1.4, '10-20': -1.1999999999999997, '0-10': -1.0999999999999996}",2881442,KR,7469,4062,46263,"{'20-30': 875.4, '10-20': 87.60000000000002, '0-10': 112.19999999999999}","{'20-30': 1862.7, '10-20': 907.1, '0-10': 512.2}",4,0,False,False,False,False,False,False,1521046663935,1959,3144703117,8.5.220.3006,12795,"{'20-30': 542.4, '10-20': 365.70000000000005, '0-10': 222.2}",12505,MASTER,0,3143,3108,3047,3027,3001,3191,3340,1,3,TOP,50,2,1,752,121554,13348,12349,11,/v1/stats/player_history/KR/2881442,5,1,1,0,8300,8400.0,21721,2462,25275,0,420,SOLO,11,0,4,14,3649533,커피물조절장인,23,295272,16271,38215,10115,225,0,0,621,1,0,151997,461,589,1,0,22,3,1,16,True,"{'20-30': 197.49999999999997, '10-20': -33, '0-10': -45.19999999999999}","{'20-30': 647.9, '10-20': 552.1, '0-10': 396.3}",Fighter,Swain,8,2,Mage,6,9,top,0.16981132075471697,0.18181818181818182,0.20843514807936664,0.15,0.200373034905409,0.37194202118056724,0.2888519835329341,0.12195121951219512,0.09736691111868175,0.08740104370052185,0.35762798200186774,0.10849056603773585,0.41850438174393834,0.16822613496551939,0.32924948521112807,0.28106591085917526,0.2798507462686567,0.21079429735234215,0.9765745969944039,0.13546870408463121,0.22344461305007587,0.08088235294117647,0.08108108108108109,0.10738255033557047,0.20930232558139536,0.2222222222222222,0.2999282124910266,0.10344827586206896,0.34400731930466605,0.2811641269048214,0.2667849058365032,0.021367521367521368,0.040940032351813316,0.0315912386280523,0.4508159698356277,0.10648148148148148,0.46985906092964824,0.14783644814667712,0.37402036480163475,0.1717171717171717,0.48034934497816595,0.039513871214049374,0.4996302006120591,0.016017511552760502,0.03341464798320758,0.09523809523809523,0.1,0.1271186440677966
5437,200543394,12,18,50,"{'30-end': 2, '20-30': 9.5, '10-20': 9.3, '0-10': 7.8}",,200543394,KR,4440,2914,35109,,"{'30-end': 2333, '20-30': 1299.6, '10-20': 697.7, '0-10': 372.3}",4,0,False,True,True,False,False,False,1521125863307,2301,3145556261,8.5.220.3006,15789,"{'30-end': 227.4, '20-30': 496.1, '10-20': 436.7, '0-10': 330.5}",14210,CHALLENGER,0,3040,1052,3065,3151,3027,3047,3340,3,8,TOP,419,3,1,739,190274,32890,14537,11,/v1/stats/player_history/KR/200543394,4,0,4,0,8400,8200.0,27439,5615,23618,0,420,SOLO,11,0,12,4,12132641,이기자 할수있다,55,224845,38744,42572,16723,290,0,0,499,1,0,7131,238,4416,2,0,34,5,2,21,True,,"{'30-end': 243.2, '20-30': 673.3, '10-20': 603.4, '0-10': 480.2}",Fighter,Swain,8,2,Mage,6,9,top,0.1935483870967742,0.11428571428571428,0.22609654461357812,0.2857142857142857,0.15686690723837826,0.508569076485556,0.20074292973928415,0.05063291139240506,0.09236512483547704,0.1879875456158559,0.2514024163074139,0.2320675105485232,0.25150756888507575,0.3119258668856524,0.23919407127727116,0.261182607609171,0.32079646017699115,0.3399182561307902,0.03200973174848278,0.020969162995594714,0.3801980198019802,0.10897435897435898,0.1282051282051282,0.12209302325581395,0.27906976744186046,0.2222222222222222,0.44321608040201005,0.27586206896551724,0.338060384263495,0.4401189848354475,0.3178455578632937,0.017094017094017096,0.05207045765552521,0.07204906778899824,0.4182753677264783,0.25462962962962965,0.3546557658082077,0.3890743583412948,0.4246072751338109,0.2838978015448604,0.6222707423580786,0.03175108170017816,0.02344035053694871,0.008269344359125812,0.25052476314744426,0.17687074829931973,0.16666666666666666,0.1694915254237288
5253,201561359,4,16,69,"{'20-30': 8.2, '10-20': 8.3, '0-10': 6.3}",,201561359,KR,4793,1911,14571,,"{'20-30': 809, '10-20': 537.5, '0-10': 273.2}",6,0,False,False,False,False,True,False,1521170589595,2019,3145782190,8.5.220.3006,12323,"{'20-30': 434.4, '10-20': 368.1, '0-10': 280.9}",11525,DIAMOND,0,1056,3040,3135,3001,2055,3916,3363,0,3,TOP,0,0,1,698,125070,10560,8868,11,/v1/stats/player_history/KR/201561359,25,5,16,0,8200,8000.0,15539,845,12288,0,420,DUO,11,0,4,1,17668208,growsecretly,21,140644,11440,22164,6239,229,0,0,2847,1,0,34,34,1007,0,0,43,5,7,18,False,,"{'20-30': 595.5, '10-20': 442.1, '0-10': 383.9}",Mage,Cassiopeia,10,2,Mage,3,9,top,0.10810810810810811,0.2,0.19989294056579288,0.17647058823529413,0.18578653180729304,0.6793959476343093,0.18776599123419932,0.4716981132075472,0.0362815762253992,0.026543112926024817,0.20898670022789892,0.15441176470588236,0.214946158007831,0.13732504261397738,0.19540148816870614,0.2212176009644364,0.2697290930506478,0.6325261053099311,0.0008107205875339787,0.004084084084084084,0.13613627146140328,0.13190184049079753,0.12195121951219512,0.09944751381215469,0.09302325581395349,0.3333333333333333,0.2773390763340512,0.10344827586206896,0.3193046660567246,0.2892969162017376,0.18554992882313132,0.10683760683760683,0.02890640359568409,0.010842646888994393,0.1957738457610809,0.09722222222222222,0.21692119451423786,0.09597775797846646,0.1876603699102509,0.10591630591630592,0.4890829694323144,0.18115296513107662,0.00011176159279992373,0.0011813349084465446,0.0571282691325807,0.23809523809523808,0.16666666666666666,0.1440677966101695
5248,204062750,10,17,50,"{'20-30': 9.4, '10-20': 8.2, '0-10': 5.8}","{'20-30': -2.299999999999999, '10-20': -2.7, '0-10': -1.5}",204062750,KR,6328,1972,22815,"{'20-30': 169.89999999999998, '10-20': 311.9, '0-10': -48.69999999999999}","{'20-30': 1104.5, '10-20': 812.5999999999999, '0-10': 453}",6,0,False,False,False,False,False,False,1521173428328,1868,3145745719,8.5.220.3006,14155,"{'20-30': 552.8, '10-20': 402.8, '0-10': 253}",11560,CHALLENGER,0,1056,3157,3040,1056,3047,3151,3340,2,7,TOP,403,3,1,366,173414,23217,8142,11,/v1/stats/player_history/KR/204062750,17,0,15,0,8200,8400.0,13651,1615,15674,0,420,SOLO,11,0,12,4,26022557,KSV Life,50,187665,24905,27368,9384,234,0,0,320,1,0,600,72,3550,0,0,18,0,1,13,True,"{'20-30': 144.7, '10-20': -155.69999999999996, '0-10': -2.8000000000000114}","{'20-30': 782.5, '10-20': 439.20000000000005, '0-10': 418.79999999999995}",Fighter,Swain,8,2,Mage,6,9,top,0.21739130434782608,0.25,0.23009899702521255,0.28,0.11251152782047341,0.4716515173768066,0.1660311180896837,0.2236842105263158,0.06962238361418255,0.07808345017647343,0.3762181364312803,0.4032258064516129,0.2598403283155551,0.3386270004214992,0.2858008124562704,0.4706826503485981,0.29545454545454547,0.4139715394566624,0.0037859189056170415,0.08144796380090498,0.702552938848209,0.07929515418502203,0.0,0.0948905109489051,0.23255813953488372,0.3333333333333333,0.3650155539602776,0.2413793103448276,0.16742909423604757,0.40112045595433055,0.16860750040839187,0.07264957264957266,0.02523129989274459,0.02072292866949816,0.2622690049292041,0.23148148148148148,0.2938373508165829,0.24051869424734587,0.2480813663226091,0.15930735930735931,0.5,0.020361415118350726,0.0019722634023515953,0.0025016503943573886,0.20139558631644636,0.06802721088435375,0.0,0.1016949152542373
24917,210168145,15,16,50,"{'20-30': 3.7, '10-20': 7.300000000000001, '0-10': 7.2}","{'20-30': -2.9000000000000004, '10-20': 2.7, '0-10': 3}",210168145,KR,2308,2257,23681,"{'20-30': 358.9999999999999, '10-20': 17.900000000000034, '0-10': -100.39999999999999}","{'20-30': 1734.1999999999998, '10-20': 1185.7, '0-10': 558.4}",5,0,False,False,False,True,False,False,1521296487765,1919,3147776847,8.5.220.3006,13647,"{'20-30': 396.79999999999995, '10-20': 433.4, '0-10': 336.9}",12250,UNRANKED,1,1058,3027,3151,3116,1056,3047,3340,1,7,TOP,932,5,1,849,122792,27458,14148,11,/v1/stats/player_history/KR/210168145,0,0,0,0,8200,8400.0,14609,2334,24638,0,420,SOLO,11,0,12,4,66820151,Topdi2,51,142266,29792,39921,14115,205,0,0,456,1,0,4865,0,1134,0,0,40,7,7,19,True,"{'20-30': -260.40000000000003, '10-20': 122.1, '0-10': 98.80000000000001}","{'20-30': 431.5, '10-20': 470, '0-10': 468.4}",Fighter,Swain,8,2,Mage,6,9,top,0.25,0.15151515151515152,0.22928812648061964,0.2692307692307692,0.24010180995475114,0.32069617542283463,0.2427049559981473,0.0,0.08888253439034333,0.12115863787375415,0.3231552162849873,0.3072289156626506,0.1998861935973361,0.3477124183006536,0.28672082049514125,0.4777458114740227,0.2883263009845288,0.38546069315300086,0.029578783530727886,0.0,0.2415335463258786,0.1532567049808429,0.16666666666666666,0.12751677852348994,0.3488372093023256,0.2777777777777778,0.3407035175879397,0.2413793103448276,0.38838060384263495,0.28402771995077764,0.3087675900212364,0.0,0.027096103572520035,0.0299488021762283,0.43830639618232164,0.2361111111111111,0.21957443467336685,0.2929785201326792,0.3938278628568775,0.23962312197606314,0.4366812227074236,0.029015016543649783,0.015991769087400853,0.0,0.06433312531911273,0.21768707482993196,0.23333333333333334,0.15254237288135594
