,accountId,assists,champLevel,champion,creepsPerMinDeltas,csDiffPerMinDeltas,currentAccountId,currentPlatformId,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,damageTakenDiffPerMinDeltas,damageTakenPerMinDeltas,deaths,doubleKills,firstBloodAssist,firstBloodKill,firstInhibitorAssist,firstInhibitorKill,firstTowerAssist,firstTowerKill,gameCreation,gameDuration,gameId,gameVersion,goldEarned,goldPerMinDeltas,goldSpent,highestAchievedSeasonTier,inhibitorKills,item0,item1,item2,item3,item4,item5,item6,killingSprees,kills,lane,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicalDamageTaken,map,matchHistoryUri,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,neutralMinionsKilledTeamJungle,pentaKills,perkPrimaryStyle,perkSubStyle,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,queueId,role,season,sightWardsBoughtInGame,spell_1,spell_2,summonerId,summonerName,timeCCingOthers,totalDamageDealt,totalDamageDealtToChampions,totalDamageTaken,totalHeal,totalMinionsKilled,totalPlayerScore,totalScoreRank,totalTimeCrowdControlDealt,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,xpDiffPerMinDeltas,xpPerMinDeltas,champion_subclass,champion_name,champion_defense,champion_attack,champion_class,champion_difficulty,champion_magic,position,rel_assists,rel_deaths,rel_goldEarned,rel_kills,rel_longestTimeSpentLiving,rel_magicDamageDealt,rel_magicalDamageTaken,rel_neutralMinionsKilled,rel_physicalDamageDealt,rel_physicalDamageDealtToChampions,rel_physicalDamageTaken,rel_timeCCingOthers,rel_totalDamageDealt,rel_totalDamageDealtToChampions,rel_totalDamageTaken,rel_totalHeal,rel_totalMinionsKilled,rel_totalTimeCrowdControlDealt,rel_trueDamageDealt,rel_trueDamageDealtToChampions,rel_trueDamageTaken,rel_visionScore,rel_visionWardsBoughtInGame,rel_wardsPlaced,norm_assists,norm_deaths,norm_goldEarned,norm_kills,norm_longestTimeSpentLiving,norm_magicDamageDealt,norm_magicalDamageTaken,norm_neutralMinionsKilled,norm_physicalDamageDealt,norm_physicalDamageDealtToChampions,norm_physicalDamageTaken,norm_timeCCingOthers,norm_totalDamageDealt,norm_totalDamageDealtToChampions,norm_totalDamageTaken,norm_totalHeal,norm_totalMinionsKilled,norm_totalTimeCrowdControlDealt,norm_trueDamageDealt,norm_trueDamageDealtToChampions,norm_trueDamageTaken,norm_visionScore,norm_visionWardsBoughtInGame,norm_wardsPlaced
15221,4315978,11,16,14,"{'20-30': 3.6, '10-20': 9.2, '0-10': 7.5}","{'20-30': -4.1, '10-20': -0.5999999999999996, '0-10': 3.6000000000000005}",4315978,KR,3621,2617,61770,"{'20-30': -9.299999999999955, '10-20': -10.899999999999977, '0-10': -313.90000000000003}","{'20-30': 1941.4, '10-20': 658.8, '0-10': 423.2}",2,0,False,False,False,False,False,False,1519365972830,2003,3123691148,8.4.218.8787,12476,"{'20-30': 359.2, '10-20': 394, '0-10': 293.8}",12195,MASTER,0,1031,3800,1057,3001,3111,3194,3340,1,3,TOP,0,3,1,1464,87916,10464,11977,11,/v1/stats/player_history/KR/4315978,4,0,1,0,8300,8400.0,47971,7846,24019,0,420,SOLO,11,0,12,4,5189510,돌잔치때도란잡음,72,144716,18311,36412,13115,220,0,0,1487,1,0,8827,0,416,0,0,35,7,2,20,True,"{'20-30': -129.49999999999997, '10-20': 82.70000000000002, '0-10': 120.69999999999999}","{'20-30': 384.4, '10-20': 529.7, '0-10': 480.7}",Fighter,Sion,5,5,Tank,9,3,top,0.19642857142857142,0.08695652173913043,0.22072040195315265,0.375,0.3386537126995142,0.19306582807751094,0.1892699115044248,0.2,0.4354586881138687,0.5362219792236195,0.28696535244922344,0.3076923076923077,0.19036619407049216,0.2618999942788489,0.24274019359483748,0.3320589426777395,0.24202420242024203,0.32702881020453045,0.04534549807100549,0.0,0.13765718067504965,0.16666666666666666,0.21875,0.17094017094017094,0.2558139534883721,0.1111111111111111,0.28466140224934194,0.10344827586206896,0.6697163769441903,0.203356741702982,0.25810366152481856,0.017094017094017096,0.09203721042499226,0.10067622188289942,0.42615031126647157,0.3333333333333333,0.22358210322445563,0.16973496355614714,0.35308664909612325,0.2226466344113403,0.46943231441048033,0.09461695087808603,0.029015281754262556,0.0,0.02360015884722301,0.1836734693877551,0.23333333333333334,0.16101694915254236
15225,1393686,7,16,57,"{'20-30': 7.7, '10-20': 9.8, '0-10': 3.9000000000000004}","{'20-30': 4.1, '10-20': 0.5999999999999996, '0-10': -3.6000000000000005}",1393686,KR,965,0,40844,"{'20-30': 9.299999999999955, '10-20': 10.899999999999977, '0-10': 313.90000000000003}","{'20-30': 1950.6999999999998, '10-20': 669.7, '0-10': 737.1}",9,0,False,False,False,False,False,False,1519365972830,2003,3123691148,8.4.218.8787,10460,"{'20-30': 355.1, '10-20': 330.8, '0-10': 189.4}",10175,UNRANKED,0,3800,0,3001,1054,3194,3111,3340,0,0,TOP,0,0,0,438,117026,8957,12808,11,/v1/stats/player_history/KR/1393686,0,0,0,0,8400,8200.0,21452,2438,26930,0,420,SOLO,11,0,12,4,1922543,Swi2e,67,138684,11430,40369,10168,230,0,0,708,1,0,205,35,631,0,0,20,1,3,13,False,"{'20-30': 129.49999999999997, '10-20': -82.70000000000002, '0-10': -120.69999999999999}","{'20-30': 513.9, '10-20': 447, '0-10': 360}",Mage,Maokai,3,3,Tank,8,6,top,0.125,0.391304347826087,0.1850541362960866,0.0,0.10131852879944483,0.25699214701076933,0.20240202275600505,0.0,0.19473139558105335,0.16662110442864952,0.32174432497013145,0.2863247863247863,0.1824314191828971,0.16348189255678242,0.26911949014692943,0.25744379177638244,0.253025302530253,0.1557070595997361,0.0010531128474630255,0.19444444444444445,0.20880211780277963,0.09523809523809523,0.03125,0.1111111111111111,0.16279069767441862,0.5,0.18817899018904044,0.0,0.20036596523330283,0.27069050064303624,0.2774964411565658,0.0,0.04041640793651102,0.0312832817933353,0.4833172954183932,0.3101851851851852,0.21371505967336685,0.09587041231469455,0.39902936293234564,0.17261692555810204,0.4912663755458515,0.04504963094935098,0.0006738566624701285,0.0012160800528126195,0.035797356328359904,0.08163265306122448,0.03333333333333333,0.1016949152542373
15171,209157896,7,17,78,"{'20-30': 5.6, '10-20': 7.3, '0-10': 7.3}","{'20-30': -4.9, '10-20': -1.2999999999999998, '0-10': -1.1}",209157896,KR,3498,1532,46434,"{'20-30': -477.29999999999995, '10-20': -270.4, '0-10': -210.49999999999997}","{'20-30': 731, '10-20': 507.1, '0-10': 399.9}",2,0,False,False,True,False,False,False,1519455115249,2050,3124953286,8.4.218.8787,13124,"{'20-30': 313.5, '10-20': 477.5, '0-10': 261.2}",12150,PLATINUM,0,3068,3193,3060,3047,3194,0,3340,1,5,TOP,0,4,1,897,30574,4192,10601,11,/v1/stats/player_history/KR/209157896,0,0,0,0,8200,8400.0,90398,13997,10355,0,420,SOLO,11,0,12,4,57580784,까불지맛,35,126607,18189,21424,1355,222,0,0,2824,1,0,5635,0,467,5,0,28,2,4,15,True,"{'20-30': -161.99999999999997, '10-20': 1.1999999999999886, '0-10': -17.69999999999999}","{'20-30': 467.1, '10-20': 553.3, '0-10': 463.6}",Fighter,Poppy,6,6,Tank,7,2,top,0.1590909090909091,0.09090909090909091,0.21691844897689333,0.3333333333333333,0.25738880918220947,0.11328025135514659,0.23609719159929624,0.0,0.3031923100142879,0.5648734815771419,0.13448051948051948,0.20833333333333334,0.16779317784828413,0.29331892728709424,0.16613805029739517,0.06321436902262655,0.2374331550802139,0.7014406358668653,0.030216421431942003,0.0,0.06626933446856818,0.10256410256410256,0.06896551724137931,0.1056338028169014,0.16279069767441862,0.1111111111111111,0.3156736061258674,0.1724137931034483,0.4103385178408051,0.07072010806709783,0.22599239224288814,0.0,0.17462387610540228,0.17960299231391066,0.15781308301093852,0.16203703703703703,0.19395970739112228,0.16842534645812982,0.17906860639273647,0.023003140650199472,0.4737991266375546,0.17968948841944515,0.018522840453752066,0.0,0.026493447552050832,0.1360544217687075,0.06666666666666667,0.11864406779661017
15150,859018,15,18,14,"{'30-end': 4.4, '20-30': 4.4, '10-20': 7.1, '0-10': 5.8}","{'30-end': -3.5999999999999996, '20-30': -0.40000000000000013, '10-20': 2.0999999999999996, '0-10': -1.7000000000000006}",859018,KR,5627,3811,66749,"{'30-end': -1894.6000000000001, '20-30': -583.6, '10-20': -487.2999999999999, '0-10': -83.39999999999995}","{'30-end': 1337.2, '20-30': 1337.8, '10-20': 566.7, '0-10': 611.1}",6,0,False,False,True,False,False,False,1519622671713,2222,3127331967,8.4.218.8787,12487,"{'30-end': 282, '20-30': 364.5, '10-20': 382.4, '0-10': 214.5}",10800,PLATINUM,0,3800,2033,3194,3111,3001,3076,3340,1,3,TOP,0,2,1,540,81754,5403,15559,11,/v1/stats/player_history/KR/859018,4,0,0,0,8300,8400.0,51438,10129,18833,0,420,SOLO,11,0,12,4,1312409,Meigui,61,140835,15832,36370,16161,203,0,0,1488,1,0,7642,300,1977,1,0,35,2,5,15,True,"{'30-end': 56.19999999999999, '20-30': -97.70000000000002, '10-20': 176.20000000000002, '0-10': -86.69999999999996}","{'30-end': 540, '20-30': 496.9, '10-20': 531.2, '0-10': 398.9}",Fighter,Sion,5,5,Tank,9,3,top,0.20270270270270271,0.1935483870967742,0.19520697848924462,0.21428571428571427,0.13982392542723976,0.20560578434454574,0.20638836934750024,0.2,0.4389244907885418,0.5206373682857877,0.17666647905292585,0.17941176470588235,0.16333240553893258,0.16752020992931815,0.18864205727208128,0.30626516070345666,0.2572877059569075,0.4443117348462228,0.021995291246207957,0.03234850118611171,0.18297084683017123,0.12727272727272726,0.06451612903225806,0.1,0.3488372093023256,0.3333333333333333,0.28518784398181385,0.10344827586206896,0.24702653247941445,0.18910354271333538,0.3416956430421694,0.017094017094017096,0.09878593104898127,0.1299706157853541,0.3243062783527425,0.2824074074074074,0.21723362908291458,0.1431239735070902,0.3525990084640481,0.2743570155334861,0.43231441048034935,0.09468058030033087,0.025120061534618154,0.010423543309822453,0.11215748567538435,0.1836734693877551,0.06666666666666667,0.11864406779661017
15156,204131736,13,17,31,"{'30-end': 8, '20-30': 4.800000000000001, '10-20': 5, '0-10': 7.5}","{'30-end': 3.5999999999999996, '20-30': 0.40000000000000013, '10-20': -2.0999999999999996, '0-10': 1.7000000000000006}",204131736,KR,6678,4343,74678,"{'30-end': 1894.6000000000001, '20-30': 583.6, '10-20': 487.2999999999999, '0-10': 83.39999999999995}","{'30-end': 3231.8, '20-30': 1921.4, '10-20': 1054, '0-10': 694.5}",10,0,False,True,False,False,False,False,1519622671713,2222,3127331967,8.4.218.8787,14286,"{'30-end': 444, '20-30': 460.5, '10-20': 333.9, '0-10': 320.9}",13725,PLATINUM,0,3800,3193,3082,3083,3001,3047,3340,0,4,TOP,0,0,1,613,102953,14751,15900,11,/v1/stats/player_history/KR/204131736,8,0,0,0,8400,8200.0,33020,3683,41225,0,420,SOLO,11,0,12,4,26602065,해산물shangdan,145,152072,23554,60761,7094,214,0,0,1239,1,0,16098,5119,3635,1,0,38,3,3,18,False,"{'30-end': -56.19999999999999, '20-30': 97.70000000000002, '10-20': -176.20000000000002, '0-10': 86.69999999999996}","{'30-end': 483.8, '20-30': 594.6, '10-20': 355, '0-10': 485.59999999999997}",Mage,Chogath,5,3,Tank,7,7,top,0.17567567567567569,0.3225806451612903,0.2233304152076038,0.2857142857142857,0.1587260486794407,0.25891983652939327,0.2109116956504437,0.4,0.28176225136742583,0.18930866101259317,0.3867188232866175,0.4264705882352941,0.17636443764061885,0.24922757861768316,0.3151520495438254,0.13443753790175864,0.27122940430925224,0.36996118244252013,0.04633344654298033,0.5519732585723528,0.33641832484960665,0.13818181818181818,0.0967741935483871,0.12,0.3023255813953488,0.5555555555555556,0.37128499641062457,0.13793103448275862,0.28042086001829825,0.23813852573532812,0.3496534503278803,0.03418803418803419,0.06293420435367422,0.0472585425942797,0.7640462677480804,0.6712962962962963,0.2356149235762144,0.22601629507176058,0.6357905002960675,0.12043120278414396,0.45633187772925765,0.07883685416136421,0.052915827085093306,0.1778603940099371,0.20621773415782607,0.20408163265306123,0.1,0.1440677966101695
15069,6293499,6,17,14,"{'20-30': 6.6, '10-20': 9.7, '0-10': 7.1}","{'20-30': -1.1, '10-20': 0.1999999999999993, '0-10': 2.8000000000000003}",6293499,KR,4439,1100,74597,"{'20-30': -54.500000000000114, '10-20': 194.99999999999994, '0-10': 128.20000000000002}","{'20-30': 1174.8999999999999, '10-20': 873.4, '0-10': 684.5}",5,0,False,False,False,False,False,True,1519666211922,2079,3128256077,8.4.218.8787,13991,"{'20-30': 367.20000000000005, '10-20': 482, '0-10': 383.79999999999995}",14590,MASTER,0,3082,3800,3109,3190,3001,3047,3364,2,7,TOP,0,3,1,858,110632,10823,11167,11,/v1/stats/player_history/KR/6293499,0,0,0,0,8300,8400.0,43346,12246,20906,0,420,SOLO,11,0,12,4,9054348,미곤개 나갈꼬냐,82,167341,23070,35653,16976,243,0,0,1680,1,0,13362,0,3579,1,0,32,4,5,15,False,"{'20-30': 67.50000000000003, '10-20': -19.80000000000001, '0-10': 136.1}","{'20-30': 596.4, '10-20': 564.3, '0-10': 507.7}",Fighter,Sion,5,5,Tank,9,3,top,0.14285714285714285,0.1724137931034483,0.22898527004909983,0.3684210526315789,0.23397872920643578,0.3182573974880472,0.19014132470628298,0.0,0.1704455192481617,0.4312883003451433,0.26366502711565143,0.5157232704402516,0.2519160044138479,0.23935011308696283,0.24434758174503635,0.4000848436284792,0.29526123936816523,0.658307210031348,0.2143372740251199,0.0,0.45378470901483453,0.11347517730496454,0.11764705882352941,0.10714285714285714,0.13953488372093023,0.2777777777777778,0.35716678631251497,0.2413793103448276,0.39249771271729184,0.2559006670922734,0.23920095213647288,0.0,0.0830343742882893,0.1571349749143495,0.3650163979497653,0.37962962962962965,0.2605916954564489,0.22082076494520003,0.344274286245051,0.28819285289873525,0.519650655021834,0.10689742937134131,0.04392230597037003,0.0,0.20304078969762296,0.16326530612244897,0.13333333333333333,0.11864406779661017
14281,202484037,13,18,14,"{'30-end': 4.8, '20-30': 7.6000000000000005, '10-20': 8.5, '0-10': 7.4}","{'30-end': 3.1999999999999997, '20-30': 0.7000000000000006, '10-20': -0.5999999999999992, '0-10': -0.49999999999999956}",202484037,KR,4818,2349,81631,"{'30-end': -480.60000000000014, '20-30': -617.7, '10-20': 210.4999999999999, '0-10': -192.29999999999998}","{'30-end': 1868.2, '20-30': 991.9, '10-20': 1334.6999999999998, '0-10': 453.20000000000005}",6,0,False,False,False,False,False,False,1520149781802,2250,3134683017,8.4.218.8787,14479,"{'30-end': 524.6, '20-30': 409.79999999999995, '10-20': 346.79999999999995, '0-10': 285.7}",13375,UNRANKED,0,3193,3082,3194,3083,3110,3047,3340,0,3,TOP,0,0,1,368,123062,13709,22620,11,/v1/stats/player_history/KR/202484037,2,0,2,0,8300,8400.0,56457,12874,16143,0,420,SOLO,11,0,4,12,20200561,슬라임 Lv8,135,179624,26689,42875,12242,268,0,0,4097,1,0,105,105,4111,0,0,49,3,5,21,True,"{'30-end': 416.40000000000003, '20-30': 98.29999999999998, '10-20': -146.79999999999998, '0-10': -34.10000000000002}","{'30-end': 578.6, '20-30': 594.2, '10-20': 466.9, '0-10': 438.6}",Fighter,Sion,5,5,Tank,9,3,top,0.16049382716049382,0.18181818181818182,0.20405891057712636,0.1111111111111111,0.10316792823100644,0.32878783830719494,0.3850212765957447,0.044444444444444446,0.20638489208633093,0.34207519596120634,0.12830947517347174,0.38461538461538464,0.21936049571779062,0.20756888760995185,0.22042795154955067,0.21308222516187425,0.2987736900780379,0.7096830071020267,0.0006139991813344249,0.0358729074137342,0.4135814889336016,0.17562724014336917,0.11538461538461539,0.13815789473684212,0.3023255813953488,0.3333333333333333,0.3805216558985403,0.10344827586206896,0.16834400731930466,0.2846522515520767,0.5064759282163777,0.008547008547008548,0.10855571149657309,0.16519317875611103,0.2714793503662536,0.625,0.28068401905360135,0.259669160664255,0.42812525397949586,0.20782616076733723,0.574235807860262,0.26068974293713415,0.0003451460954115292,0.0036482401584378584,0.2332217620695524,0.2789115646258503,0.1,0.1694915254237288
14277,4633492,3,17,57,"{'30-end': 6, '20-30': 8.6, '10-20': 9.7, '0-10': 5.1}","{'30-end': -7.4, '20-30': -2.9000000000000004, '10-20': -0.9000000000000004, '0-10': -3.5}",4633492,KR,4795,0,57722,"{'30-end': 217.79999999999995, '20-30': -398.20000000000005, '10-20': -229.09999999999997, '0-10': 150.10000000000002}","{'30-end': 1569, '20-30': 827.8, '10-20': 790.5, '0-10': 633}",3,0,False,False,False,False,False,False,1520169395033,2221,3135302440,8.4.218.8787,12012,"{'30-end': 265.6, '20-30': 400.6, '10-20': 365.8, '0-10': 198.8}",11875,PLATINUM,0,3143,3082,3076,3110,3068,3047,3363,1,2,TOP,26,2,1,932,133455,13072,6939,11,/v1/stats/player_history/KR/4633492,0,0,0,0,8400,8300.0,31220,2921,21271,0,420,SOLO,11,0,4,12,5980554,KSV Bury,61,171986,15993,38026,18894,270,0,0,1140,1,0,7310,0,9815,0,0,33,1,10,14,False,"{'30-end': -364.4, '20-30': -118.30000000000001, '10-20': -131.50000000000003, '0-10': -63.30000000000001}","{'30-end': 386.6, '20-30': 648.5, '10-20': 519.5, '0-10': 377.9}",Mage,Maokai,3,3,Tank,8,6,top,0.0967741935483871,0.21428571428571427,0.17559606473021766,0.16666666666666666,0.17236915110042536,0.3364179947264138,0.1497959976685448,0.0,0.07501129253923557,0.1025596011376005,0.23093040929323636,0.3719512195121951,0.16656965454321818,0.17880261613281906,0.24753126200193984,0.25812885950051917,0.23156089193825044,0.5203103605659516,0.03328552239145778,0.0,0.6463615409944024,0.09455587392550144,0.02702702702702703,0.07526881720430108,0.06976744186046512,0.16666666666666666,0.2624551328068916,0.06896551724137931,0.4263494967978042,0.30869209204207954,0.14053347646495998,0.0,0.059430397857227674,0.037480913092014935,0.3721843640148465,0.2824074074074074,0.2681899078726968,0.14485223869381797,0.3718259819572966,0.3207537560478737,0.5786026200873362,0.07253754135912446,0.024028742451983606,0.0,0.5568162478016679,0.17006802721088435,0.03333333333333333,0.11016949152542373
14234,4255460,16,18,14,"{'30-end': 8.2, '20-30': 6.4, '10-20': 7.3, '0-10': 6.300000000000001}","{'30-end': -1.1000000000000005, '20-30': -4.1, '10-20': -2.6000000000000005, '0-10': -1.1999999999999997}",4255460,KR,6126,5262,58350,"{'30-end': -30.80000000000001, '20-30': 126.80000000000007, '10-20': 74.49999999999997, '0-10': -16.599999999999966}","{'30-end': 1139.9, '20-30': 1279.7, '10-20': 555.7, '0-10': 615.9000000000001}",3,0,False,True,True,False,False,False,1520256489768,2458,3135928790,8.4.218.8787,15659,"{'30-end': 382.6, '20-30': 411.8, '10-20': 302.4, '0-10': 318.9}",15125,MASTER,0,3107,3800,3143,3083,3194,3047,3340,0,2,TOP,0,0,1,774,113148,5936,12210,11,/v1/stats/player_history/KR/4255460,0,0,0,0,8200,8400.0,103655,9446,25015,0,420,SOLO,11,0,12,4,5186173,KM  jun,39,216804,15383,38191,13059,289,0,0,2214,5,0,0,0,966,2,0,38,3,3,23,True,"{'30-end': 95.39999999999998, '20-30': -107.69999999999999, '10-20': -116.60000000000002, '0-10': 25.600000000000023}","{'30-end': 651.7, '20-30': 549.3, '10-20': 449.5, '0-10': 448.3}",Fighter,Sion,5,5,Tank,9,3,top,0.25,0.0967741935483871,0.21482172499416954,0.13333333333333333,0.19820742637644045,0.24275321120009954,0.17563543779398438,0.0,0.27633669595632143,0.2594912367452338,0.2591180766322419,0.15853658536585366,0.18653962474220062,0.14667938021454113,0.21945445247001902,0.17922430830039526,0.2752380952380952,0.6217354675652906,0.0,0.0,0.12132629992464206,0.12297734627831715,0.08571428571428572,0.13142857142857142,0.37209302325581395,0.16666666666666666,0.4369944962909787,0.06896551724137931,0.35407136322049404,0.2617203763843784,0.2635411075587501,0.0,0.20042941095173117,0.12120667753069944,0.44571002140570687,0.18055555555555555,0.3415024340452261,0.13830415320373132,0.37374171301187753,0.2216959511077158,0.6200873362445415,0.14087554085008908,0.0,0.0,0.05480229193850343,0.20408163265306123,0.1,0.1864406779661017
14190,208564646,12,16,14,"{'20-30': 5.2, '10-20': 6.4, '0-10': 7.1000000000000005}","{'20-30': -0.7999999999999998, '10-20': -3.6, '0-10': 0.9000000000000006}",208564646,KR,3132,1455,52684,"{'20-30': -922, '10-20': 254.40000000000003, '0-10': -152.10000000000002}","{'20-30': 1214.6, '10-20': 877.1, '0-10': 341.5}",8,0,False,False,True,False,False,False,1520359684374,1838,3136966261,8.4.218.8787,12075,"{'20-30': 496.20000000000005, '10-20': 345.1, '0-10': 267.9}",10725,UNRANKED,0,3047,2033,3110,3194,3082,3060,3340,0,2,TOP,0,0,1,491,76909,9464,7640,11,/v1/stats/player_history/KR/208564646,4,0,4,0,8200,8400.0,53338,10585,17814,0,420,SOLO,11,0,4,12,53540215,wlstla2,38,130247,20049,26823,14377,187,0,0,2060,1,0,0,0,1367,2,0,21,1,1,10,True,"{'20-30': 36.200000000000045, '10-20': -225.39999999999998, '0-10': 50.49999999999997}","{'20-30': 624.9000000000001, '10-20': 399, '0-10': 460.9}",Fighter,Sion,5,5,Tank,9,3,top,0.21052631578947367,0.24242424242424243,0.22138902130468263,0.11764705882352941,0.1655428186109238,0.2803950592078399,0.1924918115394306,0.12121212121212122,0.26330781116557817,0.3293916290648825,0.21036099335167624,0.19487179487179487,0.26324012094166344,0.25548263778273334,0.20548984157141545,0.5009233127765583,0.26638176638176636,0.492705094475006,0.0,0.0,0.22209585702680748,0.10144927536231885,0.04,0.07692307692307693,0.27906976744186046,0.4444444444444444,0.26547020818377604,0.06896551724137931,0.22461116193961575,0.17789667009002508,0.15689248792326901,0.017094017094017096,0.10248439346189708,0.1358217956449771,0.30429488816009115,0.17592592592592593,0.19991395780988275,0.18839163991970545,0.24175364859687212,0.24407096171802053,0.39737991266375544,0.1310766098243828,0.0,0.0,0.07755148351960062,0.08843537414965986,0.03333333333333333,0.07627118644067797
