,accountId,assists,champLevel,champion,creepsPerMinDeltas,csDiffPerMinDeltas,currentAccountId,currentPlatformId,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,damageTakenDiffPerMinDeltas,damageTakenPerMinDeltas,deaths,doubleKills,firstBloodAssist,firstBloodKill,firstInhibitorAssist,firstInhibitorKill,firstTowerAssist,firstTowerKill,gameCreation,gameDuration,gameId,gameVersion,goldEarned,goldPerMinDeltas,goldSpent,highestAchievedSeasonTier,inhibitorKills,item0,item1,item2,item3,item4,item5,item6,killingSprees,kills,lane,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicalDamageTaken,map,matchHistoryUri,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,neutralMinionsKilledTeamJungle,pentaKills,perkPrimaryStyle,perkSubStyle,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,queueId,role,season,sightWardsBoughtInGame,spell_1,spell_2,summonerId,summonerName,timeCCingOthers,totalDamageDealt,totalDamageDealtToChampions,totalDamageTaken,totalHeal,totalMinionsKilled,totalPlayerScore,totalScoreRank,totalTimeCrowdControlDealt,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,xpDiffPerMinDeltas,xpPerMinDeltas,champion_subclass,champion_name,champion_defense,champion_attack,champion_class,champion_difficulty,champion_magic,position,rel_assists,rel_deaths,rel_goldEarned,rel_kills,rel_longestTimeSpentLiving,rel_magicDamageDealt,rel_magicalDamageTaken,rel_neutralMinionsKilled,rel_physicalDamageDealt,rel_physicalDamageDealtToChampions,rel_physicalDamageTaken,rel_timeCCingOthers,rel_totalDamageDealt,rel_totalDamageDealtToChampions,rel_totalDamageTaken,rel_totalHeal,rel_totalMinionsKilled,rel_totalTimeCrowdControlDealt,rel_trueDamageDealt,rel_trueDamageDealtToChampions,rel_trueDamageTaken,rel_visionScore,rel_visionWardsBoughtInGame,rel_wardsPlaced,norm_assists,norm_deaths,norm_goldEarned,norm_kills,norm_longestTimeSpentLiving,norm_magicDamageDealt,norm_magicalDamageTaken,norm_neutralMinionsKilled,norm_physicalDamageDealt,norm_physicalDamageDealtToChampions,norm_physicalDamageTaken,norm_timeCCingOthers,norm_totalDamageDealt,norm_totalDamageDealtToChampions,norm_totalDamageTaken,norm_totalHeal,norm_totalMinionsKilled,norm_totalTimeCrowdControlDealt,norm_trueDamageDealt,norm_trueDamageDealtToChampions,norm_trueDamageTaken,norm_visionScore,norm_visionWardsBoughtInGame,norm_wardsPlaced
15221,4315978,11,16,14,"{'20-30': 3.6, '10-20': 9.2, '0-10': 7.5}","{'20-30': -4.1, '10-20': -0.5999999999999996, '0-10': 3.6000000000000005}",4315978,KR,3621,2617,61770,"{'20-30': -9.299999999999955, '10-20': -10.899999999999977, '0-10': -313.90000000000003}","{'20-30': 1941.4, '10-20': 658.8, '0-10': 423.2}",2,0,False,False,False,False,False,False,1519365972830,2003,3123691148,8.4.218.8787,12476,"{'20-30': 359.2, '10-20': 394, '0-10': 293.8}",12195,MASTER,0,1031,3800,1057,3001,3111,3194,3340,1,3,TOP,0,3,1,1464,87916,10464,11977,11,/v1/stats/player_history/KR/4315978,4,0,1,0,8300,8400.0,47971,7846,24019,0,420,SOLO,11,0,12,4,5189510,돌잔치때도란잡음,72,144716,18311,36412,13115,220,0,0,1487,1,0,8827,0,416,0,0,35,7,2,20,True,"{'20-30': -129.49999999999997, '10-20': 82.70000000000002, '0-10': 120.69999999999999}","{'20-30': 384.4, '10-20': 529.7, '0-10': 480.7}",Fighter,Sion,5,5,Tank,9,3,top,0.19642857142857142,0.08695652173913043,0.22072040195315265,0.375,0.3386537126995142,0.19306582807751094,0.1892699115044248,0.2,0.4354586881138687,0.5362219792236195,0.28696535244922344,0.3076923076923077,0.19036619407049216,0.2618999942788489,0.24274019359483748,0.3320589426777395,0.24202420242024203,0.32702881020453045,0.04534549807100549,0.0,0.13765718067504965,0.16666666666666666,0.21875,0.17094017094017094,0.2558139534883721,0.1111111111111111,0.28466140224934194,0.10344827586206896,0.6697163769441903,0.203356741702982,0.25810366152481856,0.017094017094017096,0.09203721042499226,0.10067622188289942,0.42615031126647157,0.3333333333333333,0.22358210322445563,0.16973496355614714,0.35308664909612325,0.2226466344113403,0.46943231441048033,0.09461695087808603,0.029015281754262556,0.0,0.02360015884722301,0.1836734693877551,0.23333333333333334,0.16101694915254236
15225,1393686,7,16,57,"{'20-30': 7.7, '10-20': 9.8, '0-10': 3.9000000000000004}","{'20-30': 4.1, '10-20': 0.5999999999999996, '0-10': -3.6000000000000005}",1393686,KR,965,0,40844,"{'20-30': 9.299999999999955, '10-20': 10.899999999999977, '0-10': 313.90000000000003}","{'20-30': 1950.6999999999998, '10-20': 669.7, '0-10': 737.1}",9,0,False,False,False,False,False,False,1519365972830,2003,3123691148,8.4.218.8787,10460,"{'20-30': 355.1, '10-20': 330.8, '0-10': 189.4}",10175,UNRANKED,0,3800,0,3001,1054,3194,3111,3340,0,0,TOP,0,0,0,438,117026,8957,12808,11,/v1/stats/player_history/KR/1393686,0,0,0,0,8400,8200.0,21452,2438,26930,0,420,SOLO,11,0,12,4,1922543,Swi2e,67,138684,11430,40369,10168,230,0,0,708,1,0,205,35,631,0,0,20,1,3,13,False,"{'20-30': 129.49999999999997, '10-20': -82.70000000000002, '0-10': -120.69999999999999}","{'20-30': 513.9, '10-20': 447, '0-10': 360}",Mage,Maokai,3,3,Tank,8,6,top,0.125,0.391304347826087,0.1850541362960866,0.0,0.10131852879944483,0.25699214701076933,0.20240202275600505,0.0,0.19473139558105335,0.16662110442864952,0.32174432497013145,0.2863247863247863,0.1824314191828971,0.16348189255678242,0.26911949014692943,0.25744379177638244,0.253025302530253,0.1557070595997361,0.0010531128474630255,0.19444444444444445,0.20880211780277963,0.09523809523809523,0.03125,0.1111111111111111,0.16279069767441862,0.5,0.18817899018904044,0.0,0.20036596523330283,0.27069050064303624,0.2774964411565658,0.0,0.04041640793651102,0.0312832817933353,0.4833172954183932,0.3101851851851852,0.21371505967336685,0.09587041231469455,0.39902936293234564,0.17261692555810204,0.4912663755458515,0.04504963094935098,0.0006738566624701285,0.0012160800528126195,0.035797356328359904,0.08163265306122448,0.03333333333333333,0.1016949152542373
15211,4873327,2,17,420,"{'20-30': 8.4, '10-20': 12.2, '0-10': 8}","{'20-30': -2.299999999999999, '10-20': 3.6999999999999997, '0-10': 1.3000000000000003}",4873327,KR,6906,5255,27399,"{'20-30': -139.19999999999993, '10-20': -85, '0-10': -218.7}","{'20-30': 1263.3, '10-20': 853, '0-10': 381.70000000000005}",4,0,False,False,False,False,False,False,1519375473801,1973,3123798130,8.4.218.8787,14090,"{'20-30': 427.7, '10-20': 538.9000000000001, '0-10': 326.5}",13450,DIAMOND,0,3140,3053,3047,3071,3123,3025,3340,1,3,TOP,0,2,1,1391,439,292,5295,11,/v1/stats/player_history/KR/4873327,0,0,0,0,8300,8100.0,232860,27486,17824,0,420,SOLO,11,0,12,4,6901040,돈코 돈코,3,233950,27838,28585,6643,298,0,0,77,1,0,650,60,5465,2,0,34,2,1,18,False,"{'20-30': -190.19999999999996, '10-20': 141.2, '0-10': 156.49999999999997}","{'20-30': 519.5, '10-20': 650, '0-10': 517.5}",Tank,Illaoi,4,8,Fighter,6,3,top,0.06451612903225806,0.25,0.2375653346821784,0.21428571428571427,0.2712029635406512,0.002608328827677993,0.13546356938190748,0.0,0.5114216626145626,0.647674254206136,0.23911031216881531,0.025210084033613446,0.3059449704451535,0.33358897543439187,0.2337323586649005,0.13055184340853707,0.35903614457831323,0.0738255033557047,0.004608262259750019,0.005642279480910287,0.6307710064635272,0.1504424778761062,0.08333333333333333,0.12857142857142856,0.046511627906976744,0.2222222222222222,0.3619047619047619,0.10344827586206896,0.6363220494053065,0.0010154421221121195,0.10216797741009545,0.0,0.4519345878258297,0.3526875649596448,0.30449127079201116,0.013888888888888888,0.36954957077051925,0.27200317743164765,0.26221133416154835,0.11277480689245395,0.6397379912663755,0.004899465512853143,0.002136618685880895,0.0020847086619644904,0.3100357406251773,0.17687074829931973,0.06666666666666667,0.1440677966101695
15215,4735341,6,17,114,"{'20-30': 10.7, '10-20': 8.5, '0-10': 6.7}","{'20-30': 2.299999999999999, '10-20': -3.6999999999999997, '0-10': -1.3000000000000003}",4735341,KR,11280,7862,29951,"{'20-30': 139.19999999999993, '10-20': 85, '0-10': 218.7}","{'20-30': 1402.5, '10-20': 938, '0-10': 600.4}",4,1,False,False,True,False,False,False,1519375473801,1973,3123798130,8.4.218.8787,15653,"{'20-30': 586.4, '10-20': 389.6, '0-10': 282.20000000000005}",13608,DIAMOND,0,3078,3074,3052,3047,3071,1037,3340,1,4,TOP,678,4,2,722,1512,1014,9697,11,/v1/stats/player_history/KR/4735341,20,1,7,0,8300,8400.0,201913,12863,24944,0,420,SOLO,11,0,12,4,6390203,파이팅야소년,6,212381,21440,34679,11161,293,0,0,105,9,0,8956,7561,37,5,0,35,1,3,20,True,"{'20-30': 190.19999999999996, '10-20': -141.2, '0-10': -156.49999999999997}","{'20-30': 709.7, '10-20': 508.8, '0-10': 361}",Assassin,Fiora,3,10,Fighter,4,2,top,0.1935483870967742,0.25,0.2639183948743888,0.2857142857142857,0.14076818093195553,0.008983583570499148,0.2480812525583299,0.625,0.4434539301017528,0.30310099439181865,0.3346256523080638,0.05042016806722689,0.2777384003766281,0.2569203115638107,0.28356146461920884,0.21934203285905196,0.3530120481927711,0.10067114093959731,0.0634947643051095,0.7110212525860448,0.004270544783010157,0.15486725663716813,0.041666666666666664,0.14285714285714285,0.13953488372093023,0.2222222222222222,0.43670734625508495,0.13793103448275862,0.3302836230558097,0.0034973769672745443,0.2048960350983641,0.08547008547008547,0.3916944213560899,0.1650520318735324,0.44431570471907467,0.027777777777777776,0.33426736547319935,0.2033234217503784,0.33296566777740366,0.18947457770987183,0.62882096069869,0.006681089335708832,0.029439318385768146,0.2627080365518919,0.0020990525897770468,0.1836734693877551,0.03333333333333333,0.16101694915254236
15191,203921694,0,18,150,"{'20-30': 10.5, '10-20': 10.8, '0-10': 7.9}","{'20-30': 5.399999999999999, '10-20': 2.4999999999999996, '0-10': -0.5}",203921694,KR,3522,3522,28979,"{'20-30': -326.9, '10-20': -312.99999999999994, '0-10': -8.099999999999994}","{'20-30': 1472.4, '10-20': 1038.3000000000002, '0-10': 457}",4,0,False,False,False,False,False,True,1519388962838,1895,3123996909,8.4.218.8787,13214,"{'20-30': 457.90000000000003, '10-20': 469.5, '0-10': 256.6}",13275,CHALLENGER,0,3022,1038,3071,3156,3123,3111,3340,1,4,TOP,321,2,1,590,19664,8479,19642,11,/v1/stats/player_history/KR/203921694,4,1,0,0,8000,8400.0,194347,28237,13348,0,420,SOLO,11,0,12,4,25301734,ROX Kuzan,41,214530,37237,33617,6731,306,0,0,784,1,0,519,519,626,1,0,22,1,1,14,False,"{'20-30': 188, '10-20': 166.60000000000002, '0-10': -50.50000000000003}","{'20-30': 592.9, '10-20': 660.4000000000001, '0-10': 458.7}",Tank,Gnar,8,6,Fighter,5,5,top,0.0,0.18181818181818182,0.23709897365965693,0.36363636363636365,0.15116576992057393,0.06198090519102689,0.33313546242431435,0.17391304347826086,0.7593162727095136,0.7231726681350202,0.1689320879844078,0.3253968253968254,0.3571398843661196,0.41091370558375634,0.23756421943790768,0.14522114347357065,0.33737596471885334,0.6944198405668733,0.01888921240355219,0.1833274461321088,0.1774879500992345,0.09734513274336283,0.03571428571428571,0.12389380530973451,0.0,0.2222222222222222,0.3199808566642737,0.13793103448275862,0.2698993595608417,0.04548440521460756,0.4369793003663858,0.017094017094017096,0.3769667547160262,0.36232404757933095,0.2165904047446044,0.18981481481481483,0.3377826633165829,0.37289736681086766,0.3206353260806465,0.11426873779814957,0.6572052401746725,0.049885467039959275,0.00170600784303413,0.018032729925992842,0.03551370057298463,0.09523809523809523,0.03333333333333333,0.11016949152542373
15195,202620815,4,16,8,"{'20-30': 5.1, '10-20': 8.3, '0-10': 8.4}","{'20-30': -5.399999999999999, '10-20': -2.4999999999999996, '0-10': 0.5}",202620815,KR,1787,526,18363,"{'20-30': 326.9, '10-20': 312.99999999999994, '0-10': 8.099999999999994}","{'20-30': 1799.3, '10-20': 1351.3, '0-10': 465.1}",5,0,False,True,False,False,False,False,1519388962838,1895,3123996909,8.4.218.8787,11116,"{'20-30': 333.6, '10-20': 308.6, '0-10': 310.9}",9100,MASTER,0,3152,2421,3151,3158,1054,3191,3340,0,1,TOP,654,0,1,902,131148,21092,12942,11,/v1/stats/player_history/KR/202620815,5,0,5,0,8200,8100.0,18197,2615,27480,0,420,SOLO,11,0,12,4,20450514,kfo,4,151986,23708,40771,27598,226,0,0,106,1,0,2640,0,348,0,0,26,2,0,15,True,"{'20-30': -188, '10-20': -166.60000000000002, '0-10': 50.50000000000003}","{'20-30': 404.9, '10-20': 493.8, '0-10': 509.20000000000005}",Tank,Vladimir,7,2,Mage,6,8,top,0.10810810810810811,0.22727272727272727,0.19945453240508146,0.09090909090909091,0.23110427875992826,0.41337834387676947,0.21950102610199962,0.21739130434782608,0.07109591717132252,0.06697228909491369,0.34778646822082165,0.031746031746031744,0.25301944933235004,0.261619951445597,0.2881200223310508,0.5954261057173679,0.24917309812568908,0.09388839681133747,0.09608385500072791,0.0,0.09866742273887157,0.11504424778761062,0.07142857142857142,0.13274336283185842,0.09302325581395349,0.2777777777777778,0.21957406078009092,0.034482758620689655,0.4126258005489479,0.3033558164709801,0.28062355604303285,0.021367521367521368,0.03408035785543684,0.03355446344937318,0.49411834017399503,0.018518518518518517,0.2354742462311558,0.227669418293848,0.40369678041077917,0.46851710381122147,0.48253275109170307,0.0067447187579536775,0.00867795897034702,0.0,0.01974244057411925,0.12244897959183673,0.06666666666666667,0.11864406779661017
15171,209157896,7,17,78,"{'20-30': 5.6, '10-20': 7.3, '0-10': 7.3}","{'20-30': -4.9, '10-20': -1.2999999999999998, '0-10': -1.1}",209157896,KR,3498,1532,46434,"{'20-30': -477.29999999999995, '10-20': -270.4, '0-10': -210.49999999999997}","{'20-30': 731, '10-20': 507.1, '0-10': 399.9}",2,0,False,False,True,False,False,False,1519455115249,2050,3124953286,8.4.218.8787,13124,"{'20-30': 313.5, '10-20': 477.5, '0-10': 261.2}",12150,PLATINUM,0,3068,3193,3060,3047,3194,0,3340,1,5,TOP,0,4,1,897,30574,4192,10601,11,/v1/stats/player_history/KR/209157896,0,0,0,0,8200,8400.0,90398,13997,10355,0,420,SOLO,11,0,12,4,57580784,까불지맛,35,126607,18189,21424,1355,222,0,0,2824,1,0,5635,0,467,5,0,28,2,4,15,True,"{'20-30': -161.99999999999997, '10-20': 1.1999999999999886, '0-10': -17.69999999999999}","{'20-30': 467.1, '10-20': 553.3, '0-10': 463.6}",Fighter,Poppy,6,6,Tank,7,2,top,0.1590909090909091,0.09090909090909091,0.21691844897689333,0.3333333333333333,0.25738880918220947,0.11328025135514659,0.23609719159929624,0.0,0.3031923100142879,0.5648734815771419,0.13448051948051948,0.20833333333333334,0.16779317784828413,0.29331892728709424,0.16613805029739517,0.06321436902262655,0.2374331550802139,0.7014406358668653,0.030216421431942003,0.0,0.06626933446856818,0.10256410256410256,0.06896551724137931,0.1056338028169014,0.16279069767441862,0.1111111111111111,0.3156736061258674,0.1724137931034483,0.4103385178408051,0.07072010806709783,0.22599239224288814,0.0,0.17462387610540228,0.17960299231391066,0.15781308301093852,0.16203703703703703,0.19395970739112228,0.16842534645812982,0.17906860639273647,0.023003140650199472,0.4737991266375546,0.17968948841944515,0.018522840453752066,0.0,0.026493447552050832,0.1360544217687075,0.06666666666666667,0.11864406779661017
15175,5295545,2,18,24,"{'20-30': 10.5, '10-20': 8.6, '0-10': 8.4}","{'20-30': 4.9, '10-20': 1.2999999999999998, '0-10': 1.1}",5295545,KR,7748,3347,24709,"{'20-30': 477.29999999999995, '10-20': 270.4, '0-10': 210.49999999999997}","{'20-30': 1208.3, '10-20': 777.5, '0-10': 610.4}",6,0,False,False,False,False,False,False,1519455115249,2050,3124953286,8.4.218.8787,14093,"{'20-30': 474.6, '10-20': 426.6, '0-10': 275.7}",13033,MASTER,0,3748,2033,3144,3047,3194,3078,3340,1,3,TOP,0,2,1,680,37074,4035,7735,11,/v1/stats/player_history/KR/5295545,43,3,24,0,8400,8300.0,182639,7975,22852,0,420,SOLO,11,0,4,12,7703494,차차차차차차차차,24,224768,12301,31118,2343,307,0,0,138,1,0,5054,290,530,1,0,26,0,7,11,False,"{'20-30': 161.99999999999997, '10-20': -1.1999999999999886, '0-10': 17.69999999999999}","{'20-30': 629.0999999999999, '10-20': 552.1, '0-10': 481.29999999999995}",Assassin,Jax,5,7,Fighter,5,7,top,0.045454545454545456,0.2727272727272727,0.2329344484479852,0.2,0.1951219512195122,0.1373635127474555,0.17226787822097503,0.6825396825396826,0.6125659893880344,0.3218451107792889,0.29677922077922075,0.14285714285714285,0.29788666502328565,0.1983680314782861,0.24131272634215567,0.1093072078376487,0.32834224598930484,0.03427719821162444,0.02710093947063618,0.30303030303030304,0.07520930892578402,0.09523809523809523,0.0,0.07746478873239436,0.046511627906976744,0.3333333333333333,0.36204833692270877,0.10344827586206896,0.3110704483074108,0.08575512809837067,0.15910947235770462,0.18376068376068377,0.35417644001580606,0.10233148986950329,0.40323245812140374,0.1111111111111111,0.3545298105108878,0.10522021962922808,0.29162070847217547,0.039775910364145656,0.6593886462882096,0.00878086026978875,0.016613032059141605,0.010076091866161704,0.030067510069779316,0.12244897959183673,0.0,0.0847457627118644
15150,859018,15,18,14,"{'30-end': 4.4, '20-30': 4.4, '10-20': 7.1, '0-10': 5.8}","{'30-end': -3.5999999999999996, '20-30': -0.40000000000000013, '10-20': 2.0999999999999996, '0-10': -1.7000000000000006}",859018,KR,5627,3811,66749,"{'30-end': -1894.6000000000001, '20-30': -583.6, '10-20': -487.2999999999999, '0-10': -83.39999999999995}","{'30-end': 1337.2, '20-30': 1337.8, '10-20': 566.7, '0-10': 611.1}",6,0,False,False,True,False,False,False,1519622671713,2222,3127331967,8.4.218.8787,12487,"{'30-end': 282, '20-30': 364.5, '10-20': 382.4, '0-10': 214.5}",10800,PLATINUM,0,3800,2033,3194,3111,3001,3076,3340,1,3,TOP,0,2,1,540,81754,5403,15559,11,/v1/stats/player_history/KR/859018,4,0,0,0,8300,8400.0,51438,10129,18833,0,420,SOLO,11,0,12,4,1312409,Meigui,61,140835,15832,36370,16161,203,0,0,1488,1,0,7642,300,1977,1,0,35,2,5,15,True,"{'30-end': 56.19999999999999, '20-30': -97.70000000000002, '10-20': 176.20000000000002, '0-10': -86.69999999999996}","{'30-end': 540, '20-30': 496.9, '10-20': 531.2, '0-10': 398.9}",Fighter,Sion,5,5,Tank,9,3,top,0.20270270270270271,0.1935483870967742,0.19520697848924462,0.21428571428571427,0.13982392542723976,0.20560578434454574,0.20638836934750024,0.2,0.4389244907885418,0.5206373682857877,0.17666647905292585,0.17941176470588235,0.16333240553893258,0.16752020992931815,0.18864205727208128,0.30626516070345666,0.2572877059569075,0.4443117348462228,0.021995291246207957,0.03234850118611171,0.18297084683017123,0.12727272727272726,0.06451612903225806,0.1,0.3488372093023256,0.3333333333333333,0.28518784398181385,0.10344827586206896,0.24702653247941445,0.18910354271333538,0.3416956430421694,0.017094017094017096,0.09878593104898127,0.1299706157853541,0.3243062783527425,0.2824074074074074,0.21723362908291458,0.1431239735070902,0.3525990084640481,0.2743570155334861,0.43231441048034935,0.09468058030033087,0.025120061534618154,0.010423543309822453,0.11215748567538435,0.1836734693877551,0.06666666666666667,0.11864406779661017
15156,204131736,13,17,31,"{'30-end': 8, '20-30': 4.800000000000001, '10-20': 5, '0-10': 7.5}","{'30-end': 3.5999999999999996, '20-30': 0.40000000000000013, '10-20': -2.0999999999999996, '0-10': 1.7000000000000006}",204131736,KR,6678,4343,74678,"{'30-end': 1894.6000000000001, '20-30': 583.6, '10-20': 487.2999999999999, '0-10': 83.39999999999995}","{'30-end': 3231.8, '20-30': 1921.4, '10-20': 1054, '0-10': 694.5}",10,0,False,True,False,False,False,False,1519622671713,2222,3127331967,8.4.218.8787,14286,"{'30-end': 444, '20-30': 460.5, '10-20': 333.9, '0-10': 320.9}",13725,PLATINUM,0,3800,3193,3082,3083,3001,3047,3340,0,4,TOP,0,0,1,613,102953,14751,15900,11,/v1/stats/player_history/KR/204131736,8,0,0,0,8400,8200.0,33020,3683,41225,0,420,SOLO,11,0,12,4,26602065,해산물shangdan,145,152072,23554,60761,7094,214,0,0,1239,1,0,16098,5119,3635,1,0,38,3,3,18,False,"{'30-end': -56.19999999999999, '20-30': 97.70000000000002, '10-20': -176.20000000000002, '0-10': 86.69999999999996}","{'30-end': 483.8, '20-30': 594.6, '10-20': 355, '0-10': 485.59999999999997}",Mage,Chogath,5,3,Tank,7,7,top,0.17567567567567569,0.3225806451612903,0.2233304152076038,0.2857142857142857,0.1587260486794407,0.25891983652939327,0.2109116956504437,0.4,0.28176225136742583,0.18930866101259317,0.3867188232866175,0.4264705882352941,0.17636443764061885,0.24922757861768316,0.3151520495438254,0.13443753790175864,0.27122940430925224,0.36996118244252013,0.04633344654298033,0.5519732585723528,0.33641832484960665,0.13818181818181818,0.0967741935483871,0.12,0.3023255813953488,0.5555555555555556,0.37128499641062457,0.13793103448275862,0.28042086001829825,0.23813852573532812,0.3496534503278803,0.03418803418803419,0.06293420435367422,0.0472585425942797,0.7640462677480804,0.6712962962962963,0.2356149235762144,0.22601629507176058,0.6357905002960675,0.12043120278414396,0.45633187772925765,0.07883685416136421,0.052915827085093306,0.1778603940099371,0.20621773415782607,0.20408163265306123,0.1,0.1440677966101695
