,rota,atributo 1,atributo 2,correlação,correlação absoluta
432,sup,physicalDamageDealt,physicalDamageDealtToChampions,0.9368250772429193,0.9368250772429193
708,mid,physicalDamageDealt,physicalDamageDealtToChampions,0.9085819426125686,0.9085819426125686
491,sup,totalDamageDealt,trueDamageDealt,0.8615631168757781,0.8615631168757781
767,mid,totalDamageDealt,trueDamageDealt,0.8522027443998584,0.8522027443998584
464,sup,physicalDamageTaken,totalDamageTaken,0.8425230993913243,0.8425230993913243
174,adc,physicalDamageDealtToChampions,totalDamageDealtToChampions,0.8345054746139045,0.8345054746139045
1260,top,physicalDamageDealt,physicalDamageDealtToChampions,0.8333963048312452,0.8333963048312452
740,mid,physicalDamageTaken,totalDamageTaken,0.8300960957299882,0.8300960957299882
984,jg,physicalDamageDealt,physicalDamageDealtToChampions,0.8278586126565913,0.8278586126565913
1016,jg,physicalDamageTaken,totalDamageTaken,0.8266293696238329,0.8266293696238329
1292,top,physicalDamageTaken,totalDamageTaken,0.812587458162661,0.812587458162661
188,adc,physicalDamageTaken,totalDamageTaken,0.7981832863543039,0.7981832863543039
416,sup,neutralMinionsKilled,physicalDamageDealt,0.7827929343204211,0.7827929343204211
1211,top,magicDamageDealt,physicalDamageDealt,-0.7800931471196174,0.7800931471196174
550,sup,visionScore,wardsPlaced,0.7769330446854849,0.7769330446854849
659,mid,magicDamageDealt,physicalDamageDealt,-0.7658220969899182,0.7658220969899182
883,jg,goldEarned,totalDamageDealtToChampions,0.765174617418607,0.765174617418607
903,jg,kills,totalDamageDealtToChampions,0.7564553801938104,0.7564553801938104
873,jg,goldEarned,kills,0.7513962521832798,0.7513962521832798
1212,top,magicDamageDealt,physicalDamageDealtToChampions,-0.7505857057360441,0.7505857057360441
660,mid,magicDamageDealt,physicalDamageDealtToChampions,-0.741505418555346,0.741505418555346
45,adc,goldEarned,kills,0.7389978052219697,0.7389978052219697
1319,top,totalDamageDealt,trueDamageDealt,0.7261154696464924,0.7261154696464924
417,sup,neutralMinionsKilled,physicalDamageDealtToChampions,0.7169715943089566,0.7169715943089566
